lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
393633.0,,baleshwar,8648822552,Kupari,phc,10.69,7.14,10.69,14.2177,1.5708,0.357,0.4998,85.67999999999999,17.849999999999998,107.1
393634.0,,baleshwar,8648822552,Kupari,phc,10.04,6.86,10.04,13.3532,1.5092,0.343,0.48020000000000007,82.32000000000001,17.150000000000002,102.9
393608.0,,baleshwar,8648822552,Kupari,phc,3.01,2.83,3.01,4.0033,0.6226,0.14150000000000001,0.19810000000000003,33.96,7.075,42.45
393611.0,,baleshwar,8648822552,Kupari,phc,7.53,3.74,7.53,10.0149,0.8228000000000001,0.18700000000000003,0.26180000000000003,44.88,9.350000000000001,56.1
393625.0,,baleshwar,8648822552,Kupari,phc,7.99,6.01,7.99,10.626700000000001,1.3222,0.3005,0.4207,72.12,15.024999999999999,90.14999999999999
393632.0,,baleshwar,8648822552,Kupari,phc,8.79,6.34,8.79,11.6907,1.3948,0.317,0.44380000000000003,76.08,15.85,95.1
393616.0,,baleshwar,8648822552,Kupari,phc,7.4,5.83,7.4,9.842,1.2826,0.29150000000000004,0.4081,69.96000000000001,14.575,87.45
393512.0,,baleshwar,8648822552,Kupari,phc,7.25,3.42,7.25,9.6425,0.7524,0.171,0.23940000000000003,41.04,8.55,51.3
393607.0,,baleshwar,8648822552,Kupari,phc,2.78,2.62,2.78,3.6974,0.5764,0.131,0.18340000000000004,31.44,6.550000000000001,39.300000000000004
393517.0,,baleshwar,8648822552,Kupari,phc,6.66,4.58,6.66,8.857800000000001,1.0076,0.229,0.32060000000000005,54.96,11.45,68.7
393514.0,,baleshwar,8648822552,Kupari,phc,6.57,4.51,6.57,8.738100000000001,0.9922,0.2255,0.31570000000000004,54.12,11.274999999999999,67.64999999999999
393622.0,,baleshwar,8648822552,Kupari,phc,8.57,7.19,8.57,11.398100000000001,1.5818,0.35950000000000004,0.5033000000000001,86.28,17.975,107.85000000000001
393638.0,,baleshwar,8648822552,Kupari,phc,12.06,7.71,12.06,16.039800000000003,1.6962,0.3855,0.5397000000000001,92.52,19.275,115.65
393510.0,,baleshwar,8648822552,Kupari,phc,4.89,2.44,4.89,6.5037,0.5367999999999999,0.122,0.1708,29.28,6.1,36.6
393612.0,,baleshwar,8648822552,Kupari,phc,12.03,7.62,12.03,15.9999,1.6764000000000001,0.381,0.5334000000000001,91.44,19.05,114.3
393627.0,,baleshwar,8648822552,Kupari,phc,4.14,3.87,4.14,5.5062,0.8514,0.1935,0.27090000000000003,46.44,9.675,58.050000000000004
393628.0,,baleshwar,8648822552,Kupari,phc,3.96,3.7,3.96,5.2668,0.8140000000000001,0.18500000000000003,0.25900000000000006,44.400000000000006,9.25,55.5
393521.0,,baleshwar,8648822552,Kupari,phc,2.0,1.44,2.0,2.66,0.31679999999999997,0.072,0.1008,17.28,3.5999999999999996,21.599999999999998
393520.0,,baleshwar,8648822552,Kupari,phc,6.1,4.2,6.1,8.113,0.924,0.21000000000000002,0.29400000000000004,50.400000000000006,10.5,63.0
393636.0,,baleshwar,8648822552,Kupari,phc,16.57,9.58,16.57,22.0381,2.1076,0.47900000000000004,0.6706000000000001,114.96000000000001,23.95,143.7
393624.0,,baleshwar,8648822552,Kupari,phc,6.7,5.47,6.7,8.911000000000001,1.2034,0.2735,0.3829,65.64,13.674999999999999,82.05
393503.0,,baleshwar,8648822552,Kupari,phc,6.65,3.18,6.65,8.844500000000002,0.6996,0.15900000000000003,0.22260000000000002,38.160000000000004,7.95,47.7
393613.0,,baleshwar,8648822552,Kupari,phc,3.73,3.48,3.73,4.9609000000000005,0.7656,0.17400000000000002,0.2436,41.76,8.7,52.2
393513.0,,baleshwar,8648822552,Kupari,phc,5.19,3.59,5.19,6.902700000000001,0.7898,0.1795,0.2513,43.08,8.975,53.849999999999994
393519.0,,baleshwar,8648822552,Kupari,phc,20.32,11.21,20.32,27.0256,2.4662,0.5605000000000001,0.7847000000000002,134.52,28.025000000000002,168.15
393635.0,,baleshwar,8648822552,Kupari,phc,11.83,7.61,11.83,15.7339,1.6742000000000001,0.38050000000000006,0.5327000000000001,91.32000000000001,19.025000000000002,114.15
393614.0,,baleshwar,8648822552,Kupari,phc,7.61,5.79,7.61,10.121300000000002,1.2738,0.28950000000000004,0.40530000000000005,69.48,14.475,86.85
393516.0,,baleshwar,8648822552,Kupari,phc,6.66,4.58,6.66,8.857800000000001,1.0076,0.229,0.32060000000000005,54.96,11.45,68.7
393515.0,,baleshwar,8648822552,Kupari,phc,6.64,4.56,6.64,8.8312,1.0031999999999999,0.22799999999999998,0.3192,54.72,11.399999999999999,68.39999999999999
393629.0,,baleshwar,8648822552,Kupari,phc,4.12,3.85,4.12,5.4796000000000005,0.847,0.1925,0.2695,46.2,9.625,57.75
393507.0,,baleshwar,8648822552,Kupari,phc,9.77,4.47,9.77,12.9941,0.9833999999999999,0.2235,0.3129,53.64,11.174999999999999,67.05
393508.0,,baleshwar,8648822552,Kupari,phc,9.59,4.4,9.59,12.7547,0.9680000000000001,0.22000000000000003,0.30800000000000005,52.800000000000004,11.0,66.0
393518.0,,baleshwar,8648822552,Kupari,phc,6.66,4.58,6.66,8.857800000000001,1.0076,0.229,0.32060000000000005,54.96,11.45,68.7
393610.0,,baleshwar,8648822552,Kupari,phc,4.04,2.93,4.04,5.373200000000001,0.6446000000000001,0.14650000000000002,0.20510000000000003,35.160000000000004,7.325,43.95
393609.0,,baleshwar,8648822552,Kupari,phc,2.27,2.15,2.27,3.0191000000000003,0.473,0.1075,0.1505,25.799999999999997,5.375,32.25
393626.0,,baleshwar,8648822552,Kupari,phc,4.68,4.36,4.68,6.2244,0.9592,0.21800000000000003,0.3052,52.32000000000001,10.9,65.4
393615.0,,baleshwar,8648822552,Kupari,phc,7.11,5.71,7.11,9.4563,1.2562,0.28550000000000003,0.39970000000000006,68.52,14.275,85.65
393617.0,,baleshwar,8648822552,Kupari,phc,10.92,7.29,10.92,14.5236,1.6038000000000001,0.36450000000000005,0.5103000000000001,87.48,18.225,109.35
393621.0,,baleshwar,8648822552,Kupari,phc,6.21,5.76,6.21,8.2593,1.2671999999999999,0.288,0.4032,69.12,14.399999999999999,86.39999999999999
393619.0,,baleshwar,8648822552,Kupari,phc,6.88,6.38,6.88,9.150400000000001,1.4036,0.319,0.44660000000000005,76.56,15.95,95.7
393620.0,,baleshwar,8648822552,Kupari,phc,7.45,6.72,7.45,9.9085,1.4784,0.336,0.47040000000000004,80.64,16.8,100.8
393623.0,,baleshwar,8648822552,Kupari,phc,9.23,6.53,9.23,12.275900000000002,1.4366,0.3265,0.45710000000000006,78.36,16.325,97.95
393522.0,,baleshwar,8648822552,Kupari,phc,1.76,1.14,1.76,2.3408,0.25079999999999997,0.056999999999999995,0.0798,13.68,2.8499999999999996,17.099999999999998
393630.0,,baleshwar,8648822552,Kupari,phc,8.39,6.17,8.39,11.158700000000001,1.3574,0.3085,0.43190000000000006,74.03999999999999,15.425,92.55
393618.0,,baleshwar,8648822552,Kupari,phc,15.35,9.12,15.35,20.4155,2.0063999999999997,0.45599999999999996,0.6384,109.44,22.799999999999997,136.79999999999998
393409.0,,baleshwar,8648822552,Kupari,phc,12.42,5.58,12.42,16.5186,1.2276,0.279,0.39060000000000006,66.96000000000001,13.95,83.7
