lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
394520.0,,bhadrak,2712838776,Jagannathprasad,phc,0.78,1.11,0.78,1.0374,0.24420000000000003,0.05550000000000001,0.07770000000000002,13.32,2.7750000000000004,16.650000000000002
394519.0,,bhadrak,2712838776,Jagannathprasad,phc,1.02,1.45,1.02,1.3566,0.319,0.0725,0.1015,17.4,3.625,21.75
394584.0,,bhadrak,2712838776,Jagannathprasad,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394522.0,,bhadrak,2712838776,Jagannathprasad,phc,0.21,0.31,0.21,0.2793,0.0682,0.0155,0.0217,3.7199999999999998,0.775,4.65
394521.0,,bhadrak,2712838776,Jagannathprasad,phc,0.75,1.07,0.75,0.9975,0.23540000000000003,0.053500000000000006,0.07490000000000001,12.84,2.6750000000000003,16.05
394527.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394538.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394506.0,,bhadrak,3615784448,Rahania,phc,0.11,0.1,0.11,0.1463,0.022000000000000002,0.005000000000000001,0.007000000000000001,1.2000000000000002,0.25,1.5
394567.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394596.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394686.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394539.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394552.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394543.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394546.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394563.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394580.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394574.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394531.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394544.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394550.0,,bhadrak,6157565125,Balipatna,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394507.0,,bhadrak,3615784448,Rahania,phc,0.45,0.41,0.45,0.5985,0.09019999999999999,0.0205,0.0287,4.92,1.025,6.1499999999999995
394510.0,,bhadrak,7527764646,Barikpur,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394581.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394586.0,,bhadrak,2712838776,Jagannathprasad,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394575.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394593.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394548.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394557.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394573.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394688.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394571.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394555.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394534.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394526.0,,bhadrak,3615784448,Rahania,phc,0.11,0.1,0.11,0.1463,0.022000000000000002,0.005000000000000001,0.007000000000000001,1.2000000000000002,0.25,1.5
394595.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394685.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394541.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394592.0,,bhadrak,2712838776,Jagannathprasad,phc,0.76,1.07,0.76,1.0108000000000001,0.23540000000000003,0.053500000000000006,0.07490000000000001,12.84,2.6750000000000003,16.05
394687.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394684.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394568.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394559.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394551.0,,bhadrak,6157565125,Balipatna,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394589.0,,bhadrak,2712838776,Jagannathprasad,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394597.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394591.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394594.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394590.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394560.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394588.0,,bhadrak,2712838776,Jagannathprasad,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394569.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394572.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394523.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394561.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394566.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394577.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394579.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394535.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394556.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394495.0,,bhadrak,6157565125,Balipatna,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394578.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394564.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394585.0,,bhadrak,2712838776,Jagannathprasad,phc,0.02,0.03,0.02,0.026600000000000002,0.0066,0.0015,0.0021000000000000003,0.36,0.075,0.44999999999999996
394511.0,,bhadrak,7527764646,Barikpur,phc,0.23,0.21,0.23,0.3059,0.0462,0.0105,0.014700000000000001,2.52,0.525,3.15
394562.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394494.0,,bhadrak,6157565125,Balipatna,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394549.0,,bhadrak,6157565125,Balipatna,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394576.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394558.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394553.0,,bhadrak,6157565125,Balipatna,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394565.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394536.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394542.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394583.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394533.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394505.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394540.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394545.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394537.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394530.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394529.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394496.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394498.0,,bhadrak,3615784448,Rahania,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
