lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
417863.0,,boudh,4316487364,Khuntigora,phc,23.68,13.75,23.68,31.494400000000002,3.025,0.6875,0.9625000000000001,165.0,34.375,206.25
417861.0,,boudh,2182113262,Ghantapada,phc,22.81,14.18,22.81,30.3373,3.1196,0.7090000000000001,0.9926,170.16,35.45,212.7
417864.0,,boudh,4316487364,Khuntigora,phc,20.85,12.61,20.85,27.730500000000003,2.7742,0.6305000000000001,0.8827,151.32,31.525,189.14999999999998
417862.0,,boudh,2182113262,Ghantapada,phc,26.93,15.89,26.93,35.816900000000004,3.4958,0.7945000000000001,1.1123,190.68,39.725,238.35000000000002
417868.0,,boudh,4316487364,Khuntigora,phc,7.8,4.41,7.8,10.374,0.9702000000000001,0.22050000000000003,0.30870000000000003,52.92,11.025,66.15
417877.0,,boudh,4316487364,Khuntigora,phc,4.08,2.46,4.08,5.4264,0.5412,0.123,0.17220000000000002,29.52,6.15,36.9
417866.0,,boudh,4316487364,Khuntigora,phc,8.46,5.69,8.46,11.251800000000001,1.2518,0.28450000000000003,0.39830000000000004,68.28,14.225000000000001,85.35000000000001
417869.0,,boudh,4316487364,Khuntigora,phc,5.22,3.16,5.22,6.9426,0.6952,0.15800000000000003,0.22120000000000004,37.92,7.9,47.400000000000006
417875.0,,boudh,4316487364,Khuntigora,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417884.0,,boudh,4316487364,Khuntigora,phc,11.8,7.34,11.8,15.694000000000003,1.6148,0.367,0.5138,88.08,18.35,110.1
417870.0,,boudh,4316487364,Khuntigora,phc,5.72,3.54,5.72,7.6076,0.7788,0.17700000000000002,0.24780000000000002,42.480000000000004,8.85,53.1
417880.0,,boudh,4316487364,Khuntigora,phc,3.87,3.61,3.87,5.1471,0.7942,0.1805,0.25270000000000004,43.32,9.025,54.15
