lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
383442.0,,deogarh,1111434146,Reamal,phc,9.95,13.92,9.95,13.2335,3.0624,0.6960000000000001,0.9744,167.04,34.8,208.8
383440.0,,deogarh,1111434146,Reamal,phc,14.09,14.9,14.09,18.7397,3.278,0.7450000000000001,1.0430000000000001,178.8,37.25,223.5
383444.0,,deogarh,1111434146,Reamal,phc,24.09,28.51,24.09,32.0397,6.272200000000001,1.4255000000000002,1.9957000000000003,342.12,71.275,427.65000000000003
383443.0,,deogarh,1111434146,Reamal,phc,10.57,14.81,10.57,14.058100000000001,3.2582,0.7405,1.0367000000000002,177.72,37.025,222.15
383446.0,,deogarh,1111434146,Reamal,phc,7.27,10.12,7.27,9.6691,2.2264,0.506,0.7084,121.44,25.299999999999997,151.79999999999998
383441.0,,deogarh,1111434146,Reamal,phc,9.75,13.64,9.75,12.967500000000001,3.0008000000000004,0.682,0.9548000000000001,163.68,34.1,204.60000000000002
383277.0,,deogarh,1887587135,Kansar,phc,20.88,13.11,20.88,27.7704,2.8842,0.6555,0.9177000000000001,157.32,32.775,196.64999999999998
383256.0,,deogarh,1887587135,Kansar,phc,14.92,9.87,14.92,19.843600000000002,2.1713999999999998,0.4935,0.6909,118.44,24.674999999999997,148.04999999999998
383276.0,,deogarh,1887587135,Kansar,phc,14.98,9.91,14.98,19.9234,2.1802,0.49550000000000005,0.6937000000000001,118.92,24.775,148.65
383257.0,,deogarh,1887587135,Kansar,phc,14.92,9.87,14.92,19.843600000000002,2.1713999999999998,0.4935,0.6909,118.44,24.674999999999997,148.04999999999998
383258.0,,deogarh,1887587135,Kansar,phc,14.95,9.88,14.95,19.8835,2.1736,0.49400000000000005,0.6916000000000001,118.56,24.700000000000003,148.20000000000002
382689.0,,deogarh,1887587135,Kansar,phc,13.38,8.84,13.38,17.7954,1.9448,0.442,0.6188,106.08,22.1,132.6
382691.0,,deogarh,1887587135,Kansar,phc,26.63,21.82,26.63,35.4179,4.8004,1.091,1.5274,261.84000000000003,54.55,327.3
382690.0,,deogarh,1887587135,Kansar,phc,13.93,9.2,13.93,18.5269,2.024,0.45999999999999996,0.644,110.39999999999999,23.0,138.0
382687.0,,deogarh,1887587135,Kansar,phc,24.12,18.27,24.12,32.079600000000006,4.0194,0.9135,1.2789000000000001,219.24,45.675,274.05
382688.0,,deogarh,1887587135,Kansar,phc,26.58,21.75,26.58,35.3514,4.785,1.0875000000000001,1.5225000000000002,261.0,54.375,326.25
382684.0,,deogarh,1887587135,Kansar,phc,26.71,21.93,26.71,35.524300000000004,4.8246,1.0965,1.5351000000000001,263.15999999999997,54.825,328.95
382693.0,,deogarh,1887587135,Kansar,phc,29.08,25.3,29.08,38.6764,5.566,1.2650000000000001,1.7710000000000001,303.6,63.25,379.5
382694.0,,deogarh,1887587135,Kansar,phc,29.42,25.78,29.42,39.128600000000006,5.671600000000001,1.2890000000000001,1.8046000000000002,309.36,64.45,386.70000000000005
382685.0,,deogarh,1887587135,Kansar,phc,22.34,15.75,22.34,29.712200000000003,3.465,0.7875000000000001,1.1025,189.0,39.375,236.25
383278.0,,deogarh,1887587135,Kansar,phc,14.98,9.91,14.98,19.9234,2.1802,0.49550000000000005,0.6937000000000001,118.92,24.775,148.65
383308.0,,deogarh,1887587135,Kansar,phc,17.0,11.25,17.0,22.61,2.475,0.5625,0.7875000000000001,135.0,28.125,168.75
383306.0,,deogarh,1887587135,Kansar,phc,17.19,11.38,17.19,22.862700000000004,2.5036,0.5690000000000001,0.7966000000000001,136.56,28.450000000000003,170.70000000000002
383305.0,,deogarh,1887587135,Kansar,phc,14.19,9.24,14.19,18.872700000000002,2.0328,0.462,0.6468,110.88,23.1,138.6
383348.0,,deogarh,1111434146,Reamal,phc,17.47,12.05,17.47,23.2351,2.6510000000000002,0.6025,0.8435000000000001,144.60000000000002,30.125,180.75
383254.0,,deogarh,1887587135,Kansar,phc,13.38,8.84,13.38,17.7954,1.9448,0.442,0.6188,106.08,22.1,132.6
383304.0,,deogarh,1887587135,Kansar,phc,11.73,7.74,11.73,15.600900000000001,1.7028,0.387,0.5418000000000001,92.88,19.35,116.10000000000001
383295.0,,deogarh,1887587135,Kansar,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
383288.0,,deogarh,1887587135,Kansar,phc,2.01,1.34,2.01,2.6733,0.2948,0.067,0.09380000000000001,16.080000000000002,3.35,20.1
383284.0,,deogarh,1887587135,Kansar,phc,9.28,6.11,9.28,12.3424,1.3442,0.30550000000000005,0.4277000000000001,73.32000000000001,15.275,91.65
383246.0,,deogarh,1887587135,Kansar,phc,18.18,12.12,18.18,24.1794,2.6664,0.606,0.8484,145.44,30.299999999999997,181.79999999999998
383287.0,,deogarh,1887587135,Kansar,phc,2.87,1.91,2.87,3.8171000000000004,0.42019999999999996,0.0955,0.1337,22.919999999999998,4.7749999999999995,28.65
383245.0,,deogarh,1887587135,Kansar,phc,5.06,3.37,5.06,6.7298,0.7414000000000001,0.1685,0.23590000000000003,40.44,8.425,50.550000000000004
383286.0,,deogarh,1887587135,Kansar,phc,7.54,4.68,7.54,10.0282,1.0295999999999998,0.23399999999999999,0.3276,56.16,11.7,70.19999999999999
383285.0,,deogarh,1887587135,Kansar,phc,8.94,5.88,8.94,11.8902,1.2936,0.294,0.4116,70.56,14.7,88.2
383247.0,,deogarh,1887587135,Kansar,phc,9.34,6.15,9.34,12.4222,1.353,0.30750000000000005,0.43050000000000005,73.80000000000001,15.375,92.25
383296.0,,deogarh,1887587135,Kansar,phc,3.1,1.99,3.1,4.123,0.4378,0.0995,0.1393,23.88,4.975,29.85
383297.0,,deogarh,1887587135,Kansar,phc,4.1,2.66,4.1,5.452999999999999,0.5852,0.133,0.18620000000000003,31.92,6.65,39.900000000000006
383298.0,,deogarh,1887587135,Kansar,phc,5.52,3.6,5.52,7.3416,0.792,0.18000000000000002,0.25200000000000006,43.2,9.0,54.0
383299.0,,deogarh,1887587135,Kansar,phc,5.55,3.62,5.55,7.3815,0.7964,0.18100000000000002,0.2534,43.44,9.05,54.300000000000004
383301.0,,deogarh,1887587135,Kansar,phc,6.94,4.55,6.94,9.230200000000002,1.001,0.2275,0.3185,54.599999999999994,11.375,68.25
383300.0,,deogarh,1887587135,Kansar,phc,6.62,4.25,6.62,8.8046,0.935,0.21250000000000002,0.29750000000000004,51.0,10.625,63.75
383303.0,,deogarh,1887587135,Kansar,phc,11.34,7.48,11.34,15.0822,1.6456000000000002,0.37400000000000005,0.5236000000000001,89.76,18.700000000000003,112.2
383279.0,,deogarh,1887587135,Kansar,phc,14.04,9.28,14.04,18.6732,2.0416,0.46399999999999997,0.6496000000000001,111.35999999999999,23.2,139.2
383281.0,,deogarh,1887587135,Kansar,phc,12.47,8.23,12.47,16.5851,1.8106000000000002,0.41150000000000003,0.5761000000000001,98.76,20.575000000000003,123.45
383280.0,,deogarh,1887587135,Kansar,phc,13.32,8.79,13.32,17.715600000000002,1.9337999999999997,0.4395,0.6153,105.47999999999999,21.974999999999998,131.85
383302.0,,deogarh,1887587135,Kansar,phc,8.38,5.51,8.38,11.145400000000002,1.2122,0.2755,0.38570000000000004,66.12,13.774999999999999,82.64999999999999
383282.0,,deogarh,1887587135,Kansar,phc,12.0,7.92,12.0,15.96,1.7424,0.396,0.5544,95.03999999999999,19.8,118.8
383283.0,,deogarh,1887587135,Kansar,phc,10.5,6.92,10.5,13.965,1.5224,0.34600000000000003,0.48440000000000005,83.03999999999999,17.3,103.8
383255.0,,deogarh,1887587135,Kansar,phc,13.3,8.78,13.3,17.689000000000004,1.9315999999999998,0.439,0.6146,105.35999999999999,21.95,131.7
383248.0,,deogarh,1887587135,Kansar,phc,20.17,13.44,20.17,26.826100000000004,2.9568,0.672,0.9408000000000001,161.28,33.6,201.6
383250.0,,deogarh,1887587135,Kansar,phc,22.3,15.7,22.3,29.659000000000002,3.4539999999999997,0.785,1.099,188.39999999999998,39.25,235.5
382686.0,,deogarh,1887587135,Kansar,phc,22.43,15.88,22.43,29.8319,3.4936000000000003,0.794,1.1116000000000001,190.56,39.7,238.20000000000002
383252.0,,deogarh,1887587135,Kansar,phc,10.4,6.85,10.4,13.832,1.507,0.3425,0.47950000000000004,82.19999999999999,17.125,102.75
383253.0,,deogarh,1887587135,Kansar,phc,10.78,7.11,10.78,14.3374,1.5642,0.35550000000000004,0.4977000000000001,85.32000000000001,17.775000000000002,106.65
383235.0,,deogarh,1887587135,Kansar,phc,11.54,7.69,11.54,15.3482,1.6918000000000002,0.38450000000000006,0.5383000000000001,92.28,19.225,115.35000000000001
383224.0,,deogarh,1887587135,Kansar,phc,29.24,25.46,29.24,38.8892,5.6012,1.2730000000000001,1.7822000000000002,305.52,63.650000000000006,381.90000000000003
383225.0,,deogarh,1887587135,Kansar,phc,29.29,25.53,29.29,38.9557,5.6166,1.2765000000000002,1.7871000000000004,306.36,63.825,382.95000000000005
383234.0,,deogarh,1887587135,Kansar,phc,11.6,7.74,11.6,15.428,1.7028,0.387,0.5418000000000001,92.88,19.35,116.10000000000001
383244.0,,deogarh,1887587135,Kansar,phc,7.97,5.31,7.97,10.6001,1.1682,0.2655,0.37170000000000003,63.72,13.274999999999999,79.64999999999999
383228.0,,deogarh,1887587135,Kansar,phc,28.54,24.46,28.54,37.9582,5.381200000000001,1.223,1.7122000000000002,293.52,61.150000000000006,366.90000000000003
383232.0,,deogarh,1887587135,Kansar,phc,29.0,25.12,29.0,38.57,5.526400000000001,1.2560000000000002,1.7584000000000002,301.44,62.800000000000004,376.8
383226.0,,deogarh,1887587135,Kansar,phc,12.97,8.64,12.97,17.250100000000003,1.9008,0.43200000000000005,0.6048000000000001,103.68,21.6,129.60000000000002
383227.0,,deogarh,1887587135,Kansar,phc,12.97,8.64,12.97,17.250100000000003,1.9008,0.43200000000000005,0.6048000000000001,103.68,21.6,129.60000000000002
383233.0,,deogarh,1887587135,Kansar,phc,13.32,8.88,13.32,17.715600000000002,1.9536000000000002,0.44400000000000006,0.6216000000000002,106.56,22.200000000000003,133.20000000000002
383237.0,,deogarh,1887587135,Kansar,phc,11.54,7.69,11.54,15.3482,1.6918000000000002,0.38450000000000006,0.5383000000000001,92.28,19.225,115.35000000000001
383239.0,,deogarh,1887587135,Kansar,phc,32.46,29.96,32.46,43.171800000000005,6.591200000000001,1.4980000000000002,2.0972000000000004,359.52,74.9,449.40000000000003
383238.0,,deogarh,1887587135,Kansar,phc,11.54,7.69,11.54,15.3482,1.6918000000000002,0.38450000000000006,0.5383000000000001,92.28,19.225,115.35000000000001
383240.0,,deogarh,1887587135,Kansar,phc,2.31,1.54,2.31,3.0723000000000003,0.3388,0.07700000000000001,0.1078,18.48,3.85,23.1
383241.0,,deogarh,1887587135,Kansar,phc,2.31,1.54,2.31,3.0723000000000003,0.3388,0.07700000000000001,0.1078,18.48,3.85,23.1
383242.0,,deogarh,1887587135,Kansar,phc,7.88,5.26,7.88,10.480400000000001,1.1572,0.263,0.3682,63.12,13.149999999999999,78.89999999999999
383236.0,,deogarh,1887587135,Kansar,phc,11.54,7.69,11.54,15.3482,1.6918000000000002,0.38450000000000006,0.5383000000000001,92.28,19.225,115.35000000000001
