lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
403066.0,,dhenkanal,3377346725,Hatura,phc,15.31,16.03,15.31,20.3623,3.5266,0.8015000000000001,1.1221,192.36,40.075,240.45000000000002
403067.0,,dhenkanal,3377346725,Hatura,phc,14.58,15.02,14.58,19.3914,3.3044,0.751,1.0514000000000001,180.24,37.55,225.29999999999998
403092.0,,dhenkanal,3553777834,Dudurakot,phc,12.37,13.81,12.37,16.4521,3.0382000000000002,0.6905000000000001,0.9667000000000001,165.72,34.525,207.15
403093.0,,dhenkanal,1656316138,Rasola,phc,21.46,14.28,21.46,28.541800000000002,3.1416,0.714,0.9996,171.35999999999999,35.699999999999996,214.2
403090.0,,dhenkanal,3553777834,Dudurakot,phc,11.25,12.72,11.25,14.9625,2.7984,0.6360000000000001,0.8904000000000001,152.64000000000001,31.8,190.8
403091.0,,dhenkanal,3553777834,Dudurakot,phc,9.73,11.07,9.73,12.940900000000001,2.4354,0.5535,0.7749000000000001,132.84,27.675,166.05
403086.0,,dhenkanal,3553777834,Dudurakot,phc,7.33,8.47,7.33,9.7489,1.8634000000000002,0.42350000000000004,0.5929000000000001,101.64000000000001,21.175,127.05000000000001
403085.0,,dhenkanal,1656316138,Rasola,phc,10.41,8.67,10.41,13.845300000000002,1.9074,0.4335,0.6069000000000001,104.03999999999999,21.675,130.05
403084.0,,dhenkanal,1656316138,Rasola,phc,10.05,8.43,10.05,13.366500000000002,1.8546,0.4215,0.5901000000000001,101.16,21.075,126.44999999999999
403150.0,,dhenkanal,1656316138,Rasola,phc,20.77,14.06,20.77,27.624100000000002,3.0932,0.7030000000000001,0.9842000000000001,168.72,35.15,210.9
403151.0,,dhenkanal,1656316138,Rasola,phc,24.36,16.45,24.36,32.3988,3.6189999999999998,0.8225,1.1515,197.39999999999998,41.125,246.75
403149.0,,dhenkanal,1656316138,Rasola,phc,16.28,11.07,16.28,21.652400000000004,2.4354,0.5535,0.7749000000000001,132.84,27.675,166.05
403334.0,,dhenkanal,7534127886,Dhirapatna,phc,8.72,12.36,8.72,11.597600000000002,2.7192,0.618,0.8652000000000001,148.32,30.9,185.39999999999998
403328.0,,dhenkanal,7534127886,Dhirapatna,phc,11.51,13.34,11.51,15.308300000000001,2.9348,0.667,0.9338000000000001,160.07999999999998,33.35,200.1
403335.0,,dhenkanal,1656316138,Rasola,phc,10.25,11.09,10.25,13.6325,2.4398,0.5545,0.7763000000000001,133.07999999999998,27.725,166.35
403336.0,,dhenkanal,1656316138,Rasola,phc,7.25,10.27,7.25,9.6425,2.2594,0.5135,0.7189,123.24,25.674999999999997,154.04999999999998
403337.0,,dhenkanal,1656316138,Rasola,phc,8.08,11.45,8.08,10.746400000000001,2.5189999999999997,0.5725,0.8015,137.39999999999998,28.625,171.75
403341.0,,dhenkanal,1656316138,Rasola,phc,9.21,13.06,9.21,12.249300000000002,2.8732,0.653,0.9142000000000001,156.72,32.65,195.9
403342.0,,dhenkanal,2283283683,Kalanga,phc,10.08,4.2,10.08,13.406400000000001,0.924,0.21000000000000002,0.29400000000000004,50.400000000000006,10.5,63.0
403339.0,,dhenkanal,2283283683,Kalanga,phc,4.75,1.98,4.75,6.317500000000001,0.4356,0.099,0.1386,23.759999999999998,4.95,29.7
403338.0,,dhenkanal,2283283683,Kalanga,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
