lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
414540.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414530.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414551.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414554.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414553.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414555.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414575.0,,gajapati,2347738326,Hadhubhangi,phc,0.36,0.39,0.36,0.4788,0.0858,0.019500000000000003,0.027300000000000005,4.68,0.9750000000000001,5.8500000000000005
414537.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414546.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414535.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414536.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414445.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414556.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414574.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414545.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414446.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414541.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414552.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414548.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
