lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
398183.0,,jagatsinghapur,1111457279,Palasola,phc,2.19,0.91,2.19,2.9127,0.20020000000000002,0.045500000000000006,0.0637,10.92,2.275,13.65
398129.0,,jagatsinghapur,1111457279,Palasola,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398149.0,,jagatsinghapur,1111457279,Palasola,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398185.0,,jagatsinghapur,2168212161,Deriki,phc,4.88,2.03,4.88,6.4904,0.44659999999999994,0.10149999999999999,0.1421,24.36,5.074999999999999,30.449999999999996
398144.0,,jagatsinghapur,1111457279,Palasola,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398147.0,,jagatsinghapur,1111457279,Palasola,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398155.0,,jagatsinghapur,1111457279,Palasola,phc,0.17,0.07,0.17,0.22610000000000002,0.015400000000000002,0.0035000000000000005,0.004900000000000001,0.8400000000000001,0.17500000000000002,1.05
398130.0,,jagatsinghapur,1111457279,Palasola,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398182.0,,jagatsinghapur,1111457279,Palasola,phc,3.64,1.52,3.64,4.841200000000001,0.33440000000000003,0.07600000000000001,0.10640000000000001,18.240000000000002,3.8,22.8
398161.0,,jagatsinghapur,1111457279,Palasola,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398154.0,,jagatsinghapur,1111457279,Palasola,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398148.0,,jagatsinghapur,1111457279,Palasola,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398133.0,,jagatsinghapur,1111457279,Palasola,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398156.0,,jagatsinghapur,1111457279,Palasola,phc,0.37,0.15,0.37,0.49210000000000004,0.033,0.0075,0.0105,1.7999999999999998,0.375,2.25
398150.0,,jagatsinghapur,1111457279,Palasola,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398158.0,,jagatsinghapur,1111457279,Palasola,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398106.0,,jagatsinghapur,1111457279,Palasola,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398145.0,,jagatsinghapur,1111457279,Palasola,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398152.0,,jagatsinghapur,1111457279,Palasola,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398157.0,,jagatsinghapur,1111457279,Palasola,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398153.0,,jagatsinghapur,1111457279,Palasola,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398162.0,,jagatsinghapur,1111457279,Palasola,phc,0.37,0.15,0.37,0.49210000000000004,0.033,0.0075,0.0105,1.7999999999999998,0.375,2.25
398151.0,,jagatsinghapur,1111457279,Palasola,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398160.0,,jagatsinghapur,1111457279,Palasola,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398146.0,,jagatsinghapur,1111457279,Palasola,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
