lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
401749.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401760.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401751.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401762.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401754.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401765.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401746.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401766.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401748.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401764.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401750.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401752.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401763.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401755.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401761.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401756.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401747.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401753.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401858.0,,jajapur,3875426730,Birupagenguti,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401850.0,,jajapur,3875426730,Birupagenguti,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401860.0,,jajapur,3875426730,Birupagenguti,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401851.0,,jajapur,3875426730,Birupagenguti,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401861.0,,jajapur,3875426730,Birupagenguti,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401849.0,,jajapur,3875426730,Birupagenguti,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401859.0,,jajapur,3875426730,Birupagenguti,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402081.0,,jajapur,3548658578,Arabala,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401862.0,,jajapur,3875426730,Birupagenguti,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402085.0,,jajapur,3548658578,Arabala,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402083.0,,jajapur,3548658578,Arabala,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402082.0,,jajapur,3548658578,Arabala,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402084.0,,jajapur,4461285878,Haladidiha,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401637.0,,jajapur,3118477839,Baunsamuli,phc,3.48,2.26,3.48,4.6284,0.4972,0.11299999999999999,0.1582,27.119999999999997,5.6499999999999995,33.9
401636.0,,jajapur,3118477839,Baunsamuli,phc,12.69,8.4,12.69,16.8777,1.848,0.42000000000000004,0.5880000000000001,100.80000000000001,21.0,126.0
401635.0,,jajapur,3118477839,Baunsamuli,phc,7.55,4.97,7.55,10.041500000000001,1.0934,0.2485,0.34790000000000004,59.64,12.424999999999999,74.55
401634.0,,jajapur,3118477839,Baunsamuli,phc,2.44,1.63,2.44,3.2452,0.3586,0.0815,0.11410000000000001,19.56,4.074999999999999,24.45
400521.0,,jajapur,8852822587,Kuhika,phc,23.38,19.75,23.38,31.0954,4.345,0.9875,1.3825,237.0,49.375,296.25
400524.0,,jajapur,8852822587,Kuhika,phc,18.93,14.37,18.93,25.1769,3.1614,0.7185,1.0059,172.44,35.925,215.54999999999998
400426.0,,jajapur,8852822587,Kuhika,phc,12.58,10.12,12.58,16.7314,2.2264,0.506,0.7084,121.44,25.299999999999997,151.79999999999998
400455.0,,jajapur,8781383529,Atta,phc,3.36,1.32,3.36,4.4688,0.2904,0.066,0.09240000000000001,15.84,3.3000000000000003,19.8
400448.0,,jajapur,8781383529,Atta,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400447.0,,jajapur,8781383529,Atta,phc,8.32,4.58,8.32,11.065600000000002,1.0076,0.229,0.32060000000000005,54.96,11.45,68.7
400446.0,,jajapur,8781383529,Atta,phc,8.51,4.75,8.51,11.3183,1.045,0.23750000000000002,0.3325,57.0,11.875,71.25
400452.0,,jajapur,4174827818,Kabatabandha,phc,18.29,8.06,18.29,24.3257,1.7732,0.403,0.5642,96.72,20.150000000000002,120.9
400434.0,,jajapur,3527463842,Duburi,phc,14.39,15.31,14.39,19.1387,3.3682000000000003,0.7655000000000001,1.0717,183.72,38.275,229.65
400433.0,,jajapur,3527463842,Duburi,phc,8.22,4.99,8.22,10.9326,1.0978,0.24950000000000003,0.34930000000000005,59.88,12.475000000000001,74.85000000000001
401393.0,,jajapur,4174827818,Kabatabandha,phc,21.02,9.12,21.02,27.9566,2.0063999999999997,0.45599999999999996,0.6384,109.44,22.799999999999997,136.79999999999998
401392.0,,jajapur,4174827818,Kabatabandha,phc,21.41,9.36,21.41,28.4753,2.0591999999999997,0.46799999999999997,0.6552,112.32,23.4,140.39999999999998
400440.0,,jajapur,1181731132,Hatibari,phc,5.08,2.06,5.08,6.7564,0.4532,0.10300000000000001,0.14420000000000002,24.72,5.15,30.900000000000002
400451.0,,jajapur,4174827818,Kabatabandha,phc,21.41,9.36,21.41,28.4753,2.0591999999999997,0.46799999999999997,0.6552,112.32,23.4,140.39999999999998
400453.0,,jajapur,8781383529,Atta,phc,1.87,0.78,1.87,2.4871000000000003,0.1716,0.03900000000000001,0.05460000000000001,9.36,1.9500000000000002,11.700000000000001
400429.0,,jajapur,8852822587,Kuhika,phc,16.64,10.9,16.64,22.131200000000003,2.398,0.545,0.7630000000000001,130.8,27.25,163.5
400428.0,,jajapur,8852822587,Kuhika,phc,9.64,6.92,9.64,12.821200000000001,1.5224,0.34600000000000003,0.48440000000000005,83.03999999999999,17.3,103.8
400441.0,,jajapur,8781383529,Atta,phc,6.38,2.8,6.38,8.4854,0.616,0.13999999999999999,0.196,33.599999999999994,7.0,42.0
