lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
381000.0,,jharsuguda,1111454276,Remta,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
380999.0,,jharsuguda,1111454276,Remta,phc,9.87,5.45,9.87,13.1271,1.199,0.2725,0.38150000000000006,65.4,13.625,81.75
380997.0,,jharsuguda,1111454276,Remta,phc,14.88,7.47,14.88,19.7904,1.6434,0.3735,0.5229,89.64,18.675,112.05
381002.0,,jharsuguda,1111454276,Remta,phc,1.78,1.19,1.78,2.3674,0.2618,0.0595,0.0833,14.28,2.9749999999999996,17.849999999999998
380995.0,,jharsuguda,1111454276,Remta,phc,9.35,6.12,9.35,12.4355,1.3464,0.30600000000000005,0.42840000000000006,73.44,15.3,91.8
380998.0,,jharsuguda,1111454276,Remta,phc,10.63,6.54,10.63,14.137900000000002,1.4388,0.327,0.45780000000000004,78.48,16.35,98.1
380996.0,,jharsuguda,1111454276,Remta,phc,5.36,3.22,5.36,7.128800000000001,0.7084,0.16100000000000003,0.22540000000000004,38.64,8.05,48.300000000000004
380994.0,,jharsuguda,1111454276,Remta,phc,11.13,7.41,11.13,14.802900000000001,1.6302,0.37050000000000005,0.5187,88.92,18.525,111.15
380993.0,,jharsuguda,1111454276,Remta,phc,12.74,8.26,12.74,16.944200000000002,1.8172,0.41300000000000003,0.5782,99.12,20.65,123.89999999999999
380988.0,,jharsuguda,1111454458,Kanaktora,phc,12.52,8.67,12.52,16.651600000000002,1.9074,0.4335,0.6069000000000001,104.03999999999999,21.675,130.05
381003.0,,jharsuguda,1111454276,Remta,phc,1.78,1.19,1.78,2.3674,0.2618,0.0595,0.0833,14.28,2.9749999999999996,17.849999999999998
381004.0,,jharsuguda,1111454276,Remta,phc,58.41,36.9,58.41,77.6853,8.118,1.845,2.583,442.79999999999995,92.25,553.5
380970.0,,jharsuguda,1111454334,Palsada,phc,10.68,15.13,10.68,14.2044,3.3286000000000002,0.7565000000000001,1.0591000000000002,181.56,37.825,226.95000000000002
381001.0,,jharsuguda,1111454276,Remta,phc,2.02,1.35,2.02,2.6866000000000003,0.29700000000000004,0.0675,0.09450000000000001,16.200000000000003,3.375,20.25
380991.0,,jharsuguda,1111454276,Remta,phc,15.38,10.24,15.38,20.4554,2.2528,0.512,0.7168000000000001,122.88,25.6,153.6
