lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
424203.0,,kalahandi,4216554115,Dhansuli,phc,8.18,5.45,8.18,10.8794,1.199,0.2725,0.38150000000000006,65.4,13.625,81.75
424219.0,,kalahandi,4216554115,Dhansuli,phc,3.92,2.6,3.92,5.2136000000000005,0.5720000000000001,0.13,0.18200000000000002,31.200000000000003,6.5,39.0
424515.0,,kalahandi,4216554115,Dhansuli,phc,103.01,68.45,103.01,137.00330000000002,15.059000000000001,3.4225000000000003,4.791500000000001,821.4000000000001,171.125,1026.75
424220.0,,kalahandi,4216554115,Dhansuli,phc,7.26,4.84,7.26,9.655800000000001,1.0648,0.242,0.33880000000000005,58.08,12.1,72.6
424215.0,,kalahandi,4216554115,Dhansuli,phc,16.81,11.12,16.81,22.3573,2.4463999999999997,0.5559999999999999,0.7784,133.44,27.799999999999997,166.79999999999998
424182.0,,kalahandi,1212456717,Uchhula,phc,34.39,19.75,34.39,45.7387,4.345,0.9875,1.3825,237.0,49.375,296.25
424218.0,,kalahandi,4216554115,Dhansuli,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424472.0,,kalahandi,4216554115,Dhansuli,phc,64.76,43.08,64.76,86.13080000000001,9.477599999999999,2.154,3.0156,516.96,107.69999999999999,646.1999999999999
424201.0,,kalahandi,4216554115,Dhansuli,phc,2.32,1.54,2.32,3.0856,0.3388,0.07700000000000001,0.1078,18.48,3.85,23.1
424200.0,,kalahandi,1212456717,Uchhula,phc,33.19,19.25,33.19,44.1427,4.235,0.9625,1.3475000000000001,231.0,48.125,288.75
424516.0,,kalahandi,4216554115,Dhansuli,phc,103.01,68.45,103.01,137.00330000000002,15.059000000000001,3.4225000000000003,4.791500000000001,821.4000000000001,171.125,1026.75
424223.0,,kalahandi,4216554115,Dhansuli,phc,11.74,7.81,11.74,15.6142,1.7182,0.3905,0.5467000000000001,93.72,19.525,117.14999999999999
424474.0,,kalahandi,4216554115,Dhansuli,phc,64.76,43.08,64.76,86.13080000000001,9.477599999999999,2.154,3.0156,516.96,107.69999999999999,646.1999999999999
424224.0,,kalahandi,4216554115,Dhansuli,phc,6.98,4.66,6.98,9.2834,1.0252000000000001,0.233,0.32620000000000005,55.92,11.65,69.9
424471.0,,kalahandi,4216554115,Dhansuli,phc,64.76,43.08,64.76,86.13080000000001,9.477599999999999,2.154,3.0156,516.96,107.69999999999999,646.1999999999999
424226.0,,kalahandi,4216554115,Dhansuli,phc,4.3,2.86,4.3,5.719,0.6292,0.143,0.20020000000000002,34.32,7.1499999999999995,42.9
424225.0,,kalahandi,4216554115,Dhansuli,phc,4.3,2.86,4.3,5.719,0.6292,0.143,0.20020000000000002,34.32,7.1499999999999995,42.9
424202.0,,kalahandi,4216554115,Dhansuli,phc,4.41,2.94,4.41,5.8653,0.6468,0.147,0.2058,35.28,7.35,44.1
424222.0,,kalahandi,4216554115,Dhansuli,phc,14.31,9.53,14.31,19.032300000000003,2.0966,0.4765,0.6671,114.35999999999999,23.825,142.95
