lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
417232.0,,kandhamal,6464445276,Durgapanga,phc,0.85,0.92,0.85,1.1305,0.2024,0.046000000000000006,0.06440000000000001,11.040000000000001,2.3000000000000003,13.8
417231.0,,kandhamal,6464445276,Durgapanga,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417222.0,,kandhamal,3821873829,Judabali,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417193.0,,kandhamal,3821873829,Judabali,phc,0.9,0.98,0.9,1.197,0.21559999999999999,0.049,0.06860000000000001,11.76,2.45,14.7
417196.0,,kandhamal,3821873829,Judabali,phc,1.23,1.33,1.23,1.6359000000000001,0.2926,0.0665,0.09310000000000002,15.96,3.325,19.950000000000003
417195.0,,kandhamal,3821873829,Judabali,phc,1.68,1.83,1.68,2.2344,0.4026,0.09150000000000001,0.12810000000000002,21.96,4.575,27.450000000000003
417233.0,,kandhamal,3821873829,Judabali,phc,8.44,7.39,8.44,11.2252,1.6258,0.3695,0.5173,88.67999999999999,18.474999999999998,110.85
417124.0,,kandhamal,3821873829,Judabali,phc,0.88,0.95,0.88,1.1704,0.209,0.0475,0.0665,11.399999999999999,2.375,14.25
417228.0,,kandhamal,3821873829,Judabali,phc,5.79,6.26,5.79,7.7007,1.3772,0.313,0.43820000000000003,75.12,15.649999999999999,93.89999999999999
417227.0,,kandhamal,3821873829,Judabali,phc,9.43,7.8,9.43,12.5419,1.716,0.39,0.546,93.6,19.5,117.0
417192.0,,kandhamal,3821873829,Judabali,phc,0.86,0.93,0.86,1.1438000000000001,0.2046,0.04650000000000001,0.0651,11.16,2.325,13.950000000000001
417223.0,,kandhamal,3821873829,Judabali,phc,1.0,1.09,1.0,1.33,0.2398,0.05450000000000001,0.0763,13.080000000000002,2.725,16.35
417194.0,,kandhamal,3821873829,Judabali,phc,4.25,4.6,4.25,5.6525,1.012,0.22999999999999998,0.322,55.199999999999996,11.5,69.0
417230.0,,kandhamal,6464445276,Durgapanga,phc,2.1,2.28,2.1,2.793,0.5015999999999999,0.11399999999999999,0.1596,27.36,5.699999999999999,34.199999999999996
417229.0,,kandhamal,6464445276,Durgapanga,phc,4.13,4.48,4.13,5.492900000000001,0.9856000000000001,0.22400000000000003,0.31360000000000005,53.760000000000005,11.200000000000001,67.2
417234.0,,kandhamal,3821873829,Judabali,phc,12.45,9.05,12.45,16.5585,1.991,0.45250000000000007,0.6335000000000001,108.60000000000001,22.625,135.75
