lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
387280.0,,kendujhar,3727681383,Purunabandhagoda,phc,2.68,1.12,2.68,3.5644000000000005,0.24640000000000004,0.05600000000000001,0.07840000000000001,13.440000000000001,2.8000000000000003,16.8
387315.0,,kendujhar,3727681383,Purunabandhagoda,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
387281.0,,kendujhar,7754658578,Khalpal,phc,43.19,34.73,43.19,57.4427,7.640599999999999,1.7365,2.4311,416.76,86.82499999999999,520.9499999999999
387317.0,,kendujhar,3727681383,Purunabandhagoda,phc,7.44,3.1,7.44,9.8952,0.682,0.15500000000000003,0.21700000000000003,37.2,7.75,46.5
387319.0,,kendujhar,3727681383,Purunabandhagoda,phc,7.3,4.88,7.3,9.709,1.0735999999999999,0.244,0.3416,58.56,12.2,73.2
387318.0,,kendujhar,3727681383,Purunabandhagoda,phc,8.79,6.0,8.79,11.6907,1.32,0.30000000000000004,0.42000000000000004,72.0,15.0,90.0
387316.0,,kendujhar,3727681383,Purunabandhagoda,phc,2.61,1.09,2.61,3.4713,0.2398,0.05450000000000001,0.0763,13.080000000000002,2.725,16.35
387314.0,,kendujhar,3727681383,Purunabandhagoda,phc,4.3,2.22,4.3,5.719,0.48840000000000006,0.11100000000000002,0.15540000000000004,26.64,5.550000000000001,33.300000000000004
387324.0,,kendujhar,3727681383,Purunabandhagoda,phc,1.41,0.59,1.41,1.8753,0.1298,0.0295,0.0413,7.08,1.4749999999999999,8.85
387337.0,,kendujhar,3727681383,Purunabandhagoda,phc,15.56,13.3,15.56,20.6948,2.926,0.665,0.9310000000000002,159.60000000000002,33.25,199.5
387366.0,,kendujhar,1135651584,Odapada,phc,19.18,7.94,19.18,25.5094,1.7468000000000001,0.397,0.5558000000000001,95.28,19.85,119.10000000000001
