lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
429725.0,,koraput,8666821742,Bilaput,phc,12.13,11.45,12.13,16.132900000000003,2.5189999999999997,0.5725,0.8015,137.39999999999998,28.625,171.75
429726.0,,koraput,8666821742,Bilaput,phc,10.67,4.6,10.67,14.1911,1.012,0.22999999999999998,0.322,55.199999999999996,11.5,69.0
429397.0,,koraput,3353438678,Dasmantpur,phc,56.21,40.98,56.21,74.75930000000001,9.0156,2.049,2.8686000000000003,491.76,102.44999999999999,614.6999999999999
429348.0,,koraput,8712686438,Ramgiri,phc,5.64,3.48,5.64,7.5012,0.7656,0.17400000000000002,0.2436,41.76,8.7,52.2
429411.0,,koraput,3353438678,Dasmantpur,phc,35.12,32.31,35.12,46.7096,7.108200000000001,1.6155000000000002,2.2617000000000003,387.72,80.775,484.65000000000003
429490.0,,koraput,3353438678,Dasmantpur,phc,33.24,31.52,33.24,44.2092,6.9344,1.576,2.2064000000000004,378.24,78.8,472.8
429491.0,,koraput,3353438678,Dasmantpur,phc,32.28,31.12,32.28,42.9324,6.8464,1.556,2.1784000000000003,373.44,77.8,466.8
429492.0,,koraput,3353438678,Dasmantpur,phc,32.32,31.14,32.32,42.985600000000005,6.8508000000000004,1.5570000000000002,2.1798,373.68,77.85,467.1
429493.0,,koraput,3353438678,Dasmantpur,phc,13.06,18.5,13.06,17.3698,4.07,0.925,1.2950000000000002,222.0,46.25,277.5
429494.0,,koraput,3353438678,Dasmantpur,phc,17.89,18.52,17.89,23.7937,4.0744,0.926,1.2964,222.24,46.3,277.8
429495.0,,koraput,3353438678,Dasmantpur,phc,16.52,17.95,16.52,21.971600000000002,3.949,0.8975,1.2565000000000002,215.39999999999998,44.875,269.25
429496.0,,koraput,3353438678,Dasmantpur,phc,17.89,18.52,17.89,23.7937,4.0744,0.926,1.2964,222.24,46.3,277.8
429418.0,,koraput,3353438678,Dasmantpur,phc,22.38,18.91,22.38,29.7654,4.1602,0.9455,1.3237,226.92000000000002,47.275,283.65
429417.0,,koraput,3353438678,Dasmantpur,phc,8.79,12.46,8.79,11.6907,2.7412,0.6230000000000001,0.8722000000000002,149.52,31.150000000000002,186.9
429416.0,,koraput,3353438678,Dasmantpur,phc,20.81,18.26,20.81,27.6773,4.017200000000001,0.9130000000000001,1.2782000000000002,219.12,45.650000000000006,273.90000000000003
429415.0,,koraput,3353438678,Dasmantpur,phc,10.75,14.08,10.75,14.297500000000001,3.0976,0.7040000000000001,0.9856000000000001,168.96,35.2,211.2
429414.0,,koraput,3353438678,Dasmantpur,phc,17.43,16.85,17.43,23.181900000000002,3.7070000000000003,0.8425000000000001,1.1795000000000002,202.20000000000002,42.125,252.75000000000003
429413.0,,koraput,3353438678,Dasmantpur,phc,16.39,16.42,16.39,21.7987,3.6124000000000005,0.8210000000000002,1.1494000000000002,197.04000000000002,41.050000000000004,246.3
429412.0,,koraput,3353438678,Dasmantpur,phc,11.07,15.68,11.07,14.7231,3.4495999999999998,0.784,1.0976000000000001,188.16,39.2,235.2
429410.0,,koraput,3353438678,Dasmantpur,phc,45.12,36.46,45.12,60.0096,8.0212,1.8230000000000002,2.5522000000000005,437.52,91.15,546.9
429489.0,,koraput,3353438678,Dasmantpur,phc,34.83,32.19,34.83,46.3239,7.081799999999999,1.6095,2.2533,386.28,80.475,482.84999999999997
429487.0,,koraput,3353438678,Dasmantpur,phc,35.12,32.31,35.12,46.7096,7.108200000000001,1.6155000000000002,2.2617000000000003,387.72,80.775,484.65000000000003
429485.0,,koraput,3353438678,Dasmantpur,phc,35.12,32.31,35.12,46.7096,7.108200000000001,1.6155000000000002,2.2617000000000003,387.72,80.775,484.65000000000003
429484.0,,koraput,3353438678,Dasmantpur,phc,34.83,32.19,34.83,46.3239,7.081799999999999,1.6095,2.2533,386.28,80.475,482.84999999999997
429482.0,,koraput,3353438678,Dasmantpur,phc,17.89,18.52,17.89,23.7937,4.0744,0.926,1.2964,222.24,46.3,277.8
429480.0,,koraput,3353438678,Dasmantpur,phc,17.89,18.52,17.89,23.7937,4.0744,0.926,1.2964,222.24,46.3,277.8
429479.0,,koraput,3353438678,Dasmantpur,phc,14.01,19.85,14.01,18.633300000000002,4.367,0.9925000000000002,1.3895000000000002,238.20000000000002,49.625,297.75
429476.0,,koraput,3353438678,Dasmantpur,phc,14.01,19.85,14.01,18.633300000000002,4.367,0.9925000000000002,1.3895000000000002,238.20000000000002,49.625,297.75
429475.0,,koraput,3353438678,Dasmantpur,phc,13.46,19.06,13.46,17.9018,4.1932,0.953,1.3342,228.71999999999997,47.65,285.9
429474.0,,koraput,3353438678,Dasmantpur,phc,12.89,18.25,12.89,17.143700000000003,4.015,0.9125000000000001,1.2775,219.0,45.625,273.75
429473.0,,koraput,3353438678,Dasmantpur,phc,12.08,17.11,12.08,16.0664,3.7641999999999998,0.8555,1.1977,205.32,42.775,256.65
429471.0,,koraput,3353438678,Dasmantpur,phc,12.65,17.92,12.65,16.8245,3.9424000000000006,0.8960000000000001,1.2544000000000002,215.04000000000002,44.800000000000004,268.8
429469.0,,koraput,3353438678,Dasmantpur,phc,14.09,16.93,14.09,18.7397,3.7246,0.8465,1.1851,203.16,42.325,253.95
429461.0,,koraput,3353438678,Dasmantpur,phc,16.22,17.82,16.22,21.5726,3.9204,0.891,1.2474,213.84,44.55,267.3
429465.0,,koraput,3353438678,Dasmantpur,phc,10.57,14.97,10.57,14.058100000000001,3.2934,0.7485,1.0479,179.64000000000001,37.425000000000004,224.55
429452.0,,koraput,3353438678,Dasmantpur,phc,9.52,13.49,9.52,12.6616,2.9678,0.6745000000000001,0.9443000000000001,161.88,33.725,202.35
429439.0,,koraput,3353438678,Dasmantpur,phc,11.73,13.8,11.73,15.600900000000001,3.036,0.6900000000000001,0.9660000000000002,165.60000000000002,34.5,207.0
429438.0,,koraput,3353438678,Dasmantpur,phc,11.73,13.8,11.73,15.600900000000001,3.036,0.6900000000000001,0.9660000000000002,165.60000000000002,34.5,207.0
429361.0,,koraput,3353438678,Dasmantpur,phc,5.26,7.45,5.26,6.9958,1.639,0.37250000000000005,0.5215000000000001,89.4,18.625,111.75
429310.0,,koraput,3353438678,Dasmantpur,phc,14.34,9.91,14.34,19.072200000000002,2.1802,0.49550000000000005,0.6937000000000001,118.92,24.775,148.65
429347.0,,koraput,8712686438,Ramgiri,phc,4.87,2.97,4.87,6.4771,0.6534000000000001,0.14850000000000002,0.20790000000000003,35.64,7.425000000000001,44.550000000000004
429334.0,,koraput,3353438678,Dasmantpur,phc,7.74,3.83,7.74,10.2942,0.8426,0.1915,0.2681,45.96,9.575,57.45
429360.0,,koraput,3353438678,Dasmantpur,phc,5.29,7.49,5.29,7.0357,1.6478000000000002,0.37450000000000006,0.5243000000000001,89.88,18.725,112.35000000000001
429300.0,,koraput,8712686438,Ramgiri,phc,3.92,2.33,3.92,5.2136000000000005,0.5126000000000001,0.1165,0.16310000000000002,27.96,5.825,34.95
429299.0,,koraput,8712686438,Ramgiri,phc,4.94,3.01,4.94,6.570200000000001,0.6622,0.1505,0.2107,36.12,7.5249999999999995,45.15
429346.0,,koraput,8712686438,Ramgiri,phc,5.5,3.39,5.5,7.315,0.7458,0.1695,0.23730000000000004,40.68,8.475,50.85
429398.0,,koraput,3353438678,Dasmantpur,phc,52.3,39.59,52.3,69.559,8.709800000000001,1.9795000000000003,2.7713000000000005,475.08000000000004,98.97500000000001,593.85
429399.0,,koraput,3353438678,Dasmantpur,phc,52.3,39.59,52.3,69.559,8.709800000000001,1.9795000000000003,2.7713000000000005,475.08000000000004,98.97500000000001,593.85
429400.0,,koraput,3353438678,Dasmantpur,phc,52.17,39.5,52.17,69.3861,8.69,1.975,2.765,474.0,98.75,592.5
429497.0,,koraput,3353438678,Dasmantpur,phc,19.01,18.98,19.01,25.283300000000004,4.1756,0.9490000000000001,1.3286000000000002,227.76,47.45,284.7
429407.0,,koraput,3353438678,Dasmantpur,phc,19.18,19.05,19.18,25.5094,4.191,0.9525000000000001,1.3335000000000001,228.60000000000002,47.625,285.75
429408.0,,koraput,3353438678,Dasmantpur,phc,19.18,19.05,19.18,25.5094,4.191,0.9525000000000001,1.3335000000000001,228.60000000000002,47.625,285.75
429409.0,,koraput,3353438678,Dasmantpur,phc,35.12,32.31,35.12,46.7096,7.108200000000001,1.6155000000000002,2.2617000000000003,387.72,80.775,484.65000000000003
429401.0,,koraput,3353438678,Dasmantpur,phc,35.12,32.31,35.12,46.7096,7.108200000000001,1.6155000000000002,2.2617000000000003,387.72,80.775,484.65000000000003
429402.0,,koraput,3353438678,Dasmantpur,phc,52.17,39.5,52.17,69.3861,8.69,1.975,2.765,474.0,98.75,592.5
429404.0,,koraput,3353438678,Dasmantpur,phc,19.18,19.05,19.18,25.5094,4.191,0.9525000000000001,1.3335000000000001,228.60000000000002,47.625,285.75
429405.0,,koraput,3353438678,Dasmantpur,phc,19.18,19.05,19.18,25.5094,4.191,0.9525000000000001,1.3335000000000001,228.60000000000002,47.625,285.75
429406.0,,koraput,3353438678,Dasmantpur,phc,19.18,19.05,19.18,25.5094,4.191,0.9525000000000001,1.3335000000000001,228.60000000000002,47.625,285.75
429390.0,,koraput,3353438678,Dasmantpur,phc,6.57,9.31,6.57,8.738100000000001,2.0482,0.4655,0.6517000000000001,111.72,23.275000000000002,139.65
429391.0,,koraput,3353438678,Dasmantpur,phc,19.18,19.05,19.18,25.5094,4.191,0.9525000000000001,1.3335000000000001,228.60000000000002,47.625,285.75
429392.0,,koraput,3353438678,Dasmantpur,phc,19.18,19.05,19.18,25.5094,4.191,0.9525000000000001,1.3335000000000001,228.60000000000002,47.625,285.75
