lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
431169.0,,malkangiri,8116616510,Motu,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
431168.0,,malkangiri,8116616510,Motu,phc,4.81,2.63,4.81,6.3972999999999995,0.5786,0.1315,0.1841,31.56,6.574999999999999,39.449999999999996
431167.0,,malkangiri,8116616510,Motu,phc,7.83,4.64,7.83,10.4139,1.0208,0.23199999999999998,0.32480000000000003,55.67999999999999,11.6,69.6
431171.0,,malkangiri,8116616510,Motu,phc,19.14,9.85,19.14,25.456200000000003,2.167,0.4925,0.6895,118.19999999999999,24.625,147.75
431170.0,,malkangiri,8116616510,Motu,phc,4.09,3.56,4.09,5.4397,0.7832,0.17800000000000002,0.24920000000000003,42.72,8.9,53.4
431140.0,,malkangiri,8116616510,Motu,phc,7.71,8.7,7.71,10.2543,1.914,0.435,0.609,104.39999999999999,21.75,130.5
431141.0,,malkangiri,8116616510,Motu,phc,11.85,11.08,11.85,15.7605,2.4376,0.554,0.7756000000000001,132.96,27.7,166.2
431166.0,,malkangiri,8116616510,Motu,phc,12.17,7.14,12.17,16.1861,1.5708,0.357,0.4998,85.67999999999999,17.849999999999998,107.1
431165.0,,malkangiri,8116616510,Motu,phc,16.68,13.09,16.68,22.1844,2.8798,0.6545000000000001,0.9163000000000001,157.07999999999998,32.725,196.35
431136.0,,malkangiri,3256858477,Koikonda,phc,24.33,14.95,24.33,32.3589,3.2889999999999997,0.7475,1.0465,179.39999999999998,37.375,224.25
431135.0,,malkangiri,3256858477,Koikonda,phc,20.7,13.4,20.7,27.531,2.948,0.67,0.9380000000000002,160.8,33.5,201.0
431175.0,,malkangiri,3256858477,Koikonda,phc,22.21,14.73,22.21,29.539300000000004,3.2406,0.7365,1.0311000000000001,176.76,36.825,220.95000000000002
431125.0,,malkangiri,3256858477,Koikonda,phc,11.87,6.53,11.87,15.7871,1.4366,0.3265,0.45710000000000006,78.36,16.325,97.95
431176.0,,malkangiri,3256858477,Koikonda,phc,14.31,11.07,14.31,19.032300000000003,2.4354,0.5535,0.7749000000000001,132.84,27.675,166.05
431188.0,,malkangiri,3256858477,Koikonda,phc,19.89,10.09,19.89,26.4537,2.2197999999999998,0.5045000000000001,0.7063,121.08,25.225,151.35
431126.0,,malkangiri,3256858477,Koikonda,phc,15.26,12.38,15.26,20.2958,2.7236000000000002,0.6190000000000001,0.8666000000000001,148.56,30.950000000000003,185.70000000000002
431162.0,,malkangiri,3256858477,Koikonda,phc,6.23,6.37,6.23,8.285900000000002,1.4014,0.3185,0.4459000000000001,76.44,15.925,95.55
431177.0,,malkangiri,3256858477,Koikonda,phc,8.22,4.65,8.22,10.9326,1.0230000000000001,0.23250000000000004,0.32550000000000007,55.800000000000004,11.625,69.75
431159.0,,malkangiri,3256858477,Koikonda,phc,7.81,5.79,7.81,10.3873,1.2738,0.28950000000000004,0.40530000000000005,69.48,14.475,86.85
431146.0,,malkangiri,3256858477,Koikonda,phc,11.27,9.5,11.27,14.9891,2.09,0.47500000000000003,0.665,114.0,23.75,142.5
431147.0,,malkangiri,3256858477,Koikonda,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
431157.0,,malkangiri,3256858477,Koikonda,phc,6.2,3.48,6.2,8.246,0.7656,0.17400000000000002,0.2436,41.76,8.7,52.2
431160.0,,malkangiri,3256858477,Koikonda,phc,10.21,6.05,10.21,13.579300000000002,1.331,0.3025,0.42350000000000004,72.6,15.125,90.75
431164.0,,malkangiri,3256858477,Koikonda,phc,7.43,6.48,7.43,9.8819,1.4256000000000002,0.32400000000000007,0.45360000000000006,77.76,16.200000000000003,97.2
431144.0,,malkangiri,3256858477,Koikonda,phc,7.92,9.1,7.92,10.5336,2.002,0.455,0.637,109.19999999999999,22.75,136.5
431161.0,,malkangiri,3256858477,Koikonda,phc,13.29,8.59,13.29,17.6757,1.8898,0.4295,0.6013000000000001,103.08,21.475,128.85
431178.0,,malkangiri,3256858477,Koikonda,phc,7.12,5.26,7.12,9.4696,1.1572,0.263,0.3682,63.12,13.149999999999999,78.89999999999999
431155.0,,malkangiri,8826372180,Manyamkonda,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
431189.0,,malkangiri,3256858477,Koikonda,phc,19.2,9.8,19.2,25.536,2.156,0.49000000000000005,0.6860000000000002,117.60000000000001,24.5,147.0
431187.0,,malkangiri,3256858477,Koikonda,phc,19.09,11.56,19.09,25.3897,2.5432,0.5780000000000001,0.8092000000000001,138.72,28.900000000000002,173.4
