lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
426475.0,,rayagada,1552546556,Kumbhikota,phc,34.07,36.01,34.07,45.313100000000006,7.922199999999999,1.8005,2.5207,432.12,90.02499999999999,540.15
426478.0,,rayagada,1552546556,Kumbhikota,phc,34.07,36.01,34.07,45.313100000000006,7.922199999999999,1.8005,2.5207,432.12,90.02499999999999,540.15
426476.0,,rayagada,1552546556,Kumbhikota,phc,34.12,36.04,34.12,45.379599999999996,7.9288,1.802,2.5228,432.48,90.1,540.6
426477.0,,rayagada,1552546556,Kumbhikota,phc,34.12,36.04,34.12,45.379599999999996,7.9288,1.802,2.5228,432.48,90.1,540.6
426117.0,,rayagada,6744157741,Kuchiepadar,phc,23.18,15.36,23.18,30.8294,3.3792,0.768,1.0752000000000002,184.32,38.4,230.39999999999998
426115.0,,rayagada,6744157741,Kuchiepadar,phc,20.96,13.88,20.96,27.876800000000003,3.0536000000000003,0.6940000000000001,0.9716000000000001,166.56,34.7,208.20000000000002
426114.0,,rayagada,6744157741,Kuchiepadar,phc,19.73,13.07,19.73,26.240900000000003,2.8754,0.6535000000000001,0.9149000000000002,156.84,32.675,196.05
426116.0,,rayagada,6744157741,Kuchiepadar,phc,23.18,15.36,23.18,30.8294,3.3792,0.768,1.0752000000000002,184.32,38.4,230.39999999999998
425986.0,,rayagada,6744157741,Kuchiepadar,phc,1.55,1.03,1.55,2.0615,0.2266,0.051500000000000004,0.07210000000000001,12.36,2.575,15.450000000000001
426174.0,,rayagada,6744157741,Kuchiepadar,phc,6.64,4.42,6.64,8.8312,0.9724,0.221,0.3094,53.04,11.05,66.3
426176.0,,rayagada,6744157741,Kuchiepadar,phc,16.1,10.74,16.1,21.413000000000004,2.3628,0.537,0.7518000000000001,128.88,26.85,161.1
426145.0,,rayagada,6744157741,Kuchiepadar,phc,1.51,1.01,1.51,2.0083,0.2222,0.0505,0.07070000000000001,12.120000000000001,2.525,15.15
426146.0,,rayagada,6744157741,Kuchiepadar,phc,0.79,0.53,0.79,1.0507000000000002,0.11660000000000001,0.026500000000000003,0.03710000000000001,6.36,1.3250000000000002,7.95
426142.0,,rayagada,6744157741,Kuchiepadar,phc,1.7,1.13,1.7,2.261,0.2486,0.056499999999999995,0.0791,13.559999999999999,2.8249999999999997,16.95
426141.0,,rayagada,6744157741,Kuchiepadar,phc,3.04,2.03,3.04,4.043200000000001,0.44659999999999994,0.10149999999999999,0.1421,24.36,5.074999999999999,30.449999999999996
426152.0,,rayagada,7271782869,Dongasil,phc,3.45,2.3,3.45,4.588500000000001,0.506,0.11499999999999999,0.161,27.599999999999998,5.75,34.5
426150.0,,rayagada,6744157741,Kuchiepadar,phc,3.88,2.59,3.88,5.1604,0.5698,0.1295,0.18130000000000002,31.08,6.475,38.849999999999994
426151.0,,rayagada,7271782869,Dongasil,phc,4.42,2.95,4.42,5.8786000000000005,0.649,0.14750000000000002,0.20650000000000004,35.400000000000006,7.375,44.25
426138.0,,rayagada,7271782869,Dongasil,phc,3.2,2.14,3.2,4.256,0.47080000000000005,0.10700000000000001,0.14980000000000002,25.68,5.3500000000000005,32.1
426170.0,,rayagada,6744157741,Kuchiepadar,phc,7.3,4.87,7.3,9.709,1.0714000000000001,0.24350000000000002,0.34090000000000004,58.44,12.175,73.05
426171.0,,rayagada,6744157741,Kuchiepadar,phc,2.91,1.95,2.91,3.8703000000000003,0.429,0.0975,0.1365,23.4,4.875,29.25
426167.0,,rayagada,6744157741,Kuchiepadar,phc,10.46,6.98,10.46,13.911800000000001,1.5356,0.34900000000000003,0.4886000000000001,83.76,17.450000000000003,104.7
426169.0,,rayagada,6744157741,Kuchiepadar,phc,7.7,5.13,7.7,10.241000000000001,1.1286,0.2565,0.35910000000000003,61.56,12.825,76.95
426168.0,,rayagada,6744157741,Kuchiepadar,phc,9.01,6.01,9.01,11.9833,1.3222,0.3005,0.4207,72.12,15.024999999999999,90.14999999999999
426159.0,,rayagada,7271782869,Dongasil,phc,6.59,4.41,6.59,8.7647,0.9702000000000001,0.22050000000000003,0.30870000000000003,52.92,11.025,66.15
426161.0,,rayagada,6744157741,Kuchiepadar,phc,31.8,21.11,31.8,42.294000000000004,4.6442,1.0555,1.4777,253.32,52.775,316.65
426165.0,,rayagada,6744157741,Kuchiepadar,phc,30.68,20.37,30.68,40.8044,4.4814,1.0185000000000002,1.4259000000000002,244.44,50.925000000000004,305.55
426164.0,,rayagada,6744157741,Kuchiepadar,phc,30.65,20.35,30.65,40.7645,4.477,1.0175,1.4245000000000003,244.20000000000002,50.875,305.25
426163.0,,rayagada,6744157741,Kuchiepadar,phc,30.68,20.37,30.68,40.8044,4.4814,1.0185000000000002,1.4259000000000002,244.44,50.925000000000004,305.55
426166.0,,rayagada,6744157741,Kuchiepadar,phc,30.57,20.3,30.57,40.658100000000005,4.466,1.0150000000000001,1.4210000000000003,243.60000000000002,50.75,304.5
426156.0,,rayagada,7271782869,Dongasil,phc,3.8,2.53,3.8,5.054,0.5566,0.1265,0.1771,30.36,6.324999999999999,37.949999999999996
426157.0,,rayagada,7271782869,Dongasil,phc,3.88,2.59,3.88,5.1604,0.5698,0.1295,0.18130000000000002,31.08,6.475,38.849999999999994
426154.0,,rayagada,7271782869,Dongasil,phc,3.66,2.44,3.66,4.867800000000001,0.5367999999999999,0.122,0.1708,29.28,6.1,36.6
426105.0,,rayagada,6744157741,Kuchiepadar,phc,9.4,6.27,9.4,12.502,1.3794,0.3135,0.4389,75.24,15.674999999999999,94.05
426113.0,,rayagada,6744157741,Kuchiepadar,phc,19.73,13.07,19.73,26.240900000000003,2.8754,0.6535000000000001,0.9149000000000002,156.84,32.675,196.05
426111.0,,rayagada,6744157741,Kuchiepadar,phc,16.63,11.09,16.63,22.1179,2.4398,0.5545,0.7763000000000001,133.07999999999998,27.725,166.35
426112.0,,rayagada,6744157741,Kuchiepadar,phc,16.63,11.09,16.63,22.1179,2.4398,0.5545,0.7763000000000001,133.07999999999998,27.725,166.35
426175.0,,rayagada,6744157741,Kuchiepadar,phc,15.79,10.53,15.79,21.0007,2.3165999999999998,0.5265,0.7371,126.35999999999999,26.325,157.95
426148.0,,rayagada,6744157741,Kuchiepadar,phc,3.21,2.14,3.21,4.2693,0.47080000000000005,0.10700000000000001,0.14980000000000002,25.68,5.3500000000000005,32.1
426162.0,,rayagada,8665417740,Tikiri,phc,168.26,183.09,168.26,223.7858,40.2798,9.1545,12.816300000000002,2197.08,457.725,2746.35
426155.0,,rayagada,6744157741,Kuchiepadar,phc,10.46,6.98,10.46,13.911800000000001,1.5356,0.34900000000000003,0.4886000000000001,83.76,17.450000000000003,104.7
426160.0,,rayagada,7271782869,Dongasil,phc,6.59,4.41,6.59,8.7647,0.9702000000000001,0.22050000000000003,0.30870000000000003,52.92,11.025,66.15
426153.0,,rayagada,7271782869,Dongasil,phc,3.57,2.38,3.57,4.7481,0.5236,0.119,0.1666,28.56,5.949999999999999,35.699999999999996
426149.0,,rayagada,6744157741,Kuchiepadar,phc,3.76,2.51,3.76,5.0008,0.5521999999999999,0.1255,0.1757,30.119999999999997,6.2749999999999995,37.65
426137.0,,rayagada,7271782869,Dongasil,phc,4.31,2.87,4.31,5.7322999999999995,0.6314000000000001,0.14350000000000002,0.20090000000000002,34.44,7.175000000000001,43.050000000000004
426147.0,,rayagada,6744157741,Kuchiepadar,phc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426158.0,,rayagada,7271782869,Dongasil,phc,6.59,4.41,6.59,8.7647,0.9702000000000001,0.22050000000000003,0.30870000000000003,52.92,11.025,66.15
426480.0,,rayagada,1552546556,Kumbhikota,phc,32.48,22.97,32.48,43.1984,5.0534,1.1485,1.6079,275.64,57.425,344.54999999999995
426481.0,,rayagada,1552546556,Kumbhikota,phc,32.48,22.97,32.48,43.1984,5.0534,1.1485,1.6079,275.64,57.425,344.54999999999995
426474.0,,rayagada,1552546556,Kumbhikota,phc,11.79,16.69,11.79,15.6807,3.6718,0.8345000000000001,1.1683000000000001,200.28000000000003,41.725,250.35000000000002
426479.0,,rayagada,1552546556,Kumbhikota,phc,39.26,27.69,39.26,52.2158,6.0918,1.3845,1.9383000000000004,332.28000000000003,69.22500000000001,415.35
426484.0,,rayagada,1552546556,Kumbhikota,phc,32.03,22.48,32.03,42.599900000000005,4.9456,1.124,1.5736,269.76,56.2,337.2
426482.0,,rayagada,1552546556,Kumbhikota,phc,30.88,22.16,30.88,41.0704,4.8752,1.108,1.5512000000000001,265.92,55.4,332.4
426483.0,,rayagada,1552546556,Kumbhikota,phc,32.03,22.48,32.03,42.599900000000005,4.9456,1.124,1.5736,269.76,56.2,337.2
