lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
419806.0,,sonepur,2551341239,Kamsara,phc,33.31,14.31,33.31,44.3023,3.1482,0.7155,1.0017,171.72,35.775,214.65
419808.0,,sonepur,2551341239,Kamsara,phc,31.95,14.78,31.95,42.493500000000004,3.2516,0.739,1.0346,177.35999999999999,36.949999999999996,221.7
419811.0,,sonepur,2551341239,Kamsara,phc,33.43,13.9,33.43,44.4619,3.0580000000000003,0.6950000000000001,0.9730000000000001,166.8,34.75,208.5
419813.0,,sonepur,2551341239,Kamsara,phc,33.45,13.91,33.45,44.48850000000001,3.0602,0.6955,0.9737000000000001,166.92000000000002,34.775,208.65
419784.0,,sonepur,2551341239,Kamsara,phc,30.22,12.53,30.22,40.1926,2.7565999999999997,0.6265000000000001,0.8771,150.35999999999999,31.325,187.95
419789.0,,sonepur,2551341239,Kamsara,phc,24.04,9.94,24.04,31.973200000000002,2.1868,0.497,0.6958000000000001,119.28,24.849999999999998,149.1
419809.0,,sonepur,2551341239,Kamsara,phc,33.2,15.62,33.2,44.156000000000006,3.4364,0.781,1.0934000000000001,187.44,39.05,234.29999999999998
419781.0,,sonepur,2551341239,Kamsara,phc,28.82,13.78,28.82,38.330600000000004,3.0316,0.6890000000000001,0.9646,165.35999999999999,34.449999999999996,206.7
419772.0,,sonepur,2551341239,Kamsara,phc,22.46,9.31,22.46,29.871800000000004,2.0482,0.4655,0.6517000000000001,111.72,23.275000000000002,139.65
419792.0,,sonepur,2551341239,Kamsara,phc,24.51,10.17,24.51,32.5983,2.2374,0.5085000000000001,0.7119000000000001,122.03999999999999,25.425,152.55
419790.0,,sonepur,2551341239,Kamsara,phc,27.05,11.24,27.05,35.9765,2.4728,0.562,0.7868,134.88,28.1,168.6
419786.0,,sonepur,2551341239,Kamsara,phc,27.05,11.21,27.05,35.9765,2.4662,0.5605000000000001,0.7847000000000002,134.52,28.025000000000002,168.15
419791.0,,sonepur,2551341239,Kamsara,phc,26.11,10.83,26.11,34.7263,2.3826,0.5415,0.7581000000000001,129.96,27.075,162.45
419794.0,,sonepur,2551341239,Kamsara,phc,20.3,8.43,20.3,26.999000000000002,1.8546,0.4215,0.5901000000000001,101.16,21.075,126.44999999999999
419810.0,,sonepur,2551341239,Kamsara,phc,32.83,15.38,32.83,43.6639,3.3836000000000004,0.7690000000000001,1.0766000000000002,184.56,38.45,230.70000000000002
