lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
383618.0,,sundargarh,5362151812,Kanika,phc,26.46,15.0,26.46,35.1918,3.3,0.75,1.05,180.0,37.5,225.0
383611.0,,sundargarh,5362151812,Kanika,phc,31.54,17.12,31.54,41.9482,3.7664000000000004,0.8560000000000001,1.1984000000000001,205.44,42.800000000000004,256.8
383594.0,,sundargarh,5362151812,Kanika,phc,17.72,11.67,17.72,23.5676,2.5674,0.5835,0.8169000000000001,140.04,29.175,175.05
383620.0,,sundargarh,5362151812,Kanika,phc,8.32,5.4,8.32,11.065600000000002,1.1880000000000002,0.27,0.37800000000000006,64.80000000000001,13.5,81.0
383596.0,,sundargarh,5362151812,Kanika,phc,15.79,9.67,15.79,21.0007,2.1274,0.48350000000000004,0.6769000000000001,116.03999999999999,24.175,145.05
383619.0,,sundargarh,5362151812,Kanika,phc,31.44,17.07,31.44,41.815200000000004,3.7554000000000003,0.8535,1.1949,204.84,42.675,256.05
383609.0,,sundargarh,5362151812,Kanika,phc,6.87,4.44,6.87,9.1371,0.9768000000000001,0.22200000000000003,0.3108000000000001,53.28,11.100000000000001,66.60000000000001
383623.0,,sundargarh,5362151812,Kanika,phc,42.0,31.5,42.0,55.86,6.93,1.5750000000000002,2.205,378.0,78.75,472.5
383615.0,,sundargarh,5362151812,Kanika,phc,26.95,17.79,26.95,35.8435,3.9137999999999997,0.8895,1.2453,213.48,44.474999999999994,266.84999999999997
383624.0,,sundargarh,5362151812,Kanika,phc,38.79,26.97,38.79,51.5907,5.9334,1.3485,1.8879000000000001,323.64,67.425,404.54999999999995
383616.0,,sundargarh,5362151812,Kanika,phc,29.78,19.47,29.78,39.607400000000005,4.283399999999999,0.9735,1.3629,233.64,48.675,292.04999999999995
383625.0,,sundargarh,5362151812,Kanika,phc,42.03,31.54,42.03,55.8999,6.9388,1.577,2.2078,378.48,78.85,473.09999999999997
383617.0,,sundargarh,5362151812,Kanika,phc,22.02,13.15,22.02,29.2866,2.8930000000000002,0.6575000000000001,0.9205000000000001,157.8,32.875,197.25
383593.0,,sundargarh,5362151812,Kanika,phc,20.95,13.83,20.95,27.863500000000002,3.0426,0.6915,0.9681000000000001,165.96,34.575,207.45
383597.0,,sundargarh,5362151812,Kanika,phc,10.26,6.61,10.26,13.645800000000001,1.4542000000000002,0.3305,0.46270000000000006,79.32000000000001,16.525000000000002,99.15
383627.0,,sundargarh,5362151812,Kanika,phc,42.0,31.5,42.0,55.86,6.93,1.5750000000000002,2.205,378.0,78.75,472.5
383610.0,,sundargarh,5362151812,Kanika,phc,7.6,4.93,7.6,10.108,1.0846,0.2465,0.3451,59.16,12.325,73.94999999999999
383595.0,,sundargarh,5362151812,Kanika,phc,16.52,9.98,16.52,21.971600000000002,2.1956,0.49900000000000005,0.6986000000000001,119.76,24.950000000000003,149.70000000000002
383612.0,,sundargarh,5362151812,Kanika,phc,13.56,8.89,13.56,18.0348,1.9558000000000002,0.44450000000000006,0.6223000000000001,106.68,22.225,133.35000000000002
383613.0,,sundargarh,5362151812,Kanika,phc,22.79,15.04,22.79,30.3107,3.3087999999999997,0.752,1.0528,180.48,37.599999999999994,225.6
383614.0,,sundargarh,5362151812,Kanika,phc,28.96,16.04,28.96,38.5168,3.5288,0.802,1.1228,192.48,40.099999999999994,240.6
383569.0,,sundargarh,7111222647,Gopalpur,phc,31.18,22.02,31.18,41.4694,4.8444,1.101,1.5414,264.24,55.05,330.3
383537.0,,sundargarh,7111222647,Gopalpur,phc,31.18,22.02,31.18,41.4694,4.8444,1.101,1.5414,264.24,55.05,330.3
383541.0,,sundargarh,5362151812,Kanika,phc,26.1,17.29,26.1,34.713,3.8038,0.8645,1.2103000000000002,207.48,43.224999999999994,259.34999999999997
383598.0,,sundargarh,5362151812,Kanika,phc,4.43,2.81,4.43,5.8919,0.6182,0.1405,0.1967,33.72,7.025,42.15
383590.0,,sundargarh,5362151812,Kanika,phc,4.83,3.12,4.83,6.423900000000001,0.6864,0.15600000000000003,0.21840000000000004,37.44,7.800000000000001,46.800000000000004
383592.0,,sundargarh,5362151812,Kanika,phc,21.13,13.94,21.13,28.1029,3.0667999999999997,0.6970000000000001,0.9758000000000001,167.28,34.85,209.1
383540.0,,sundargarh,5362151812,Kanika,phc,25.52,16.89,25.52,33.9416,3.7158,0.8445,1.1823000000000001,202.68,42.225,253.35000000000002
383565.0,,sundargarh,5362151812,Kanika,phc,24.32,16.1,24.32,32.345600000000005,3.5420000000000003,0.8050000000000002,1.1270000000000002,193.20000000000002,40.25,241.50000000000003
383571.0,,sundargarh,5362151812,Kanika,phc,23.79,15.75,23.79,31.6407,3.465,0.7875000000000001,1.1025,189.0,39.375,236.25
383570.0,,sundargarh,7111222647,Gopalpur,phc,48.07,29.01,48.07,63.9331,6.3822,1.4505000000000001,2.0307000000000004,348.12,72.525,435.15000000000003
383563.0,,sundargarh,5362151812,Kanika,phc,20.7,13.68,20.7,27.531,3.0096,0.684,0.9576000000000001,164.16,34.2,205.2
383575.0,,sundargarh,5362151812,Kanika,phc,9.05,5.93,9.05,12.036500000000002,1.3046,0.2965,0.4151,71.16,14.825,88.94999999999999
383568.0,,sundargarh,5362151812,Kanika,phc,25.52,16.89,25.52,33.9416,3.7158,0.8445,1.1823000000000001,202.68,42.225,253.35000000000002
383564.0,,sundargarh,5362151812,Kanika,phc,24.32,16.1,24.32,32.345600000000005,3.5420000000000003,0.8050000000000002,1.1270000000000002,193.20000000000002,40.25,241.50000000000003
383567.0,,sundargarh,5362151812,Kanika,phc,24.32,16.1,24.32,32.345600000000005,3.5420000000000003,0.8050000000000002,1.1270000000000002,193.20000000000002,40.25,241.50000000000003
383574.0,,sundargarh,5362151812,Kanika,phc,13.44,8.86,13.44,17.8752,1.9491999999999998,0.443,0.6202,106.32,22.15,132.89999999999998
383562.0,,sundargarh,5362151812,Kanika,phc,18.27,12.08,18.27,24.2991,2.6576,0.6040000000000001,0.8456000000000001,144.96,30.2,181.2
383573.0,,sundargarh,5362151812,Kanika,phc,13.32,8.78,13.32,17.715600000000002,1.9315999999999998,0.439,0.6146,105.35999999999999,21.95,131.7
383526.0,,sundargarh,4473841239,Duduka,phc,19.3,12.86,19.3,25.669000000000004,2.8291999999999997,0.643,0.9002,154.32,32.15,192.89999999999998
383572.0,,sundargarh,5362151812,Kanika,phc,18.74,12.37,18.74,24.9242,2.7214,0.6185,0.8659,148.44,30.924999999999997,185.54999999999998
383581.0,,sundargarh,4473841239,Duduka,phc,38.38,17.9,38.38,51.04540000000001,3.9379999999999997,0.895,1.2530000000000001,214.79999999999998,44.75,268.5
383579.0,,sundargarh,4473841239,Duduka,phc,31.36,16.12,31.36,41.708800000000004,3.5464,0.806,1.1284,193.44,40.300000000000004,241.8
383588.0,,sundargarh,5362151812,Kanika,phc,82.44,64.26,82.44,109.6452,14.137200000000002,3.2130000000000005,4.498200000000001,771.1200000000001,160.65,963.9000000000001
383607.0,,sundargarh,5362151812,Kanika,phc,3.91,2.48,3.91,5.2003,0.5456,0.124,0.1736,29.759999999999998,6.2,37.2
383544.0,,sundargarh,4473841239,Duduka,phc,15.67,10.45,15.67,20.8411,2.299,0.5225,0.7315,125.39999999999999,26.125,156.75
383602.0,,sundargarh,5362151812,Kanika,phc,81.96,64.05,81.96,109.0068,14.091,3.2025,4.4835,768.5999999999999,160.125,960.75
383546.0,,sundargarh,4473841239,Duduka,phc,9.43,6.28,9.43,12.5419,1.3816000000000002,0.31400000000000006,0.43960000000000005,75.36,15.700000000000001,94.2
