lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
404963.0,,anugul,7324817373,MADHAPUR,chc,5.63,6.11
404800.0,,anugul,7324817373,MADHAPUR,chc,7.46,5.25
404793.0,,anugul,7324817373,MADHAPUR,chc,9.96,7.07
404959.0,,anugul,7324817373,MADHAPUR,chc,5.86,6.35
404960.0,,anugul,7324817373,MADHAPUR,chc,5.02,5.44
404965.0,,anugul,7324817373,MADHAPUR,chc,5.42,5.87
404791.0,,anugul,7324817373,MADHAPUR,chc,6.67,4.89
404794.0,,anugul,7324817373,MADHAPUR,chc,11.15,8.08
404952.0,,anugul,7324817373,MADHAPUR,chc,6.63,7.19
404964.0,,anugul,7324817373,MADHAPUR,chc,32.38,30.66
404792.0,,anugul,7324817373,MADHAPUR,chc,7.91,5.92
404798.0,,anugul,7324817373,MADHAPUR,chc,8.92,5.83
404958.0,,anugul,7324817373,MADHAPUR,chc,6.79,7.35
404966.0,,anugul,7324817373,MADHAPUR,chc,12.24,8.02
404789.0,,anugul,7324817373,MADHAPUR,chc,4.7,5.1
404799.0,,anugul,7324817373,MADHAPUR,chc,7.51,5.28
404953.0,,anugul,7324817373,MADHAPUR,chc,6.53,7.08
404788.0,,anugul,7324817373,MADHAPUR,chc,3.92,4.25
404790.0,,anugul,7324817373,MADHAPUR,chc,5.28,4.16
404796.0,,anugul,7324817373,MADHAPUR,chc,9.18,6.76
404797.0,,anugul,7324817373,MADHAPUR,chc,7.51,5.28
404795.0,,anugul,7324817373,MADHAPUR,chc,9.18,6.76
404858.0,,anugul,7324817373,MADHAPUR,chc,19.93,20.5
404848.0,,anugul,7324817373,MADHAPUR,chc,18.4,19.09
404850.0,,anugul,7324817373,MADHAPUR,chc,16.71,17.55
404846.0,,anugul,7324817373,MADHAPUR,chc,16.68,17.22
404855.0,,anugul,7324817373,MADHAPUR,chc,20.64,19.5
404865.0,,anugul,7324817373,MADHAPUR,chc,23.75,23.99
404863.0,,anugul,7324817373,MADHAPUR,chc,22.51,22.86
404851.0,,anugul,7324817373,MADHAPUR,chc,21.33,19.76
404859.0,,anugul,7324817373,MADHAPUR,chc,20.44,20.96
404854.0,,anugul,7324817373,MADHAPUR,chc,20.64,19.5
404901.0,,anugul,7324817373,MADHAPUR,chc,20.64,19.5
404856.0,,anugul,7324817373,MADHAPUR,chc,18.56,19.24
404857.0,,anugul,7324817373,MADHAPUR,chc,18.91,19.56
404867.0,,anugul,7324817373,MADHAPUR,chc,24.52,24.7
404860.0,,anugul,7324817373,MADHAPUR,chc,21.19,21.65
404872.0,,anugul,7324817373,MADHAPUR,chc,28.06,26.99
404849.0,,anugul,7324817373,MADHAPUR,chc,17.79,18.31
404866.0,,anugul,7324817373,MADHAPUR,chc,23.07,23.37
404862.0,,anugul,7324817373,MADHAPUR,chc,22.18,22.55
404847.0,,anugul,7324817373,MADHAPUR,chc,17.48,18.25
404861.0,,anugul,7324817373,MADHAPUR,chc,20.96,21.44
248142.0,,anugul,7324817373,MADHAPUR,chc,13.41,14.51
