lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
420893.0,,balangir,2381823877,Turekela,chc,39.28,27.11
420897.0,,balangir,2381823877,Turekela,chc,20.53,17.48
420895.0,,balangir,2381823877,Turekela,chc,38.34,26.74
420892.0,,balangir,2381823877,Turekela,chc,41.58,28.07
420896.0,,balangir,2381823877,Turekela,chc,25.66,20.9
421294.0,,balangir,7442787128,Sindhekela,chc,23.41,27.41
421270.0,,balangir,2381823877,Turekela,chc,23.03,20.27
421268.0,,balangir,2381823877,Turekela,chc,23.35,20.1
421271.0,,balangir,2381823877,Turekela,chc,32.5,23.44
420898.0,,balangir,2381823877,Turekela,chc,18.83,16.35
421334.0,,balangir,7442787128,Sindhekela,chc,26.44,23.15
421269.0,,balangir,2381823877,Turekela,chc,23.03,20.27
420858.0,,balangir,2381823877,Turekela,chc,20.55,8.54
420854.0,,balangir,2381823877,Turekela,chc,18.09,7.51
420891.0,,balangir,7442787128,Sindhekela,chc,43.96,42.13
420899.0,,balangir,2381823877,Turekela,chc,17.33,15.45
420890.0,,balangir,2381823877,Turekela,chc,47.47,19.75
420888.0,,balangir,2381823877,Turekela,chc,41.44,17.23
420861.0,,balangir,2381823877,Turekela,chc,37.34,15.51
420867.0,,balangir,2381823877,Turekela,chc,5.61,4.49
420868.0,,balangir,2381823877,Turekela,chc,3.05,2.26
420889.0,,balangir,2381823877,Turekela,chc,40.2,16.72
420864.0,,balangir,2381823877,Turekela,chc,15.91,10.3
420860.0,,balangir,2381823877,Turekela,chc,55.34,61.21
420866.0,,balangir,2381823877,Turekela,chc,9.53,6.72
420863.0,,balangir,2381823877,Turekela,chc,31.33,13.03
420856.0,,balangir,2381823877,Turekela,chc,24.8,10.31
420857.0,,balangir,2381823877,Turekela,chc,28.19,11.72
420855.0,,balangir,2381823877,Turekela,chc,16.07,6.67
420849.0,,balangir,2381823877,Turekela,chc,10.56,4.37
420865.0,,balangir,2381823877,Turekela,chc,10.4,9.1
420859.0,,balangir,2381823877,Turekela,chc,59.66,63.84
420862.0,,balangir,2381823877,Turekela,chc,40.5,16.85
420894.0,,balangir,2381823877,Turekela,chc,38.34,26.74
420827.0,,balangir,2381823877,Turekela,chc,20.53,14.2
420826.0,,balangir,2381823877,Turekela,chc,22.54,17.56
420846.0,,balangir,2381823877,Turekela,chc,3.23,2.51
420839.0,,balangir,2381823877,Turekela,chc,8.13,7.01
420831.0,,balangir,2381823877,Turekela,chc,22.45,15.0
420829.0,,balangir,2381823877,Turekela,chc,18.84,13.5
420850.0,,balangir,2381823877,Turekela,chc,13.62,5.65
420830.0,,balangir,2381823877,Turekela,chc,14.0,11.49
420836.0,,balangir,2381823877,Turekela,chc,23.43,13.08
