lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
393633.0,,baleshwar,8138815389,Khaira,chc,16.03,12.91
393634.0,,baleshwar,8138815389,Khaira,chc,15.38,12.64
393608.0,,baleshwar,8138815389,Khaira,chc,8.35,8.61
393611.0,,baleshwar,8138815389,Khaira,chc,12.86,9.52
393625.0,,baleshwar,8138815389,Khaira,chc,13.32,11.79
393632.0,,baleshwar,8138815389,Khaira,chc,14.12,12.12
393616.0,,baleshwar,8138815389,Khaira,chc,12.73,11.61
393512.0,,baleshwar,8138815389,Khaira,chc,12.58,9.2
393607.0,,baleshwar,8138815389,Khaira,chc,8.12,8.4
393517.0,,baleshwar,8138815389,Khaira,chc,12.0,10.35
393514.0,,baleshwar,8138815389,Khaira,chc,11.9,10.29
393622.0,,baleshwar,8138815389,Khaira,chc,13.91,12.97
393638.0,,baleshwar,8138815389,Khaira,chc,17.4,13.49
393510.0,,baleshwar,8138815389,Khaira,chc,10.23,8.22
393612.0,,baleshwar,8138815389,Khaira,chc,17.36,13.4
393627.0,,baleshwar,8138815389,Khaira,chc,9.47,9.64
393628.0,,baleshwar,8138815389,Khaira,chc,9.29,9.48
393521.0,,baleshwar,8138815389,Khaira,chc,7.33,7.21
393520.0,,baleshwar,8138815389,Khaira,chc,11.44,9.98
393636.0,,baleshwar,8138815389,Khaira,chc,21.9,15.36
393624.0,,baleshwar,8138815389,Khaira,chc,12.03,11.25
393503.0,,baleshwar,8138815389,Khaira,chc,11.99,8.96
393613.0,,baleshwar,8138815389,Khaira,chc,9.06,9.26
393513.0,,baleshwar,8138815389,Khaira,chc,10.52,9.37
393519.0,,baleshwar,8138815389,Khaira,chc,25.65,16.99
393635.0,,baleshwar,8138815389,Khaira,chc,17.16,13.39
393614.0,,baleshwar,8138815389,Khaira,chc,12.95,11.56
393516.0,,baleshwar,8138815389,Khaira,chc,12.0,10.35
393515.0,,baleshwar,8138815389,Khaira,chc,11.97,10.34
393629.0,,baleshwar,8138815389,Khaira,chc,9.46,9.63
393507.0,,baleshwar,8138815389,Khaira,chc,15.1,10.25
393508.0,,baleshwar,8138815389,Khaira,chc,14.93,10.18
393518.0,,baleshwar,8138815389,Khaira,chc,12.0,10.35
