lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
379820.0,,bargarh,8531437682,Bukuramunda,chc,67.5,43.36
379813.0,,bargarh,8531437682,Bukuramunda,chc,65.85,45.36
379819.0,,bargarh,8531437682,Bukuramunda,chc,65.78,44.75
379812.0,,bargarh,8531437682,Bukuramunda,chc,66.09,44.99
379811.0,,bargarh,8531437682,Bukuramunda,chc,60.76,41.97
379810.0,,bargarh,8531437682,Bukuramunda,chc,69.35,47.43
379818.0,,bargarh,8531437682,Bukuramunda,chc,69.57,47.24
379808.0,,bargarh,8531437682,Bukuramunda,chc,55.63,39.1
379806.0,,bargarh,8531437682,Bukuramunda,chc,51.8,35.1
379803.0,,bargarh,8531437682,Bukuramunda,chc,56.17,38.03
379805.0,,bargarh,8531437682,Bukuramunda,chc,56.06,38.84
379801.0,,bargarh,8531437682,Bukuramunda,chc,63.69,41.16
379800.0,,bargarh,8531437682,Bukuramunda,chc,59.64,39.48
379807.0,,bargarh,8531437682,Bukuramunda,chc,53.46,37.15
379798.0,,bargarh,8531437682,Bukuramunda,chc,63.68,41.17
379817.0,,bargarh,8531437682,Bukuramunda,chc,73.79,50.05
379816.0,,bargarh,8531437682,Bukuramunda,chc,73.91,50.07
379814.0,,bargarh,8531437682,Bukuramunda,chc,73.25,48.65
379815.0,,bargarh,8531437682,Bukuramunda,chc,71.59,48.52
379802.0,,bargarh,8531437682,Bukuramunda,chc,63.7,41.17
379804.0,,bargarh,8531437682,Bukuramunda,chc,60.08,40.27
379809.0,,bargarh,8531437682,Bukuramunda,chc,62.02,46.32
379919.0,,bargarh,8571473373,Dava,chc,34.95,18.31
379921.0,,bargarh,8571473373,Dava,chc,39.5,20.17
379717.0,,bargarh,8571473373,Dava,chc,54.45,33.34
379774.0,,bargarh,8571473373,Dava,chc,57.05,36.46
379777.0,,bargarh,8571473373,Dava,chc,63.77,39.78
379768.0,,bargarh,8531437682,Bukuramunda,chc,42.48,23.54
379765.0,,bargarh,8531437682,Bukuramunda,chc,40.18,22.18
379723.0,,bargarh,8571473373,Dava,chc,42.09,28.05
379721.0,,bargarh,8571473373,Dava,chc,46.32,30.8
379771.0,,bargarh,8531437682,Bukuramunda,chc,49.68,27.41
379776.0,,bargarh,8531437682,Bukuramunda,chc,58.73,35.15
379789.0,,bargarh,8531437682,Bukuramunda,chc,43.16,25.99
379791.0,,bargarh,8531437682,Bukuramunda,chc,52.27,30.82
379790.0,,bargarh,8531437682,Bukuramunda,chc,47.34,27.97
379785.0,,bargarh,8531437682,Bukuramunda,chc,56.42,30.98
379778.0,,bargarh,8531437682,Bukuramunda,chc,53.21,32.52
379784.0,,bargarh,8531437682,Bukuramunda,chc,65.82,33.97
379912.0,,bargarh,8571473373,Dava,chc,30.23,20.15
379799.0,,bargarh,8531437682,Bukuramunda,chc,59.84,39.57
379781.0,,bargarh,8531437682,Bukuramunda,chc,59.39,41.6
379899.0,,bargarh,8571473373,Dava,chc,16.6,8.96
379795.0,,bargarh,8531437682,Bukuramunda,chc,47.63,30.63
379794.0,,bargarh,8531437682,Bukuramunda,chc,46.58,29.61
379783.0,,bargarh,8531437682,Bukuramunda,chc,64.25,44.84
379770.0,,bargarh,8531437682,Bukuramunda,chc,45.04,25.48
379775.0,,bargarh,8531437682,Bukuramunda,chc,54.08,33.1
379763.0,,bargarh,8531437682,Bukuramunda,chc,47.38,24.92
379779.0,,bargarh,8571473373,Dava,chc,73.58,44.04
379925.0,,bargarh,8571473373,Dava,chc,35.1,23.4
379724.0,,bargarh,8571473373,Dava,chc,38.25,25.5
379918.0,,bargarh,8571473373,Dava,chc,36.12,19.35
379920.0,,bargarh,8571473373,Dava,chc,42.87,28.5
379913.0,,bargarh,8571473373,Dava,chc,27.18,18.12
379793.0,,bargarh,8531437682,Bukuramunda,chc,49.06,29.96
379914.0,,bargarh,8571473373,Dava,chc,26.14,17.41
379780.0,,bargarh,8531437682,Bukuramunda,chc,61.0,42.47
379797.0,,bargarh,8531437682,Bukuramunda,chc,56.26,34.29
379782.0,,bargarh,8531437682,Bukuramunda,chc,50.29,33.71
379796.0,,bargarh,8531437682,Bukuramunda,chc,53.08,32.96
379788.0,,bargarh,8531437682,Bukuramunda,chc,47.66,29.77
379924.0,,bargarh,8531437682,Bukuramunda,chc,55.51,29.0
379915.0,,bargarh,8571473373,Dava,chc,27.98,18.63
379769.0,,bargarh,8531437682,Bukuramunda,chc,44.46,27.31
379764.0,,bargarh,8531437682,Bukuramunda,chc,40.77,22.21
379787.0,,bargarh,8531437682,Bukuramunda,chc,45.71,27.63
379762.0,,bargarh,8531437682,Bukuramunda,chc,46.85,24.74
379911.0,,bargarh,8571473373,Dava,chc,32.6,21.67
379906.0,,bargarh,8571473373,Dava,chc,19.46,12.96
379786.0,,bargarh,8531437682,Bukuramunda,chc,47.5,28.69
379767.0,,bargarh,8531437682,Bukuramunda,chc,45.72,24.89
379719.0,,bargarh,8571473373,Dava,chc,50.03,33.27
379772.0,,bargarh,8531437682,Bukuramunda,chc,48.87,26.3
379916.0,,bargarh,8571473373,Dava,chc,30.7,15.89
379773.0,,bargarh,8571473373,Dava,chc,51.98,34.35
379766.0,,bargarh,8531437682,Bukuramunda,chc,43.71,24.09
379897.0,,bargarh,8571473373,Dava,chc,11.6,7.73
379720.0,,bargarh,8571473373,Dava,chc,51.8,34.4
379718.0,,bargarh,8571473373,Dava,chc,57.93,35.89
379722.0,,bargarh,8531437682,Bukuramunda,chc,50.2,26.79
379917.0,,bargarh,8571473373,Dava,chc,26.32,13.05
379902.0,,bargarh,8571473373,Dava,chc,13.68,7.8
379908.0,,bargarh,8571473373,Dava,chc,36.21,24.09
379926.0,,bargarh,8571473373,Dava,chc,32.24,21.49
379923.0,,bargarh,8571473373,Dava,chc,37.32,24.8
379922.0,,bargarh,8571473373,Dava,chc,40.28,20.5
379927.0,,bargarh,8571473373,Dava,chc,31.7,21.13
379904.0,,bargarh,8571473373,Dava,chc,24.13,12.09
379903.0,,bargarh,8571473373,Dava,chc,22.54,11.42
379905.0,,bargarh,8571473373,Dava,chc,22.34,14.89
379907.0,,bargarh,8571473373,Dava,chc,39.0,25.95
379792.0,,bargarh,8531437682,Bukuramunda,chc,50.23,30.09
379824.0,,bargarh,8571473373,Dava,chc,16.19,7.54
379827.0,,bargarh,8571473373,Dava,chc,11.04,6.94
379872.0,,bargarh,8571473373,Dava,chc,14.72,6.86
379898.0,,bargarh,8571473373,Dava,chc,8.56,5.61
379896.0,,bargarh,8571473373,Dava,chc,15.94,10.23
379823.0,,bargarh,8571473373,Dava,chc,16.9,7.81
379877.0,,bargarh,8571473373,Dava,chc,24.25,14.03
379826.0,,bargarh,8571473373,Dava,chc,13.36,7.5
379830.0,,bargarh,8571473373,Dava,chc,21.42,13.97
379870.0,,bargarh,8571473373,Dava,chc,5.94,3.92
379874.0,,bargarh,8571473373,Dava,chc,0.0,0.0
379863.0,,bargarh,8571473373,Dava,chc,35.76,19.82
379866.0,,bargarh,8571473373,Dava,chc,13.42,8.95
379876.0,,bargarh,8571473373,Dava,chc,13.68,8.04
379895.0,,bargarh,8571473373,Dava,chc,22.75,13.39
379825.0,,bargarh,8571473373,Dava,chc,22.59,11.75
379828.0,,bargarh,8571473373,Dava,chc,17.23,9.48
379878.0,,bargarh,8571473373,Dava,chc,25.74,14.65
379901.0,,bargarh,8571473373,Dava,chc,13.65,6.41
379894.0,,bargarh,8571473373,Dava,chc,41.07,22.12
379875.0,,bargarh,8571473373,Dava,chc,4.61,3.07
379900.0,,bargarh,8571473373,Dava,chc,9.65,4.73
379879.0,,bargarh,8571473373,Dava,chc,35.95,20.02
379873.0,,bargarh,8571473373,Dava,chc,10.28,4.81
379867.0,,bargarh,8571473373,Dava,chc,14.93,9.95
379865.0,,bargarh,8571473373,Dava,chc,29.05,17.15
379871.0,,bargarh,8571473373,Dava,chc,9.67,6.33
379864.0,,bargarh,8571473373,Dava,chc,25.14,15.53
379868.0,,bargarh,8571473373,Dava,chc,6.01,3.88
379869.0,,bargarh,8571473373,Dava,chc,7.78,4.08
379821.0,,bargarh,8571473373,Dava,chc,13.04,8.57
379829.0,,bargarh,8571473373,Dava,chc,15.9,10.56
379822.0,,bargarh,8571473373,Dava,chc,14.14,7.85
379739.0,,bargarh,8531437682,Bukuramunda,chc,15.59,6.49
380035.0,,bargarh,4452458674,JAMLA,chc,39.39,26.42
380037.0,,bargarh,7241344386,Talpali,chc,43.75,26.29
380044.0,,bargarh,7241344386,Talpali,chc,54.42,32.98
379742.0,,bargarh,8531437682,Bukuramunda,chc,27.95,13.83
380046.0,,bargarh,7241344386,Talpali,chc,49.82,31.26
380038.0,,bargarh,7241344386,Talpali,chc,56.74,33.89
380049.0,,bargarh,7241344386,Talpali,chc,44.95,29.03
379888.0,,bargarh,8531437682,Bukuramunda,chc,14.0,9.08
379992.0,,bargarh,4452458674,JAMLA,chc,25.62,17.53
379989.0,,bargarh,4452458674,JAMLA,chc,30.13,21.56
379991.0,,bargarh,4452458674,JAMLA,chc,34.26,22.68
379964.0,,bargarh,8531437682,Bukuramunda,chc,21.07,9.74
379965.0,,bargarh,8531437682,Bukuramunda,chc,24.95,12.19
379961.0,,bargarh,8531437682,Bukuramunda,chc,10.2,4.25
379962.0,,bargarh,8531437682,Bukuramunda,chc,15.78,7.5
379963.0,,bargarh,8531437682,Bukuramunda,chc,20.32,10.86
380047.0,,bargarh,7241344386,Talpali,chc,45.61,29.51
380053.0,,bargarh,7241344386,Talpali,chc,39.68,27.99
380045.0,,bargarh,7241344386,Talpali,chc,54.72,32.89
380036.0,,bargarh,7241344386,Talpali,chc,39.13,24.33
380048.0,,bargarh,7241344386,Talpali,chc,41.93,27.98
380040.0,,bargarh,7241344386,Talpali,chc,63.48,36.7
379967.0,,bargarh,4452458674,JAMLA,chc,28.06,19.48
380033.0,,bargarh,4452458674,JAMLA,chc,39.5,24.86
380052.0,,bargarh,7241344386,Talpali,chc,39.65,28.25
379738.0,,bargarh,8531437682,Bukuramunda,chc,23.57,10.9
380032.0,,bargarh,4452458674,JAMLA,chc,40.58,26.89
379740.0,,bargarh,8531437682,Bukuramunda,chc,20.45,8.47
380050.0,,bargarh,7241344386,Talpali,chc,40.41,27.15
380034.0,,bargarh,4452458674,JAMLA,chc,40.08,26.63
380007.0,,bargarh,4452458674,JAMLA,chc,34.51,22.79
379745.0,,bargarh,8531437682,Bukuramunda,chc,28.55,14.13
380006.0,,bargarh,4452458674,JAMLA,chc,38.32,24.37
379968.0,,bargarh,4452458674,JAMLA,chc,27.88,17.27
380005.0,,bargarh,4452458674,JAMLA,chc,38.01,24.26
379889.0,,bargarh,8531437682,Bukuramunda,chc,0.0,0.0
380004.0,,bargarh,8531437682,Bukuramunda,chc,39.19,21.01
379744.0,,bargarh,8531437682,Bukuramunda,chc,32.77,15.88
380003.0,,bargarh,8531437682,Bukuramunda,chc,37.41,20.26
379746.0,,bargarh,8531437682,Bukuramunda,chc,25.59,13.1
379743.0,,bargarh,8531437682,Bukuramunda,chc,35.56,19.39
380002.0,,bargarh,8531437682,Bukuramunda,chc,37.67,20.41
379990.0,,bargarh,8531437682,Bukuramunda,chc,30.99,18.86
379966.0,,bargarh,8531437682,Bukuramunda,chc,22.45,12.32
379957.0,,bargarh,8531437682,Bukuramunda,chc,29.67,20.21
379988.0,,bargarh,8531437682,Bukuramunda,chc,28.94,14.85
379959.0,,bargarh,8531437682,Bukuramunda,chc,23.31,11.65
379958.0,,bargarh,8531437682,Bukuramunda,chc,25.58,17.58
379960.0,,bargarh,8531437682,Bukuramunda,chc,18.83,12.3
380039.0,,bargarh,7241344386,Talpali,chc,56.84,33.93
379731.0,,bargarh,8531437682,Bukuramunda,chc,7.14,2.96
379758.0,,bargarh,8531437682,Bukuramunda,chc,44.97,25.77
379732.0,,bargarh,8531437682,Bukuramunda,chc,26.23,10.92
380041.0,,bargarh,7241344386,Talpali,chc,67.8,38.56
379755.0,,bargarh,8531437682,Bukuramunda,chc,33.04,14.39
379735.0,,bargarh,8531437682,Bukuramunda,chc,27.79,11.57
379733.0,,bargarh,8531437682,Bukuramunda,chc,20.82,8.67
379891.0,,bargarh,8531437682,Bukuramunda,chc,5.11,3.18
379753.0,,bargarh,8531437682,Bukuramunda,chc,34.66,16.7
379750.0,,bargarh,8531437682,Bukuramunda,chc,30.33,18.23
379725.0,,bargarh,8571473373,Dava,chc,48.75,30.68
379737.0,,bargarh,8531437682,Bukuramunda,chc,9.38,3.91
379734.0,,bargarh,8531437682,Bukuramunda,chc,27.5,11.45
379910.0,,bargarh,8571473373,Dava,chc,45.37,28.2
379890.0,,bargarh,8531437682,Bukuramunda,chc,2.11,1.18
379761.0,,bargarh,8531437682,Bukuramunda,chc,44.22,23.64
379756.0,,bargarh,8531437682,Bukuramunda,chc,37.89,17.62
379730.0,,bargarh,8531437682,Bukuramunda,chc,5.91,2.45
379757.0,,bargarh,8531437682,Bukuramunda,chc,45.48,26.95
379759.0,,bargarh,8531437682,Bukuramunda,chc,41.57,20.82
379760.0,,bargarh,8531437682,Bukuramunda,chc,37.23,19.58
379726.0,,bargarh,8531437682,Bukuramunda,chc,18.92,7.87
379751.0,,bargarh,8531437682,Bukuramunda,chc,37.78,19.43
379736.0,,bargarh,8531437682,Bukuramunda,chc,2.64,1.09
379747.0,,bargarh,8531437682,Bukuramunda,chc,30.99,16.6
379748.0,,bargarh,8531437682,Bukuramunda,chc,28.65,16.41
379752.0,,bargarh,8531437682,Bukuramunda,chc,27.35,11.34
379749.0,,bargarh,8531437682,Bukuramunda,chc,29.71,17.26
379727.0,,bargarh,8531437682,Bukuramunda,chc,15.46,6.4
379729.0,,bargarh,8531437682,Bukuramunda,chc,14.4,5.96
379909.0,,bargarh,8571473373,Dava,chc,44.07,27.71
379754.0,,bargarh,8531437682,Bukuramunda,chc,36.66,17.14
379728.0,,bargarh,8531437682,Bukuramunda,chc,15.46,6.4
379741.0,,bargarh,8531437682,Bukuramunda,chc,31.9,16.82
380043.0,,bargarh,7241344386,Talpali,chc,53.06,32.42
380042.0,,bargarh,7241344386,Talpali,chc,58.42,34.65
380209.0,,bargarh,4452458674,JAMLA,chc,15.32,7.44
380063.0,,bargarh,1448875326,Gaisilet,chc,24.4,11.28
380085.0,,bargarh,1448875326,Gaisilet,chc,26.28,11.98
380084.0,,bargarh,4452458674,JAMLA,chc,27.38,13.2
379997.0,,bargarh,7241344386,Talpali,chc,18.72,12.48
379971.0,,bargarh,4452458674,JAMLA,chc,29.28,15.61
380026.0,,bargarh,7241344386,Talpali,chc,32.25,20.09
380129.0,,bargarh,1448875326,Gaisilet,chc,27.82,11.77
380099.0,,bargarh,7241344386,Talpali,chc,13.86,5.85
380023.0,,bargarh,7241344386,Talpali,chc,27.98,14.69
380098.0,,bargarh,7241344386,Talpali,chc,16.07,9.36
380031.0,,bargarh,4452458674,JAMLA,chc,34.34,24.32
380028.0,,bargarh,7241344386,Talpali,chc,33.53,22.58
380096.0,,bargarh,7241344386,Talpali,chc,18.8,10.46
380101.0,,bargarh,7241344386,Talpali,chc,9.62,4.08
380009.0,,bargarh,4452458674,JAMLA,chc,30.27,21.44
380011.0,,bargarh,7241344386,Talpali,chc,23.09,15.34
380022.0,,bargarh,7241344386,Talpali,chc,33.1,17.28
380029.0,,bargarh,7241344386,Talpali,chc,33.76,21.63
380055.0,,bargarh,7241344386,Talpali,chc,50.52,32.07
380056.0,,bargarh,7241344386,Talpali,chc,39.66,21.66
380017.0,,bargarh,7241344386,Talpali,chc,15.4,9.55
380051.0,,bargarh,7241344386,Talpali,chc,34.93,23.93
379986.0,,bargarh,4452458674,JAMLA,chc,11.37,4.97
379943.0,,bargarh,4452458674,JAMLA,chc,19.48,13.27
380013.0,,bargarh,7241344386,Talpali,chc,17.39,11.6
379987.0,,bargarh,4452458674,JAMLA,chc,14.46,6.26
379948.0,,bargarh,4452458674,JAMLA,chc,18.71,8.48
380213.0,,bargarh,1448875326,Gaisilet,chc,20.96,13.97
380203.0,,bargarh,4452458674,JAMLA,chc,11.19,8.13
379977.0,,bargarh,4452458674,JAMLA,chc,17.71,7.25
