lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
417863.0,,boudh,6623446744,Kantamal,chc,38.61,28.79
417861.0,,boudh,6623446744,Kantamal,chc,36.61,29.12
417864.0,,boudh,6623446744,Kantamal,chc,37.23,28.14
417862.0,,boudh,6623446744,Kantamal,chc,40.72,30.83
417868.0,,boudh,6623446744,Kantamal,chc,29.53,28.41
417877.0,,boudh,6623446744,Kantamal,chc,26.68,27.6
417866.0,,boudh,6623446744,Kantamal,chc,30.19,29.69
417869.0,,boudh,6623446744,Kantamal,chc,26.95,27.16
417875.0,,boudh,6623446744,Kantamal,chc,24.55,26.02
417884.0,,boudh,6623446744,Kantamal,chc,34.7,32.75
417870.0,,boudh,6623446744,Kantamal,chc,27.45,27.54
417880.0,,boudh,6623446744,Kantamal,chc,26.77,29.01
417859.0,,boudh,6623446744,Kantamal,chc,30.6,28.35
417858.0,,boudh,6623446744,Kantamal,chc,27.65,26.99
417848.0,,boudh,6623446744,Kantamal,chc,24.99,24.12
417867.0,,boudh,6623446744,Kantamal,chc,38.91,31.82
417881.0,,boudh,6623446744,Kantamal,chc,27.95,28.93
417847.0,,boudh,6623446744,Kantamal,chc,29.49,27.43
417845.0,,boudh,6623446744,Kantamal,chc,27.41,26.18
417846.0,,boudh,6623446744,Kantamal,chc,28.04,26.52
417872.0,,boudh,6623446744,Kantamal,chc,45.14,38.51
417882.0,,boudh,6623446744,Kantamal,chc,31.2,30.87
417871.0,,boudh,6623446744,Kantamal,chc,28.97,28.18
417873.0,,boudh,6623446744,Kantamal,chc,26.62,27.52
417879.0,,boudh,6623446744,Kantamal,chc,26.14,27.6
417883.0,,boudh,6623446744,Kantamal,chc,30.17,29.75
417874.0,,boudh,6623446744,Kantamal,chc,25.6,27.1
417865.0,,boudh,6623446744,Kantamal,chc,34.45,31.68
417850.0,,boudh,6623446744,Kantamal,chc,27.3,28.01
417885.0,,boudh,6623446744,Kantamal,chc,33.54,31.39
417876.0,,boudh,6623446744,Kantamal,chc,22.97,24.89
417853.0,,boudh,6623446744,Kantamal,chc,26.32,26.63
417851.0,,boudh,6623446744,Kantamal,chc,25.04,25.11
417849.0,,boudh,6623446744,Kantamal,chc,27.71,25.63
417854.0,,boudh,6623446744,Kantamal,chc,21.57,22.94
417857.0,,boudh,6623446744,Kantamal,chc,26.54,25.68
417852.0,,boudh,6623446744,Kantamal,chc,21.44,23.23
417856.0,,boudh,6623446744,Kantamal,chc,22.0,23.22
417855.0,,boudh,6623446744,Kantamal,chc,20.34,22.04
417820.0,,boudh,6623446744,Kantamal,chc,19.45,21.08
417878.0,,boudh,6623446744,Kantamal,chc,26.75,27.36
417814.0,,boudh,6623446744,Kantamal,chc,26.57,23.89
417811.0,,boudh,6623446744,Kantamal,chc,16.27,17.63
417785.0,,boudh,6623446744,Kantamal,chc,10.58,11.46
417824.0,,boudh,6623446744,Kantamal,chc,19.53,19.15
417817.0,,boudh,6623446744,Kantamal,chc,25.46,23.14
417815.0,,boudh,6623446744,Kantamal,chc,29.3,25.57
417829.0,,boudh,6623446744,Kantamal,chc,24.67,22.29
417790.0,,boudh,6623446744,Kantamal,chc,20.97,19.82
417788.0,,boudh,6623446744,Kantamal,chc,16.71,15.88
417825.0,,boudh,6623446744,Kantamal,chc,32.82,26.42
417821.0,,boudh,6623446744,Kantamal,chc,18.3,19.84
417818.0,,boudh,6623446744,Kantamal,chc,26.04,23.53
417789.0,,boudh,6623446744,Kantamal,chc,18.66,17.88
417812.0,,boudh,6623446744,Kantamal,chc,18.39,18.43
417787.0,,boudh,6623446744,Kantamal,chc,14.84,15.74
417816.0,,boudh,6623446744,Kantamal,chc,31.76,27.13
417780.0,,boudh,6623446744,Kantamal,chc,7.32,7.93
417782.0,,boudh,6623446744,Kantamal,chc,8.28,8.98
417819.0,,boudh,6623446744,Kantamal,chc,22.43,21.12
417826.0,,boudh,6623446744,Kantamal,chc,32.18,26.14
417809.0,,boudh,6623446744,Kantamal,chc,20.85,18.91
417860.0,,boudh,6623446744,Kantamal,chc,40.11,29.42
417822.0,,boudh,6623446744,Kantamal,chc,18.18,19.25
417828.0,,boudh,6623446744,Kantamal,chc,26.77,23.69
417786.0,,boudh,6623446744,Kantamal,chc,13.79,14.94
417813.0,,boudh,6623446744,Kantamal,chc,22.59,21.23
417810.0,,boudh,6623446744,Kantamal,chc,16.68,17.28
417808.0,,boudh,6623446744,Kantamal,chc,19.51,18.85
417807.0,,boudh,6623446744,Kantamal,chc,21.52,20.2
417781.0,,boudh,6623446744,Kantamal,chc,8.09,8.77
417779.0,,boudh,6623446744,Kantamal,chc,6.25,6.77
417783.0,,boudh,6623446744,Kantamal,chc,8.97,9.72
417823.0,,boudh,6623446744,Kantamal,chc,18.95,19.33
417784.0,,boudh,6623446744,Kantamal,chc,9.15,9.91
417887.0,,boudh,6623446744,Kantamal,chc,35.72,23.49
417839.0,,boudh,6623446744,Kantamal,chc,33.85,22.76
417886.0,,boudh,6623446744,Kantamal,chc,34.41,32.61
417888.0,,boudh,6623446744,Kantamal,chc,35.91,23.58
417890.0,,boudh,6623446744,Kantamal,chc,33.68,22.69
417844.0,,boudh,6623446744,Kantamal,chc,33.57,31.4
417841.0,,boudh,6623446744,Kantamal,chc,34.88,23.15
417840.0,,boudh,6623446744,Kantamal,chc,34.21,22.87
417843.0,,boudh,6623446744,Kantamal,chc,30.83,28.46
417842.0,,boudh,6623446744,Kantamal,chc,30.33,25.84
417838.0,,boudh,6623446744,Kantamal,chc,31.88,21.94
417889.0,,boudh,6623446744,Kantamal,chc,35.91,23.58
417772.0,,boudh,6623446744,Kantamal,chc,12.05,9.87
417832.0,,boudh,6623446744,Kantamal,chc,32.62,27.14
417803.0,,boudh,6623446744,Kantamal,chc,21.44,16.11
417802.0,,boudh,6623446744,Kantamal,chc,21.44,16.11
417767.0,,boudh,6623446744,Kantamal,chc,20.32,15.37
417836.0,,boudh,6623446744,Kantamal,chc,30.29,21.97
417830.0,,boudh,6623446744,Kantamal,chc,27.92,23.82
417791.0,,boudh,6623446744,Kantamal,chc,8.28,8.98
417764.0,,boudh,6623446744,Kantamal,chc,19.03,14.52
417774.0,,boudh,6623446744,Kantamal,chc,9.9,8.42
417835.0,,boudh,6623446744,Kantamal,chc,31.47,26.81
417755.0,,boudh,6623446744,Kantamal,chc,7.06,6.54
417778.0,,boudh,6623446744,Kantamal,chc,6.85,7.42
417759.0,,boudh,6623446744,Kantamal,chc,17.25,13.33
417754.0,,boudh,6623446744,Kantamal,chc,4.88,5.29
417804.0,,boudh,6623446744,Kantamal,chc,19.39,14.74
417795.0,,boudh,6623446744,Kantamal,chc,21.25,15.93
417806.0,,boudh,6623446744,Kantamal,chc,22.05,20.55
417837.0,,boudh,6623446744,Kantamal,chc,30.92,21.5
417827.0,,boudh,6623446744,Kantamal,chc,30.21,25.89
417771.0,,boudh,6623446744,Kantamal,chc,13.14,10.6
417762.0,,boudh,6623446744,Kantamal,chc,18.41,14.1
417760.0,,boudh,6623446744,Kantamal,chc,23.52,15.56
417763.0,,boudh,6623446744,Kantamal,chc,19.03,14.52
417776.0,,boudh,6623446744,Kantamal,chc,13.81,11.01
417777.0,,boudh,6623446744,Kantamal,chc,6.88,7.45
417793.0,,boudh,6623446744,Kantamal,chc,15.1,11.88
417766.0,,boudh,6623446744,Kantamal,chc,20.03,15.18
417799.0,,boudh,6623446744,Kantamal,chc,17.9,13.74
417798.0,,boudh,6623446744,Kantamal,chc,19.68,14.88
417758.0,,boudh,6623446744,Kantamal,chc,15.22,11.98
417769.0,,boudh,6623446744,Kantamal,chc,17.93,13.78
417797.0,,boudh,6623446744,Kantamal,chc,20.6,15.5
417796.0,,boudh,6623446744,Kantamal,chc,22.13,16.52
417805.0,,boudh,6623446744,Kantamal,chc,14.72,11.63
417794.0,,boudh,6623446744,Kantamal,chc,15.93,12.43
417834.0,,boudh,6623446744,Kantamal,chc,26.08,19.2
417831.0,,boudh,6623446744,Kantamal,chc,23.06,21.22
417770.0,,boudh,6623446744,Kantamal,chc,19.48,14.81
417833.0,,boudh,6623446744,Kantamal,chc,22.9,17.08
417801.0,,boudh,6623446744,Kantamal,chc,21.88,16.39
417775.0,,boudh,6623446744,Kantamal,chc,8.43,7.44
417765.0,,boudh,6623446744,Kantamal,chc,19.03,14.52
417768.0,,boudh,6623446744,Kantamal,chc,19.72,14.97
417773.0,,boudh,6623446744,Kantamal,chc,12.47,10.13
417800.0,,boudh,6623446744,Kantamal,chc,19.39,14.74
417792.0,,boudh,6623446744,Kantamal,chc,14.51,11.49
418573.0,,boudh,7445313872,Baunsuni,chc,23.88,16.68
418575.0,,boudh,7445313872,Baunsuni,chc,27.7,19.23
418579.0,,boudh,7445313872,Baunsuni,chc,50.65,34.44
418172.0,,boudh,7145287681,Manamunda,chc,34.96,19.84
418576.0,,boudh,4821484260,Purunakatak,chc,38.42,48.48
418574.0,,boudh,7445313872,Baunsuni,chc,26.41,18.37
418582.0,,boudh,7445313872,Baunsuni,chc,50.65,34.44
418585.0,,boudh,7445313872,Baunsuni,chc,50.65,34.44
418690.0,,boudh,2387278266,Adenigarh,chc,6.65,9.44
418823.0,,boudh,2387278266,Adenigarh,chc,31.62,30.43
418761.0,,boudh,4821484260,Purunakatak,chc,25.59,26.32
418760.0,,boudh,4821484260,Purunakatak,chc,21.98,23.91
418750.0,,boudh,4821484260,Purunakatak,chc,26.61,26.81
418635.0,,boudh,4821484260,Purunakatak,chc,7.83,9.41
418662.0,,boudh,2387278266,Adenigarh,chc,6.4,9.08
418831.0,,boudh,2387278266,Adenigarh,chc,26.22,26.86
418651.0,,boudh,4821484260,Purunakatak,chc,4.84,6.18
418682.0,,boudh,2387278266,Adenigarh,chc,7.69,10.75
418749.0,,boudh,4821484260,Purunakatak,chc,25.96,26.56
418683.0,,boudh,2387278266,Adenigarh,chc,7.69,10.75
418741.0,,boudh,4821484260,Purunakatak,chc,14.74,16.89
418646.0,,boudh,4821484260,Purunakatak,chc,8.51,10.15
418659.0,,boudh,4821484260,Purunakatak,chc,5.88,7.68
418641.0,,boudh,4821484260,Purunakatak,chc,10.73,12.55
418834.0,,boudh,2387278266,Adenigarh,chc,21.66,23.82
418650.0,,boudh,4821484260,Purunakatak,chc,5.21,6.88
418639.0,,boudh,4821484260,Purunakatak,chc,10.55,12.36
418638.0,,boudh,4821484260,Purunakatak,chc,12.82,14.82
418824.0,,boudh,2387278266,Adenigarh,chc,32.65,31.12
418687.0,,boudh,2387278266,Adenigarh,chc,6.77,9.46
418686.0,,boudh,2387278266,Adenigarh,chc,7.0,9.77
418657.0,,boudh,4821484260,Purunakatak,chc,5.11,6.59
418742.0,,boudh,4821484260,Purunakatak,chc,15.06,17.24
418743.0,,boudh,4821484260,Purunakatak,chc,14.51,16.65
418644.0,,boudh,4821484260,Purunakatak,chc,9.46,11.19
418656.0,,boudh,4821484260,Purunakatak,chc,5.5,7.15
418748.0,,boudh,4821484260,Purunakatak,chc,25.25,24.9
418654.0,,boudh,4821484260,Purunakatak,chc,3.63,4.62
418755.0,,boudh,4821484260,Purunakatak,chc,25.66,26.41
418827.0,,boudh,2387278266,Adenigarh,chc,30.17,29.47
418754.0,,boudh,4821484260,Purunakatak,chc,29.8,28.14
418640.0,,boudh,4821484260,Purunakatak,chc,10.73,12.55
418673.0,,boudh,2387278266,Adenigarh,chc,1.13,1.6
418744.0,,boudh,4821484260,Purunakatak,chc,13.5,15.55
418653.0,,boudh,4821484260,Purunakatak,chc,2.8,3.46
418637.0,,boudh,4821484260,Purunakatak,chc,11.74,13.65
418648.0,,boudh,4821484260,Purunakatak,chc,6.03,8.03
418647.0,,boudh,4821484260,Purunakatak,chc,6.01,7.44
418691.0,,boudh,2387278266,Adenigarh,chc,6.67,9.46
418833.0,,boudh,2387278266,Adenigarh,chc,20.72,23.2
418747.0,,boudh,4821484260,Purunakatak,chc,22.05,23.57
418675.0,,boudh,2387278266,Adenigarh,chc,1.13,1.6
418835.0,,boudh,2387278266,Adenigarh,chc,22.98,24.7
418684.0,,boudh,2387278266,Adenigarh,chc,6.85,9.56
418689.0,,boudh,2387278266,Adenigarh,chc,4.81,6.82
418681.0,,boudh,2387278266,Adenigarh,chc,7.14,9.97
418698.0,,boudh,2387278266,Adenigarh,chc,17.01,20.72
418699.0,,boudh,2387278266,Adenigarh,chc,18.89,21.98
418697.0,,boudh,2387278266,Adenigarh,chc,19.02,22.06
418752.0,,boudh,4821484260,Purunakatak,chc,29.8,28.14
418642.0,,boudh,4821484260,Purunakatak,chc,9.49,11.21
418757.0,,boudh,4821484260,Purunakatak,chc,21.89,24.64
418830.0,,boudh,2387278266,Adenigarh,chc,27.38,27.64
418828.0,,boudh,2387278266,Adenigarh,chc,29.21,28.83
418676.0,,boudh,2387278266,Adenigarh,chc,5.52,7.83
418810.0,,boudh,2387278266,Adenigarh,chc,34.64,32.45
418829.0,,boudh,2387278266,Adenigarh,chc,28.96,28.67
418674.0,,boudh,2387278266,Adenigarh,chc,1.13,1.6
418826.0,,boudh,2387278266,Adenigarh,chc,31.25,30.19
418802.0,,boudh,2387278266,Adenigarh,chc,37.45,34.32
418661.0,,boudh,4821484260,Purunakatak,chc,6.46,8.64
418762.0,,boudh,4821484260,Purunakatak,chc,24.54,27.5
418740.0,,boudh,4821484260,Purunakatak,chc,13.9,15.99
418643.0,,boudh,4821484260,Purunakatak,chc,8.51,10.15
418649.0,,boudh,4821484260,Purunakatak,chc,6.03,8.03
418658.0,,boudh,4821484260,Purunakatak,chc,5.2,6.72
418645.0,,boudh,4821484260,Purunakatak,chc,9.17,10.87
418756.0,,boudh,4821484260,Purunakatak,chc,22.86,25.69
418746.0,,boudh,4821484260,Purunakatak,chc,17.38,19.76
418763.0,,boudh,4821484260,Purunakatak,chc,36.26,31.45
418652.0,,boudh,4821484260,Purunakatak,chc,3.4,4.3
418632.0,,boudh,4821484260,Purunakatak,chc,7.56,9.12
418769.0,,boudh,4821484260,Purunakatak,chc,25.8,28.88
418685.0,,boudh,2387278266,Adenigarh,chc,7.23,10.11
418665.0,,boudh,2387278266,Adenigarh,chc,5.6,7.94
418664.0,,boudh,4821484260,Purunakatak,chc,6.86,9.2
418655.0,,boudh,4821484260,Purunakatak,chc,6.27,8.24
418663.0,,boudh,2387278266,Adenigarh,chc,5.61,7.96
418670.0,,boudh,2387278266,Adenigarh,chc,2.86,4.06
418692.0,,boudh,2387278266,Adenigarh,chc,8.24,11.68
418695.0,,boudh,2387278266,Adenigarh,chc,9.29,13.17
418694.0,,boudh,2387278266,Adenigarh,chc,7.31,10.37
418693.0,,boudh,2387278266,Adenigarh,chc,7.96,11.29
418680.0,,boudh,2387278266,Adenigarh,chc,5.52,7.83
418677.0,,boudh,2387278266,Adenigarh,chc,3.5,4.96
418672.0,,boudh,2387278266,Adenigarh,chc,2.06,2.92
418671.0,,boudh,2387278266,Adenigarh,chc,0.92,1.3
418669.0,,boudh,2387278266,Adenigarh,chc,0.39,0.56
418667.0,,boudh,2387278266,Adenigarh,chc,0.01,0.01
418666.0,,boudh,2387278266,Adenigarh,chc,2.4,3.41
418832.0,,boudh,2387278266,Adenigarh,chc,25.29,26.24
418751.0,,boudh,4821484260,Purunakatak,chc,27.6,27.24
418696.0,,boudh,2387278266,Adenigarh,chc,9.35,13.26
418678.0,,boudh,2387278266,Adenigarh,chc,3.67,5.2
418679.0,,boudh,2387278266,Adenigarh,chc,5.29,7.5
418822.0,,boudh,2387278266,Adenigarh,chc,30.13,29.45
418759.0,,boudh,4821484260,Purunakatak,chc,23.7,25.06
418758.0,,boudh,4821484260,Purunakatak,chc,21.43,24.15
418753.0,,boudh,4821484260,Purunakatak,chc,29.52,28.02
418745.0,,boudh,4821484260,Purunakatak,chc,15.87,18.12
418804.0,,boudh,4821484260,Purunakatak,chc,29.8,28.14
418805.0,,boudh,4821484260,Purunakatak,chc,27.6,27.24
418803.0,,boudh,2387278266,Adenigarh,chc,34.65,32.45
418811.0,,boudh,2387278266,Adenigarh,chc,33.08,31.4
418809.0,,boudh,2387278266,Adenigarh,chc,31.28,30.21
418806.0,,boudh,2387278266,Adenigarh,chc,33.09,31.41
418836.0,,boudh,2387278266,Adenigarh,chc,24.16,25.49
418660.0,,boudh,4821484260,Purunakatak,chc,5.6,7.29
418808.0,,boudh,2387278266,Adenigarh,chc,30.35,29.59
418807.0,,boudh,2387278266,Adenigarh,chc,30.45,29.66
418703.0,,boudh,2387278266,Adenigarh,chc,20.63,23.14
418702.0,,boudh,2387278266,Adenigarh,chc,20.9,23.32
418688.0,,boudh,2387278266,Adenigarh,chc,6.83,9.54
418668.0,,boudh,2387278266,Adenigarh,chc,0.0,0.0
418700.0,,boudh,2387278266,Adenigarh,chc,19.96,22.69
418701.0,,boudh,2387278266,Adenigarh,chc,20.44,23.01
418112.0,,boudh,7145287681,Manamunda,chc,23.61,15.1
417752.0,,boudh,6623446744,Kantamal,chc,1.83,1.99
417715.0,,boudh,6623446744,Kantamal,chc,8.08,6.13
417685.0,,boudh,6623446744,Kantamal,chc,20.19,17.96
418170.0,,boudh,7145287681,Manamunda,chc,35.29,23.84
417670.0,,boudh,6623446744,Kantamal,chc,16.15,11.52
417707.0,,boudh,6623446744,Kantamal,chc,2.37,2.57
418120.0,,boudh,7145287681,Manamunda,chc,31.32,19.55
417725.0,,boudh,6623446744,Kantamal,chc,19.71,13.88
417724.0,,boudh,6623446744,Kantamal,chc,18.96,13.38
417708.0,,boudh,6623446744,Kantamal,chc,3.16,3.42
417702.0,,boudh,6623446744,Kantamal,chc,2.37,2.57
417721.0,,boudh,6623446744,Kantamal,chc,17.09,12.14
417750.0,,boudh,6623446744,Kantamal,chc,1.41,1.53
417680.0,,boudh,6623446744,Kantamal,chc,12.56,12.87
417674.0,,boudh,6623446744,Kantamal,chc,9.65,9.3
417742.0,,boudh,6623446744,Kantamal,chc,18.82,13.25
418113.0,,boudh,7145287681,Manamunda,chc,21.23,13.52
417705.0,,boudh,6623446744,Kantamal,chc,0.12,0.13
417712.0,,boudh,6623446744,Kantamal,chc,5.15,4.17
418130.0,,boudh,7145287681,Manamunda,chc,33.52,22.77
417694.0,,boudh,6623446744,Kantamal,chc,16.5,11.74
417738.0,,boudh,6623446744,Kantamal,chc,22.59,15.77
417749.0,,boudh,6623446744,Kantamal,chc,0.45,0.49
417722.0,,boudh,6623446744,Kantamal,chc,17.52,11.98
417723.0,,boudh,6623446744,Kantamal,chc,17.49,12.4
417736.0,,boudh,6623446744,Kantamal,chc,25.12,16.89
417720.0,,boudh,6623446744,Kantamal,chc,19.37,13.65
418125.0,,boudh,7145287681,Manamunda,chc,26.5,18.21
417698.0,,boudh,6623446744,Kantamal,chc,5.06,5.48
417710.0,,boudh,6623446744,Kantamal,chc,1.2,1.29
418071.0,,boudh,6623446744,Kantamal,chc,16.38,15.41
418115.0,,boudh,7145287681,Manamunda,chc,22.8,13.94
417701.0,,boudh,6623446744,Kantamal,chc,2.87,3.1
417671.0,,boudh,7145287681,Manamunda,chc,36.37,40.45
417672.0,,boudh,6623446744,Kantamal,chc,12.84,10.15
417686.0,,boudh,6623446744,Kantamal,chc,22.11,15.48
417679.0,,boudh,6623446744,Kantamal,chc,10.08,9.98
417676.0,,boudh,6623446744,Kantamal,chc,10.08,9.98
418122.0,,boudh,7145287681,Manamunda,chc,20.95,15.33
417691.0,,boudh,6623446744,Kantamal,chc,21.53,15.09
418128.0,,boudh,7145287681,Manamunda,chc,30.51,20.93
417697.0,,boudh,6623446744,Kantamal,chc,6.69,7.24
417690.0,,boudh,6623446744,Kantamal,chc,20.12,14.15
418169.0,,boudh,7145287681,Manamunda,chc,35.29,23.84
417706.0,,boudh,6623446744,Kantamal,chc,1.85,2.0
418077.0,,boudh,7145287681,Manamunda,chc,16.4,12.34
417735.0,,boudh,6623446744,Kantamal,chc,26.3,17.38
417733.0,,boudh,6623446744,Kantamal,chc,30.39,19.09
417734.0,,boudh,6623446744,Kantamal,chc,29.4,18.68
417689.0,,boudh,6623446744,Kantamal,chc,20.15,14.18
417739.0,,boudh,6623446744,Kantamal,chc,23.12,15.68
418072.0,,boudh,6623446744,Kantamal,chc,18.19,16.62
417683.0,,boudh,6623446744,Kantamal,chc,19.66,17.6
417681.0,,boudh,6623446744,Kantamal,chc,12.68,12.95
418121.0,,boudh,7145287681,Manamunda,chc,22.32,15.81
417713.0,,boudh,6623446744,Kantamal,chc,5.76,4.58
418124.0,,boudh,6623446744,Kantamal,chc,25.7,17.88
417699.0,,boudh,6623446744,Kantamal,chc,12.84,10.15
417688.0,,boudh,6623446744,Kantamal,chc,21.62,15.15
417730.0,,boudh,6623446744,Kantamal,chc,23.15,16.16
417741.0,,boudh,6623446744,Kantamal,chc,22.97,15.58
417748.0,,boudh,6623446744,Kantamal,chc,0.41,0.44
417731.0,,boudh,6623446744,Kantamal,chc,23.84,16.56
417678.0,,boudh,6623446744,Kantamal,chc,9.54,10.34
417745.0,,boudh,6623446744,Kantamal,chc,3.88,3.32
417726.0,,boudh,6623446744,Kantamal,chc,20.68,14.52
417753.0,,boudh,6623446744,Kantamal,chc,2.77,3.0
417719.0,,boudh,6623446744,Kantamal,chc,19.89,14.0
417677.0,,boudh,6623446744,Kantamal,chc,9.29,10.06
418118.0,,boudh,7145287681,Manamunda,chc,29.58,18.82
417717.0,,boudh,6623446744,Kantamal,chc,12.71,9.21
418129.0,,boudh,7145287681,Manamunda,chc,33.58,22.79
417692.0,,boudh,6623446744,Kantamal,chc,20.1,14.14
417687.0,,boudh,6623446744,Kantamal,chc,22.28,15.59
418081.0,,boudh,7145287681,Manamunda,chc,30.77,19.31
417761.0,,boudh,6623446744,Kantamal,chc,23.73,15.65
417740.0,,boudh,6623446744,Kantamal,chc,23.61,15.6
417737.0,,boudh,6623446744,Kantamal,chc,26.28,17.36
418171.0,,boudh,7145287681,Manamunda,chc,35.29,23.84
417751.0,,boudh,6623446744,Kantamal,chc,1.19,1.29
417746.0,,boudh,6623446744,Kantamal,chc,0.74,0.8
417732.0,,boudh,6623446744,Kantamal,chc,26.99,17.67
417743.0,,boudh,6623446744,Kantamal,chc,17.68,12.49
417709.0,,boudh,6623446744,Kantamal,chc,2.4,2.6
417729.0,,boudh,6623446744,Kantamal,chc,19.85,12.95
417704.0,,boudh,6623446744,Kantamal,chc,1.8,1.95
417728.0,,boudh,6623446744,Kantamal,chc,20.09,14.13
417703.0,,boudh,6623446744,Kantamal,chc,2.07,2.24
417711.0,,boudh,6623446744,Kantamal,chc,3.53,3.09
417714.0,,boudh,6623446744,Kantamal,chc,4.68,5.07
417716.0,,boudh,6623446744,Kantamal,chc,10.34,7.63
418127.0,,boudh,7145287681,Manamunda,chc,30.43,20.87
417700.0,,boudh,6623446744,Kantamal,chc,3.38,3.66
417693.0,,boudh,6623446744,Kantamal,chc,20.07,14.12
417696.0,,boudh,6623446744,Kantamal,chc,11.32,9.32
418126.0,,boudh,7145287681,Manamunda,chc,27.01,18.59
417682.0,,boudh,6623446744,Kantamal,chc,15.98,15.15
417695.0,,boudh,6623446744,Kantamal,chc,9.14,9.07
417673.0,,boudh,6623446744,Kantamal,chc,11.68,9.67
418116.0,,boudh,7145287681,Manamunda,chc,31.38,19.57
418119.0,,boudh,7145287681,Manamunda,chc,26.5,17.56
418117.0,,boudh,7145287681,Manamunda,chc,29.81,18.93
418123.0,,boudh,7145287681,Manamunda,chc,20.08,14.75
418114.0,,boudh,7145287681,Manamunda,chc,22.5,14.36
417747.0,,boudh,6623446744,Kantamal,chc,0.0,0.0
417744.0,,boudh,6623446744,Kantamal,chc,16.02,11.38
417756.0,,boudh,6623446744,Kantamal,chc,3.42,3.71
417757.0,,boudh,6623446744,Kantamal,chc,8.35,7.4
418131.0,,boudh,7145287681,Manamunda,chc,35.16,24.01
417684.0,,boudh,7145287681,Manamunda,chc,20.33,14.95
417718.0,,boudh,6623446744,Kantamal,chc,16.5,11.74
417727.0,,boudh,6623446744,Kantamal,chc,19.43,13.69
417668.0,,boudh,6623446744,Kantamal,chc,14.6,10.89
417669.0,,boudh,6623446744,Kantamal,chc,16.68,11.73
417675.0,,boudh,6623446744,Kantamal,chc,8.13,8.66
417902.0,,boudh,7145287681,Manamunda,chc,0.0,0.0
418045.0,,boudh,7145287681,Manamunda,chc,9.47,7.72
418074.0,,boudh,7145287681,Manamunda,chc,14.47,13.78
418082.0,,boudh,7145287681,Manamunda,chc,21.27,13.46
417907.0,,boudh,7145287681,Manamunda,chc,3.72,2.75
417908.0,,boudh,7145287681,Manamunda,chc,5.33,5.42
417909.0,,boudh,7145287681,Manamunda,chc,5.21,5.34
418066.0,,boudh,6623446744,Kantamal,chc,10.85,11.44
418034.0,,boudh,7145287681,Manamunda,chc,11.59,9.13
418056.0,,boudh,6623446744,Kantamal,chc,19.71,18.55
417983.0,,boudh,7145287681,Manamunda,chc,15.28,14.08
417904.0,,boudh,7145287681,Manamunda,chc,1.25,1.15
418042.0,,boudh,7145287681,Manamunda,chc,13.39,10.27
418075.0,,boudh,7145287681,Manamunda,chc,16.76,12.58
418068.0,,boudh,6623446744,Kantamal,chc,11.88,12.87
417962.0,,boudh,7145287681,Manamunda,chc,5.99,6.12
417901.0,,boudh,7145287681,Manamunda,chc,2.98,1.61
418076.0,,boudh,7145287681,Manamunda,chc,15.32,11.62
418078.0,,boudh,7145287681,Manamunda,chc,29.58,18.82
417665.0,,boudh,6623446744,Kantamal,chc,19.46,12.85
418064.0,,boudh,6623446744,Kantamal,chc,14.15,12.81
418047.0,,boudh,7145287681,Manamunda,chc,8.47,9.18
417966.0,,boudh,7145287681,Manamunda,chc,12.18,9.25
418041.0,,boudh,7145287681,Manamunda,chc,11.95,9.37
417991.0,,boudh,7145287681,Manamunda,chc,10.8,8.6
417979.0,,boudh,7145287681,Manamunda,chc,17.61,20.61
417972.0,,boudh,7145287681,Manamunda,chc,18.69,20.34
417960.0,,boudh,7145287681,Manamunda,chc,3.21,3.47
418058.0,,boudh,6623446744,Kantamal,chc,22.02,17.31
418050.0,,boudh,7145287681,Manamunda,chc,12.81,13.29
417973.0,,boudh,7145287681,Manamunda,chc,17.78,19.66
418044.0,,boudh,7145287681,Manamunda,chc,15.83,11.64
418054.0,,boudh,6623446744,Kantamal,chc,18.64,15.9
417952.0,,boudh,7145287681,Manamunda,chc,8.01,4.08
