lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
400349.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400351.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400346.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400347.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400352.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400350.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400321.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400348.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400320.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400355.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400359.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400361.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400340.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400360.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400373.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400370.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400337.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400358.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400336.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400339.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400341.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400357.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400380.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400372.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400379.0,,cuttack,5664318788,Mahidharpada,chc,0.0,0.0
400382.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400381.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400374.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400385.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400386.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400387.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400388.0,,cuttack,5664318788,Mahidharpada,chc,0.0,0.0
400383.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400384.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400389.0,,cuttack,5664318788,Mahidharpada,chc,0.0,0.0
400390.0,,cuttack,5664318788,Mahidharpada,chc,0.0,0.0
400369.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400368.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400335.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400367.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400375.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400362.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400365.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400363.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400344.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400377.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400376.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400378.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400366.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400354.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400353.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400338.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400356.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400342.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400345.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400343.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400331.0,,cuttack,3883481529,Niali,chc,0.0,0.0
400371.0,,cuttack,3883481529,Niali,chc,0.0,0.0
