lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
383442.0,,deogarh,8237746261,Chhatabar,chc,10.05,14.24
383440.0,,deogarh,8237746261,Chhatabar,chc,14.19,15.22
383444.0,,deogarh,8237746261,Chhatabar,chc,24.19,28.83
383443.0,,deogarh,8237746261,Chhatabar,chc,10.68,15.13
383446.0,,deogarh,8237746261,Chhatabar,chc,7.38,10.45
383441.0,,deogarh,8237746261,Chhatabar,chc,9.86,13.97
383277.0,,deogarh,8237746261,Chhatabar,chc,24.23,18.08
383256.0,,deogarh,8237746261,Chhatabar,chc,24.97,19.26
383276.0,,deogarh,8237746261,Chhatabar,chc,24.91,19.22
383257.0,,deogarh,8237746261,Chhatabar,chc,24.97,19.26
383258.0,,deogarh,8237746261,Chhatabar,chc,24.95,19.25
382689.0,,deogarh,8237746261,Chhatabar,chc,26.51,20.29
382691.0,,deogarh,5148856684,Tileibani,chc,4.03,5.63
382690.0,,deogarh,8237746261,Chhatabar,chc,25.97,19.93
382687.0,,deogarh,5148856684,Tileibani,chc,5.46,7.63
382688.0,,deogarh,5148856684,Tileibani,chc,3.98,5.55
382684.0,,deogarh,5148856684,Tileibani,chc,4.11,5.74
382693.0,,deogarh,5148856684,Tileibani,chc,2.37,3.26
382694.0,,deogarh,5148856684,Tileibani,chc,2.71,3.74
382685.0,,deogarh,5148856684,Tileibani,chc,7.53,10.55
383278.0,,deogarh,8237746261,Chhatabar,chc,24.91,19.22
383308.0,,deogarh,8237746261,Chhatabar,chc,22.89,17.88
383306.0,,deogarh,8237746261,Chhatabar,chc,22.7,17.75
383305.0,,deogarh,8237746261,Chhatabar,chc,26.53,20.18
383348.0,,deogarh,8237746261,Chhatabar,chc,20.43,16.23
383254.0,,deogarh,8237746261,Chhatabar,chc,26.51,20.29
383304.0,,deogarh,8237746261,Chhatabar,chc,28.17,21.39
383295.0,,deogarh,5148856684,Tileibani,chc,27.31,22.86
383288.0,,deogarh,5148856684,Tileibani,chc,25.3,21.52
383284.0,,deogarh,8237746261,Chhatabar,chc,30.61,23.02
383246.0,,deogarh,5148856684,Tileibani,chc,9.13,10.74
383287.0,,deogarh,5148856684,Tileibani,chc,24.44,20.95
383245.0,,deogarh,5148856684,Tileibani,chc,22.25,19.49
383286.0,,deogarh,5148856684,Tileibani,chc,34.05,27.07
383285.0,,deogarh,8237746261,Chhatabar,chc,30.95,23.25
383247.0,,deogarh,8237746261,Chhatabar,chc,30.55,22.98
383296.0,,deogarh,5148856684,Tileibani,chc,29.62,24.38
383297.0,,deogarh,5148856684,Tileibani,chc,30.61,25.05
383298.0,,deogarh,5148856684,Tileibani,chc,32.03,25.99
383299.0,,deogarh,5148856684,Tileibani,chc,32.06,26.01
383301.0,,deogarh,8237746261,Chhatabar,chc,32.95,24.58
383300.0,,deogarh,5148856684,Tileibani,chc,33.13,26.64
383303.0,,deogarh,8237746261,Chhatabar,chc,28.55,21.65
383279.0,,deogarh,8237746261,Chhatabar,chc,25.85,19.85
383281.0,,deogarh,8237746261,Chhatabar,chc,27.42,20.89
383280.0,,deogarh,8237746261,Chhatabar,chc,26.57,20.33
383302.0,,deogarh,8237746261,Chhatabar,chc,31.51,23.62
383282.0,,deogarh,8237746261,Chhatabar,chc,27.89,21.21
383283.0,,deogarh,8237746261,Chhatabar,chc,29.39,22.21
383255.0,,deogarh,8237746261,Chhatabar,chc,26.59,20.35
383248.0,,deogarh,5148856684,Tileibani,chc,7.14,9.42
383250.0,,deogarh,5148856684,Tileibani,chc,7.49,10.5
382686.0,,deogarh,5148856684,Tileibani,chc,7.62,10.69
383252.0,,deogarh,8237746261,Chhatabar,chc,29.5,22.28
383253.0,,deogarh,8237746261,Chhatabar,chc,29.11,22.02
383235.0,,deogarh,5148856684,Tileibani,chc,15.78,15.17
383224.0,,deogarh,5148856684,Tileibani,chc,14.37,20.24
383225.0,,deogarh,5148856684,Tileibani,chc,14.42,20.31
383234.0,,deogarh,5148856684,Tileibani,chc,15.71,15.12
383244.0,,deogarh,5148856684,Tileibani,chc,19.34,17.54
383228.0,,deogarh,5148856684,Tileibani,chc,13.67,19.25
383232.0,,deogarh,5148856684,Tileibani,chc,14.13,19.9
383226.0,,deogarh,5148856684,Tileibani,chc,14.34,14.22
383227.0,,deogarh,5148856684,Tileibani,chc,14.34,14.22
383233.0,,deogarh,5148856684,Tileibani,chc,13.99,13.98
383237.0,,deogarh,5148856684,Tileibani,chc,15.78,15.17
383239.0,,deogarh,5148856684,Tileibani,chc,17.59,24.74
383238.0,,deogarh,5148856684,Tileibani,chc,15.78,15.17
383240.0,,deogarh,5148856684,Tileibani,chc,29.62,24.4
383241.0,,deogarh,5148856684,Tileibani,chc,29.62,24.4
383242.0,,deogarh,5148856684,Tileibani,chc,19.43,17.6
383236.0,,deogarh,5148856684,Tileibani,chc,15.78,15.17
383243.0,,deogarh,5148856684,Tileibani,chc,19.43,17.6
383292.0,,deogarh,5148856684,Tileibani,chc,29.62,24.4
