lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
403066.0,,dhenkanal,8842427554,Khajuria Kata,chc,3.42,2.24
403067.0,,dhenkanal,8842427554,Khajuria Kata,chc,3.37,1.96
403092.0,,dhenkanal,8842427554,Khajuria Kata,chc,0.0,0.0
403093.0,,dhenkanal,8842427554,Khajuria Kata,chc,36.12,25.72
403090.0,,dhenkanal,8842427554,Khajuria Kata,chc,1.17,1.1
403091.0,,dhenkanal,8842427554,Khajuria Kata,chc,2.69,2.74
403086.0,,dhenkanal,8842427554,Khajuria Kata,chc,5.09,5.34
403085.0,,dhenkanal,8842427554,Khajuria Kata,chc,15.8,12.42
403084.0,,dhenkanal,8842427554,Khajuria Kata,chc,16.16,12.66
403150.0,,dhenkanal,8842427554,Khajuria Kata,chc,35.43,25.51
403151.0,,dhenkanal,8842427554,Khajuria Kata,chc,39.01,27.9
403149.0,,dhenkanal,8842427554,Khajuria Kata,chc,30.93,22.52
403334.0,,dhenkanal,8842427554,Khajuria Kata,chc,26.78,34.1
403328.0,,dhenkanal,7655643786,Odapada,chc,27.55,34.15
403335.0,,dhenkanal,8842427554,Khajuria Kata,chc,26.12,29.73
403336.0,,dhenkanal,8842427554,Khajuria Kata,chc,23.12,28.91
403337.0,,dhenkanal,8842427554,Khajuria Kata,chc,23.95,30.09
403341.0,,dhenkanal,8842427554,Khajuria Kata,chc,25.08,31.7
403342.0,,dhenkanal,8842427554,Khajuria Kata,chc,27.41,33.43
403339.0,,dhenkanal,8842427554,Khajuria Kata,chc,32.74,35.66
403338.0,,dhenkanal,8842427554,Khajuria Kata,chc,37.49,37.64
403388.0,,dhenkanal,8842427554,Khajuria Kata,chc,46.57,46.13
403386.0,,dhenkanal,8842427554,Khajuria Kata,chc,51.11,47.95
403387.0,,dhenkanal,8842427554,Khajuria Kata,chc,43.96,45.04
403385.0,,dhenkanal,8842427554,Khajuria Kata,chc,41.84,44.15
403384.0,,dhenkanal,8842427554,Khajuria Kata,chc,33.94,38.36
403383.0,,dhenkanal,8842427554,Khajuria Kata,chc,33.49,38.17
403340.0,,dhenkanal,8842427554,Khajuria Kata,chc,30.04,34.53
403345.0,,dhenkanal,7655643786,Odapada,chc,37.57,42.8
403344.0,,dhenkanal,8842427554,Khajuria Kata,chc,27.12,34.58
403343.0,,dhenkanal,8842427554,Khajuria Kata,chc,26.43,33.6
403346.0,,dhenkanal,7655643786,Odapada,chc,34.39,40.88
403157.0,,dhenkanal,8842427554,Khajuria Kata,chc,46.52,41.36
403156.0,,dhenkanal,8842427554,Khajuria Kata,chc,51.63,48.24
403155.0,,dhenkanal,8842427554,Khajuria Kata,chc,46.52,41.36
403153.0,,dhenkanal,8842427554,Khajuria Kata,chc,30.46,31.99
403152.0,,dhenkanal,8842427554,Khajuria Kata,chc,35.43,35.3
403147.0,,dhenkanal,8842427554,Khajuria Kata,chc,25.95,19.19
403146.0,,dhenkanal,8842427554,Khajuria Kata,chc,22.77,17.07
403145.0,,dhenkanal,8842427554,Khajuria Kata,chc,26.77,26.41
403144.0,,dhenkanal,8842427554,Khajuria Kata,chc,24.44,25.48
