lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
414540.0,,gajapati,4237647427,Kashinagar,chc,0.0,0.0
414530.0,,gajapati,4237647427,Kashinagar,chc,8.61,4.58
414551.0,,gajapati,4237647427,Kashinagar,chc,0.0,0.0
414554.0,,gajapati,4237647427,Kashinagar,chc,0.0,0.0
414553.0,,gajapati,4237647427,Kashinagar,chc,0.0,0.0
414555.0,,gajapati,4237647427,Kashinagar,chc,0.0,0.0
414575.0,,gajapati,4237647427,Kashinagar,chc,0.0,0.0
414537.0,,gajapati,4237647427,Kashinagar,chc,0.0,0.0
414546.0,,gajapati,4237647427,Kashinagar,chc,0.0,0.0
414535.0,,gajapati,4237647427,Kashinagar,chc,0.0,0.0
414536.0,,gajapati,4237647427,Kashinagar,chc,0.0,0.0
414445.0,,gajapati,4237647427,Kashinagar,chc,0.0,0.0
414556.0,,gajapati,4237647427,Kashinagar,chc,0.0,0.0
414574.0,,gajapati,4237647427,Kashinagar,chc,0.0,0.0
414545.0,,gajapati,4237647427,Kashinagar,chc,14.03,6.33
414446.0,,gajapati,4237647427,Kashinagar,chc,0.0,0.0
414541.0,,gajapati,4237647427,Kashinagar,chc,0.0,0.0
414552.0,,gajapati,4237647427,Kashinagar,chc,0.0,0.0
414548.0,,gajapati,4237647427,Kashinagar,chc,0.0,0.0
414549.0,,gajapati,4237647427,Kashinagar,chc,0.0,0.0
414542.0,,gajapati,4237647427,Kashinagar,chc,0.0,0.0
414557.0,,gajapati,4237647427,Kashinagar,chc,0.0,0.0
250545.0,,gajapati,4237647427,Kashinagar,chc,9.51,4.95
414444.0,,gajapati,4237647427,Kashinagar,chc,0.0,0.0
414544.0,,gajapati,4237647427,Kashinagar,chc,14.05,6.34
414547.0,,gajapati,4237647427,Kashinagar,chc,0.0,0.0
414550.0,,gajapati,4237647427,Kashinagar,chc,0.0,0.0
414543.0,,gajapati,4237647427,Kashinagar,chc,14.05,6.34
414531.0,,gajapati,4237647427,Kashinagar,chc,18.27,11.91
414506.0,,gajapati,4237647427,Kashinagar,chc,20.42,16.98
414526.0,,gajapati,4237647427,Kashinagar,chc,18.27,11.91
414534.0,,gajapati,4237647427,Kashinagar,chc,18.27,11.91
414514.0,,gajapati,4237647427,Kashinagar,chc,18.27,11.91
414523.0,,gajapati,4237647427,Kashinagar,chc,18.27,11.91
414426.0,,gajapati,4237647427,Kashinagar,chc,18.27,11.91
414442.0,,gajapati,4237647427,Kashinagar,chc,0.0,0.0
414516.0,,gajapati,4237647427,Kashinagar,chc,18.27,11.91
414499.0,,gajapati,4237647427,Kashinagar,chc,21.47,18.33
414508.0,,gajapati,4237647427,Kashinagar,chc,16.03,13.31
414538.0,,gajapati,4237647427,Kashinagar,chc,0.0,0.0
414441.0,,gajapati,4237647427,Kashinagar,chc,0.0,0.0
414428.0,,gajapati,4237647427,Kashinagar,chc,18.27,11.91
414507.0,,gajapati,4237647427,Kashinagar,chc,15.36,13.46
414425.0,,gajapati,4237647427,Kashinagar,chc,18.27,11.91
414539.0,,gajapati,4237647427,Kashinagar,chc,0.0,0.0
414443.0,,gajapati,4237647427,Kashinagar,chc,0.0,0.0
414529.0,,gajapati,4237647427,Kashinagar,chc,10.71,7.03
414505.0,,gajapati,4237647427,Kashinagar,chc,21.47,18.33
414528.0,,gajapati,4237647427,Kashinagar,chc,18.27,11.91
414527.0,,gajapati,4237647427,Kashinagar,chc,18.27,11.91
414520.0,,gajapati,4237647427,Kashinagar,chc,18.27,11.91
414438.0,,gajapati,4734215884,Gumma,chc,23.62,9.84
414525.0,,gajapati,4237647427,Kashinagar,chc,18.27,11.91
414518.0,,gajapati,4237647427,Kashinagar,chc,18.27,11.91
414427.0,,gajapati,4237647427,Kashinagar,chc,18.27,11.91
414502.0,,gajapati,4237647427,Kashinagar,chc,21.47,18.33
