lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
413452.0,,ganjam,5834685363,Patrapur,chc,39.82,26.54
413451.0,,ganjam,5834685363,Patrapur,chc,47.54,31.69
413450.0,,ganjam,5834685363,Patrapur,chc,42.47,28.3
413447.0,,ganjam,5834685363,Patrapur,chc,18.45,12.3
413453.0,,ganjam,5834685363,Patrapur,chc,18.45,12.3
413443.0,,ganjam,5834685363,Patrapur,chc,17.9,11.93
413454.0,,ganjam,5834685363,Patrapur,chc,17.9,11.93
413455.0,,ganjam,5834685363,Patrapur,chc,17.9,11.93
413458.0,,ganjam,5834685363,Patrapur,chc,93.16,52.86
413456.0,,ganjam,5834685363,Patrapur,chc,74.7,44.94
413457.0,,ganjam,5834685363,Patrapur,chc,93.16,52.86
413444.0,,ganjam,5834685363,Patrapur,chc,17.9,11.93
413446.0,,ganjam,5834685363,Patrapur,chc,17.93,11.95
413459.0,,ganjam,5834685363,Patrapur,chc,17.49,11.66
413445.0,,ganjam,5834685363,Patrapur,chc,17.9,11.93
413387.0,,ganjam,5834685363,Patrapur,chc,27.22,18.15
413429.0,,ganjam,5834685363,Patrapur,chc,29.08,19.39
413449.0,,ganjam,5834685363,Patrapur,chc,36.07,24.04
413383.0,,ganjam,5834685363,Patrapur,chc,29.08,19.39
413381.0,,ganjam,5834685363,Patrapur,chc,29.07,19.38
413380.0,,ganjam,5834685363,Patrapur,chc,29.07,19.38
413382.0,,ganjam,5834685363,Patrapur,chc,29.07,19.38
413377.0,,ganjam,5834685363,Patrapur,chc,26.1,17.4
413431.0,,ganjam,5834685363,Patrapur,chc,35.58,23.71
413432.0,,ganjam,5834685363,Patrapur,chc,26.9,17.93
413384.0,,ganjam,5834685363,Patrapur,chc,29.07,19.38
413385.0,,ganjam,5834685363,Patrapur,chc,27.22,18.15
413434.0,,ganjam,5834685363,Patrapur,chc,32.37,21.58
413433.0,,ganjam,5834685363,Patrapur,chc,30.31,20.2
413430.0,,ganjam,5834685363,Patrapur,chc,31.23,20.82
413435.0,,ganjam,5834685363,Patrapur,chc,29.86,19.9
413448.0,,ganjam,5834685363,Patrapur,chc,35.94,23.95
413173.0,,ganjam,5834685363,Patrapur,chc,27.22,18.15
413106.0,,ganjam,5834685363,Patrapur,chc,4.24,2.83
413175.0,,ganjam,5834685363,Patrapur,chc,26.1,17.4
413174.0,,ganjam,5834685363,Patrapur,chc,27.22,18.15
413110.0,,ganjam,5834685363,Patrapur,chc,27.22,18.15
413107.0,,ganjam,5834685363,Patrapur,chc,4.24,2.83
413378.0,,ganjam,5834685363,Patrapur,chc,27.22,18.15
413109.0,,ganjam,5834685363,Patrapur,chc,4.24,2.83
413105.0,,ganjam,5834685363,Patrapur,chc,27.22,18.15
413171.0,,ganjam,5834685363,Patrapur,chc,4.24,2.83
413235.0,,ganjam,5834685363,Patrapur,chc,27.22,18.15
413111.0,,ganjam,5834685363,Patrapur,chc,26.1,17.4
413232.0,,ganjam,5834685363,Patrapur,chc,27.22,18.15
413231.0,,ganjam,5834685363,Patrapur,chc,26.1,17.4
413354.0,,ganjam,5834685363,Patrapur,chc,27.22,18.15
413172.0,,ganjam,5834685363,Patrapur,chc,27.22,18.15
413113.0,,ganjam,5834685363,Patrapur,chc,27.22,18.15
413355.0,,ganjam,5834685363,Patrapur,chc,26.1,17.4
413234.0,,ganjam,5834685363,Patrapur,chc,26.1,17.4
413112.0,,ganjam,5834685363,Patrapur,chc,27.22,18.15
413170.0,,ganjam,5834685363,Patrapur,chc,26.1,17.4
413176.0,,ganjam,5834685363,Patrapur,chc,26.1,17.4
413233.0,,ganjam,5834685363,Patrapur,chc,27.22,18.15
413379.0,,ganjam,5834685363,Patrapur,chc,29.07,19.38
413353.0,,ganjam,5834685363,Patrapur,chc,27.22,18.15
413351.0,,ganjam,5834685363,Patrapur,chc,27.23,18.16
413352.0,,ganjam,5834685363,Patrapur,chc,27.22,18.15
413271.0,,ganjam,5834685363,Patrapur,chc,3.99,2.66
413365.0,,ganjam,5834685363,Patrapur,chc,6.22,4.15
413343.0,,ganjam,5834685363,Patrapur,chc,11.04,7.36
413403.0,,ganjam,5834685363,Patrapur,chc,12.99,8.66
413309.0,,ganjam,5834685363,Patrapur,chc,6.09,4.06
413305.0,,ganjam,5834685363,Patrapur,chc,2.28,1.52
413345.0,,ganjam,5834685363,Patrapur,chc,9.12,6.09
413339.0,,ganjam,5834685363,Patrapur,chc,10.87,7.25
413439.0,,ganjam,5834685363,Patrapur,chc,18.77,12.51
413406.0,,ganjam,5834685363,Patrapur,chc,14.95,9.96
413374.0,,ganjam,5834685363,Patrapur,chc,9.71,6.48
413373.0,,ganjam,5834685363,Patrapur,chc,7.21,4.81
413390.0,,ganjam,5834685363,Patrapur,chc,25.49,16.99
413398.0,,ganjam,5834685363,Patrapur,chc,9.71,6.48
413410.0,,ganjam,5834685363,Patrapur,chc,17.26,11.5
413440.0,,ganjam,5834685363,Patrapur,chc,18.77,12.51
413407.0,,ganjam,5834685363,Patrapur,chc,16.89,11.26
413313.0,,ganjam,5834685363,Patrapur,chc,2.25,1.5
413311.0,,ganjam,5834685363,Patrapur,chc,5.54,3.7
413306.0,,ganjam,5834685363,Patrapur,chc,3.29,2.2
413371.0,,ganjam,5834685363,Patrapur,chc,5.29,3.53
413402.0,,ganjam,5834685363,Patrapur,chc,9.73,6.49
413376.0,,ganjam,5834685363,Patrapur,chc,25.99,17.33
413411.0,,ganjam,5834685363,Patrapur,chc,16.89,11.26
413421.0,,ganjam,5834685363,Patrapur,chc,18.77,12.51
413420.0,,ganjam,5834685363,Patrapur,chc,18.16,12.1
413341.0,,ganjam,5834685363,Patrapur,chc,11.9,7.93
413428.0,,ganjam,5834685363,Patrapur,chc,26.1,17.4
413332.0,,ganjam,5834685363,Patrapur,chc,7.58,5.06
413333.0,,ganjam,5834685363,Patrapur,chc,8.6,5.73
413415.0,,ganjam,5834685363,Patrapur,chc,19.6,13.07
413369.0,,ganjam,5834685363,Patrapur,chc,6.22,4.15
413400.0,,ganjam,5834685363,Patrapur,chc,9.73,6.49
413394.0,,ganjam,5834685363,Patrapur,chc,25.37,16.91
413405.0,,ganjam,5834685363,Patrapur,chc,14.21,9.48
413422.0,,ganjam,5834685363,Patrapur,chc,20.23,13.48
413424.0,,ganjam,5834685363,Patrapur,chc,21.84,14.56
413367.0,,ganjam,5834685363,Patrapur,chc,25.99,17.33
413408.0,,ganjam,5834685363,Patrapur,chc,16.89,11.26
413236.0,,ganjam,5834685363,Patrapur,chc,5.29,3.53
413372.0,,ganjam,5834685363,Patrapur,chc,7.21,4.81
413399.0,,ganjam,5834685363,Patrapur,chc,8.22,5.48
413391.0,,ganjam,5834685363,Patrapur,chc,25.99,17.33
413370.0,,ganjam,5834685363,Patrapur,chc,6.22,4.15
413375.0,,ganjam,5834685363,Patrapur,chc,25.49,16.99
413438.0,,ganjam,5834685363,Patrapur,chc,23.62,15.74
413437.0,,ganjam,5834685363,Patrapur,chc,22.59,15.06
