lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
398183.0,,jagatsinghapur,8244756360,Naugaon,chc,2.01,0.84
398129.0,,jagatsinghapur,5872858260,Raghunathpur,chc,0.0,0.0
398149.0,,jagatsinghapur,5872858260,Raghunathpur,chc,0.0,0.0
398185.0,,jagatsinghapur,8244756360,Naugaon,chc,6.01,2.5
398144.0,,jagatsinghapur,5872858260,Raghunathpur,chc,0.0,0.0
398147.0,,jagatsinghapur,5872858260,Raghunathpur,chc,0.0,0.0
398155.0,,jagatsinghapur,8244756360,Naugaon,chc,0.0,0.0
398130.0,,jagatsinghapur,5872858260,Raghunathpur,chc,0.0,0.0
398182.0,,jagatsinghapur,8244756360,Naugaon,chc,3.47,1.44
398161.0,,jagatsinghapur,5872858260,Raghunathpur,chc,0.0,0.0
398154.0,,jagatsinghapur,5872858260,Raghunathpur,chc,0.0,0.0
398148.0,,jagatsinghapur,5872858260,Raghunathpur,chc,0.0,0.0
398133.0,,jagatsinghapur,5872858260,Raghunathpur,chc,0.0,0.0
398156.0,,jagatsinghapur,8244756360,Naugaon,chc,0.19,0.08
398150.0,,jagatsinghapur,5872858260,Raghunathpur,chc,0.0,0.0
398158.0,,jagatsinghapur,5872858260,Raghunathpur,chc,0.0,0.0
398106.0,,jagatsinghapur,5872858260,Raghunathpur,chc,0.0,0.0
398145.0,,jagatsinghapur,5872858260,Raghunathpur,chc,0.0,0.0
398152.0,,jagatsinghapur,5872858260,Raghunathpur,chc,0.0,0.0
398157.0,,jagatsinghapur,5872858260,Raghunathpur,chc,0.0,0.0
398153.0,,jagatsinghapur,5872858260,Raghunathpur,chc,0.0,0.0
398162.0,,jagatsinghapur,8244756360,Naugaon,chc,0.19,0.08
398151.0,,jagatsinghapur,5872858260,Raghunathpur,chc,0.0,0.0
398160.0,,jagatsinghapur,5872858260,Raghunathpur,chc,0.0,0.0
398146.0,,jagatsinghapur,5872858260,Raghunathpur,chc,0.0,0.0
398132.0,,jagatsinghapur,5872858260,Raghunathpur,chc,0.0,0.0
398126.0,,jagatsinghapur,5872858260,Raghunathpur,chc,0.0,0.0
398127.0,,jagatsinghapur,5872858260,Raghunathpur,chc,0.0,0.0
398131.0,,jagatsinghapur,5872858260,Raghunathpur,chc,0.0,0.0
398159.0,,jagatsinghapur,5872858260,Raghunathpur,chc,0.0,0.0
398430.0,,jagatsinghapur,8515737487,Borikina,chc,22.47,14.21
398426.0,,jagatsinghapur,8515737487,Borikina,chc,16.5,10.99
398432.0,,jagatsinghapur,7781547422,Ersama,chc,0.0,0.0
398431.0,,jagatsinghapur,8515737487,Borikina,chc,17.98,11.98
398412.0,,jagatsinghapur,8515737487,Borikina,chc,16.9,11.26
398411.0,,jagatsinghapur,8515737487,Borikina,chc,14.99,9.98
398424.0,,jagatsinghapur,8515737487,Borikina,chc,14.13,9.41
398425.0,,jagatsinghapur,8515737487,Borikina,chc,20.88,10.79
398410.0,,jagatsinghapur,7781547422,Ersama,chc,0.0,0.0
398413.0,,jagatsinghapur,8515737487,Borikina,chc,12.76,8.5
398409.0,,jagatsinghapur,7781547422,Ersama,chc,0.0,0.0
398429.0,,jagatsinghapur,8515737487,Borikina,chc,28.31,13.89
398427.0,,jagatsinghapur,8515737487,Borikina,chc,27.46,13.53
398428.0,,jagatsinghapur,8515737487,Borikina,chc,25.2,12.59
398420.0,,jagatsinghapur,8515737487,Borikina,chc,15.15,8.4
398385.0,,jagatsinghapur,8515737487,Borikina,chc,21.01,10.83
398175.0,,jagatsinghapur,3478236429,Redhua,chc,0.0,0.0
398176.0,,jagatsinghapur,8244756360,Naugaon,chc,8.49,3.53
398170.0,,jagatsinghapur,3478236429,Redhua,chc,0.0,0.0
398163.0,,jagatsinghapur,8244756360,Naugaon,chc,0.56,0.23
398142.0,,jagatsinghapur,8244756360,Naugaon,chc,0.56,0.23
398307.0,,jagatsinghapur,3478236429,Redhua,chc,1.59,1.06
398173.0,,jagatsinghapur,3478236429,Redhua,chc,0.0,0.0
398377.0,,jagatsinghapur,8515737487,Borikina,chc,0.82,0.55
398195.0,,jagatsinghapur,3478236429,Redhua,chc,0.0,0.0
