lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
401749.0,,jajapur,6275418488,Barachana,chc,100.98,99.89
401760.0,,jajapur,6275418488,Barachana,chc,100.98,99.89
401751.0,,jajapur,6275418488,Barachana,chc,100.98,99.89
401762.0,,jajapur,6275418488,Barachana,chc,100.98,99.89
401754.0,,jajapur,6275418488,Barachana,chc,100.98,99.89
401765.0,,jajapur,6275418488,Barachana,chc,100.98,99.89
401746.0,,jajapur,6275418488,Barachana,chc,100.98,99.89
401766.0,,jajapur,6275418488,Barachana,chc,100.98,99.89
401748.0,,jajapur,6275418488,Barachana,chc,100.98,99.89
401764.0,,jajapur,6275418488,Barachana,chc,100.98,99.89
401750.0,,jajapur,6275418488,Barachana,chc,100.98,99.89
401752.0,,jajapur,6275418488,Barachana,chc,100.98,99.89
401763.0,,jajapur,6275418488,Barachana,chc,100.98,99.89
401755.0,,jajapur,6275418488,Barachana,chc,100.98,99.89
401761.0,,jajapur,6275418488,Barachana,chc,100.98,99.89
401756.0,,jajapur,6275418488,Barachana,chc,100.98,99.89
401747.0,,jajapur,6275418488,Barachana,chc,100.98,99.89
401753.0,,jajapur,6275418488,Barachana,chc,100.98,99.89
401858.0,,jajapur,6275418488,Barachana,chc,0.0,0.0
401850.0,,jajapur,6275418488,Barachana,chc,0.0,0.0
401860.0,,jajapur,6275418488,Barachana,chc,0.0,0.0
401851.0,,jajapur,6275418488,Barachana,chc,0.0,0.0
401861.0,,jajapur,6275418488,Barachana,chc,0.0,0.0
401849.0,,jajapur,6275418488,Barachana,chc,0.0,0.0
401859.0,,jajapur,6275418488,Barachana,chc,0.0,0.0
402081.0,,jajapur,8636484159,Madhubana,chc,0.0,0.0
401862.0,,jajapur,6275418488,Barachana,chc,0.0,0.0
402085.0,,jajapur,8636484159,Madhubana,chc,0.0,0.0
402083.0,,jajapur,8636484159,Madhubana,chc,0.0,0.0
402082.0,,jajapur,8636484159,Madhubana,chc,0.0,0.0
402084.0,,jajapur,4864232642,Mangalpur,chc,97.04,78.18
401637.0,,jajapur,6275418488,Barachana,chc,94.82,95.79
401636.0,,jajapur,4734254735,Sukinda,chc,71.06,63.44
401635.0,,jajapur,4734254735,Sukinda,chc,72.2,64.2
