lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
381000.0,,jharsuguda,1111454243,Lakhanpur,chc,55.72,55.46
380999.0,,jharsuguda,1111454243,Lakhanpur,chc,56.79,54.92
380997.0,,jharsuguda,1111454243,Lakhanpur,chc,57.75,54.85
381002.0,,jharsuguda,1111454243,Lakhanpur,chc,57.5,56.64
380995.0,,jharsuguda,1111454243,Lakhanpur,chc,47.03,49.56
380998.0,,jharsuguda,1111454243,Lakhanpur,chc,57.54,56.01
380996.0,,jharsuguda,1111454243,Lakhanpur,chc,52.79,53.2
380994.0,,jharsuguda,1111454243,Lakhanpur,chc,44.61,48.05
380993.0,,jharsuguda,1111454243,Lakhanpur,chc,44.86,47.92
380988.0,,jharsuguda,1111454243,Lakhanpur,chc,36.88,42.9
381003.0,,jharsuguda,1111454243,Lakhanpur,chc,57.5,56.65
381004.0,,jharsuguda,1111454243,Lakhanpur,chc,105.33,86.36
380970.0,,jharsuguda,1111454243,Lakhanpur,chc,7.31,9.07
381001.0,,jharsuguda,1111454243,Lakhanpur,chc,57.74,56.81
380991.0,,jharsuguda,1111454243,Lakhanpur,chc,40.36,45.22
380992.0,,jharsuguda,1111454243,Lakhanpur,chc,42.2,46.35
380974.0,,jharsuguda,1111454243,Lakhanpur,chc,9.44,12.08
380971.0,,jharsuguda,1111454243,Lakhanpur,chc,8.59,10.88
380972.0,,jharsuguda,1111454243,Lakhanpur,chc,8.61,10.91
380976.0,,jharsuguda,1111454243,Lakhanpur,chc,10.9,14.16
380975.0,,jharsuguda,1111454243,Lakhanpur,chc,9.77,12.55
380989.0,,jharsuguda,1111454243,Lakhanpur,chc,36.87,42.89
380990.0,,jharsuguda,1111454243,Lakhanpur,chc,38.26,43.81
380977.0,,jharsuguda,1111454243,Lakhanpur,chc,15.38,20.49
380952.0,,jharsuguda,1111454243,Lakhanpur,chc,30.74,38.56
380953.0,,jharsuguda,1111454243,Lakhanpur,chc,27.77,37.27
380987.0,,jharsuguda,1111454243,Lakhanpur,chc,29.92,38.25
380933.0,,jharsuguda,1111454243,Lakhanpur,chc,22.85,26.66
380936.0,,jharsuguda,1111454243,Lakhanpur,chc,25.19,28.23
380930.0,,jharsuguda,1111454243,Lakhanpur,chc,31.75,33.48
380966.0,,jharsuguda,1111454243,Lakhanpur,chc,11.4,14.86
380944.0,,jharsuguda,1111454243,Lakhanpur,chc,20.55,25.14
380951.0,,jharsuguda,1111454243,Lakhanpur,chc,31.18,38.85
380929.0,,jharsuguda,1111454243,Lakhanpur,chc,28.04,32.03
380934.0,,jharsuguda,1111454243,Lakhanpur,chc,26.07,28.22
380931.0,,jharsuguda,1111454243,Lakhanpur,chc,26.21,31.37
380965.0,,jharsuguda,1111454243,Lakhanpur,chc,11.0,14.29
380967.0,,jharsuguda,1111454243,Lakhanpur,chc,9.63,12.35
380938.0,,jharsuguda,1111454243,Lakhanpur,chc,20.93,22.95
380942.0,,jharsuguda,1111454243,Lakhanpur,chc,15.07,20.06
380941.0,,jharsuguda,1111454243,Lakhanpur,chc,12.8,16.84
380973.0,,jharsuguda,1111454243,Lakhanpur,chc,9.93,12.78
380949.0,,jharsuguda,1111454243,Lakhanpur,chc,24.48,30.53
380960.0,,jharsuguda,1111454243,Lakhanpur,chc,17.16,23.02
380961.0,,jharsuguda,1111454243,Lakhanpur,chc,16.4,21.94
380948.0,,jharsuguda,1111454243,Lakhanpur,chc,21.41,26.59
380957.0,,jharsuguda,1111454243,Lakhanpur,chc,20.82,27.65
380945.0,,jharsuguda,1111454243,Lakhanpur,chc,19.78,23.6
380937.0,,jharsuguda,1111454243,Lakhanpur,chc,23.38,27.02
380928.0,,jharsuguda,1111454243,Lakhanpur,chc,33.95,34.4
380935.0,,jharsuguda,1111454243,Lakhanpur,chc,29.26,30.94
380955.0,,jharsuguda,1111454243,Lakhanpur,chc,23.34,31.77
380964.0,,jharsuguda,1111454243,Lakhanpur,chc,13.99,18.52
380932.0,,jharsuguda,1111454243,Lakhanpur,chc,25.66,28.43
380950.0,,jharsuguda,1111454243,Lakhanpur,chc,24.72,31.23
380983.0,,jharsuguda,1111454243,Lakhanpur,chc,22.48,30.55
380940.0,,jharsuguda,1111454243,Lakhanpur,chc,12.36,16.21
380943.0,,jharsuguda,1111454243,Lakhanpur,chc,18.1,21.53
380939.0,,jharsuguda,1111454243,Lakhanpur,chc,23.34,23.95
380968.0,,jharsuguda,1111454243,Lakhanpur,chc,9.03,11.5
380946.0,,jharsuguda,1111454243,Lakhanpur,chc,19.85,24.37
380947.0,,jharsuguda,1111454243,Lakhanpur,chc,22.31,25.36
380986.0,,jharsuguda,1111454243,Lakhanpur,chc,29.46,37.67
380982.0,,jharsuguda,1111454243,Lakhanpur,chc,19.73,26.67
380963.0,,jharsuguda,1111454243,Lakhanpur,chc,15.33,20.43
380956.0,,jharsuguda,1111454243,Lakhanpur,chc,19.92,26.94
380969.0,,jharsuguda,1111454243,Lakhanpur,chc,7.96,9.99
380981.0,,jharsuguda,1111454243,Lakhanpur,chc,19.13,25.82
380958.0,,jharsuguda,1111454243,Lakhanpur,chc,17.99,24.2
380959.0,,jharsuguda,1111454243,Lakhanpur,chc,17.69,23.24
380954.0,,jharsuguda,1111454243,Lakhanpur,chc,24.95,34.04
380985.0,,jharsuguda,1111454243,Lakhanpur,chc,25.1,34.25
380962.0,,jharsuguda,1111454243,Lakhanpur,chc,15.41,20.54
380980.0,,jharsuguda,1111454243,Lakhanpur,chc,18.04,24.27
380979.0,,jharsuguda,1111454243,Lakhanpur,chc,18.1,24.35
380978.0,,jharsuguda,1111454243,Lakhanpur,chc,16.45,22.01
380984.0,,jharsuguda,1111454243,Lakhanpur,chc,23.03,31.34
381047.0,,jharsuguda,1111454243,Lakhanpur,chc,42.67,26.65
381071.0,,jharsuguda,1111454243,Lakhanpur,chc,48.34,27.88
381068.0,,jharsuguda,1111454243,Lakhanpur,chc,48.1,27.77
381031.0,,jharsuguda,1111454243,Lakhanpur,chc,22.86,16.41
381019.0,,jharsuguda,1111454243,Lakhanpur,chc,10.07,6.82
381016.0,,jharsuguda,1111454243,Lakhanpur,chc,5.5,4.85
