lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
424203.0,,kalahandi,7472871180,Jaipatna,chc,5.31,3.54
424219.0,,kalahandi,7472871180,Jaipatna,chc,17.4,11.59
424515.0,,kalahandi,7472871180,Jaipatna,chc,97.46,64.76
424220.0,,kalahandi,7472871180,Jaipatna,chc,20.75,13.83
424215.0,,kalahandi,7472871180,Jaipatna,chc,11.26,7.42
424182.0,,kalahandi,7472871180,Jaipatna,chc,65.27,40.26
424218.0,,kalahandi,7472871180,Jaipatna,chc,13.49,8.99
424472.0,,kalahandi,7472871180,Jaipatna,chc,59.21,39.38
424201.0,,kalahandi,7472871180,Jaipatna,chc,15.81,10.53
424200.0,,kalahandi,7472871180,Jaipatna,chc,64.07,39.76
424516.0,,kalahandi,7472871180,Jaipatna,chc,97.46,64.76
424223.0,,kalahandi,7472871180,Jaipatna,chc,25.23,16.8
424474.0,,kalahandi,7472871180,Jaipatna,chc,59.21,39.38
424224.0,,kalahandi,7472871180,Jaipatna,chc,20.47,13.64
424471.0,,kalahandi,7472871180,Jaipatna,chc,59.21,39.38
424226.0,,kalahandi,7472871180,Jaipatna,chc,17.78,11.85
424225.0,,kalahandi,7472871180,Jaipatna,chc,17.78,11.85
424202.0,,kalahandi,7472871180,Jaipatna,chc,9.08,6.04
424222.0,,kalahandi,7472871180,Jaipatna,chc,27.8,18.51
424217.0,,kalahandi,7472871180,Jaipatna,chc,12.39,8.26
424221.0,,kalahandi,7472871180,Jaipatna,chc,24.51,16.33
424475.0,,kalahandi,7472871180,Jaipatna,chc,60.87,40.49
424476.0,,kalahandi,7472871180,Jaipatna,chc,60.88,40.5
424077.0,,kalahandi,4752358442,Koksara,chc,15.04,21.29
424008.0,,kalahandi,6417875769,Parla,chc,23.9,25.08
424076.0,,kalahandi,4752358442,Koksara,chc,41.14,43.02
424075.0,,kalahandi,4752358442,Koksara,chc,41.75,43.43
424154.0,,kalahandi,7472871180,Jaipatna,chc,14.34,9.55
424179.0,,kalahandi,7472871180,Jaipatna,chc,44.84,29.82
424199.0,,kalahandi,7472871180,Jaipatna,chc,54.79,36.34
424183.0,,kalahandi,7472871180,Jaipatna,chc,64.05,39.75
424175.0,,kalahandi,7472871180,Jaipatna,chc,47.11,31.28
424187.0,,kalahandi,7472871180,Jaipatna,chc,56.52,37.49
424147.0,,kalahandi,7472871180,Jaipatna,chc,38.67,25.72
424144.0,,kalahandi,7472871180,Jaipatna,chc,30.38,20.11
424174.0,,kalahandi,7472871180,Jaipatna,chc,49.05,32.57
424180.0,,kalahandi,7472871180,Jaipatna,chc,46.65,31.02
424173.0,,kalahandi,7472871180,Jaipatna,chc,57.57,37.06
424152.0,,kalahandi,7472871180,Jaipatna,chc,19.29,12.75
424186.0,,kalahandi,7472871180,Jaipatna,chc,56.52,37.49
424197.0,,kalahandi,7472871180,Jaipatna,chc,0.0,0.0
424181.0,,kalahandi,7472871180,Jaipatna,chc,46.76,31.09
424185.0,,kalahandi,7472871180,Jaipatna,chc,54.79,36.34
424146.0,,kalahandi,7472871180,Jaipatna,chc,36.64,24.36
424188.0,,kalahandi,7472871180,Jaipatna,chc,4.08,2.72
424150.0,,kalahandi,7472871180,Jaipatna,chc,54.32,36.0
424156.0,,kalahandi,7472871180,Jaipatna,chc,15.1,10.07
424155.0,,kalahandi,7472871180,Jaipatna,chc,12.79,8.53
424151.0,,kalahandi,7472871180,Jaipatna,chc,25.68,17.06
424198.0,,kalahandi,7472871180,Jaipatna,chc,6.84,4.56
424184.0,,kalahandi,7472871180,Jaipatna,chc,54.79,36.34
424071.0,,kalahandi,4752358442,Koksara,chc,11.14,15.78
424139.0,,kalahandi,7472871180,Jaipatna,chc,19.47,12.96
424138.0,,kalahandi,7472871180,Jaipatna,chc,20.01,13.27
424176.0,,kalahandi,7472871180,Jaipatna,chc,50.03,33.16
424189.0,,kalahandi,7472871180,Jaipatna,chc,6.62,4.41
424172.0,,kalahandi,7472871180,Jaipatna,chc,56.33,37.36
424145.0,,kalahandi,7472871180,Jaipatna,chc,34.24,22.76
424177.0,,kalahandi,7472871180,Jaipatna,chc,41.57,27.64
424149.0,,kalahandi,7472871180,Jaipatna,chc,42.98,28.52
424148.0,,kalahandi,7472871180,Jaipatna,chc,38.22,25.35
424171.0,,kalahandi,7472871180,Jaipatna,chc,9.72,6.48
424153.0,,kalahandi,7472871180,Jaipatna,chc,12.89,8.58
424142.0,,kalahandi,7472871180,Jaipatna,chc,26.73,17.75
424078.0,,kalahandi,4752358442,Koksara,chc,33.95,37.31
424205.0,,kalahandi,7472871180,Jaipatna,chc,6.3,4.18
424178.0,,kalahandi,4752358442,Koksara,chc,33.98,37.33
424119.0,,kalahandi,4752358442,Koksara,chc,24.74,22.31
424140.0,,kalahandi,7472871180,Jaipatna,chc,23.55,15.63
424058.0,,kalahandi,7472871180,Jaipatna,chc,22.68,15.05
424048.0,,kalahandi,4752358442,Koksara,chc,16.8,21.9
424068.0,,kalahandi,4752358442,Koksara,chc,5.19,7.35
424098.0,,kalahandi,4752358442,Koksara,chc,22.81,21.03
424084.0,,kalahandi,4752358442,Koksara,chc,15.71,16.29
424049.0,,kalahandi,4752358442,Koksara,chc,12.48,9.41
424046.0,,kalahandi,4752358442,Koksara,chc,17.63,23.93
424043.0,,kalahandi,4752358442,Koksara,chc,8.65,6.84
424120.0,,kalahandi,7472871180,Jaipatna,chc,22.55,15.04
424030.0,,kalahandi,4752358442,Koksara,chc,82.47,60.55
424047.0,,kalahandi,4752358442,Koksara,chc,14.24,19.12
424041.0,,kalahandi,4752358442,Koksara,chc,2.93,1.54
424053.0,,kalahandi,4752358442,Koksara,chc,0.8,1.13
424118.0,,kalahandi,7472871180,Jaipatna,chc,23.91,15.94
424045.0,,kalahandi,4752358442,Koksara,chc,16.48,12.07
424055.0,,kalahandi,4752358442,Koksara,chc,76.64,56.75
424050.0,,kalahandi,4752358442,Koksara,chc,5.29,4.62
424062.0,,kalahandi,7472871180,Jaipatna,chc,41.65,27.65
424032.0,,kalahandi,4752358442,Koksara,chc,3.92,5.57
424067.0,,kalahandi,7472871180,Jaipatna,chc,35.75,23.8
424136.0,,kalahandi,7472871180,Jaipatna,chc,18.93,12.62
424066.0,,kalahandi,7472871180,Jaipatna,chc,37.66,25.04
424063.0,,kalahandi,4752358442,Koksara,chc,7.16,6.72
424072.0,,kalahandi,4752358442,Koksara,chc,7.91,11.2
424121.0,,kalahandi,7472871180,Jaipatna,chc,22.65,15.1
424054.0,,kalahandi,4752358442,Koksara,chc,6.5,6.29
424052.0,,kalahandi,4752358442,Koksara,chc,5.56,5.67
424096.0,,kalahandi,4752358442,Koksara,chc,19.42,18.78
424070.0,,kalahandi,7472871180,Jaipatna,chc,42.06,27.99
424073.0,,kalahandi,4752358442,Koksara,chc,11.17,15.02
424069.0,,kalahandi,4752358442,Koksara,chc,6.45,9.14
424141.0,,kalahandi,7472871180,Jaipatna,chc,23.77,15.82
424059.0,,kalahandi,7472871180,Jaipatna,chc,41.11,27.3
424064.0,,kalahandi,7472871180,Jaipatna,chc,32.7,21.7
424061.0,,kalahandi,7472871180,Jaipatna,chc,37.45,24.86
424009.0,,kalahandi,6417875769,Parla,chc,18.26,21.34
424074.0,,kalahandi,4752358442,Koksara,chc,13.4,18.04
424143.0,,kalahandi,7472871180,Jaipatna,chc,31.07,20.56
424056.0,,kalahandi,4752358442,Koksara,chc,76.98,56.76
424065.0,,kalahandi,7472871180,Jaipatna,chc,30.68,20.43
424044.0,,kalahandi,4752358442,Koksara,chc,9.49,7.42
424057.0,,kalahandi,4752358442,Koksara,chc,77.0,56.76
424033.0,,kalahandi,4752358442,Koksara,chc,1.68,2.38
424031.0,,kalahandi,4752358442,Koksara,chc,82.32,60.45
424085.0,,kalahandi,4752358442,Koksara,chc,25.11,22.47
424029.0,,kalahandi,4752358442,Koksara,chc,14.59,15.54
424036.0,,kalahandi,4752358442,Koksara,chc,0.88,1.24
424037.0,,kalahandi,4752358442,Koksara,chc,0.0,0.0
424097.0,,kalahandi,4752358442,Koksara,chc,20.18,19.28
424137.0,,kalahandi,7472871180,Jaipatna,chc,20.76,13.78
424051.0,,kalahandi,4752358442,Koksara,chc,3.93,3.71
424060.0,,kalahandi,7472871180,Jaipatna,chc,39.93,26.51
423983.0,,kalahandi,6417875769,Parla,chc,18.9,13.39
423997.0,,kalahandi,6417875769,Parla,chc,22.11,15.49
423989.0,,kalahandi,6417875769,Parla,chc,14.87,14.31
424083.0,,kalahandi,4752358442,Koksara,chc,14.35,15.31
424017.0,,kalahandi,4752358442,Koksara,chc,14.93,10.04
423994.0,,kalahandi,4752358442,Koksara,chc,20.22,13.59
