lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
417232.0,,kandhamal,2815561226,Subarnagiri,chc,27.97,24.56
417231.0,,kandhamal,2815561226,Subarnagiri,chc,28.82,25.47
417222.0,,kandhamal,2815561226,Subarnagiri,chc,17.15,12.84
417193.0,,kandhamal,2815561226,Subarnagiri,chc,18.05,13.81
417196.0,,kandhamal,2815561226,Subarnagiri,chc,15.92,11.5
417195.0,,kandhamal,2815561226,Subarnagiri,chc,15.47,11.01
417233.0,,kandhamal,2815561226,Subarnagiri,chc,25.6,20.22
417124.0,,kandhamal,2815561226,Subarnagiri,chc,18.03,13.78
417228.0,,kandhamal,2815561226,Subarnagiri,chc,22.94,19.1
417227.0,,kandhamal,2815561226,Subarnagiri,chc,26.58,20.63
417192.0,,kandhamal,2815561226,Subarnagiri,chc,18.01,13.76
417223.0,,kandhamal,2815561226,Subarnagiri,chc,18.15,13.92
417194.0,,kandhamal,2815561226,Subarnagiri,chc,12.9,8.23
417230.0,,kandhamal,2815561226,Subarnagiri,chc,26.72,23.2
417229.0,,kandhamal,2815561226,Subarnagiri,chc,24.68,20.99
417234.0,,kandhamal,2815561226,Subarnagiri,chc,29.6,21.89
417235.0,,kandhamal,2815561226,Subarnagiri,chc,33.46,23.5
417226.0,,kandhamal,2815561226,Subarnagiri,chc,20.5,16.47
417225.0,,kandhamal,2815561226,Subarnagiri,chc,19.63,15.52
417224.0,,kandhamal,2815561226,Subarnagiri,chc,19.42,15.29
417107.0,,kandhamal,2815561226,Subarnagiri,chc,79.78,73.19
416972.0,,kandhamal,1234126132,Tumudibandha,chc,7.06,7.64
417118.0,,kandhamal,2815561226,Subarnagiri,chc,79.8,73.2
417111.0,,kandhamal,2815561226,Subarnagiri,chc,80.95,73.71
416978.0,,kandhamal,1234126132,Tumudibandha,chc,9.05,9.8
417093.0,,kandhamal,1234126132,Tumudibandha,chc,3.66,3.96
417092.0,,kandhamal,1234126132,Tumudibandha,chc,3.6,3.9
