lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
396839.0,,kendrapara,1736768282,Patkura,chc,129.59,153.44
396846.0,,kendrapara,1736768282,Patkura,chc,129.59,153.44
396835.0,,kendrapara,1736768282,Patkura,chc,129.59,153.44
396844.0,,kendrapara,1736768282,Patkura,chc,129.59,153.44
396833.0,,kendrapara,1736768282,Patkura,chc,129.59,153.44
396834.0,,kendrapara,1736768282,Patkura,chc,129.59,153.44
396838.0,,kendrapara,1736768282,Patkura,chc,129.59,153.44
396843.0,,kendrapara,1736768282,Patkura,chc,129.59,153.44
396836.0,,kendrapara,1736768282,Patkura,chc,129.59,153.44
396840.0,,kendrapara,1736768282,Patkura,chc,129.59,153.44
396847.0,,kendrapara,1736768282,Patkura,chc,129.59,153.44
396841.0,,kendrapara,1736768282,Patkura,chc,129.59,153.44
396837.0,,kendrapara,1736768282,Patkura,chc,129.59,153.44
396842.0,,kendrapara,1736768282,Patkura,chc,129.59,153.44
396867.0,,kendrapara,1736768282,Patkura,chc,0.0,0.0
396864.0,,kendrapara,1736768282,Patkura,chc,0.0,0.0
396866.0,,kendrapara,1736768282,Patkura,chc,0.0,0.0
396859.0,,kendrapara,1736768282,Patkura,chc,0.0,0.0
396869.0,,kendrapara,1736768282,Patkura,chc,0.0,0.0
396862.0,,kendrapara,1736768282,Patkura,chc,0.0,0.0
396863.0,,kendrapara,1736768282,Patkura,chc,0.0,0.0
396852.0,,kendrapara,1736768282,Patkura,chc,0.0,0.0
396851.0,,kendrapara,1736768282,Patkura,chc,0.0,0.0
396845.0,,kendrapara,1736768282,Patkura,chc,0.0,0.0
396855.0,,kendrapara,1736768282,Patkura,chc,0.0,0.0
396848.0,,kendrapara,1736768282,Patkura,chc,0.0,0.0
396865.0,,kendrapara,1736768282,Patkura,chc,0.0,0.0
396868.0,,kendrapara,1736768282,Patkura,chc,0.0,0.0
396860.0,,kendrapara,1736768282,Patkura,chc,0.0,0.0
396857.0,,kendrapara,1736768282,Patkura,chc,0.0,0.0
