lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
387280.0,,kendujhar,2513245221,Sainkul,chc,19.06,14.11
387315.0,,kendujhar,2513245221,Sainkul,chc,16.39,12.99
387281.0,,kendujhar,2513245221,Sainkul,chc,46.01,43.68
387317.0,,kendujhar,2513245221,Sainkul,chc,22.57,17.98
387319.0,,kendujhar,2513245221,Sainkul,chc,16.66,15.01
387318.0,,kendujhar,2513245221,Sainkul,chc,18.14,16.13
387316.0,,kendujhar,2513245221,Sainkul,chc,19.0,14.08
387314.0,,kendujhar,2513245221,Sainkul,chc,12.04,10.77
387324.0,,kendujhar,2513245221,Sainkul,chc,14.98,12.4
387337.0,,kendujhar,2513245221,Sainkul,chc,14.39,14.63
387366.0,,kendujhar,2513245221,Sainkul,chc,38.47,24.34
387368.0,,kendujhar,2513245221,Sainkul,chc,38.47,24.33
387321.0,,kendujhar,2513245221,Sainkul,chc,17.2,16.6
387323.0,,kendujhar,2513245221,Sainkul,chc,14.51,12.21
387320.0,,kendujhar,2513245221,Sainkul,chc,15.43,13.88
387336.0,,kendujhar,2513245221,Sainkul,chc,9.55,8.39
387322.0,,kendujhar,2513245221,Sainkul,chc,17.75,16.83
387367.0,,kendujhar,2513245221,Sainkul,chc,38.46,24.33
387326.0,,kendujhar,2513245221,Sainkul,chc,9.9,8.81
387325.0,,kendujhar,2513245221,Sainkul,chc,10.64,9.49
387335.0,,kendujhar,2513245221,Sainkul,chc,8.99,7.96
387252.0,,kendujhar,2121342717,Fakirpur,chc,63.04,36.46
387250.0,,kendujhar,2121342717,Fakirpur,chc,61.02,35.63
387278.0,,kendujhar,4653733479,Salania,chc,11.69,4.87
387248.0,,kendujhar,2121342717,Fakirpur,chc,56.82,33.88
387233.0,,kendujhar,2121342717,Fakirpur,chc,61.02,35.63
387374.0,,kendujhar,2513245221,Sainkul,chc,45.41,27.22
387267.0,,kendujhar,4653733479,Salania,chc,6.92,2.88
387273.0,,kendujhar,4653733479,Salania,chc,11.07,4.61
387251.0,,kendujhar,2121342717,Fakirpur,chc,64.13,36.9
387254.0,,kendujhar,2121342717,Fakirpur,chc,59.24,34.89
387274.0,,kendujhar,4653733479,Salania,chc,9.84,4.1
387268.0,,kendujhar,4653733479,Salania,chc,15.59,6.5
387279.0,,kendujhar,4653733479,Salania,chc,13.48,5.61
387272.0,,kendujhar,4653733479,Salania,chc,13.28,5.53
