lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
431169.0,,malkangiri,4727743413,Kalimela,chc,41.14,55.26
431168.0,,malkangiri,4727743413,Kalimela,chc,42.65,56.76
431167.0,,malkangiri,4727743413,Kalimela,chc,45.67,58.77
431171.0,,malkangiri,4727743413,Kalimela,chc,55.7,63.23
431170.0,,malkangiri,4727743413,Kalimela,chc,37.03,51.7
431140.0,,malkangiri,4727743413,Kalimela,chc,33.41,46.57
431141.0,,malkangiri,4727743413,Kalimela,chc,36.29,47.06
431166.0,,malkangiri,4727743413,Kalimela,chc,50.01,61.27
431165.0,,malkangiri,4727743413,Kalimela,chc,41.12,49.07
431136.0,,malkangiri,4727743413,Kalimela,chc,47.89,49.68
431135.0,,malkangiri,4727743413,Kalimela,chc,44.26,48.13
431175.0,,malkangiri,4727743413,Kalimela,chc,45.77,49.46
431125.0,,malkangiri,4727743413,Kalimela,chc,31.01,34.99
431176.0,,malkangiri,4727743413,Kalimela,chc,37.87,45.8
431188.0,,malkangiri,4727743413,Kalimela,chc,43.45,44.82
431126.0,,malkangiri,4727743413,Kalimela,chc,38.83,47.11
431162.0,,malkangiri,4727743413,Kalimela,chc,29.79,41.1
431177.0,,malkangiri,4727743413,Kalimela,chc,31.78,39.38
431159.0,,malkangiri,4727743413,Kalimela,chc,29.48,37.91
431146.0,,malkangiri,4727743413,Kalimela,chc,34.83,44.23
431147.0,,malkangiri,4727743413,Kalimela,chc,26.64,34.81
431157.0,,malkangiri,4727743413,Kalimela,chc,27.21,34.47
431160.0,,malkangiri,4727743413,Kalimela,chc,31.0,37.04
431164.0,,malkangiri,4727743413,Kalimela,chc,30.99,41.21
431144.0,,malkangiri,4727743413,Kalimela,chc,31.48,43.83
431161.0,,malkangiri,4727743413,Kalimela,chc,35.03,32.24
431178.0,,malkangiri,4727743413,Kalimela,chc,30.68,39.99
431155.0,,malkangiri,4727743413,Kalimela,chc,18.45,19.31
431189.0,,malkangiri,4727743413,Kalimela,chc,42.77,44.53
431187.0,,malkangiri,4727743413,Kalimela,chc,38.68,33.21
431186.0,,malkangiri,4727743413,Kalimela,chc,29.87,27.91
431184.0,,malkangiri,4727743413,Kalimela,chc,24.96,24.64
431183.0,,malkangiri,4727743413,Kalimela,chc,23.13,23.42
431185.0,,malkangiri,4727743413,Kalimela,chc,33.82,30.92
431190.0,,malkangiri,4727743413,Kalimela,chc,45.23,35.94
431180.0,,malkangiri,4727743413,Kalimela,chc,33.57,29.27
431191.0,,malkangiri,4727743413,Kalimela,chc,44.94,35.82
431119.0,,malkangiri,4727743413,Kalimela,chc,27.79,31.42
431124.0,,malkangiri,4727743413,Kalimela,chc,44.55,50.93
431121.0,,malkangiri,4365264870,Podia,chc,20.09,17.53
431148.0,,malkangiri,4727743413,Kalimela,chc,21.35,29.47
431127.0,,malkangiri,4727743413,Kalimela,chc,21.2,27.02
431122.0,,malkangiri,4365264870,Podia,chc,27.89,22.09
431118.0,,malkangiri,4727743413,Kalimela,chc,23.91,28.84
431120.0,,malkangiri,4365264870,Podia,chc,24.64,21.29
431104.0,,malkangiri,4365264870,Podia,chc,27.96,24.74
431123.0,,malkangiri,4727743413,Kalimela,chc,46.26,52.06
431154.0,,malkangiri,4727743413,Kalimela,chc,15.69,16.76
431149.0,,malkangiri,4727743413,Kalimela,chc,26.92,28.97
431129.0,,malkangiri,4727743413,Kalimela,chc,11.88,13.27
431150.0,,malkangiri,4727743413,Kalimela,chc,30.25,25.6
431151.0,,malkangiri,4727743413,Kalimela,chc,15.03,15.87
431128.0,,malkangiri,4727743413,Kalimela,chc,16.0,18.76
431132.0,,malkangiri,4727743413,Kalimela,chc,12.88,13.36
431131.0,,malkangiri,4727743413,Kalimela,chc,12.27,13.63
431133.0,,malkangiri,4727743413,Kalimela,chc,13.71,13.71
431130.0,,malkangiri,4727743413,Kalimela,chc,13.37,14.64
431108.0,,malkangiri,4727743413,Kalimela,chc,23.43,15.12
431114.0,,malkangiri,4727743413,Kalimela,chc,8.57,11.35
431116.0,,malkangiri,4727743413,Kalimela,chc,25.36,28.27
