lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
391331.0,,mayurbhanj,8743315684,Thakurmunda,chc,32.9,31.78
391332.0,,mayurbhanj,8743315684,Thakurmunda,chc,36.7,33.31
391333.0,,mayurbhanj,8743315684,Thakurmunda,chc,53.4,48.83
391336.0,,mayurbhanj,8743315684,Thakurmunda,chc,52.47,48.44
391334.0,,mayurbhanj,8743315684,Thakurmunda,chc,56.95,50.31
391335.0,,mayurbhanj,8743315684,Thakurmunda,chc,68.36,55.07
391337.0,,mayurbhanj,8743315684,Thakurmunda,chc,65.86,54.02
391314.0,,mayurbhanj,8743315684,Thakurmunda,chc,14.07,14.98
391322.0,,mayurbhanj,8743315684,Thakurmunda,chc,17.09,18.25
391323.0,,mayurbhanj,8743315684,Thakurmunda,chc,17.64,18.85
391330.0,,mayurbhanj,8743315684,Thakurmunda,chc,38.77,34.22
391325.0,,mayurbhanj,8743315684,Thakurmunda,chc,19.04,20.36
391321.0,,mayurbhanj,8743315684,Thakurmunda,chc,15.75,16.8
391315.0,,mayurbhanj,8743315684,Thakurmunda,chc,15.24,16.25
391313.0,,mayurbhanj,8743315684,Thakurmunda,chc,12.49,13.27
391316.0,,mayurbhanj,8743315684,Thakurmunda,chc,12.54,13.33
391311.0,,mayurbhanj,8743315684,Thakurmunda,chc,11.4,12.08
391329.0,,mayurbhanj,8743315684,Thakurmunda,chc,56.84,50.27
391324.0,,mayurbhanj,8743315684,Thakurmunda,chc,21.72,23.27
389052.0,,mayurbhanj,8743315684,Thakurmunda,chc,1.28,1.23
389054.0,,mayurbhanj,8743315684,Thakurmunda,chc,1.28,1.23
389055.0,,mayurbhanj,8743315684,Thakurmunda,chc,1.28,1.23
389057.0,,mayurbhanj,8743315684,Thakurmunda,chc,0.9,0.82
389058.0,,mayurbhanj,8743315684,Thakurmunda,chc,2.29,2.22
389059.0,,mayurbhanj,8743315684,Thakurmunda,chc,3.2,3.2
389060.0,,mayurbhanj,8743315684,Thakurmunda,chc,2.32,2.25
389061.0,,mayurbhanj,8743315684,Thakurmunda,chc,2.29,2.22
389072.0,,mayurbhanj,8743315684,Thakurmunda,chc,3.72,3.77
389071.0,,mayurbhanj,8743315684,Thakurmunda,chc,3.58,3.62
389062.0,,mayurbhanj,8743315684,Thakurmunda,chc,2.29,2.22
389064.0,,mayurbhanj,8743315684,Thakurmunda,chc,1.44,1.3
389047.0,,mayurbhanj,8743315684,Thakurmunda,chc,0.87,0.78
389048.0,,mayurbhanj,8743315684,Thakurmunda,chc,1.28,1.23
389046.0,,mayurbhanj,8743315684,Thakurmunda,chc,1.0,0.93
389045.0,,mayurbhanj,8743315684,Thakurmunda,chc,1.13,0.96
389044.0,,mayurbhanj,8743315684,Thakurmunda,chc,0.0,0.0
389043.0,,mayurbhanj,8743315684,Thakurmunda,chc,0.92,0.61
389065.0,,mayurbhanj,8743315684,Thakurmunda,chc,2.07,1.98
391312.0,,mayurbhanj,8743315684,Thakurmunda,chc,10.24,10.83
391302.0,,mayurbhanj,8743315684,Thakurmunda,chc,9.75,7.77
389068.0,,mayurbhanj,8743315684,Thakurmunda,chc,5.23,3.49
389067.0,,mayurbhanj,8743315684,Thakurmunda,chc,3.94,2.63
389066.0,,mayurbhanj,8743315684,Thakurmunda,chc,1.64,1.09
389042.0,,mayurbhanj,8743315684,Thakurmunda,chc,3.06,2.04
389069.0,,mayurbhanj,8743315684,Thakurmunda,chc,4.56,3.04
389074.0,,mayurbhanj,8743315684,Thakurmunda,chc,4.78,4.46
389070.0,,mayurbhanj,8743315684,Thakurmunda,chc,4.96,4.59
389075.0,,mayurbhanj,8743315684,Thakurmunda,chc,7.34,4.89
389073.0,,mayurbhanj,8743315684,Thakurmunda,chc,6.15,6.4
