lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
427896.0,,nabarangpur,3178868133,Kosagumuda,chc,16.75,11.17
427909.0,,nabarangpur,3178868133,Kosagumuda,chc,53.03,28.32
427826.0,,nabarangpur,3178868133,Kosagumuda,chc,48.27,24.08
427911.0,,nabarangpur,3178868133,Kosagumuda,chc,25.52,13.11
427906.0,,nabarangpur,3178868133,Kosagumuda,chc,13.1,8.66
427910.0,,nabarangpur,3178868133,Kosagumuda,chc,52.2,24.91
427827.0,,nabarangpur,3178868133,Kosagumuda,chc,48.27,24.08
427917.0,,nabarangpur,3178868133,Kosagumuda,chc,21.7,11.58
427894.0,,nabarangpur,3178868133,Kosagumuda,chc,15.55,10.37
427900.0,,nabarangpur,3178868133,Kosagumuda,chc,47.32,30.25
427893.0,,nabarangpur,3178868133,Kosagumuda,chc,24.24,16.06
427908.0,,nabarangpur,3178868133,Kosagumuda,chc,13.1,8.66
427914.0,,nabarangpur,3178868133,Kosagumuda,chc,38.22,18.18
427823.0,,nabarangpur,3178868133,Kosagumuda,chc,31.07,15.32
427885.0,,nabarangpur,3178868133,Kosagumuda,chc,10.39,6.72
427901.0,,nabarangpur,3178868133,Kosagumuda,chc,47.19,30.06
427886.0,,nabarangpur,3178868133,Kosagumuda,chc,10.55,7.04
427898.0,,nabarangpur,3178868133,Kosagumuda,chc,29.02,19.25
427902.0,,nabarangpur,3178868133,Kosagumuda,chc,54.69,28.96
427904.0,,nabarangpur,3178868133,Kosagumuda,chc,54.69,28.96
427897.0,,nabarangpur,3178868133,Kosagumuda,chc,16.75,11.17
427895.0,,nabarangpur,3178868133,Kosagumuda,chc,16.72,11.15
427915.0,,nabarangpur,3178868133,Kosagumuda,chc,36.47,17.48
427888.0,,nabarangpur,3178868133,Kosagumuda,chc,12.13,8.09
427916.0,,nabarangpur,3178868133,Kosagumuda,chc,29.46,14.68
427907.0,,nabarangpur,3178868133,Kosagumuda,chc,13.1,8.66
427825.0,,nabarangpur,3178868133,Kosagumuda,chc,48.27,24.08
427913.0,,nabarangpur,3178868133,Kosagumuda,chc,24.01,12.5
427912.0,,nabarangpur,3178868133,Kosagumuda,chc,23.4,12.26
427842.0,,nabarangpur,5843524470,Sanamasigam,chc,21.78,14.41
427828.0,,nabarangpur,5843524470,Sanamasigam,chc,18.45,12.2
427841.0,,nabarangpur,5843524470,Sanamasigam,chc,15.79,10.42
427829.0,,nabarangpur,5843524470,Sanamasigam,chc,20.29,13.42
427892.0,,nabarangpur,3178868133,Kosagumuda,chc,14.92,9.95
427824.0,,nabarangpur,3178868133,Kosagumuda,chc,22.45,13.15
427918.0,,nabarangpur,3178868133,Kosagumuda,chc,21.23,12.5
427905.0,,nabarangpur,3178868133,Kosagumuda,chc,16.75,11.17
427903.0,,nabarangpur,3178868133,Kosagumuda,chc,54.69,28.96
427899.0,,nabarangpur,3178868133,Kosagumuda,chc,47.41,30.38
427966.0,,nabarangpur,5843524470,Sanamasigam,chc,11.36,7.36
427962.0,,nabarangpur,5843524470,Sanamasigam,chc,10.82,7.12
427965.0,,nabarangpur,5843524470,Sanamasigam,chc,4.72,3.0
427970.0,,nabarangpur,6361875484,Papadahandi,chc,46.41,36.31
427840.0,,nabarangpur,5843524470,Sanamasigam,chc,15.89,10.49
427961.0,,nabarangpur,5843524470,Sanamasigam,chc,0.0,0.0
427837.0,,nabarangpur,5843524470,Sanamasigam,chc,6.07,3.96
427969.0,,nabarangpur,5843524470,Sanamasigam,chc,17.24,11.23
427960.0,,nabarangpur,5843524470,Sanamasigam,chc,2.33,1.56
427967.0,,nabarangpur,5843524470,Sanamasigam,chc,15.0,9.73
427838.0,,nabarangpur,5843524470,Sanamasigam,chc,7.14,4.68
427952.0,,nabarangpur,4828676223,Nandahandi,chc,5.79,3.78
427839.0,,nabarangpur,5843524470,Sanamasigam,chc,7.86,5.16
427968.0,,nabarangpur,5843524470,Sanamasigam,chc,17.18,11.14
427973.0,,nabarangpur,4828676223,Nandahandi,chc,8.37,5.58
427843.0,,nabarangpur,5843524470,Sanamasigam,chc,24.76,16.39
427844.0,,nabarangpur,5843524470,Sanamasigam,chc,30.5,20.22
427963.0,,nabarangpur,5843524470,Sanamasigam,chc,14.41,9.39
427971.0,,nabarangpur,6361875484,Papadahandi,chc,13.08,17.58
427964.0,,nabarangpur,5843524470,Sanamasigam,chc,5.84,3.74
427975.0,,nabarangpur,4828676223,Nandahandi,chc,44.94,29.69
428089.0,,nabarangpur,1784741462,Tentulikhunti,chc,48.58,31.29
427951.0,,nabarangpur,4828676223,Nandahandi,chc,3.39,2.25
427977.0,,nabarangpur,4828676223,Nandahandi,chc,0.17,0.11
428066.0,,nabarangpur,4828676223,Nandahandi,chc,22.43,14.93
428080.0,,nabarangpur,4828676223,Nandahandi,chc,26.09,17.29
428065.0,,nabarangpur,4828676223,Nandahandi,chc,23.22,15.45
428061.0,,nabarangpur,1784741462,Tentulikhunti,chc,27.59,18.2
427972.0,,nabarangpur,4828676223,Nandahandi,chc,4.18,2.77
