lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
406631.0,,nayagarh,4263187744,Odagaon,chc,65.3,37.35
406630.0,,nayagarh,4263187744,Odagaon,chc,65.3,37.35
406629.0,,nayagarh,4263187744,Odagaon,chc,65.3,37.35
406474.0,,nayagarh,4263187744,Odagaon,chc,38.94,16.21
406470.0,,nayagarh,4263187744,Odagaon,chc,39.02,16.25
406475.0,,nayagarh,4263187744,Odagaon,chc,38.47,15.98
406476.0,,nayagarh,4263187744,Odagaon,chc,38.52,16.04
406440.0,,nayagarh,4263187744,Odagaon,chc,39.02,16.25
406469.0,,nayagarh,4263187744,Odagaon,chc,39.02,16.25
406467.0,,nayagarh,4263187744,Odagaon,chc,39.02,16.25
406477.0,,nayagarh,4263187744,Odagaon,chc,39.92,16.62
406503.0,,nayagarh,4263187744,Odagaon,chc,39.29,16.32
406502.0,,nayagarh,4263187744,Odagaon,chc,38.47,15.98
406473.0,,nayagarh,4263187744,Odagaon,chc,39.92,16.58
406472.0,,nayagarh,4263187744,Odagaon,chc,39.02,16.25
406468.0,,nayagarh,4263187744,Odagaon,chc,39.02,16.25
406471.0,,nayagarh,4263187744,Odagaon,chc,39.92,16.58
406439.0,,nayagarh,4263187744,Odagaon,chc,39.02,16.25
406632.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406581.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406557.0,,nayagarh,4263187744,Odagaon,chc,20.63,8.6
406514.0,,nayagarh,4263187744,Odagaon,chc,3.2,1.33
406561.0,,nayagarh,4263187744,Odagaon,chc,62.56,34.38
406593.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406611.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406573.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406550.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406549.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406511.0,,nayagarh,4263187744,Odagaon,chc,11.67,4.86
406576.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406589.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406564.0,,nayagarh,4263187744,Odagaon,chc,6.8,2.83
406740.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406567.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406596.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406619.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406618.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406603.0,,nayagarh,4263187744,Odagaon,chc,65.3,37.35
406601.0,,nayagarh,4263187744,Odagaon,chc,65.3,37.35
406591.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406569.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406590.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406565.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406702.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406571.0,,nayagarh,4263187744,Odagaon,chc,0.33,0.14
406706.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406625.0,,nayagarh,4263187744,Odagaon,chc,65.3,37.35
406628.0,,nayagarh,4263187744,Odagaon,chc,65.3,37.35
406626.0,,nayagarh,4263187744,Odagaon,chc,65.3,37.35
406600.0,,nayagarh,4263187744,Odagaon,chc,65.3,37.35
406622.0,,nayagarh,4263187744,Odagaon,chc,65.3,37.35
406623.0,,nayagarh,4263187744,Odagaon,chc,65.3,37.35
406563.0,,nayagarh,4263187744,Odagaon,chc,6.8,2.83
406552.0,,nayagarh,4263187744,Odagaon,chc,8.35,3.48
406615.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406604.0,,nayagarh,4263187744,Odagaon,chc,65.3,37.35
406553.0,,nayagarh,4263187744,Odagaon,chc,8.84,3.68
406570.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406588.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406579.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406598.0,,nayagarh,4263187744,Odagaon,chc,64.22,36.18
406582.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406545.0,,nayagarh,4263187744,Odagaon,chc,2.31,0.96
406620.0,,nayagarh,4263187744,Odagaon,chc,65.3,37.35
406627.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406624.0,,nayagarh,4263187744,Odagaon,chc,65.3,37.35
406574.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406578.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406556.0,,nayagarh,4263187744,Odagaon,chc,18.78,7.82
406548.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406583.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406577.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406605.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406505.0,,nayagarh,4263187744,Odagaon,chc,21.81,9.09
406617.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406599.0,,nayagarh,4263187744,Odagaon,chc,62.98,34.83
406610.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406609.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406559.0,,nayagarh,4263187744,Odagaon,chc,8.72,3.63
406614.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406608.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406613.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406585.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406568.0,,nayagarh,4263187744,Odagaon,chc,0.33,0.14
406586.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406704.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406705.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406554.0,,nayagarh,4263187744,Odagaon,chc,8.84,3.68
406580.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406562.0,,nayagarh,4263187744,Odagaon,chc,6.8,2.83
406592.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406566.0,,nayagarh,4263187744,Odagaon,chc,6.8,2.83
406587.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406607.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406560.0,,nayagarh,4263187744,Odagaon,chc,8.84,3.68
406551.0,,nayagarh,4263187744,Odagaon,chc,6.8,2.83
406584.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406575.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406572.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406547.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406700.0,,nayagarh,7456358642,Sarankul,chc,0.0,0.0
406537.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406703.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406558.0,,nayagarh,4263187744,Odagaon,chc,8.84,3.68
406612.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406606.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406621.0,,nayagarh,4263187744,Odagaon,chc,65.3,37.35
406594.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406595.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406597.0,,nayagarh,4263187744,Odagaon,chc,6.8,2.83
406616.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406602.0,,nayagarh,4263187744,Odagaon,chc,65.3,37.35
406491.0,,nayagarh,4263187744,Odagaon,chc,5.72,2.35
406508.0,,nayagarh,4263187744,Odagaon,chc,34.41,14.32
406507.0,,nayagarh,4263187744,Odagaon,chc,36.12,15.03
406454.0,,nayagarh,4263187744,Odagaon,chc,25.04,10.39
406407.0,,nayagarh,7456358642,Sarankul,chc,0.0,0.0
406490.0,,nayagarh,4263187744,Odagaon,chc,4.92,2.02
406479.0,,nayagarh,4263187744,Odagaon,chc,36.58,15.23
406534.0,,nayagarh,4263187744,Odagaon,chc,1.76,0.74
406543.0,,nayagarh,4263187744,Odagaon,chc,1.87,0.78
406448.0,,nayagarh,4263187744,Odagaon,chc,25.04,10.39
406510.0,,nayagarh,4263187744,Odagaon,chc,11.44,4.77
406544.0,,nayagarh,4263187744,Odagaon,chc,3.07,1.28
406463.0,,nayagarh,4263187744,Odagaon,chc,39.02,16.25
406519.0,,nayagarh,4263187744,Odagaon,chc,5.38,2.24
406520.0,,nayagarh,4263187744,Odagaon,chc,5.93,2.47
406513.0,,nayagarh,4263187744,Odagaon,chc,7.54,3.14
406377.0,,nayagarh,6821442875,Mahipur,chc,1.94,2.74
406635.0,,nayagarh,7456358642,Sarankul,chc,0.0,0.0
406541.0,,nayagarh,4263187744,Odagaon,chc,1.87,0.78
406535.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406506.0,,nayagarh,4263187744,Odagaon,chc,36.78,15.31
406509.0,,nayagarh,4263187744,Odagaon,chc,11.44,4.77
405910.0,,nayagarh,6821442875,Mahipur,chc,1.02,1.43
406489.0,,nayagarh,4263187744,Odagaon,chc,15.97,6.62
406697.0,,nayagarh,7456358642,Sarankul,chc,0.0,0.0
406525.0,,nayagarh,4263187744,Odagaon,chc,11.48,4.78
406487.0,,nayagarh,4263187744,Odagaon,chc,11.13,4.64
406466.0,,nayagarh,4263187744,Odagaon,chc,39.02,16.25
406634.0,,nayagarh,7456358642,Sarankul,chc,0.0,0.0
406481.0,,nayagarh,4263187744,Odagaon,chc,29.63,12.34
406524.0,,nayagarh,4263187744,Odagaon,chc,4.75,1.98
406539.0,,nayagarh,4263187744,Odagaon,chc,2.69,1.12
406546.0,,nayagarh,4263187744,Odagaon,chc,4.25,1.77
406698.0,,nayagarh,7456358642,Sarankul,chc,0.0,0.0
406495.0,,nayagarh,4263187744,Odagaon,chc,29.78,12.39
406501.0,,nayagarh,4263187744,Odagaon,chc,40.17,16.72
406536.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406555.0,,nayagarh,4263187744,Odagaon,chc,15.82,6.59
406636.0,,nayagarh,7456358642,Sarankul,chc,0.0,0.0
406526.0,,nayagarh,4263187744,Odagaon,chc,6.57,2.74
406480.0,,nayagarh,4263187744,Odagaon,chc,35.26,14.68
406527.0,,nayagarh,4263187744,Odagaon,chc,11.48,4.78
406485.0,,nayagarh,4263187744,Odagaon,chc,17.58,7.33
405908.0,,nayagarh,6821442875,Mahipur,chc,0.0,0.0
406452.0,,nayagarh,4263187744,Odagaon,chc,25.04,10.39
406460.0,,nayagarh,4263187744,Odagaon,chc,25.04,10.39
406434.0,,nayagarh,4263187744,Odagaon,chc,39.02,16.25
406488.0,,nayagarh,4263187744,Odagaon,chc,15.34,6.36
406512.0,,nayagarh,4263187744,Odagaon,chc,9.25,3.85
406515.0,,nayagarh,4263187744,Odagaon,chc,4.88,2.0
406494.0,,nayagarh,4263187744,Odagaon,chc,29.0,12.07
406406.0,,nayagarh,7456358642,Sarankul,chc,0.0,0.0
406699.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406542.0,,nayagarh,4263187744,Odagaon,chc,3.31,1.38
406504.0,,nayagarh,4263187744,Odagaon,chc,42.24,17.55
406438.0,,nayagarh,4263187744,Odagaon,chc,39.02,16.25
406694.0,,nayagarh,7456358642,Sarankul,chc,0.0,0.0
406517.0,,nayagarh,4263187744,Odagaon,chc,7.26,3.03
406633.0,,nayagarh,7456358642,Sarankul,chc,0.0,0.0
406461.0,,nayagarh,4263187744,Odagaon,chc,24.73,10.27
406442.0,,nayagarh,4263187744,Odagaon,chc,39.02,16.25
406444.0,,nayagarh,4263187744,Odagaon,chc,24.61,10.25
406441.0,,nayagarh,4263187744,Odagaon,chc,39.02,16.25
406701.0,,nayagarh,7456358642,Sarankul,chc,0.0,0.0
406478.0,,nayagarh,4263187744,Odagaon,chc,39.92,16.62
406530.0,,nayagarh,7456358642,Sarankul,chc,0.0,0.0
406695.0,,nayagarh,7456358642,Sarankul,chc,0.0,0.0
406538.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406465.0,,nayagarh,4263187744,Odagaon,chc,39.02,16.25
406453.0,,nayagarh,4263187744,Odagaon,chc,25.04,10.39
406499.0,,nayagarh,4263187744,Odagaon,chc,35.74,14.88
405907.0,,nayagarh,6821442875,Mahipur,chc,0.0,0.0
406430.0,,nayagarh,4263187744,Odagaon,chc,25.04,10.39
406533.0,,nayagarh,4263187744,Odagaon,chc,2.69,1.12
406431.0,,nayagarh,4263187744,Odagaon,chc,25.04,10.39
406432.0,,nayagarh,4263187744,Odagaon,chc,25.04,10.39
406516.0,,nayagarh,4263187744,Odagaon,chc,15.97,6.62
406521.0,,nayagarh,4263187744,Odagaon,chc,8.26,3.44
406532.0,,nayagarh,4263187744,Odagaon,chc,1.87,0.78
406500.0,,nayagarh,4263187744,Odagaon,chc,38.11,15.86
406522.0,,nayagarh,4263187744,Odagaon,chc,7.61,3.17
406492.0,,nayagarh,4263187744,Odagaon,chc,25.68,10.69
406540.0,,nayagarh,4263187744,Odagaon,chc,4.48,1.87
406497.0,,nayagarh,4263187744,Odagaon,chc,32.58,13.56
406696.0,,nayagarh,7456358642,Sarankul,chc,0.0,0.0
406531.0,,nayagarh,4263187744,Odagaon,chc,3.79,1.58
406693.0,,nayagarh,7456358642,Sarankul,chc,0.0,0.0
406528.0,,nayagarh,4263187744,Odagaon,chc,5.56,2.31
406493.0,,nayagarh,4263187744,Odagaon,chc,25.68,10.69
406498.0,,nayagarh,4263187744,Odagaon,chc,33.27,13.85
406437.0,,nayagarh,4263187744,Odagaon,chc,39.02,16.25
406436.0,,nayagarh,4263187744,Odagaon,chc,39.02,16.25
406428.0,,nayagarh,4263187744,Odagaon,chc,25.04,10.39
405906.0,,nayagarh,6821442875,Mahipur,chc,6.95,5.84
405911.0,,nayagarh,6821442875,Mahipur,chc,1.06,1.49
406483.0,,nayagarh,4263187744,Odagaon,chc,25.68,10.69
406486.0,,nayagarh,4263187744,Odagaon,chc,14.48,6.04
406482.0,,nayagarh,4263187744,Odagaon,chc,27.75,11.55
406638.0,,nayagarh,7456358642,Sarankul,chc,0.0,0.0
406405.0,,nayagarh,7456358642,Sarankul,chc,0.0,0.0
406446.0,,nayagarh,4263187744,Odagaon,chc,25.04,10.39
406450.0,,nayagarh,4263187744,Odagaon,chc,25.04,10.39
406445.0,,nayagarh,4263187744,Odagaon,chc,25.04,10.39
406457.0,,nayagarh,4263187744,Odagaon,chc,15.94,6.64
406458.0,,nayagarh,4263187744,Odagaon,chc,24.54,10.19
406456.0,,nayagarh,4263187744,Odagaon,chc,16.09,6.71
406462.0,,nayagarh,4263187744,Odagaon,chc,26.95,11.22
406455.0,,nayagarh,4263187744,Odagaon,chc,25.04,10.39
406459.0,,nayagarh,4263187744,Odagaon,chc,25.04,10.39
406435.0,,nayagarh,4263187744,Odagaon,chc,39.02,16.25
406443.0,,nayagarh,4263187744,Odagaon,chc,39.02,16.25
406449.0,,nayagarh,4263187744,Odagaon,chc,25.04,10.39
406433.0,,nayagarh,4263187744,Odagaon,chc,25.04,10.39
406378.0,,nayagarh,6821442875,Mahipur,chc,1.97,2.78
406379.0,,nayagarh,6821442875,Mahipur,chc,2.59,3.65
405909.0,,nayagarh,6821442875,Mahipur,chc,1.02,1.43
405912.0,,nayagarh,6821442875,Mahipur,chc,1.43,2.02
405913.0,,nayagarh,6821442875,Mahipur,chc,1.58,2.24
406484.0,,nayagarh,4263187744,Odagaon,chc,19.72,8.22
406387.0,,nayagarh,7456358642,Sarankul,chc,1.85,2.62
406391.0,,nayagarh,7456358642,Sarankul,chc,1.42,2.0
406518.0,,nayagarh,4263187744,Odagaon,chc,5.19,2.16
406464.0,,nayagarh,4263187744,Odagaon,chc,39.02,16.25
406400.0,,nayagarh,7456358642,Sarankul,chc,3.65,1.52
406380.0,,nayagarh,6821442875,Mahipur,chc,3.1,4.38
406404.0,,nayagarh,7456358642,Sarankul,chc,0.53,0.22
406403.0,,nayagarh,7456358642,Sarankul,chc,0.18,0.07
406375.0,,nayagarh,6821442875,Mahipur,chc,3.11,4.39
406402.0,,nayagarh,7456358642,Sarankul,chc,2.7,1.13
406381.0,,nayagarh,7456358642,Sarankul,chc,3.19,4.52
406398.0,,nayagarh,7456358642,Sarankul,chc,2.03,0.84
406399.0,,nayagarh,7456358642,Sarankul,chc,3.14,1.31
406382.0,,nayagarh,7456358642,Sarankul,chc,1.16,1.65
406429.0,,nayagarh,4263187744,Odagaon,chc,25.04,10.39
406496.0,,nayagarh,4263187744,Odagaon,chc,31.29,13.02
406447.0,,nayagarh,4263187744,Odagaon,chc,25.04,10.39
406523.0,,nayagarh,4263187744,Odagaon,chc,11.48,4.78
406529.0,,nayagarh,4263187744,Odagaon,chc,4.48,1.87
406451.0,,nayagarh,4263187744,Odagaon,chc,15.75,6.56
406401.0,,nayagarh,7456358642,Sarankul,chc,3.65,1.52
406943.0,,nayagarh,3478354560,Ranpur,chc,2.58,3.66
406942.0,,nayagarh,7456358642,Sarankul,chc,3.25,4.61
406739.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406731.0,,nayagarh,7456358642,Sarankul,chc,2.49,3.53
406742.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406716.0,,nayagarh,7456358642,Sarankul,chc,2.52,3.57
406721.0,,nayagarh,3478354560,Ranpur,chc,3.11,4.4
406685.0,,nayagarh,7456358642,Sarankul,chc,2.49,3.53
406929.0,,nayagarh,3478354560,Ranpur,chc,2.54,3.6
406713.0,,nayagarh,7456358642,Sarankul,chc,0.0,0.0
406708.0,,nayagarh,7456358642,Sarankul,chc,0.0,0.0
406927.0,,nayagarh,3478354560,Ranpur,chc,2.58,3.66
406940.0,,nayagarh,7456358642,Sarankul,chc,3.63,5.15
406719.0,,nayagarh,7456358642,Sarankul,chc,3.49,4.95
406686.0,,nayagarh,7456358642,Sarankul,chc,0.0,0.0
406738.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406868.0,,nayagarh,3478354560,Ranpur,chc,0.0,0.0
406931.0,,nayagarh,3478354560,Ranpur,chc,2.58,3.66
406930.0,,nayagarh,3478354560,Ranpur,chc,2.54,3.6
406747.0,,nayagarh,7456358642,Sarankul,chc,2.52,3.57
406732.0,,nayagarh,7456358642,Sarankul,chc,2.49,3.53
406862.0,,nayagarh,3478354560,Ranpur,chc,0.0,0.0
406934.0,,nayagarh,7456358642,Sarankul,chc,2.66,3.77
406941.0,,nayagarh,3478354560,Ranpur,chc,3.28,4.65
406936.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406937.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406935.0,,nayagarh,7456358642,Sarankul,chc,2.49,3.53
406748.0,,nayagarh,7456358642,Sarankul,chc,2.52,3.57
406749.0,,nayagarh,7456358642,Sarankul,chc,3.25,4.61
406944.0,,nayagarh,3478354560,Ranpur,chc,2.54,3.6
406938.0,,nayagarh,7456358642,Sarankul,chc,2.52,3.57
406933.0,,nayagarh,3478354560,Ranpur,chc,3.48,4.92
406924.0,,nayagarh,3478354560,Ranpur,chc,2.58,3.66
406735.0,,nayagarh,7456358642,Sarankul,chc,0.0,0.0
406712.0,,nayagarh,7456358642,Sarankul,chc,0.0,0.0
406734.0,,nayagarh,7456358642,Sarankul,chc,0.0,0.0
406865.0,,nayagarh,3478354560,Ranpur,chc,0.0,0.0
406707.0,,nayagarh,7456358642,Sarankul,chc,0.0,0.0
406718.0,,nayagarh,7456358642,Sarankul,chc,2.66,3.77
406945.0,,nayagarh,3478354560,Ranpur,chc,0.0,0.0
406939.0,,nayagarh,7456358642,Sarankul,chc,3.25,4.61
406737.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406736.0,,nayagarh,7456358642,Sarankul,chc,0.0,0.0
406860.0,,nayagarh,3478354560,Ranpur,chc,0.0,0.0
406750.0,,nayagarh,3478354560,Ranpur,chc,3.82,5.41
406861.0,,nayagarh,3478354560,Ranpur,chc,0.0,0.0
406741.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406864.0,,nayagarh,3478354560,Ranpur,chc,0.0,0.0
406948.0,,nayagarh,3478354560,Ranpur,chc,0.0,0.0
406744.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0
406925.0,,nayagarh,3478354560,Ranpur,chc,2.54,3.6
406926.0,,nayagarh,3478354560,Ranpur,chc,2.58,3.66
406714.0,,nayagarh,7456358642,Sarankul,chc,2.49,3.53
