lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
422247.0,,nuapada,2815876772,Sinapali,chc,19.42,13.73
422241.0,,nuapada,2815876772,Sinapali,chc,27.8,16.81
422242.0,,nuapada,2815876772,Sinapali,chc,21.83,14.52
422248.0,,nuapada,2815876772,Sinapali,chc,19.86,14.03
422249.0,,nuapada,2815876772,Sinapali,chc,16.9,12.14
422181.0,,nuapada,2815876772,Sinapali,chc,15.8,10.48
422229.0,,nuapada,2815876772,Sinapali,chc,9.23,6.12
422246.0,,nuapada,2815876772,Sinapali,chc,19.0,13.46
422175.0,,nuapada,2815876772,Sinapali,chc,49.13,25.7
422232.0,,nuapada,2815876772,Sinapali,chc,12.49,8.29
422231.0,,nuapada,2815876772,Sinapali,chc,9.23,6.12
422237.0,,nuapada,2815876772,Sinapali,chc,18.99,11.85
422233.0,,nuapada,2815876772,Sinapali,chc,12.81,8.5
422182.0,,nuapada,2815876772,Sinapali,chc,13.45,8.91
422170.0,,nuapada,2815876772,Sinapali,chc,54.23,26.57
422163.0,,nuapada,2815876772,Sinapali,chc,18.06,13.77
422160.0,,nuapada,2815876772,Sinapali,chc,10.53,10.63
422171.0,,nuapada,2815876772,Sinapali,chc,51.32,25.37
422173.0,,nuapada,2815876772,Sinapali,chc,47.04,23.58
422164.0,,nuapada,2815876772,Sinapali,chc,20.67,15.82
422140.0,,nuapada,2815876772,Sinapali,chc,16.5,9.35
422159.0,,nuapada,2815876772,Sinapali,chc,7.84,10.54
422152.0,,nuapada,2815876772,Sinapali,chc,12.03,12.31
422176.0,,nuapada,2815876772,Sinapali,chc,32.16,17.39
422178.0,,nuapada,2815876772,Sinapali,chc,26.98,17.48
422165.0,,nuapada,2815876772,Sinapali,chc,23.6,17.04
422167.0,,nuapada,2815876772,Sinapali,chc,31.12,19.21
422243.0,,nuapada,2815876772,Sinapali,chc,19.39,12.89
422245.0,,nuapada,2815876772,Sinapali,chc,19.86,14.03
422240.0,,nuapada,2815876772,Sinapali,chc,37.35,20.79
422184.0,,nuapada,2815876772,Sinapali,chc,11.07,7.32
422185.0,,nuapada,2815876772,Sinapali,chc,6.99,4.62
422179.0,,nuapada,2815876772,Sinapali,chc,22.39,15.56
422168.0,,nuapada,2815876772,Sinapali,chc,60.62,29.23
422157.0,,nuapada,2815876772,Sinapali,chc,5.11,6.79
422162.0,,nuapada,2815876772,Sinapali,chc,14.48,13.06
422158.0,,nuapada,2815876772,Sinapali,chc,5.69,7.62
422239.0,,nuapada,2815876772,Sinapali,chc,23.55,13.8
422238.0,,nuapada,2815876772,Sinapali,chc,15.72,10.44
422236.0,,nuapada,2815876772,Sinapali,chc,14.24,9.46
422235.0,,nuapada,2815876772,Sinapali,chc,14.36,9.51
422234.0,,nuapada,2815876772,Sinapali,chc,11.33,7.51
422172.0,,nuapada,2815876772,Sinapali,chc,54.47,26.68
422174.0,,nuapada,2815876772,Sinapali,chc,45.43,22.88
422177.0,,nuapada,2815876772,Sinapali,chc,32.9,17.7
422180.0,,nuapada,2815876772,Sinapali,chc,18.42,11.66
422183.0,,nuapada,2815876772,Sinapali,chc,10.9,11.58
422148.0,,nuapada,3736211214,Boden,chc,56.39,23.44
422186.0,,nuapada,2815876772,Sinapali,chc,3.56,4.61
422169.0,,nuapada,2815876772,Sinapali,chc,56.66,27.58
422166.0,,nuapada,2815876772,Sinapali,chc,26.88,17.4
422161.0,,nuapada,2815876772,Sinapali,chc,16.2,12.98
422244.0,,nuapada,2815876772,Sinapali,chc,16.88,11.21
422250.0,,nuapada,2815876772,Sinapali,chc,16.9,12.14
422189.0,,nuapada,2815876772,Sinapali,chc,2.42,1.57
422193.0,,nuapada,2815876772,Sinapali,chc,2.49,1.62
422187.0,,nuapada,2815876772,Sinapali,chc,4.6,5.96
422253.0,,nuapada,2815876772,Sinapali,chc,16.07,11.58
422227.0,,nuapada,2815876772,Sinapali,chc,10.48,7.85
422218.0,,nuapada,2815876772,Sinapali,chc,14.52,12.36
422225.0,,nuapada,2815876772,Sinapali,chc,1.3,1.3
422220.0,,nuapada,2815876772,Sinapali,chc,5.09,6.66
422230.0,,nuapada,2815876772,Sinapali,chc,9.23,6.12
422258.0,,nuapada,2815876772,Sinapali,chc,10.31,7.74
422203.0,,nuapada,2815876772,Sinapali,chc,7.79,9.72
422198.0,,nuapada,2815876772,Sinapali,chc,6.42,8.43
422205.0,,nuapada,2815876772,Sinapali,chc,13.4,18.31
422211.0,,nuapada,2815876772,Sinapali,chc,57.04,30.28
422142.0,,nuapada,2815876772,Sinapali,chc,10.14,6.7
422257.0,,nuapada,2815876772,Sinapali,chc,12.37,9.12
422268.0,,nuapada,2815876772,Sinapali,chc,13.49,11.97
422266.0,,nuapada,2815876772,Sinapali,chc,13.49,11.97
422267.0,,nuapada,2815876772,Sinapali,chc,13.49,11.97
422196.0,,nuapada,2815876772,Sinapali,chc,5.81,7.67
422147.0,,nuapada,2815876772,Sinapali,chc,14.88,8.79
422145.0,,nuapada,2815876772,Sinapali,chc,11.17,6.28
422200.0,,nuapada,2815876772,Sinapali,chc,13.86,8.37
422146.0,,nuapada,2815876772,Sinapali,chc,20.07,13.87
422199.0,,nuapada,2815876772,Sinapali,chc,17.29,9.79
422222.0,,nuapada,2815876772,Sinapali,chc,6.34,5.1
422202.0,,nuapada,2815876772,Sinapali,chc,13.68,8.59
422201.0,,nuapada,2815876772,Sinapali,chc,13.32,8.35
422223.0,,nuapada,2815876772,Sinapali,chc,8.4,6.47
422219.0,,nuapada,2815876772,Sinapali,chc,14.52,12.36
422265.0,,nuapada,2815876772,Sinapali,chc,13.49,11.97
422217.0,,nuapada,2815876772,Sinapali,chc,13.49,11.97
422255.0,,nuapada,2815876772,Sinapali,chc,12.47,9.18
422251.0,,nuapada,2815876772,Sinapali,chc,16.9,12.14
422188.0,,nuapada,2815876772,Sinapali,chc,4.12,2.71
422262.0,,nuapada,2815876772,Sinapali,chc,16.96,12.18
422260.0,,nuapada,2815876772,Sinapali,chc,16.45,11.83
422264.0,,nuapada,2815876772,Sinapali,chc,13.49,11.97
422254.0,,nuapada,2815876772,Sinapali,chc,14.39,10.46
422256.0,,nuapada,2815876772,Sinapali,chc,12.12,8.95
422259.0,,nuapada,2815876772,Sinapali,chc,15.59,11.26
422191.0,,nuapada,2815876772,Sinapali,chc,6.43,4.32
422212.0,,nuapada,2815876772,Sinapali,chc,56.93,30.23
422194.0,,nuapada,2815876772,Sinapali,chc,5.86,3.51
422144.0,,nuapada,2815876772,Sinapali,chc,10.67,6.09
422204.0,,nuapada,2815876772,Sinapali,chc,9.23,12.42
422190.0,,nuapada,2815876772,Sinapali,chc,3.96,3.14
422263.0,,nuapada,2815876772,Sinapali,chc,42.17,46.44
422261.0,,nuapada,2815876772,Sinapali,chc,19.08,13.59
422252.0,,nuapada,2815876772,Sinapali,chc,14.67,10.64
422269.0,,nuapada,2815876772,Sinapali,chc,11.39,15.46
422226.0,,nuapada,2815876772,Sinapali,chc,6.83,5.42
422228.0,,nuapada,2815876772,Sinapali,chc,8.96,5.93
422215.0,,nuapada,2815876772,Sinapali,chc,12.98,11.76
422214.0,,nuapada,2815876772,Sinapali,chc,11.9,16.31
422221.0,,nuapada,2815876772,Sinapali,chc,3.33,3.09
422224.0,,nuapada,2815876772,Sinapali,chc,4.2,3.67
422216.0,,nuapada,2815876772,Sinapali,chc,11.89,11.3
422192.0,,nuapada,2815876772,Sinapali,chc,0.0,0.0
422208.0,,nuapada,2815876772,Sinapali,chc,13.57,17.1
422207.0,,nuapada,2815876772,Sinapali,chc,12.19,16.61
422195.0,,nuapada,2815876772,Sinapali,chc,4.86,6.16
422197.0,,nuapada,2815876772,Sinapali,chc,7.54,9.87
422143.0,,nuapada,2815876772,Sinapali,chc,10.47,7.48
422141.0,,nuapada,2815876772,Sinapali,chc,13.42,8.07
422206.0,,nuapada,2815876772,Sinapali,chc,13.28,18.15
422210.0,,nuapada,2815876772,Sinapali,chc,57.08,30.29
422209.0,,nuapada,2815876772,Sinapali,chc,13.2,18.03
422213.0,,nuapada,2815876772,Sinapali,chc,14.1,19.33
422270.0,,nuapada,2815876772,Sinapali,chc,11.39,15.46
421850.0,,nuapada,7217261218,Bhella,chc,71.64,35.45
422096.0,,nuapada,3736211214,Boden,chc,27.09,11.23
422095.0,,nuapada,3736211214,Boden,chc,20.48,8.48
422090.0,,nuapada,3736211214,Boden,chc,15.14,6.23
422072.0,,nuapada,3736211214,Boden,chc,23.7,9.87
422121.0,,nuapada,2815876772,Sinapali,chc,13.13,15.23
422151.0,,nuapada,2815876772,Sinapali,chc,16.66,14.2
422106.0,,nuapada,3736211214,Boden,chc,7.4,5.01
422089.0,,nuapada,3736211214,Boden,chc,5.8,2.36
421925.0,,nuapada,3736211214,Boden,chc,34.37,14.32
422119.0,,nuapada,3736211214,Boden,chc,13.15,8.69
422154.0,,nuapada,2815876772,Sinapali,chc,22.96,16.76
422149.0,,nuapada,3736211214,Boden,chc,39.97,16.6
422105.0,,nuapada,3736211214,Boden,chc,5.81,3.12
422104.0,,nuapada,3736211214,Boden,chc,5.04,2.37
422099.0,,nuapada,3736211214,Boden,chc,8.0,3.28
422088.0,,nuapada,3736211214,Boden,chc,0.0,0.0
422118.0,,nuapada,3736211214,Boden,chc,7.81,6.07
422117.0,,nuapada,2815876772,Sinapali,chc,11.92,16.18
422107.0,,nuapada,3736211214,Boden,chc,7.79,5.92
422091.0,,nuapada,3736211214,Boden,chc,20.68,8.53
422139.0,,nuapada,2815876772,Sinapali,chc,15.56,14.5
422150.0,,nuapada,2815876772,Sinapali,chc,21.1,16.01
422120.0,,nuapada,3736211214,Boden,chc,10.43,8.75
422102.0,,nuapada,3736211214,Boden,chc,7.97,4.73
422100.0,,nuapada,3736211214,Boden,chc,8.75,3.58
422098.0,,nuapada,3736211214,Boden,chc,12.24,5.03
422097.0,,nuapada,3736211214,Boden,chc,31.66,13.12
422103.0,,nuapada,3736211214,Boden,chc,11.64,6.04
422069.0,,nuapada,3736211214,Boden,chc,56.99,23.57
422094.0,,nuapada,3736211214,Boden,chc,58.69,24.37
