lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
410223.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410220.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410221.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410224.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410242.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410226.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410222.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410227.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410235.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410229.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410241.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410228.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410236.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410215.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410216.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410218.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410238.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410239.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410237.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410240.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410225.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410230.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410233.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410243.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410232.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410231.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410234.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410214.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410219.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410211.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410205.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410185.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410184.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410210.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410178.0,,puri,1111462766,Panidol,chc,166.72,180.84
410177.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410208.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
410206.0,,puri,1111484158,Krushna Prasad,chc,0.0,0.0
