lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
426475.0,,rayagada,1338472473,Kolnora,chc,62.68,76.55
426478.0,,rayagada,1338472473,Kolnora,chc,62.68,76.55
426476.0,,rayagada,1338472473,Kolnora,chc,62.73,76.58
426477.0,,rayagada,1338472473,Kolnora,chc,62.73,76.58
426117.0,,rayagada,7666557488,Kashipur,chc,62.84,50.04
426115.0,,rayagada,7666557488,Kashipur,chc,60.62,48.56
426114.0,,rayagada,7666557488,Kashipur,chc,59.39,47.75
426116.0,,rayagada,7666557488,Kashipur,chc,62.84,50.04
425986.0,,rayagada,7666557488,Kashipur,chc,42.08,36.37
426174.0,,rayagada,7666557488,Kashipur,chc,33.89,30.91
426176.0,,rayagada,7666557488,Kashipur,chc,55.77,45.42
426145.0,,rayagada,7666557488,Kashipur,chc,39.01,34.33
426146.0,,rayagada,7666557488,Kashipur,chc,39.73,34.81
426142.0,,rayagada,7666557488,Kashipur,chc,42.23,36.47
426141.0,,rayagada,7666557488,Kashipur,chc,43.57,37.37
426152.0,,rayagada,7666557488,Kashipur,chc,53.74,44.15
426150.0,,rayagada,7666557488,Kashipur,chc,44.41,37.93
426151.0,,rayagada,7666557488,Kashipur,chc,45.88,38.9
426138.0,,rayagada,7666557488,Kashipur,chc,47.09,39.71
426170.0,,rayagada,7666557488,Kashipur,chc,46.97,39.55
426171.0,,rayagada,7666557488,Kashipur,chc,42.58,36.63
426167.0,,rayagada,7666557488,Kashipur,chc,50.13,41.66
426169.0,,rayagada,7666557488,Kashipur,chc,47.36,39.82
426168.0,,rayagada,7666557488,Kashipur,chc,48.67,40.69
426159.0,,rayagada,7666557488,Kashipur,chc,56.88,46.26
426161.0,,rayagada,7666557488,Kashipur,chc,71.46,55.8
426165.0,,rayagada,7666557488,Kashipur,chc,70.34,55.05
426164.0,,rayagada,7666557488,Kashipur,chc,70.32,55.03
426163.0,,rayagada,7666557488,Kashipur,chc,70.34,55.05
426166.0,,rayagada,7666557488,Kashipur,chc,70.23,54.98
426156.0,,rayagada,7666557488,Kashipur,chc,54.09,44.38
426157.0,,rayagada,7666557488,Kashipur,chc,54.17,44.44
426154.0,,rayagada,7666557488,Kashipur,chc,53.95,44.29
426105.0,,rayagada,7666557488,Kashipur,chc,31.13,29.07
426113.0,,rayagada,7666557488,Kashipur,chc,59.39,47.75
426111.0,,rayagada,7666557488,Kashipur,chc,56.29,45.77
426112.0,,rayagada,7666557488,Kashipur,chc,56.29,45.77
426175.0,,rayagada,7666557488,Kashipur,chc,55.46,45.21
426148.0,,rayagada,7666557488,Kashipur,chc,43.74,37.48
426162.0,,rayagada,7666557488,Kashipur,chc,151.0,101.12
426155.0,,rayagada,7666557488,Kashipur,chc,50.13,41.66
426160.0,,rayagada,7666557488,Kashipur,chc,56.88,46.26
426153.0,,rayagada,7666557488,Kashipur,chc,53.86,44.23
426149.0,,rayagada,7666557488,Kashipur,chc,44.28,37.84
426137.0,,rayagada,7666557488,Kashipur,chc,45.98,38.98
426147.0,,rayagada,7666557488,Kashipur,chc,40.53,35.34
