lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
382348.0,,sambalpur,6137845688,Charmal,chc,99.69,78.01
382349.0,,sambalpur,6137845688,Charmal,chc,100.86,78.52
382350.0,,sambalpur,6137845688,Charmal,chc,98.02,77.34
382351.0,,sambalpur,6137845688,Charmal,chc,97.79,77.24
382352.0,,sambalpur,6137845688,Charmal,chc,95.72,76.38
382354.0,,sambalpur,6137845688,Charmal,chc,94.33,75.8
382353.0,,sambalpur,6137845688,Charmal,chc,95.76,76.39
382355.0,,sambalpur,6137845688,Charmal,chc,96.1,76.53
382356.0,,sambalpur,6137845688,Charmal,chc,94.33,75.8
382357.0,,sambalpur,6137845688,Charmal,chc,94.62,75.92
382364.0,,sambalpur,6137845688,Charmal,chc,77.2,65.08
382363.0,,sambalpur,6137845688,Charmal,chc,77.2,65.08
382365.0,,sambalpur,6137845688,Charmal,chc,76.64,64.85
382366.0,,sambalpur,6137845688,Charmal,chc,38.28,30.49
382447.0,,sambalpur,6137845688,Charmal,chc,74.04,63.77
382359.0,,sambalpur,6137845688,Charmal,chc,38.28,30.49
382358.0,,sambalpur,8282733578,Jujomura,chc,10.5,14.87
382503.0,,sambalpur,6137845688,Charmal,chc,38.06,41.65
382506.0,,sambalpur,6137845688,Charmal,chc,27.49,35.4
382499.0,,sambalpur,6137845688,Charmal,chc,23.58,33.12
382498.0,,sambalpur,6137845688,Charmal,chc,30.89,31.86
382502.0,,sambalpur,6137845688,Charmal,chc,28.68,35.76
382501.0,,sambalpur,6137845688,Charmal,chc,24.52,33.42
382496.0,,sambalpur,6137845688,Charmal,chc,23.43,32.16
382504.0,,sambalpur,6137845688,Charmal,chc,30.01,37.08
382505.0,,sambalpur,6137845688,Charmal,chc,29.23,36.56
382500.0,,sambalpur,6137845688,Charmal,chc,25.65,34.18
382448.0,,sambalpur,6137845688,Charmal,chc,89.59,70.03
382367.0,,sambalpur,6137845688,Charmal,chc,38.28,30.49
382362.0,,sambalpur,6137845688,Charmal,chc,38.28,30.49
382369.0,,sambalpur,6137845688,Charmal,chc,38.28,30.49
382368.0,,sambalpur,6137845688,Charmal,chc,36.47,29.29
382370.0,,sambalpur,6137845688,Charmal,chc,37.11,29.71
382371.0,,sambalpur,6137845688,Charmal,chc,22.02,19.81
382373.0,,sambalpur,6137845688,Charmal,chc,18.49,17.46
382326.0,,sambalpur,6137845688,Charmal,chc,10.77,12.3
382328.0,,sambalpur,6137845688,Charmal,chc,11.0,12.46
382372.0,,sambalpur,6137845688,Charmal,chc,20.39,18.72
382330.0,,sambalpur,6137845688,Charmal,chc,20.6,18.87
382331.0,,sambalpur,6137845688,Charmal,chc,1.85,1.96
382361.0,,sambalpur,6137845688,Charmal,chc,38.28,30.49
382360.0,,sambalpur,6137845688,Charmal,chc,38.28,30.49
382333.0,,sambalpur,6137845688,Charmal,chc,38.28,30.49
382497.0,,sambalpur,6137845688,Charmal,chc,26.77,30.03
382479.0,,sambalpur,6137845688,Charmal,chc,27.71,31.45
382478.0,,sambalpur,6137845688,Charmal,chc,25.08,29.72
382473.0,,sambalpur,6137845688,Charmal,chc,29.37,32.52
382472.0,,sambalpur,6137845688,Charmal,chc,32.32,34.48
382467.0,,sambalpur,6137845688,Charmal,chc,22.11,23.7
382434.0,,sambalpur,6137845688,Charmal,chc,19.01,22.43
382466.0,,sambalpur,6137845688,Charmal,chc,29.02,26.6
382465.0,,sambalpur,6137845688,Charmal,chc,35.74,34.62
382475.0,,sambalpur,6137845688,Charmal,chc,35.74,34.62
382474.0,,sambalpur,6137845688,Charmal,chc,32.19,33.14
382476.0,,sambalpur,6137845688,Charmal,chc,24.52,28.37
382477.0,,sambalpur,6137845688,Charmal,chc,21.76,26.75
382480.0,,sambalpur,6137845688,Charmal,chc,25.52,29.35
382495.0,,sambalpur,6137845688,Charmal,chc,27.41,31.79
382481.0,,sambalpur,6137845688,Charmal,chc,19.25,26.97
382482.0,,sambalpur,6137845688,Charmal,chc,21.62,29.4
382483.0,,sambalpur,6137845688,Charmal,chc,24.57,30.63
382414.0,,sambalpur,6137845688,Charmal,chc,16.05,22.6
382411.0,,sambalpur,6137845688,Charmal,chc,14.04,19.76
382432.0,,sambalpur,6137845688,Charmal,chc,27.32,25.9
382433.0,,sambalpur,6137845688,Charmal,chc,21.18,23.34
382431.0,,sambalpur,6137845688,Charmal,chc,29.02,26.6
382464.0,,sambalpur,6137845688,Charmal,chc,29.02,26.6
382462.0,,sambalpur,6137845688,Charmal,chc,28.02,29.84
382446.0,,sambalpur,6137845688,Charmal,chc,40.13,30.53
382449.0,,sambalpur,6137845688,Charmal,chc,39.52,30.27
382490.0,,sambalpur,6137845688,Charmal,chc,30.05,25.09
382445.0,,sambalpur,6137845688,Charmal,chc,34.26,27.89
382443.0,,sambalpur,6137845688,Charmal,chc,22.24,19.96
382444.0,,sambalpur,6137845688,Charmal,chc,24.49,21.46
382451.0,,sambalpur,6137845688,Charmal,chc,31.75,26.22
382450.0,,sambalpur,6137845688,Charmal,chc,31.3,25.92
382489.0,,sambalpur,6137845688,Charmal,chc,34.61,26.91
382488.0,,sambalpur,6137845688,Charmal,chc,39.79,29.06
382492.0,,sambalpur,6137845688,Charmal,chc,41.48,29.76
382486.0,,sambalpur,6137845688,Charmal,chc,36.22,27.57
382487.0,,sambalpur,6137845688,Charmal,chc,36.43,27.66
382452.0,,sambalpur,6137845688,Charmal,chc,28.9,24.4
382453.0,,sambalpur,6137845688,Charmal,chc,26.36,22.71
382485.0,,sambalpur,6137845688,Charmal,chc,36.22,27.57
382493.0,,sambalpur,6137845688,Charmal,chc,43.82,30.74
382484.0,,sambalpur,6137845688,Charmal,chc,26.83,31.57
382410.0,,sambalpur,6137845688,Charmal,chc,11.87,13.04
382438.0,,sambalpur,6137845688,Charmal,chc,14.52,20.28
382440.0,,sambalpur,6137845688,Charmal,chc,20.52,21.41
382441.0,,sambalpur,6137845688,Charmal,chc,22.95,22.4
382457.0,,sambalpur,6137845688,Charmal,chc,25.27,23.39
382442.0,,sambalpur,6137845688,Charmal,chc,24.85,23.19
382458.0,,sambalpur,6137845688,Charmal,chc,24.61,23.11
382459.0,,sambalpur,6137845688,Charmal,chc,15.63,21.85
382461.0,,sambalpur,6137845688,Charmal,chc,21.01,25.24
382463.0,,sambalpur,6137845688,Charmal,chc,22.17,25.69
382460.0,,sambalpur,6137845688,Charmal,chc,15.93,21.59
382437.0,,sambalpur,6137845688,Charmal,chc,15.86,20.5
382332.0,,sambalpur,6137845688,Charmal,chc,38.28,30.49
382494.0,,sambalpur,6137845688,Charmal,chc,24.52,33.42
382511.0,,sambalpur,6137845688,Charmal,chc,23.19,24.17
382491.0,,sambalpur,6137845688,Charmal,chc,35.69,27.36
382454.0,,sambalpur,6137845688,Charmal,chc,36.43,27.66
382455.0,,sambalpur,6137845688,Charmal,chc,26.6,31.43
382439.0,,sambalpur,6137845688,Charmal,chc,17.42,20.12
382456.0,,sambalpur,6137845688,Charmal,chc,19.83,27.8
382436.0,,sambalpur,6137845688,Charmal,chc,27.98,26.15
382435.0,,sambalpur,6137845688,Charmal,chc,24.73,24.82
382508.0,,sambalpur,6137845688,Charmal,chc,16.16,18.78
382409.0,,sambalpur,6137845688,Charmal,chc,8.48,10.78
382512.0,,sambalpur,6137845688,Charmal,chc,9.36,11.58
382510.0,,sambalpur,6137845688,Charmal,chc,10.12,13.32
382509.0,,sambalpur,6137845688,Charmal,chc,16.16,18.78
382471.0,,sambalpur,6137845688,Charmal,chc,32.32,34.48
382470.0,,sambalpur,6137845688,Charmal,chc,32.32,34.48
382469.0,,sambalpur,6137845688,Charmal,chc,24.53,27.09
382468.0,,sambalpur,6137845688,Charmal,chc,24.44,27.05
382428.0,,sambalpur,6137845688,Charmal,chc,24.33,27.01
382429.0,,sambalpur,6137845688,Charmal,chc,25.33,27.42
382426.0,,sambalpur,6137845688,Charmal,chc,19.47,27.46
382425.0,,sambalpur,6137845688,Charmal,chc,20.5,28.91
382424.0,,sambalpur,6137845688,Charmal,chc,20.5,28.91
382423.0,,sambalpur,6137845688,Charmal,chc,20.32,28.65
382422.0,,sambalpur,6137845688,Charmal,chc,19.98,28.17
382421.0,,sambalpur,6137845688,Charmal,chc,19.37,26.97
382427.0,,sambalpur,6137845688,Charmal,chc,21.82,25.96
382420.0,,sambalpur,6137845688,Charmal,chc,18.0,25.38
382415.0,,sambalpur,6137845688,Charmal,chc,17.31,24.11
