lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
419806.0,,sonepur,5538188730,Tarva,chc,55.04,29.48
419808.0,,sonepur,5538188730,Tarva,chc,50.18,27.25
419811.0,,sonepur,5538188730,Tarva,chc,46.1,25.43
419813.0,,sonepur,5538188730,Tarva,chc,46.12,25.43
419784.0,,sonepur,5538188730,Tarva,chc,42.35,23.91
419789.0,,sonepur,5538188730,Tarva,chc,36.17,21.32
419809.0,,sonepur,5538188730,Tarva,chc,50.03,27.21
419781.0,,sonepur,5538188730,Tarva,chc,30.7,17.93
419772.0,,sonepur,5538188730,Tarva,chc,31.37,19.35
419792.0,,sonepur,5538188730,Tarva,chc,42.56,23.96
419790.0,,sonepur,5538188730,Tarva,chc,39.72,22.77
419786.0,,sonepur,5538188730,Tarva,chc,39.18,22.59
419791.0,,sonepur,5538188730,Tarva,chc,40.96,23.29
419794.0,,sonepur,5538188730,Tarva,chc,42.32,21.0
419810.0,,sonepur,5538188730,Tarva,chc,49.67,26.96
419797.0,,sonepur,5538188730,Tarva,chc,48.94,23.88
419796.0,,sonepur,5538188730,Tarva,chc,47.39,23.1
419783.0,,sonepur,5538188730,Tarva,chc,39.97,22.92
419805.0,,sonepur,5538188730,Tarva,chc,56.61,27.4
419804.0,,sonepur,5538188730,Tarva,chc,52.78,25.83
419814.0,,sonepur,5538188730,Tarva,chc,44.46,24.74
419785.0,,sonepur,5538188730,Tarva,chc,42.25,23.86
419807.0,,sonepur,5538188730,Tarva,chc,50.83,27.68
419795.0,,sonepur,5538188730,Tarva,chc,45.76,25.29
419780.0,,sonepur,5538188730,Tarva,chc,30.25,17.74
419762.0,,sonepur,5538188730,Tarva,chc,43.86,21.6
419801.0,,sonepur,5538188730,Tarva,chc,57.3,27.68
419803.0,,sonepur,5538188730,Tarva,chc,54.8,26.66
419799.0,,sonepur,5538188730,Tarva,chc,54.97,26.69
419776.0,,sonepur,5538188730,Tarva,chc,28.04,17.96
419766.0,,sonepur,5538188730,Tarva,chc,34.72,17.83
419736.0,,sonepur,5538188730,Tarva,chc,22.25,14.72
419802.0,,sonepur,5538188730,Tarva,chc,56.22,27.25
419768.0,,sonepur,5538188730,Tarva,chc,43.83,21.63
419767.0,,sonepur,5538188730,Tarva,chc,36.85,18.72
419778.0,,sonepur,5538188730,Tarva,chc,27.84,16.72
419779.0,,sonepur,5538188730,Tarva,chc,26.04,15.99
419774.0,,sonepur,5538188730,Tarva,chc,28.9,16.37
419763.0,,sonepur,5538188730,Tarva,chc,48.41,23.5
419787.0,,sonepur,5538188730,Tarva,chc,40.93,23.27
419769.0,,sonepur,5538188730,Tarva,chc,36.96,21.6
419812.0,,sonepur,5538188730,Tarva,chc,47.22,25.89
419770.0,,sonepur,5538188730,Tarva,chc,32.14,17.7
419773.0,,sonepur,5538188730,Tarva,chc,33.92,20.38
419777.0,,sonepur,5538188730,Tarva,chc,26.79,17.44
419735.0,,sonepur,5538188730,Tarva,chc,22.25,14.72
419793.0,,sonepur,5538188730,Tarva,chc,44.78,22.02
419798.0,,sonepur,5538188730,Tarva,chc,53.88,26.24
419788.0,,sonepur,5538188730,Tarva,chc,35.02,20.86
419771.0,,sonepur,5538188730,Tarva,chc,30.67,17.11
419782.0,,sonepur,5538188730,Tarva,chc,42.51,23.98
419800.0,,sonepur,5538188730,Tarva,chc,56.33,27.25
419720.0,,sonepur,5538188730,Tarva,chc,16.06,10.07
419729.0,,sonepur,5538188730,Tarva,chc,12.29,8.1
419722.0,,sonepur,5538188730,Tarva,chc,13.83,9.02
419728.0,,sonepur,5538188730,Tarva,chc,13.35,8.8
419726.0,,sonepur,5538188730,Tarva,chc,11.67,7.69
419717.0,,sonepur,5538188730,Tarva,chc,27.69,14.9
419724.0,,sonepur,5538188730,Tarva,chc,11.37,7.38
419721.0,,sonepur,5538188730,Tarva,chc,20.43,11.85
419750.0,,sonepur,5538188730,Tarva,chc,17.63,10.88
419754.0,,sonepur,5538188730,Tarva,chc,29.95,15.83
419745.0,,sonepur,5538188730,Tarva,chc,21.75,14.3
419752.0,,sonepur,5538188730,Tarva,chc,21.78,13.35
419742.0,,sonepur,5538188730,Tarva,chc,20.03,12.49
419730.0,,sonepur,5538188730,Tarva,chc,13.8,9.11
419716.0,,sonepur,5538188730,Tarva,chc,23.56,12.24
419725.0,,sonepur,5538188730,Tarva,chc,10.6,6.89
419703.0,,sonepur,5538188730,Tarva,chc,12.27,8.09
419705.0,,sonepur,5538188730,Tarva,chc,8.53,5.59
419710.0,,sonepur,5538188730,Tarva,chc,7.83,5.07
419708.0,,sonepur,5538188730,Tarva,chc,4.43,2.88
250549.0,,sonepur,5538188730,Tarva,chc,0.0,0.0
419741.0,,sonepur,5538188730,Tarva,chc,26.29,15.06
419715.0,,sonepur,5538188730,Tarva,chc,25.49,13.95
419714.0,,sonepur,5538188730,Tarva,chc,9.3,6.01
419707.0,,sonepur,5538188730,Tarva,chc,7.81,5.13
419704.0,,sonepur,5538188730,Tarva,chc,8.03,5.27
419687.0,,sonepur,5538188730,Tarva,chc,6.68,4.42
419686.0,,sonepur,5538188730,Tarva,chc,4.57,3.01
419734.0,,sonepur,5538188730,Tarva,chc,23.77,15.74
419757.0,,sonepur,5538188730,Tarva,chc,27.67,14.88
419743.0,,sonepur,5538188730,Tarva,chc,23.3,13.24
419732.0,,sonepur,5538188730,Tarva,chc,17.96,11.63
419765.0,,sonepur,5538188730,Tarva,chc,30.26,15.98
419699.0,,sonepur,5538188730,Tarva,chc,8.09,5.36
419744.0,,sonepur,5538188730,Tarva,chc,21.11,12.33
419756.0,,sonepur,5538188730,Tarva,chc,24.85,13.72
419719.0,,sonepur,5538188730,Tarva,chc,17.64,10.72
419713.0,,sonepur,5538188730,Tarva,chc,29.85,15.77
419712.0,,sonepur,5538188730,Tarva,chc,6.72,4.29
419761.0,,sonepur,5538188730,Tarva,chc,41.95,20.8
419760.0,,sonepur,5538188730,Tarva,chc,33.39,17.28
419764.0,,sonepur,5538188730,Tarva,chc,32.84,17.05
419747.0,,sonepur,5538188730,Tarva,chc,24.8,15.73
419746.0,,sonepur,5538188730,Tarva,chc,23.67,15.57
419753.0,,sonepur,5538188730,Tarva,chc,28.41,16.07
419748.0,,sonepur,5538188730,Tarva,chc,26.98,15.5
419759.0,,sonepur,5538188730,Tarva,chc,29.21,15.54
419749.0,,sonepur,5538188730,Tarva,chc,22.76,13.83
419723.0,,sonepur,5538188730,Tarva,chc,20.02,11.88
419718.0,,sonepur,5538188730,Tarva,chc,21.0,12.13
419711.0,,sonepur,5538188730,Tarva,chc,9.65,6.24
419709.0,,sonepur,5538188730,Tarva,chc,6.13,3.89
419685.0,,sonepur,5538188730,Tarva,chc,3.42,2.24
419688.0,,sonepur,5538188730,Tarva,chc,3.94,2.63
419691.0,,sonepur,5538188730,Tarva,chc,8.19,5.47
419758.0,,sonepur,5538188730,Tarva,chc,26.92,14.59
419775.0,,sonepur,5538188730,Tarva,chc,26.34,15.31
419740.0,,sonepur,5538188730,Tarva,chc,24.95,14.54
419727.0,,sonepur,5538188730,Tarva,chc,12.85,8.47
419731.0,,sonepur,5538188730,Tarva,chc,14.81,9.78
419751.0,,sonepur,5538188730,Tarva,chc,15.86,10.38
419706.0,,sonepur,5538188730,Tarva,chc,7.49,4.9
419689.0,,sonepur,5538188730,Tarva,chc,3.89,2.6
419737.0,,sonepur,5538188730,Tarva,chc,22.02,14.32
419738.0,,sonepur,5538188730,Tarva,chc,20.63,13.66
419739.0,,sonepur,5538188730,Tarva,chc,19.54,12.94
419700.0,,sonepur,5538188730,Tarva,chc,8.09,5.36
419755.0,,sonepur,5538188730,Tarva,chc,23.48,13.15
419648.0,,sonepur,5538188730,Tarva,chc,15.29,10.58
419626.0,,sonepur,1722578885,Naikenpali,chc,8.5,5.59
419618.0,,sonepur,1722578885,Naikenpali,chc,3.16,2.1
419647.0,,sonepur,1722578885,Naikenpali,chc,15.02,10.52
419611.0,,sonepur,1722578885,Naikenpali,chc,11.91,7.94
419679.0,,sonepur,5538188730,Tarva,chc,11.7,7.79
419678.0,,sonepur,5538188730,Tarva,chc,10.91,7.26
419673.0,,sonepur,5538188730,Tarva,chc,7.56,5.05
419680.0,,sonepur,5538188730,Tarva,chc,5.92,4.52
419646.0,,sonepur,1722578885,Naikenpali,chc,11.8,8.37
419635.0,,sonepur,1722578885,Naikenpali,chc,4.03,2.69
419628.0,,sonepur,1722578885,Naikenpali,chc,7.65,5.03
419653.0,,sonepur,5538188730,Tarva,chc,11.16,7.85
419677.0,,sonepur,5538188730,Tarva,chc,9.5,6.33
419690.0,,sonepur,5538188730,Tarva,chc,4.65,3.11
419676.0,,sonepur,5538188730,Tarva,chc,8.64,5.75
419682.0,,sonepur,5538188730,Tarva,chc,6.91,5.01
419683.0,,sonepur,5538188730,Tarva,chc,11.96,8.36
419637.0,,sonepur,5538188730,Tarva,chc,11.35,7.98
419632.0,,sonepur,1722578885,Naikenpali,chc,7.93,5.29
419630.0,,sonepur,1722578885,Naikenpali,chc,6.8,4.54
419638.0,,sonepur,1722578885,Naikenpali,chc,4.48,2.97
419636.0,,sonepur,1722578885,Naikenpali,chc,7.03,4.69
419639.0,,sonepur,1722578885,Naikenpali,chc,1.57,1.05
419645.0,,sonepur,1722578885,Naikenpali,chc,12.14,8.54
419633.0,,sonepur,1722578885,Naikenpali,chc,8.23,5.41
419642.0,,sonepur,1722578885,Naikenpali,chc,5.13,3.42
419644.0,,sonepur,1722578885,Naikenpali,chc,14.65,10.21
419643.0,,sonepur,1722578885,Naikenpali,chc,10.75,7.61
419658.0,,sonepur,5538188730,Tarva,chc,8.2,7.75
419651.0,,sonepur,5538188730,Tarva,chc,10.63,7.48
419652.0,,sonepur,5538188730,Tarva,chc,13.29,9.25
419659.0,,sonepur,5538188730,Tarva,chc,9.43,9.5
419641.0,,sonepur,1722578885,Naikenpali,chc,0.0,0.0
419640.0,,sonepur,1722578885,Naikenpali,chc,4.97,2.49
419616.0,,sonepur,1722578885,Naikenpali,chc,6.43,4.28
419675.0,,sonepur,5538188730,Tarva,chc,8.97,5.97
419681.0,,sonepur,5538188730,Tarva,chc,8.21,5.87
419655.0,,sonepur,5538188730,Tarva,chc,7.37,6.57
419650.0,,sonepur,5538188730,Tarva,chc,13.61,9.46
419649.0,,sonepur,5538188730,Tarva,chc,15.01,10.4
419623.0,,sonepur,1722578885,Naikenpali,chc,3.78,2.45
419631.0,,sonepur,5538188730,Tarva,chc,10.34,10.79
419654.0,,sonepur,5538188730,Tarva,chc,9.83,6.96
419634.0,,sonepur,1722578885,Naikenpali,chc,7.54,4.95
419684.0,,sonepur,5538188730,Tarva,chc,2.83,1.85
419627.0,,sonepur,1722578885,Naikenpali,chc,8.48,5.58
419625.0,,sonepur,1722578885,Naikenpali,chc,6.54,4.29
419657.0,,sonepur,1722578885,Naikenpali,chc,9.18,6.12
419656.0,,sonepur,5538188730,Tarva,chc,8.44,8.09
418896.0,,sonepur,6868466258,Dunguripali,chc,27.36,26.95
418891.0,,sonepur,6868466258,Dunguripali,chc,32.83,30.6
418900.0,,sonepur,6868466258,Dunguripali,chc,14.27,16.22
418897.0,,sonepur,6868466258,Dunguripali,chc,17.26,18.97
418899.0,,sonepur,6868466258,Dunguripali,chc,14.58,16.5
418892.0,,sonepur,6868466258,Dunguripali,chc,15.74,17.57
418893.0,,sonepur,6868466258,Dunguripali,chc,32.83,30.6
418898.0,,sonepur,6868466258,Dunguripali,chc,15.76,17.59
418895.0,,sonepur,6868466258,Dunguripali,chc,29.12,28.12
418894.0,,sonepur,6868466258,Dunguripali,chc,32.83,30.6
418952.0,,sonepur,1722578885,Naikenpali,chc,13.65,9.17
418927.0,,sonepur,2468852344,Binka,chc,22.42,20.75
418956.0,,sonepur,1722578885,Naikenpali,chc,13.65,9.17
418961.0,,sonepur,6868466258,Dunguripali,chc,25.67,20.34
418936.0,,sonepur,6868466258,Dunguripali,chc,24.53,21.31
419619.0,,sonepur,1722578885,Naikenpali,chc,6.76,4.73
418941.0,,sonepur,1722578885,Naikenpali,chc,13.65,9.17
418944.0,,sonepur,2468852344,Binka,chc,23.02,23.99
418966.0,,sonepur,1722578885,Naikenpali,chc,10.93,7.36
418968.0,,sonepur,1722578885,Naikenpali,chc,12.31,8.28
418974.0,,sonepur,1722578885,Naikenpali,chc,15.14,12.01
418967.0,,sonepur,1722578885,Naikenpali,chc,11.34,7.63
418942.0,,sonepur,2468852344,Binka,chc,22.42,20.75
419614.0,,sonepur,1722578885,Naikenpali,chc,10.99,8.63
418949.0,,sonepur,1722578885,Naikenpali,chc,15.14,12.01
419609.0,,sonepur,1722578885,Naikenpali,chc,18.38,15.21
419617.0,,sonepur,1722578885,Naikenpali,chc,11.36,7.57
418962.0,,sonepur,1722578885,Naikenpali,chc,13.65,9.17
418939.0,,sonepur,6868466258,Dunguripali,chc,23.96,20.93
418953.0,,sonepur,1722578885,Naikenpali,chc,13.65,9.17
419622.0,,sonepur,1722578885,Naikenpali,chc,6.94,4.83
418977.0,,sonepur,1722578885,Naikenpali,chc,9.57,7.68
418958.0,,sonepur,6868466258,Dunguripali,chc,25.98,22.28
419624.0,,sonepur,1722578885,Naikenpali,chc,9.29,7.37
418965.0,,sonepur,1722578885,Naikenpali,chc,10.86,7.31
419603.0,,sonepur,1722578885,Naikenpali,chc,21.12,17.07
418976.0,,sonepur,1722578885,Naikenpali,chc,10.16,8.31
419610.0,,sonepur,1722578885,Naikenpali,chc,15.97,10.65
419613.0,,sonepur,1722578885,Naikenpali,chc,12.96,11.0
419615.0,,sonepur,1722578885,Naikenpali,chc,12.14,8.09
419612.0,,sonepur,1722578885,Naikenpali,chc,11.55,9.7
418978.0,,sonepur,1722578885,Naikenpali,chc,10.42,8.6
418933.0,,sonepur,6868466258,Dunguripali,chc,25.19,21.75
419606.0,,sonepur,1722578885,Naikenpali,chc,16.35,14.1
418969.0,,sonepur,1722578885,Naikenpali,chc,13.22,8.88
418973.0,,sonepur,1722578885,Naikenpali,chc,15.14,12.01
419604.0,,sonepur,1722578885,Naikenpali,chc,17.27,14.95
418950.0,,sonepur,1722578885,Naikenpali,chc,13.65,9.17
419608.0,,sonepur,1722578885,Naikenpali,chc,15.09,12.94
418935.0,,sonepur,6868466258,Dunguripali,chc,25.63,22.04
419607.0,,sonepur,1722578885,Naikenpali,chc,16.07,13.85
419620.0,,sonepur,1722578885,Naikenpali,chc,6.48,4.33
418938.0,,sonepur,6868466258,Dunguripali,chc,25.14,21.72
418937.0,,sonepur,1722578885,Naikenpali,chc,13.65,9.17
418957.0,,sonepur,1722578885,Naikenpali,chc,13.65,9.17
418964.0,,sonepur,1722578885,Naikenpali,chc,10.91,9.11
418971.0,,sonepur,1722578885,Naikenpali,chc,13.65,9.17
418954.0,,sonepur,1722578885,Naikenpali,chc,13.65,9.17
418955.0,,sonepur,1722578885,Naikenpali,chc,13.65,9.17
418951.0,,sonepur,1722578885,Naikenpali,chc,13.65,9.17
418970.0,,sonepur,1722578885,Naikenpali,chc,13.65,9.17
418959.0,,sonepur,6868466258,Dunguripali,chc,26.22,22.43
418963.0,,sonepur,1722578885,Naikenpali,chc,12.9,8.67
418932.0,,sonepur,6868466258,Dunguripali,chc,23.96,20.93
418972.0,,sonepur,1722578885,Naikenpali,chc,15.14,12.01
418943.0,,sonepur,2468852344,Binka,chc,22.42,20.75
419605.0,,sonepur,1722578885,Naikenpali,chc,16.57,14.31
419621.0,,sonepur,1722578885,Naikenpali,chc,3.96,2.63
418934.0,,sonepur,6868466258,Dunguripali,chc,25.63,22.04
418979.0,,sonepur,1722578885,Naikenpali,chc,10.84,9.05
418940.0,,sonepur,6868466258,Dunguripali,chc,23.31,20.5
418975.0,,sonepur,1722578885,Naikenpali,chc,13.52,10.94
418960.0,,sonepur,6868466258,Dunguripali,chc,25.67,20.34
418886.0,,sonepur,6868466258,Dunguripali,chc,20.89,14.89
418884.0,,sonepur,6868466258,Dunguripali,chc,1.15,1.37
418874.0,,sonepur,6868466258,Dunguripali,chc,5.03,5.45
419071.0,,sonepur,2468852344,Binka,chc,18.34,13.54
418911.0,,sonepur,6868466258,Dunguripali,chc,4.77,4.47
418918.0,,sonepur,6868466258,Dunguripali,chc,23.34,20.56
