lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
383618.0,,sundargarh,2121411686,Hemgir,chc,39.24,23.57
383611.0,,sundargarh,2121411686,Hemgir,chc,44.31,25.68
383594.0,,sundargarh,2121411686,Hemgir,chc,30.5,20.24
383620.0,,sundargarh,2121411686,Hemgir,chc,21.1,13.97
383596.0,,sundargarh,2121411686,Hemgir,chc,28.56,18.24
383619.0,,sundargarh,2121411686,Hemgir,chc,44.21,25.64
383609.0,,sundargarh,2121411686,Hemgir,chc,19.65,13.0
383623.0,,sundargarh,2121411686,Hemgir,chc,54.77,40.07
383615.0,,sundargarh,2121411686,Hemgir,chc,39.73,26.36
383624.0,,sundargarh,2121411686,Hemgir,chc,51.57,35.53
383616.0,,sundargarh,2121411686,Hemgir,chc,42.55,28.03
383625.0,,sundargarh,2121411686,Hemgir,chc,54.8,40.11
383617.0,,sundargarh,2121411686,Hemgir,chc,34.79,21.71
383593.0,,sundargarh,2121411686,Hemgir,chc,33.73,22.39
383597.0,,sundargarh,2121411686,Hemgir,chc,23.04,15.18
383627.0,,sundargarh,2121411686,Hemgir,chc,54.77,40.07
383610.0,,sundargarh,2121411686,Hemgir,chc,20.38,13.49
383595.0,,sundargarh,2121411686,Hemgir,chc,29.3,18.54
383612.0,,sundargarh,2121411686,Hemgir,chc,26.34,17.46
383613.0,,sundargarh,2121411686,Hemgir,chc,35.56,23.61
383614.0,,sundargarh,2121411686,Hemgir,chc,41.74,24.61
383569.0,,sundargarh,2121411686,Hemgir,chc,43.43,28.33
383537.0,,sundargarh,2121411686,Hemgir,chc,43.43,28.33
383541.0,,sundargarh,2121411686,Hemgir,chc,12.66,8.42
383598.0,,sundargarh,2121411686,Hemgir,chc,17.21,11.38
383590.0,,sundargarh,2121411686,Hemgir,chc,8.61,5.74
383592.0,,sundargarh,2121411686,Hemgir,chc,33.91,22.51
383540.0,,sundargarh,2121411686,Hemgir,chc,12.08,8.03
383565.0,,sundargarh,2121411686,Hemgir,chc,10.88,7.24
383571.0,,sundargarh,2121411686,Hemgir,chc,10.35,6.89
383570.0,,sundargarh,2121411686,Hemgir,chc,60.32,35.31
383563.0,,sundargarh,2121411686,Hemgir,chc,7.26,4.82
383575.0,,sundargarh,2121411686,Hemgir,chc,4.39,2.93
383568.0,,sundargarh,2121411686,Hemgir,chc,12.08,8.03
383564.0,,sundargarh,2121411686,Hemgir,chc,10.88,7.24
383567.0,,sundargarh,2121411686,Hemgir,chc,10.88,7.24
383574.0,,sundargarh,2121411686,Hemgir,chc,0.0,0.0
383562.0,,sundargarh,2121411686,Hemgir,chc,4.83,3.22
383573.0,,sundargarh,2121411686,Hemgir,chc,0.12,0.08
383526.0,,sundargarh,2121411686,Hemgir,chc,6.43,4.29
383572.0,,sundargarh,2121411686,Hemgir,chc,5.3,3.51
383581.0,,sundargarh,2121411686,Hemgir,chc,38.01,17.6
383579.0,,sundargarh,2121411686,Hemgir,chc,30.99,15.82
383588.0,,sundargarh,8661647589,Sargipalli,chc,73.23,49.14
383607.0,,sundargarh,2121411686,Hemgir,chc,15.94,10.63
383544.0,,sundargarh,2121411686,Hemgir,chc,10.06,6.7
383602.0,,sundargarh,8661647589,Sargipalli,chc,72.75,48.93
383546.0,,sundargarh,2121411686,Hemgir,chc,16.92,11.28
383556.0,,sundargarh,2121411686,Hemgir,chc,37.94,17.58
383558.0,,sundargarh,2121411686,Hemgir,chc,12.57,8.37
383560.0,,sundargarh,2121411686,Hemgir,chc,9.88,6.58
383600.0,,sundargarh,2121411686,Hemgir,chc,16.57,11.05
383603.0,,sundargarh,8661647589,Sargipalli,chc,73.22,49.14
383622.0,,sundargarh,8661647589,Sargipalli,chc,66.94,53.88
383552.0,,sundargarh,8661647589,Sargipalli,chc,55.76,32.89
383621.0,,sundargarh,2121411686,Hemgir,chc,16.33,10.89
383577.0,,sundargarh,2121411686,Hemgir,chc,18.95,12.64
383585.0,,sundargarh,8661647589,Sargipalli,chc,51.5,31.14
383551.0,,sundargarh,8661647589,Sargipalli,chc,55.76,32.89
383780.0,,sundargarh,8661647589,Sargipalli,chc,23.07,12.33
383583.0,,sundargarh,8661647589,Sargipalli,chc,55.76,32.89
383584.0,,sundargarh,8661647589,Sargipalli,chc,55.76,32.89
383626.0,,sundargarh,8661647589,Sargipalli,chc,63.44,52.42
383553.0,,sundargarh,2121411686,Hemgir,chc,38.33,17.68
383554.0,,sundargarh,2121411686,Hemgir,chc,33.93,16.58
383587.0,,sundargarh,8661647589,Sargipalli,chc,73.23,49.14
383601.0,,sundargarh,2121411686,Hemgir,chc,19.35,12.9
383608.0,,sundargarh,2121411686,Hemgir,chc,14.46,9.27
383578.0,,sundargarh,2121411686,Hemgir,chc,31.11,15.85
383599.0,,sundargarh,2121411686,Hemgir,chc,13.49,8.86
383576.0,,sundargarh,2121411686,Hemgir,chc,5.25,3.51
383606.0,,sundargarh,8661647589,Sargipalli,chc,60.03,46.37
383605.0,,sundargarh,8661647589,Sargipalli,chc,67.97,46.95
383604.0,,sundargarh,8661647589,Sargipalli,chc,72.78,48.96
383586.0,,sundargarh,8661647589,Sargipalli,chc,51.5,31.14
383589.0,,sundargarh,2121411686,Hemgir,chc,19.48,12.99
383557.0,,sundargarh,2121411686,Hemgir,chc,32.17,16.11
383582.0,,sundargarh,2121411686,Hemgir,chc,38.26,17.66
383580.0,,sundargarh,2121411686,Hemgir,chc,38.01,17.6
383561.0,,sundargarh,2121411686,Hemgir,chc,7.53,5.02
383555.0,,sundargarh,2121411686,Hemgir,chc,29.75,15.53
383547.0,,sundargarh,2121411686,Hemgir,chc,15.98,10.58
383550.0,,sundargarh,8661647589,Sargipalli,chc,55.76,32.89
383559.0,,sundargarh,2121411686,Hemgir,chc,11.0,7.33
383591.0,,sundargarh,2121411686,Hemgir,chc,10.76,7.18
383760.0,,sundargarh,2381684287,Majhapada,chc,38.16,36.1
383785.0,,sundargarh,8661647589,Sargipalli,chc,35.92,22.91
383757.0,,sundargarh,2381684287,Majhapada,chc,29.25,28.66
383759.0,,sundargarh,2381684287,Majhapada,chc,32.89,32.43
383761.0,,sundargarh,8867311477,Mangaspur,chc,3.84,1.6
383784.0,,sundargarh,8867311477,Mangaspur,chc,6.05,2.47
383775.0,,sundargarh,8867311477,Mangaspur,chc,10.75,4.48
383755.0,,sundargarh,2381684287,Majhapada,chc,33.72,32.94
383750.0,,sundargarh,2381684287,Majhapada,chc,32.52,32.12
383752.0,,sundargarh,2381684287,Majhapada,chc,32.52,32.12
383782.0,,sundargarh,8867311477,Mangaspur,chc,0.0,0.0
383783.0,,sundargarh,8867311477,Mangaspur,chc,7.06,2.89
383781.0,,sundargarh,8867311477,Mangaspur,chc,5.22,2.18
383754.0,,sundargarh,2381684287,Majhapada,chc,59.03,52.86
383758.0,,sundargarh,2381684287,Majhapada,chc,30.43,29.95
383756.0,,sundargarh,2381684287,Majhapada,chc,33.46,33.14
383776.0,,sundargarh,8661647589,Sargipalli,chc,24.8,13.91
383762.0,,sundargarh,8867311477,Mangaspur,chc,7.98,3.32
383753.0,,sundargarh,2381684287,Majhapada,chc,32.45,32.04
383751.0,,sundargarh,2381684287,Majhapada,chc,32.45,32.04
383822.0,,sundargarh,2381684287,Majhapada,chc,9.87,7.7
384987.0,,sundargarh,7454682639,Baragaon,chc,64.13,57.58
384988.0,,sundargarh,7454682639,Baragaon,chc,64.13,57.58
384990.0,,sundargarh,7454682639,Baragaon,chc,64.13,57.58
385033.0,,sundargarh,6788361548,S Bolanga,chc,107.41,89.65
385006.0,,sundargarh,7454682639,Baragaon,chc,64.13,57.58
385027.0,,sundargarh,6788361548,S Bolanga,chc,106.03,87.5
385024.0,,sundargarh,6788361548,S Bolanga,chc,104.61,90.66
384967.0,,sundargarh,7454682639,Baragaon,chc,61.63,55.91
385007.0,,sundargarh,6788361548,S Bolanga,chc,119.19,89.26
385025.0,,sundargarh,6788361548,S Bolanga,chc,119.13,89.24
384992.0,,sundargarh,7454682639,Baragaon,chc,64.13,57.58
385028.0,,sundargarh,6788361548,S Bolanga,chc,101.22,87.55
384991.0,,sundargarh,7454682639,Baragaon,chc,61.63,55.91
385008.0,,sundargarh,6788361548,S Bolanga,chc,119.16,89.25
385030.0,,sundargarh,6788361548,S Bolanga,chc,103.44,89.58
385029.0,,sundargarh,6788361548,S Bolanga,chc,103.12,86.79
385032.0,,sundargarh,6788361548,S Bolanga,chc,104.61,90.66
385031.0,,sundargarh,6788361548,S Bolanga,chc,104.22,90.3
384994.0,,sundargarh,7454682639,Baragaon,chc,64.13,57.58
385026.0,,sundargarh,6788361548,S Bolanga,chc,115.36,87.67
384995.0,,sundargarh,7454682639,Baragaon,chc,64.13,57.58
384993.0,,sundargarh,7454682639,Baragaon,chc,64.13,57.58
384989.0,,sundargarh,7454682639,Baragaon,chc,64.13,57.58
385076.0,,sundargarh,6788361548,S Bolanga,chc,6.19,4.13
385058.0,,sundargarh,6788361548,S Bolanga,chc,17.0,11.32
385055.0,,sundargarh,6788361548,S Bolanga,chc,13.95,8.0
385054.0,,sundargarh,6788361548,S Bolanga,chc,11.64,7.07
385056.0,,sundargarh,6788361548,S Bolanga,chc,10.35,6.89
385053.0,,sundargarh,6788361548,S Bolanga,chc,8.02,5.34
385052.0,,sundargarh,6788361548,S Bolanga,chc,9.74,6.48
385051.0,,sundargarh,6788361548,S Bolanga,chc,16.28,9.47
385059.0,,sundargarh,6788361548,S Bolanga,chc,2.6,1.73
385046.0,,sundargarh,6788361548,S Bolanga,chc,21.11,13.99
385062.0,,sundargarh,6788361548,S Bolanga,chc,10.18,6.71
385084.0,,sundargarh,6788361548,S Bolanga,chc,19.24,17.16
385057.0,,sundargarh,6788361548,S Bolanga,chc,14.42,9.61
385060.0,,sundargarh,6788361548,S Bolanga,chc,3.92,2.62
385050.0,,sundargarh,6788361548,S Bolanga,chc,11.27,6.84
385049.0,,sundargarh,6788361548,S Bolanga,chc,1.18,0.79
385048.0,,sundargarh,6788361548,S Bolanga,chc,0.0,0.0
385061.0,,sundargarh,6788361548,S Bolanga,chc,4.08,2.72
385040.0,,sundargarh,6788361548,S Bolanga,chc,28.02,18.6
385042.0,,sundargarh,6788361548,S Bolanga,chc,23.78,15.77
385063.0,,sundargarh,6788361548,S Bolanga,chc,12.55,8.29
385047.0,,sundargarh,6788361548,S Bolanga,chc,3.66,2.37
385045.0,,sundargarh,6788361548,S Bolanga,chc,17.72,11.73
385064.0,,sundargarh,6788361548,S Bolanga,chc,13.98,9.23
385041.0,,sundargarh,6788361548,S Bolanga,chc,26.31,17.46
385160.0,,sundargarh,6788361548,S Bolanga,chc,14.4,9.51
385044.0,,sundargarh,6788361548,S Bolanga,chc,18.37,11.11
385240.0,,sundargarh,1676512161,UCHC Panposh,chc,28.0,27.18
385204.0,,sundargarh,6788361548,S Bolanga,chc,24.2,24.03
385074.0,,sundargarh,6788361548,S Bolanga,chc,14.32,10.19
385239.0,,sundargarh,1676512161,UCHC Panposh,chc,27.77,26.92
385186.0,,sundargarh,1676512161,UCHC Panposh,chc,11.24,11.58
385206.0,,sundargarh,1676512161,UCHC Panposh,chc,16.88,15.36
385085.0,,sundargarh,6788361548,S Bolanga,chc,19.35,17.32
385205.0,,sundargarh,6788361548,S Bolanga,chc,23.82,23.5
385208.0,,sundargarh,1676512161,UCHC Panposh,chc,17.85,18.74
385207.0,,sundargarh,1676512161,UCHC Panposh,chc,18.91,19.89
385083.0,,sundargarh,6788361548,S Bolanga,chc,19.06,16.91
385082.0,,sundargarh,6788361548,S Bolanga,chc,17.52,14.73
385189.0,,sundargarh,1676512161,UCHC Panposh,chc,12.32,11.04
385212.0,,sundargarh,1676512161,UCHC Panposh,chc,13.52,14.05
385174.0,,sundargarh,1676512161,UCHC Panposh,chc,11.81,7.19
385166.0,,sundargarh,1676512161,UCHC Panposh,chc,15.38,17.7
385068.0,,sundargarh,1676512161,UCHC Panposh,chc,15.89,18.42
385201.0,,sundargarh,1676512161,UCHC Panposh,chc,16.92,11.43
385196.0,,sundargarh,6788361548,S Bolanga,chc,18.39,15.86
