lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
404963.0,,anugul,2518123555,Kantapada,hsc,1.71,1.85
404800.0,,anugul,4285254845,Lunahandi,hsc,1.77,1.18
404793.0,,anugul,3221416526,Kampala,hsc,4.92,2.83
404959.0,,anugul,2518123555,Kantapada,hsc,1.94,2.1
404960.0,,anugul,2518123555,Kantapada,hsc,1.1,1.19
404965.0,,anugul,2518123555,Kantapada,hsc,1.5,1.62
404791.0,,anugul,3221416526,Kampala,hsc,0.0,0.0
404794.0,,anugul,3221416526,Kampala,hsc,6.1,3.84
404952.0,,anugul,2518123555,Kantapada,hsc,2.71,2.94
404964.0,,anugul,1122423716,Kiakata,hsc,16.1,13.04
404792.0,,anugul,3221416526,Kampala,hsc,2.86,1.68
404798.0,,anugul,3221416526,Kampala,hsc,2.25,0.94
404958.0,,anugul,2518123555,Kantapada,hsc,2.87,3.1
404966.0,,anugul,3221416526,Kampala,hsc,7.19,3.79
404789.0,,anugul,2518123555,Kantapada,hsc,0.78,0.85
404799.0,,anugul,4285254845,Lunahandi,hsc,1.82,1.21
404953.0,,anugul,2518123555,Kantapada,hsc,2.61,2.83
404788.0,,anugul,2518123555,Kantapada,hsc,0.0,0.0
404790.0,,anugul,3221416526,Kampala,hsc,1.43,0.73
404796.0,,anugul,3221416526,Kampala,hsc,4.13,2.52
404797.0,,anugul,4285254845,Lunahandi,hsc,1.82,1.21
404795.0,,anugul,3221416526,Kampala,hsc,4.13,2.52
404858.0,,anugul,3342861782,Kuteswar,hsc,1.03,0.94
404848.0,,anugul,3342861782,Kuteswar,hsc,0.51,0.46
404850.0,,anugul,3342861782,Kuteswar,hsc,2.19,2.01
404846.0,,anugul,3342861782,Kuteswar,hsc,3.12,2.66
404855.0,,anugul,3342861782,Kuteswar,hsc,4.81,2.73
404865.0,,anugul,8546728653,Aida,hsc,0.78,0.71
404863.0,,anugul,8546728653,Aida,hsc,2.01,1.85
404851.0,,anugul,3342861782,Kuteswar,hsc,5.5,2.99
404859.0,,anugul,3342861782,Kuteswar,hsc,1.53,1.4
404854.0,,anugul,3342861782,Kuteswar,hsc,4.81,2.73
404901.0,,anugul,3342861782,Kuteswar,hsc,4.81,2.73
404856.0,,anugul,3342861782,Kuteswar,hsc,0.34,0.31
404857.0,,anugul,3342861782,Kuteswar,hsc,0.0,0.0
404867.0,,anugul,8546728653,Aida,hsc,0.0,0.0
404860.0,,anugul,3342861782,Kuteswar,hsc,2.28,2.09
404872.0,,anugul,8546728653,Aida,hsc,3.54,2.29
404849.0,,anugul,3342861782,Kuteswar,hsc,1.95,1.54
404866.0,,anugul,8546728653,Aida,hsc,1.45,1.34
404862.0,,anugul,8546728653,Aida,hsc,2.34,2.15
404847.0,,anugul,3342861782,Kuteswar,hsc,1.42,1.31
404861.0,,anugul,3342861782,Kuteswar,hsc,2.05,1.88
248142.0,,anugul,1742153511,Kaintragarh,hsc,0.0,0.0
404811.0,,anugul,4285254845,Lunahandi,hsc,0.0,0.0
404812.0,,anugul,8845614331,Madhapur,hsc,5.71,4.36
404784.0,,anugul,8845614331,Madhapur,hsc,3.33,2.76
404839.0,,anugul,3286578723,Mahendrapur,hsc,13.08,9.61
404833.0,,anugul,3286578723,Mahendrapur,hsc,8.02,3.3
404778.0,,anugul,8845614331,Madhapur,hsc,2.14,1.97
404818.0,,anugul,8845614331,Madhapur,hsc,2.41,2.6
404802.0,,anugul,4285254845,Lunahandi,hsc,1.68,1.12
404830.0,,anugul,3286578723,Mahendrapur,hsc,9.13,3.73
404853.0,,anugul,3342861782,Kuteswar,hsc,4.81,2.73
404783.0,,anugul,8845614331,Madhapur,hsc,4.35,3.44
404828.0,,anugul,3286578723,Mahendrapur,hsc,9.13,3.73
404815.0,,anugul,8845614331,Madhapur,hsc,5.21,4.15
404820.0,,anugul,4567624384,Purunamantri,hsc,2.28,2.48
404808.0,,anugul,4285254845,Lunahandi,hsc,2.34,1.56
404843.0,,anugul,3286578723,Mahendrapur,hsc,13.45,10.01
404834.0,,anugul,3286578723,Mahendrapur,hsc,6.82,3.04
