lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
420893.0,,balangir,8126121170,Mahakhand,hsc,22.05,11.84
420897.0,,balangir,8126121170,Mahakhand,hsc,3.3,2.21
420895.0,,balangir,8126121170,Mahakhand,hsc,21.11,11.46
420892.0,,balangir,8126121170,Mahakhand,hsc,24.35,12.79
420896.0,,balangir,6161245250,BIRIPALI,hsc,9.28,4.15
421294.0,,balangir,6161245250,BIRIPALI,hsc,14.27,8.79
421270.0,,balangir,6887112784,TUREKELA,hsc,3.77,3.12
421268.0,,balangir,6887112784,TUREKELA,hsc,4.12,2.95
421271.0,,balangir,6161245250,BIRIPALI,hsc,0.0,0.0
420898.0,,balangir,8126121170,Mahakhand,hsc,1.6,1.08
421334.0,,balangir,6161245250,BIRIPALI,hsc,24.7,15.43
421269.0,,balangir,6887112784,TUREKELA,hsc,3.77,3.12
420858.0,,balangir,5211585533,Ghunesh,hsc,4.49,1.87
420854.0,,balangir,5211585533,Ghunesh,hsc,2.03,0.84
420891.0,,balangir,7654677579,Badbanki,hsc,17.33,7.22
420899.0,,balangir,8126121170,Mahakhand,hsc,0.0,0.0
420890.0,,balangir,8126121170,Mahakhand,hsc,44.42,40.01
420888.0,,balangir,7654677579,Badbanki,hsc,10.11,4.2
420861.0,,balangir,7654677579,Badbanki,hsc,6.01,2.48
420867.0,,balangir,8416374422,Turekela,hsc,5.61,4.49
420868.0,,balangir,8416374422,Turekela,hsc,3.05,2.26
420889.0,,balangir,7654677579,Badbanki,hsc,8.87,3.69
420864.0,,balangir,7654677579,Badbanki,hsc,47.29,23.33
420860.0,,balangir,7654677579,Badbanki,hsc,36.64,23.57
420866.0,,balangir,8416374422,Turekela,hsc,9.53,6.72
420863.0,,balangir,7654677579,Badbanki,hsc,0.0,0.0
420856.0,,balangir,7654677579,Badbanki,hsc,6.53,2.72
420857.0,,balangir,7654677579,Badbanki,hsc,3.14,1.31
420855.0,,balangir,5211585533,Ghunesh,hsc,0.0,0.0
420849.0,,balangir,5211585533,Ghunesh,hsc,6.26,2.6
420865.0,,balangir,8126121170,Mahakhand,hsc,6.93,6.35
420859.0,,balangir,5211585533,Ghunesh,hsc,56.22,32.56
420862.0,,balangir,7654677579,Badbanki,hsc,9.17,3.82
420894.0,,balangir,8126121170,Mahakhand,hsc,21.11,11.46
420827.0,,balangir,4235444850,Kuspali,hsc,11.35,4.72
420826.0,,balangir,7448146410,Lathor,hsc,7.89,3.78
420846.0,,balangir,8416374422,Turekela,hsc,3.23,2.51
420839.0,,balangir,1835278746,Mahulpati,hsc,0.46,0.42
420831.0,,balangir,4235444850,Kuspali,hsc,6.51,2.66
420829.0,,balangir,4235444850,Kuspali,hsc,7.89,3.25
420850.0,,balangir,5211585533,Ghunesh,hsc,2.45,1.02
420830.0,,balangir,1835278746,Mahulpati,hsc,5.41,4.06
420836.0,,balangir,4732643640,Dholmandal,hsc,0.73,0.3
420852.0,,balangir,5211585533,Ghunesh,hsc,1.67,0.7
420838.0,,balangir,4732643640,Dholmandal,hsc,8.2,3.39
420828.0,,balangir,4235444850,Kuspali,hsc,5.1,2.13
420833.0,,balangir,4235444850,Kuspali,hsc,9.98,4.11
420848.0,,balangir,8416374422,Turekela,hsc,0.0,0.0
420851.0,,balangir,8416374422,Turekela,hsc,7.4,3.04
420853.0,,balangir,5211585533,Ghunesh,hsc,1.68,0.7
420845.0,,balangir,6646567443,Mahulbahali,hsc,4.5,3.2
420837.0,,balangir,4732643640,Dholmandal,hsc,0.0,0.0
420847.0,,balangir,1835278746,Mahulpati,hsc,3.74,3.43
420835.0,,balangir,4732643640,Dholmandal,hsc,0.73,0.3
