lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
393633.0,,baleshwar,2225264122,Bartana,hsc,3.99,1.66
393634.0,,baleshwar,2225264122,Bartana,hsc,3.34,1.39
393608.0,,baleshwar,6731531213,Kupari,hsc,2.84,2.08
393611.0,,baleshwar,3318343740,Haripur,hsc,4.53,1.89
393625.0,,baleshwar,2225264122,Bartana,hsc,1.29,0.54
393632.0,,baleshwar,2225264122,Bartana,hsc,2.09,0.87
393616.0,,baleshwar,2225264122,Bartana,hsc,3.74,1.58
393512.0,,baleshwar,8435862753,Kaithagadia,hsc,9.09,3.74
393607.0,,baleshwar,6731531213,Kupari,hsc,2.61,1.87
393517.0,,baleshwar,3318343740,Haripur,hsc,17.89,11.33
393514.0,,baleshwar,3318343740,Haripur,hsc,17.8,11.26
393622.0,,baleshwar,2225264122,Bartana,hsc,4.92,2.95
393638.0,,baleshwar,2225264122,Bartana,hsc,5.36,2.24
393510.0,,baleshwar,6731531213,Kupari,hsc,6.08,3.01
393612.0,,baleshwar,3318343740,Haripur,hsc,0.0,0.0
393627.0,,baleshwar,2225264122,Bartana,hsc,2.58,1.61
393628.0,,baleshwar,2225264122,Bartana,hsc,2.76,1.77
393521.0,,baleshwar,6731531213,Kupari,hsc,0.0,0.0
393520.0,,baleshwar,6731531213,Kupari,hsc,7.29,4.77
393636.0,,baleshwar,2225264122,Bartana,hsc,9.87,4.11
393624.0,,baleshwar,2225264122,Bartana,hsc,0.0,0.0
393503.0,,baleshwar,6731531213,Kupari,hsc,7.84,3.74
393613.0,,baleshwar,2225264122,Bartana,hsc,2.99,1.99
393513.0,,baleshwar,6731531213,Kupari,hsc,6.37,4.15
393519.0,,baleshwar,3318343740,Haripur,hsc,21.87,9.19
393635.0,,baleshwar,2225264122,Bartana,hsc,5.13,2.14
393614.0,,baleshwar,2225264122,Bartana,hsc,3.84,1.61
393516.0,,baleshwar,3318343740,Haripur,hsc,17.89,11.33
393515.0,,baleshwar,3318343740,Haripur,hsc,17.87,11.31
393629.0,,baleshwar,2225264122,Bartana,hsc,2.59,1.62
393507.0,,baleshwar,8435862753,Kaithagadia,hsc,5.96,2.49
393508.0,,baleshwar,8435862753,Kaithagadia,hsc,6.14,2.56
393518.0,,baleshwar,3318343740,Haripur,hsc,17.89,11.33
393610.0,,baleshwar,6731531213,Kupari,hsc,3.86,2.18
393609.0,,baleshwar,6731531213,Kupari,hsc,2.09,1.4
393626.0,,baleshwar,2225264122,Bartana,hsc,2.03,1.11
393615.0,,baleshwar,2225264122,Bartana,hsc,3.45,1.46
393617.0,,baleshwar,6788565247,Ratina,hsc,4.48,1.83
393621.0,,baleshwar,2225264122,Bartana,hsc,2.55,1.51
393619.0,,baleshwar,2225264122,Bartana,hsc,3.23,2.13
393620.0,,baleshwar,2225264122,Bartana,hsc,3.8,2.48
393623.0,,baleshwar,2225264122,Bartana,hsc,2.53,1.06
393522.0,,baleshwar,6731531213,Kupari,hsc,2.95,1.7
393630.0,,baleshwar,2225264122,Bartana,hsc,1.69,0.7
393618.0,,baleshwar,6788565247,Ratina,hsc,0.0,0.0
393409.0,,baleshwar,8435862753,Kaithagadia,hsc,3.31,1.38
393511.0,,baleshwar,8435862753,Kaithagadia,hsc,6.92,2.88
393407.0,,baleshwar,3318343740,Haripur,hsc,17.89,11.33
393408.0,,baleshwar,8435862753,Kaithagadia,hsc,7.32,3.05
393410.0,,baleshwar,8435862753,Kaithagadia,hsc,0.72,0.3
393509.0,,baleshwar,8435862753,Kaithagadia,hsc,5.95,2.48
394185.0,,baleshwar,2225264122,Bartana,hsc,16.15,7.63
394183.0,,baleshwar,2225264122,Bartana,hsc,16.15,7.63
394186.0,,baleshwar,2225264122,Bartana,hsc,16.15,7.63
394197.0,,baleshwar,3688683519,Rapeya,hsc,0.0,0.0
394202.0,,baleshwar,1764874713,Kalasuni,hsc,0.98,0.43
394207.0,,baleshwar,1764874713,Kalasuni,hsc,0.98,0.43
394206.0,,baleshwar,1764874713,Kalasuni,hsc,1.22,1.12
394177.0,,baleshwar,2118888185,Antara,hsc,1.17,0.49
394175.0,,baleshwar,7277626680,Mahatipur,hsc,0.64,0.27
394194.0,,baleshwar,2118888185,Antara,hsc,0.6,0.25
394171.0,,baleshwar,5858264376,Ada,hsc,0.29,0.27
394205.0,,baleshwar,1764874713,Kalasuni,hsc,1.22,1.12
394190.0,,baleshwar,2118888185,Antara,hsc,0.76,0.32
394200.0,,baleshwar,3688683519,Rapeya,hsc,0.0,0.0
394196.0,,baleshwar,3688683519,Rapeya,hsc,0.0,0.0
394174.0,,baleshwar,8564265844,Garsanga,hsc,1.15,0.48
394178.0,,baleshwar,8564265844,Garsanga,hsc,0.0,0.0
394169.0,,baleshwar,5858264376,Ada,hsc,0.59,0.54
394181.0,,baleshwar,8564265844,Garsanga,hsc,0.2,0.08
394173.0,,baleshwar,5858264376,Ada,hsc,1.88,1.72
394176.0,,baleshwar,2118888185,Antara,hsc,0.0,0.0
394172.0,,baleshwar,5858264376,Ada,hsc,1.68,1.54
394170.0,,baleshwar,5858264376,Ada,hsc,0.0,0.0
394193.0,,baleshwar,2118888185,Antara,hsc,1.21,0.51
394208.0,,baleshwar,5858264376,Ada,hsc,1.07,0.99
394195.0,,baleshwar,7277626680,Mahatipur,hsc,0.0,0.0
394198.0,,baleshwar,3688683519,Rapeya,hsc,0.79,0.33
394201.0,,baleshwar,5858264376,Ada,hsc,1.16,1.07
394199.0,,baleshwar,3688683519,Rapeya,hsc,0.79,0.33
394203.0,,baleshwar,3688683519,Rapeya,hsc,0.0,0.0
394204.0,,baleshwar,3688683519,Rapeya,hsc,0.0,0.0
394187.0,,baleshwar,2225264122,Bartana,hsc,16.15,7.63
394180.0,,baleshwar,8564265844,Garsanga,hsc,1.63,0.68
394179.0,,baleshwar,8564265844,Garsanga,hsc,0.2,0.08
394189.0,,baleshwar,2118888185,Antara,hsc,1.21,0.51
394188.0,,baleshwar,2225264122,Bartana,hsc,16.15,7.63
394184.0,,baleshwar,2118888185,Antara,hsc,1.21,0.51
394182.0,,baleshwar,8564265844,Garsanga,hsc,0.27,0.11
394191.0,,baleshwar,2118888185,Antara,hsc,0.6,0.25
394192.0,,baleshwar,2118888185,Antara,hsc,0.6,0.25
394135.0,,baleshwar,3413171210,Sunguda,hsc,0.0,0.0
394264.0,,baleshwar,1375743786,Kanchapada,hsc,0.32,0.22
394165.0,,baleshwar,1152364525,Simulia,hsc,1.89,2.68
394243.0,,baleshwar,4176371880,Maitapur,hsc,3.29,2.19
394241.0,,baleshwar,4176371880,Maitapur,hsc,2.56,1.71
394244.0,,baleshwar,1375743786,Kanchapada,hsc,3.88,2.59
394233.0,,baleshwar,4176371880,Maitapur,hsc,0.0,0.0
394232.0,,baleshwar,6287452384,Ramakrushnapur,hsc,13.64,8.84
394256.0,,baleshwar,1375743786,Kanchapada,hsc,1.44,0.96
394258.0,,baleshwar,1375743786,Kanchapada,hsc,3.88,2.58
394257.0,,baleshwar,1375743786,Kanchapada,hsc,1.58,1.06
394259.0,,baleshwar,1375743786,Kanchapada,hsc,2.15,1.43
394262.0,,baleshwar,1375743786,Kanchapada,hsc,0.0,0.0
394246.0,,baleshwar,1481385480,Kanheibindha,hsc,1.17,0.78
394255.0,,baleshwar,1375743786,Kanchapada,hsc,0.52,0.34
394260.0,,baleshwar,1375743786,Kanchapada,hsc,2.15,1.43
394261.0,,baleshwar,1375743786,Kanchapada,hsc,1.56,1.04
394269.0,,baleshwar,1375743786,Kanchapada,hsc,0.36,0.24
394240.0,,baleshwar,4176371880,Maitapur,hsc,0.65,0.43
394230.0,,baleshwar,1481385480,Kanheibindha,hsc,1.71,1.14
394229.0,,baleshwar,1481385480,Kanheibindha,hsc,2.73,1.82
394219.0,,baleshwar,6285868417,Bari,hsc,2.2,1.46
394209.0,,baleshwar,1764874713,Kalasuni,hsc,0.98,0.43
394254.0,,baleshwar,1375743786,Kanchapada,hsc,1.95,1.3
394263.0,,baleshwar,1375743786,Kanchapada,hsc,0.49,0.33
394237.0,,baleshwar,6287452384,Ramakrushnapur,hsc,2.34,1.56
394238.0,,baleshwar,6287452384,Ramakrushnapur,hsc,0.14,0.09
394166.0,,baleshwar,8473458126,Sahigaon,hsc,8.88,5.9
394133.0,,baleshwar,3413171210,Sunguda,hsc,1.75,0.73
394245.0,,baleshwar,1375743786,Kanchapada,hsc,2.76,1.84
394164.0,,baleshwar,6285868417,Bari,hsc,3.14,2.09
394167.0,,baleshwar,8473458126,Sahigaon,hsc,11.82,7.85
394162.0,,baleshwar,6285868417,Bari,hsc,2.61,1.74
394213.0,,baleshwar,1152364525,Simulia,hsc,5.59,6.72
394242.0,,baleshwar,4176371880,Maitapur,hsc,1.81,1.21
394210.0,,baleshwar,1764874713,Kalasuni,hsc,0.72,0.66
394212.0,,baleshwar,1764874713,Kalasuni,hsc,0.0,0.0
394236.0,,baleshwar,6287452384,Ramakrushnapur,hsc,13.21,8.66
394217.0,,baleshwar,6287452384,Ramakrushnapur,hsc,13.64,8.84
394214.0,,baleshwar,1152364525,Simulia,hsc,0.36,0.5
394216.0,,baleshwar,1152364525,Simulia,hsc,19.29,15.8
394231.0,,baleshwar,6285868417,Bari,hsc,2.58,1.72
394247.0,,baleshwar,1481385480,Kanheibindha,hsc,0.73,0.49
394235.0,,baleshwar,6287452384,Ramakrushnapur,hsc,0.95,0.63
394239.0,,baleshwar,6287452384,Ramakrushnapur,hsc,1.25,0.84
394270.0,,baleshwar,1375743786,Kanchapada,hsc,1.29,0.86
394272.0,,baleshwar,6163775882,Andrai,hsc,0.0,0.0
394271.0,,baleshwar,1375743786,Kanchapada,hsc,1.29,0.86
394218.0,,baleshwar,6285868417,Bari,hsc,2.38,1.59
394161.0,,baleshwar,6285868417,Bari,hsc,0.0,0.0
394234.0,,baleshwar,6287452384,Ramakrushnapur,hsc,0.0,0.0
394215.0,,baleshwar,1152364525,Simulia,hsc,0.0,0.0
394163.0,,baleshwar,6285868417,Bari,hsc,2.82,1.88
394168.0,,baleshwar,5858264376,Ada,hsc,6.08,4.16
394211.0,,baleshwar,1764874713,Kalasuni,hsc,0.87,0.8
393662.0,,baleshwar,6715445885,Dungura,hsc,27.56,17.22
393660.0,,baleshwar,6715445885,Dungura,hsc,30.44,21.31
394033.0,,baleshwar,8815881423,Palasa,hsc,1.46,1.34
393637.0,,baleshwar,2225264122,Bartana,hsc,10.22,4.26
394089.0,,baleshwar,1717562126,Jalanga Gandibed,hsc,0.72,0.66
394119.0,,baleshwar,5858264376,Ada,hsc,1.52,1.39
394108.0,,baleshwar,8564265844,Garsanga,hsc,1.63,0.68
394101.0,,baleshwar,2225264122,Bartana,hsc,8.16,3.4
393667.0,,baleshwar,6715445885,Dungura,hsc,26.56,16.8
394037.0,,baleshwar,6715445885,Dungura,hsc,1.29,1.18
394090.0,,baleshwar,1717562126,Jalanga Gandibed,hsc,0.82,0.75
394095.0,,baleshwar,6715445885,Dungura,hsc,4.62,2.43
393664.0,,baleshwar,6715445885,Dungura,hsc,0.34,0.31
393669.0,,baleshwar,7632818642,Saradanga,hsc,8.21,3.62
393663.0,,baleshwar,6715445885,Dungura,hsc,28.87,17.76
393661.0,,baleshwar,6715445885,Dungura,hsc,29.18,17.85
393672.0,,baleshwar,7632818642,Saradanga,hsc,0.0,0.0
394097.0,,baleshwar,6715445885,Dungura,hsc,5.08,2.62
394082.0,,baleshwar,5858264376,Ada,hsc,1.25,1.01
394098.0,,baleshwar,6715445885,Dungura,hsc,3.47,1.95
393656.0,,baleshwar,6715445885,Dungura,hsc,0.36,0.34
393653.0,,baleshwar,6715445885,Dungura,hsc,1.38,1.26
394042.0,,baleshwar,7632818642,Saradanga,hsc,9.45,4.14
393665.0,,baleshwar,6715445885,Dungura,hsc,26.92,16.95
394099.0,,baleshwar,6715445885,Dungura,hsc,3.63,2.01
394100.0,,baleshwar,2225264122,Bartana,hsc,8.16,3.4
393639.0,,baleshwar,2225264122,Bartana,hsc,5.92,2.47
393668.0,,baleshwar,6715445885,Dungura,hsc,25.05,16.17
393631.0,,baleshwar,2225264122,Bartana,hsc,2.12,0.88
394110.0,,baleshwar,8564265844,Garsanga,hsc,1.63,0.68
394111.0,,baleshwar,8564265844,Garsanga,hsc,3.98,1.66
394121.0,,baleshwar,5858264376,Ada,hsc,2.49,1.77
393644.0,,baleshwar,8815881423,Palasa,hsc,0.76,0.69
394040.0,,baleshwar,6715445885,Dungura,hsc,1.39,1.27
394085.0,,baleshwar,1717562126,Jalanga Gandibed,hsc,8.6,6.58
393643.0,,baleshwar,8815881423,Palasa,hsc,0.44,0.41
393651.0,,baleshwar,6715445885,Dungura,hsc,1.15,1.06
394092.0,,baleshwar,1717562126,Jalanga Gandibed,hsc,1.08,0.99
394088.0,,baleshwar,1717562126,Jalanga Gandibed,hsc,1.45,1.32
394106.0,,baleshwar,8564265844,Garsanga,hsc,4.08,1.7
