lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
379820.0,,bargarh,7871442633,Chhindeikela,hsc,17.94,8.8
379813.0,,bargarh,7871442633,Chhindeikela,hsc,5.09,3.39
379819.0,,bargarh,7871442633,Chhindeikela,hsc,5.46,3.02
379812.0,,bargarh,7871442633,Chhindeikela,hsc,5.33,3.02
379811.0,,bargarh,7871442633,Chhindeikela,hsc,0.0,0.0
379810.0,,bargarh,1233655255,Mandosil,hsc,15.15,9.16
379818.0,,bargarh,7871442633,Chhindeikela,hsc,9.25,5.51
379808.0,,bargarh,1233655255,Mandosil,hsc,0.0,0.0
379806.0,,bargarh,2136128150,Bartunda,hsc,5.61,3.71
379803.0,,bargarh,2136128150,Bartunda,hsc,0.0,0.0
379805.0,,bargarh,3667726479,Jamseth,hsc,0.0,0.0
379801.0,,bargarh,2136128150,Bartunda,hsc,8.47,3.47
379800.0,,bargarh,2136128150,Bartunda,hsc,4.42,1.79
379807.0,,bargarh,1233655255,Mandosil,hsc,10.17,10.5
379798.0,,bargarh,2136128150,Bartunda,hsc,10.83,4.47
379817.0,,bargarh,7871442633,Chhindeikela,hsc,13.47,8.31
379816.0,,bargarh,7871442633,Chhindeikela,hsc,13.59,8.33
379814.0,,bargarh,7871442633,Chhindeikela,hsc,12.49,6.68
379815.0,,bargarh,7871442633,Chhindeikela,hsc,11.26,6.78
379802.0,,bargarh,2136128150,Bartunda,hsc,7.53,3.13
379804.0,,bargarh,3667726479,Jamseth,hsc,5.82,2.57
379809.0,,bargarh,1233655255,Mandosil,hsc,7.82,8.05
379919.0,,bargarh,8836174147,Saldihi,hsc,0.0,0.0
379921.0,,bargarh,8836174147,Saldihi,hsc,8.08,3.31
379717.0,,bargarh,2357723887,Chhetgaon,hsc,6.97,4.34
379774.0,,bargarh,4853474130,Jhitiki,hsc,36.38,23.49
379777.0,,bargarh,4853474130,Jhitiki,hsc,34.12,15.77
379768.0,,bargarh,6662153516,Paikmal,hsc,4.64,2.83
379765.0,,bargarh,6662153516,Paikmal,hsc,0.0,0.0
379723.0,,bargarh,4435342748,Mandiadhipa,hsc,11.13,5.38
379721.0,,bargarh,2357723887,Chhetgaon,hsc,5.43,3.6
379771.0,,bargarh,4785717184,Mithapali,hsc,16.94,12.48
379776.0,,bargarh,4853474130,Jhitiki,hsc,4.66,2.05
379789.0,,bargarh,4785717184,Mithapali,hsc,0.0,0.0
379791.0,,bargarh,4785717184,Mithapali,hsc,9.11,4.83
379790.0,,bargarh,4785717184,Mithapali,hsc,6.47,4.46
379785.0,,bargarh,4853474130,Jhitiki,hsc,15.95,6.71
379778.0,,bargarh,4853474130,Jhitiki,hsc,0.86,0.58
379784.0,,bargarh,4853474130,Jhitiki,hsc,25.35,9.7
379912.0,,bargarh,2678384559,Amthi,hsc,4.87,3.25
379799.0,,bargarh,2136128150,Bartunda,hsc,6.99,2.87
379781.0,,bargarh,1233655255,Mandosil,hsc,3.76,2.5
379899.0,,bargarh,4843745227,Bijadol,hsc,11.31,5.51
379795.0,,bargarh,2136128150,Bartunda,hsc,8.12,6.49
379794.0,,bargarh,4785717184,Mithapali,hsc,3.42,3.61
379783.0,,bargarh,4853474130,Jhitiki,hsc,25.99,10.42
379770.0,,bargarh,4785717184,Mithapali,hsc,12.29,10.55
379775.0,,bargarh,4853474130,Jhitiki,hsc,0.0,0.0
379763.0,,bargarh,4785717184,Mithapali,hsc,11.28,6.46
379779.0,,bargarh,4853474130,Jhitiki,hsc,35.75,14.67
379925.0,,bargarh,2678384559,Amthi,hsc,0.0,0.0
379724.0,,bargarh,2678384559,Amthi,hsc,3.15,2.1
379918.0,,bargarh,2663786461,Bilaspur,hsc,18.55,7.68
379920.0,,bargarh,8836174147,Saldihi,hsc,18.7,8.9
379913.0,,bargarh,3545782686,Jharbandh,hsc,7.72,5.15
379793.0,,bargarh,4785717184,Mithapali,hsc,5.9,3.97
379914.0,,bargarh,4843745227,Bijadol,hsc,14.54,9.68
379780.0,,bargarh,1233655255,Mandosil,hsc,5.37,3.37
379797.0,,bargarh,2136128150,Bartunda,hsc,13.99,7.35
379782.0,,bargarh,2136128150,Bartunda,hsc,4.09,2.32
379796.0,,bargarh,2136128150,Bartunda,hsc,10.81,6.02
379788.0,,bargarh,4785717184,Mithapali,hsc,4.5,3.78
379924.0,,bargarh,4435342748,Mandiadhipa,hsc,5.31,2.21
379915.0,,bargarh,8836174147,Saldihi,hsc,8.86,5.04
379769.0,,bargarh,4785717184,Mithapali,hsc,3.58,3.8
379764.0,,bargarh,6662153516,Paikmal,hsc,2.92,1.5
379787.0,,bargarh,4785717184,Mithapali,hsc,2.54,1.64
379762.0,,bargarh,6662153516,Paikmal,hsc,8.99,4.03
379911.0,,bargarh,3545782686,Jharbandh,hsc,13.15,8.71
379906.0,,bargarh,3545782686,Jharbandh,hsc,0.0,0.0
379786.0,,bargarh,4785717184,Mithapali,hsc,6.82,5.2
379767.0,,bargarh,6662153516,Paikmal,hsc,7.87,4.18
379719.0,,bargarh,2357723887,Chhetgaon,hsc,2.05,1.37
379772.0,,bargarh,4435342748,Mandiadhipa,hsc,21.09,10.2
379916.0,,bargarh,8836174147,Saldihi,hsc,6.4,3.08
379773.0,,bargarh,2357723887,Chhetgaon,hsc,4.0,2.45
379766.0,,bargarh,6662153516,Paikmal,hsc,3.53,1.91
379897.0,,bargarh,4843745227,Bijadol,hsc,0.0,0.0
379720.0,,bargarh,2357723887,Chhetgaon,hsc,0.0,0.0
379718.0,,bargarh,2357723887,Chhetgaon,hsc,8.95,5.97
379722.0,,bargarh,4435342748,Mandiadhipa,hsc,0.0,0.0
379917.0,,bargarh,2663786461,Bilaspur,hsc,0.0,0.0
379902.0,,bargarh,2663786461,Bilaspur,hsc,14.78,6.1
379908.0,,bargarh,3545782686,Jharbandh,hsc,16.75,11.12
379926.0,,bargarh,2678384559,Amthi,hsc,2.87,1.91
379923.0,,bargarh,2678384559,Amthi,hsc,3.5,2.33
379922.0,,bargarh,8836174147,Saldihi,hsc,8.86,3.64
379927.0,,bargarh,2678384559,Amthi,hsc,3.4,2.27
379904.0,,bargarh,4843745227,Bijadol,hsc,18.84,8.65
379903.0,,bargarh,2663786461,Bilaspur,hsc,25.41,11.68
379905.0,,bargarh,3545782686,Jharbandh,hsc,2.88,1.92
379907.0,,bargarh,2318658842,Kumir,hsc,11.8,5.63
379792.0,,bargarh,4785717184,Mithapali,hsc,7.07,4.1
379824.0,,bargarh,4634885224,Bhandarpuri,hsc,11.83,4.81
379827.0,,bargarh,4634885224,Bhandarpuri,hsc,5.53,3.21
379872.0,,bargarh,7812766777,Dava,hsc,14.72,6.86
379898.0,,bargarh,4843745227,Bijadol,hsc,3.27,2.16
379896.0,,bargarh,4843745227,Bijadol,hsc,4.34,2.5
379823.0,,bargarh,4634885224,Bhandarpuri,hsc,15.83,7.03
379877.0,,bargarh,4843745227,Bijadol,hsc,12.65,6.3
379826.0,,bargarh,4634885224,Bhandarpuri,hsc,7.86,3.77
379830.0,,bargarh,5876771436,Bhoinsadhara,hsc,0.0,0.0
379870.0,,bargarh,7812766777,Dava,hsc,5.94,3.92
379874.0,,bargarh,7812766777,Dava,hsc,0.0,0.0
379863.0,,bargarh,5876771436,Bhoinsadhara,hsc,16.39,6.65
379866.0,,bargarh,5876771436,Bhoinsadhara,hsc,7.95,5.02
379876.0,,bargarh,4843745227,Bijadol,hsc,6.56,3.23
379895.0,,bargarh,3545782686,Jharbandh,hsc,10.47,5.23
379825.0,,bargarh,4634885224,Bhandarpuri,hsc,17.09,8.02
379828.0,,bargarh,5876771436,Bhoinsadhara,hsc,19.88,10.92
379878.0,,bargarh,4843745227,Bijadol,hsc,14.14,6.92
379901.0,,bargarh,7812766777,Dava,hsc,13.65,6.41
379894.0,,bargarh,2318658842,Kumir,hsc,11.67,4.81
379875.0,,bargarh,7812766777,Dava,hsc,4.61,3.07
379900.0,,bargarh,7812766777,Dava,hsc,9.65,4.73
379879.0,,bargarh,2318658842,Kumir,hsc,13.46,6.1
379873.0,,bargarh,7812766777,Dava,hsc,10.28,4.81
379867.0,,bargarh,5876771436,Bhoinsadhara,hsc,6.44,4.02
379865.0,,bargarh,5876771436,Bhoinsadhara,hsc,7.64,3.18
379871.0,,bargarh,7812766777,Dava,hsc,9.67,6.33
379864.0,,bargarh,5876771436,Bhoinsadhara,hsc,5.76,2.36
379868.0,,bargarh,4634885224,Bhandarpuri,hsc,0.0,0.0
379869.0,,bargarh,4634885224,Bhandarpuri,hsc,6.71,3.29
379821.0,,bargarh,7812766777,Dava,hsc,13.04,8.57
379829.0,,bargarh,5876771436,Bhoinsadhara,hsc,11.59,7.42
379822.0,,bargarh,7812766777,Dava,hsc,14.14,7.85
379739.0,,bargarh,2137448821,Palsada,hsc,6.21,2.58
380035.0,,bargarh,6654482287,DAHITA,hsc,9.41,5.19
380037.0,,bargarh,1758111650,BUDEN,hsc,11.4,4.64
380044.0,,bargarh,1758111650,BUDEN,hsc,15.83,6.54
379742.0,,bargarh,2781847534,BARIKEL,hsc,9.4,7.43
380046.0,,bargarh,1758111650,BUDEN,hsc,13.32,5.45
380038.0,,bargarh,1758111650,BUDEN,hsc,18.15,7.45
380049.0,,bargarh,1758111650,BUDEN,hsc,6.36,2.59
