lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
394520.0,,bhadrak,7682643544,Akhuapada,hsc,0.92,0.38
394519.0,,bhadrak,7842326642,Nerada,hsc,0.0,0.0
394584.0,,bhadrak,7682643544,Akhuapada,hsc,0.75,1.07
394522.0,,bhadrak,7682643544,Akhuapada,hsc,0.54,0.76
394521.0,,bhadrak,7682643544,Akhuapada,hsc,0.0,0.0
394527.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394538.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394506.0,,bhadrak,3833218740,Malada,hsc,0.11,0.1
394567.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394596.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394686.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394539.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394552.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394543.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394546.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394563.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394580.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394574.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394531.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394544.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394550.0,,bhadrak,5777665745,Sohada,hsc,0.0,0.0
394507.0,,bhadrak,3833218740,Malada,hsc,0.45,0.41
394510.0,,bhadrak,3833218740,Malada,hsc,0.9,0.82
394581.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394586.0,,bhadrak,7682643544,Akhuapada,hsc,0.75,1.07
394575.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394593.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394548.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394557.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394573.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394688.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394571.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394555.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394534.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394526.0,,bhadrak,3833218740,Malada,hsc,0.11,0.1
394595.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394685.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394541.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394592.0,,bhadrak,7682643544,Akhuapada,hsc,1.51,2.14
394687.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394684.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394568.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394559.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394551.0,,bhadrak,5777665745,Sohada,hsc,0.0,0.0
394589.0,,bhadrak,7682643544,Akhuapada,hsc,0.75,1.07
394597.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394591.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394594.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394590.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
394560.0,,bhadrak,3833218740,Malada,hsc,0.0,0.0
