lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
417863.0,,boudh,2378185744,Nuapali,hsc,12.57,5.27
417861.0,,boudh,2378185744,Nuapali,hsc,15.83,8.22
417864.0,,boudh,2378185744,Nuapali,hsc,11.19,4.62
417862.0,,boudh,2378185744,Nuapali,hsc,16.1,6.74
417868.0,,boudh,4162517512,Masinagora,hsc,10.03,5.75
417877.0,,boudh,4162517512,Masinagora,hsc,1.93,1.02
417866.0,,boudh,2378185744,Nuapali,hsc,14.97,7.43
417869.0,,boudh,4162517512,Masinagora,hsc,7.46,4.5
417875.0,,boudh,4162517512,Masinagora,hsc,4.14,2.22
417884.0,,boudh,8565427864,Uma,hsc,21.1,12.97
417870.0,,boudh,4162517512,Masinagora,hsc,7.95,4.88
417880.0,,boudh,4162517512,Masinagora,hsc,6.36,5.21
417859.0,,boudh,2378185744,Nuapali,hsc,6.51,3.68
417858.0,,boudh,2378185744,Nuapali,hsc,4.67,3.09
417848.0,,boudh,6822748148,Ambagoan,hsc,6.69,4.29
417867.0,,boudh,2378185744,Nuapali,hsc,14.82,7.15
417881.0,,boudh,4162517512,Masinagora,hsc,7.54,5.12
417847.0,,boudh,1415141637,Uden,hsc,3.21,2.04
417845.0,,boudh,8565427864,Uma,hsc,7.32,4.03
417846.0,,boudh,8565427864,Uma,hsc,5.99,3.14
417872.0,,boudh,4162517512,Masinagora,hsc,25.65,15.85
417882.0,,boudh,8565427864,Uma,hsc,17.6,11.09
417871.0,,boudh,4162517512,Masinagora,hsc,9.48,5.52
417873.0,,boudh,4162517512,Masinagora,hsc,6.21,3.71
417879.0,,boudh,4162517512,Masinagora,hsc,5.74,3.79
417883.0,,boudh,4162517512,Masinagora,hsc,9.76,5.95
417874.0,,boudh,4162517512,Masinagora,hsc,5.19,3.29
417865.0,,boudh,2378185744,Nuapali,hsc,10.72,5.44
417850.0,,boudh,4162517512,Masinagora,hsc,2.56,1.43
