lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
400349.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400351.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400346.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400347.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400352.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400350.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400321.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400348.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400320.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400355.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400359.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400361.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400340.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400360.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400373.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400370.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400337.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400358.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400336.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400339.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400341.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400357.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400380.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400372.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400379.0,,cuttack,4346172481,Sithalo,hsc,2.13,0.89
400382.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400381.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400374.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400385.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400386.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400387.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400388.0,,cuttack,4346172481,Sithalo,hsc,3.34,1.39
400383.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400384.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400389.0,,cuttack,4346172481,Sithalo,hsc,2.69,1.12
400390.0,,cuttack,4346172481,Sithalo,hsc,5.05,2.1
400369.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400368.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400335.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400367.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400375.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400362.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400365.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400363.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400344.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400377.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400376.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400378.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400366.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400354.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400353.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400338.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400356.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400342.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400345.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400343.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400331.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400371.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
400364.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0
398433.0,,cuttack,6184714449,Kamaladihi,hsc,0.65,0.34
398514.0,,cuttack,1738648177,Badabhumi,hsc,9.28,4.68
398483.0,,cuttack,6326677868,Balisahi,hsc,2.38,1.27
398461.0,,cuttack,1384763825,Jodum,hsc,1.95,1.04
398471.0,,cuttack,1384763825,Jodum,hsc,0.48,0.26
398482.0,,cuttack,6326677868,Balisahi,hsc,0.0,0.0
398453.0,,cuttack,1384763825,Jodum,hsc,0.65,0.35
398528.0,,cuttack,7433785172,Kokalaba,hsc,3.67,1.96
398491.0,,cuttack,6326677868,Balisahi,hsc,1.06,0.56
398496.0,,cuttack,7433785172,Kokalaba,hsc,2.49,1.33
398436.0,,cuttack,3162821122,Ragada,hsc,1.45,0.78
398458.0,,cuttack,1738483146,Basantpur,hsc,2.86,1.52
398492.0,,cuttack,7433785172,Kokalaba,hsc,0.0,0.0
398493.0,,cuttack,7584735182,Ghantapada,hsc,0.49,0.26
398469.0,,cuttack,5438348525,Saradapur,hsc,2.07,1.1
398448.0,,cuttack,1738483146,Basantpur,hsc,2.35,1.25
398480.0,,cuttack,5438348525,Saradapur,hsc,2.72,1.45
398511.0,,cuttack,7433785172,Kokalaba,hsc,9.33,4.46
398530.0,,cuttack,2362411221,Kakudia,hsc,0.48,0.25
398447.0,,cuttack,1738483146,Basantpur,hsc,3.39,1.81
398459.0,,cuttack,1738483146,Basantpur,hsc,0.07,0.04
398485.0,,cuttack,6326677868,Balisahi,hsc,1.62,0.86
398494.0,,cuttack,7584735182,Ghantapada,hsc,0.16,0.09
398502.0,,cuttack,7433785172,Kokalaba,hsc,3.04,1.62
398443.0,,cuttack,6184714449,Kamaladihi,hsc,2.14,1.14
398498.0,,cuttack,8718285722,Padamala,hsc,0.0,0.0
398500.0,,cuttack,2362411221,Kakudia,hsc,8.02,4.28
398510.0,,cuttack,7433785172,Kokalaba,hsc,6.79,3.4
398451.0,,cuttack,1738483146,Basantpur,hsc,1.01,0.54
398472.0,,cuttack,1738648177,Badabhumi,hsc,9.53,4.83
398497.0,,cuttack,8718285722,Padamala,hsc,11.33,6.04
398446.0,,cuttack,3162821122,Ragada,hsc,1.03,0.55
398464.0,,cuttack,1384763825,Jodum,hsc,0.0,0.0
398441.0,,cuttack,6184714449,Kamaladihi,hsc,2.35,1.25
398454.0,,cuttack,1738483146,Basantpur,hsc,0.92,0.49
398440.0,,cuttack,3162821122,Ragada,hsc,0.16,0.09
398474.0,,cuttack,5438348525,Saradapur,hsc,1.62,0.87
398513.0,,cuttack,7433785172,Kokalaba,hsc,9.9,4.7
398526.0,,cuttack,7127112170,Narasinghapur,hsc,4.6,2.75
398505.0,,cuttack,7127112170,Narasinghapur,hsc,4.15,2.23
398479.0,,cuttack,6326677868,Balisahi,hsc,2.05,1.1
398486.0,,cuttack,6326677868,Balisahi,hsc,1.08,0.58
398442.0,,cuttack,6184714449,Kamaladihi,hsc,0.0,0.0
398489.0,,cuttack,6326677868,Balisahi,hsc,1.61,0.86
398477.0,,cuttack,5438348525,Saradapur,hsc,0.74,0.39
398512.0,,cuttack,1738648177,Badabhumi,hsc,5.4,3.06
398490.0,,cuttack,6326677868,Balisahi,hsc,0.59,0.31
398470.0,,cuttack,1384763825,Jodum,hsc,3.14,1.67
398499.0,,cuttack,8718285722,Padamala,hsc,11.12,5.93
398531.0,,cuttack,2362411221,Kakudia,hsc,0.16,0.08
398503.0,,cuttack,7433785172,Kokalaba,hsc,8.35,4.05
398478.0,,cuttack,5438348525,Saradapur,hsc,0.65,0.35
398488.0,,cuttack,7584735182,Ghantapada,hsc,1.23,0.66
398533.0,,cuttack,2362411221,Kakudia,hsc,0.78,0.41
398449.0,,cuttack,1738483146,Basantpur,hsc,1.74,0.93
398439.0,,cuttack,3162821122,Ragada,hsc,3.19,1.7
398444.0,,cuttack,6184714449,Kamaladihi,hsc,3.35,1.79
398495.0,,cuttack,7433785172,Kokalaba,hsc,11.73,5.46
398487.0,,cuttack,7584735182,Ghantapada,hsc,0.0,0.0
398434.0,,cuttack,6184714449,Kamaladihi,hsc,0.9,0.48
398515.0,,cuttack,1738648177,Badabhumi,hsc,8.24,4.25
398445.0,,cuttack,3162821122,Ragada,hsc,2.68,1.43
398484.0,,cuttack,5438348525,Saradapur,hsc,2.86,1.53
398435.0,,cuttack,3162821122,Ragada,hsc,0.0,0.0
398465.0,,cuttack,1384763825,Jodum,hsc,2.02,1.08
398463.0,,cuttack,1738483146,Basantpur,hsc,0.1,0.06
398457.0,,cuttack,1738483146,Basantpur,hsc,2.03,1.08
398529.0,,cuttack,2362411221,Kakudia,hsc,8.66,4.62
398452.0,,cuttack,1384763825,Jodum,hsc,0.65,0.35
398473.0,,cuttack,1738648177,Badabhumi,hsc,9.53,4.83
398437.0,,cuttack,3162821122,Ragada,hsc,1.45,0.78
398481.0,,cuttack,6326677868,Balisahi,hsc,2.3,1.23
398476.0,,cuttack,5438348525,Saradapur,hsc,0.0,0.0
398450.0,,cuttack,1738483146,Basantpur,hsc,2.67,1.43
398460.0,,cuttack,1738483146,Basantpur,hsc,0.0,0.0
398466.0,,cuttack,1384763825,Jodum,hsc,2.98,1.59
398438.0,,cuttack,3162821122,Ragada,hsc,2.51,1.34
398501.0,,cuttack,7127112170,Narasinghapur,hsc,5.17,2.53
398504.0,,cuttack,7433785172,Kokalaba,hsc,4.16,2.22
398527.0,,cuttack,7433785172,Kokalaba,hsc,4.13,2.21
398475.0,,cuttack,5438348525,Saradapur,hsc,2.1,1.12
398456.0,,cuttack,1738483146,Basantpur,hsc,0.17,0.09
398455.0,,cuttack,1738483146,Basantpur,hsc,1.56,0.83
398467.0,,cuttack,5438348525,Saradapur,hsc,2.44,1.3
398468.0,,cuttack,5438348525,Saradapur,hsc,2.21,1.18
398462.0,,cuttack,1738483146,Basantpur,hsc,0.07,0.04
398799.0,,cuttack,7437148567,Sasanga,hsc,0.0,0.0
398800.0,,cuttack,7437148567,Sasanga,hsc,0.17,0.18
398945.0,,cuttack,4315321614,Brahmapura,hsc,0.12,0.05
398830.0,,cuttack,7672434813,Kantaki,hsc,0.0,0.0
398964.0,,cuttack,4315321614,Brahmapura,hsc,0.12,0.05
398853.0,,cuttack,5477446172,Karadapali,hsc,0.0,0.0
398806.0,,cuttack,1244772784,Sanakhaman,hsc,1.49,0.62
398960.0,,cuttack,7672434813,Kantaki,hsc,0.0,0.0
398840.0,,cuttack,5551637217,Kalipoi,hsc,1.1,0.46
398958.0,,cuttack,2448618633,Baraput,hsc,0.0,0.0
398959.0,,cuttack,7672434813,Kantaki,hsc,0.0,0.0
398852.0,,cuttack,1583588734,Puincha,hsc,1.27,1.38
398963.0,,cuttack,4315321614,Brahmapura,hsc,0.0,0.0
398863.0,,cuttack,6748732358,Lemberi,hsc,1.05,1.14
398850.0,,cuttack,5477446172,Karadapali,hsc,0.97,0.64
398826.0,,cuttack,3858337177,Anuari,hsc,0.11,0.04
398957.0,,cuttack,7672434813,Kantaki,hsc,0.0,0.0
398827.0,,cuttack,3858337177,Anuari,hsc,0.0,0.0
398824.0,,cuttack,7672434813,Kantaki,hsc,0.0,0.0
398952.0,,cuttack,6563872685,Botalama,hsc,0.1,0.04
398951.0,,cuttack,6563872685,Botalama,hsc,0.0,0.0
398825.0,,cuttack,6865433285,Jodum,hsc,5.18,2.08
398841.0,,cuttack,2448618633,Baraput,hsc,0.0,0.0
398849.0,,cuttack,2448618633,Baraput,hsc,0.0,0.0
398950.0,,cuttack,6563872685,Botalama,hsc,0.27,0.11
398823.0,,cuttack,5451361223,Baideswar,hsc,0.0,0.0
398851.0,,cuttack,2716738865,Nuagaon,hsc,0.0,0.0
398969.0,,cuttack,4585334289,Naraganga,hsc,0.94,1.02
398829.0,,cuttack,7672434813,Kantaki,hsc,0.0,0.0
398842.0,,cuttack,5551637217,Kalipoi,hsc,0.0,0.0
398865.0,,cuttack,6748732358,Lemberi,hsc,1.28,1.38
398965.0,,cuttack,2716738865,Nuagaon,hsc,0.36,0.4
398838.0,,cuttack,2448618633,Baraput,hsc,0.17,0.07
398943.0,,cuttack,4315321614,Brahmapura,hsc,0.12,0.05
398873.0,,cuttack,8442681428,Kalapathar,hsc,0.73,0.59
398847.0,,cuttack,2448618633,Baraput,hsc,0.17,0.07
398822.0,,cuttack,5451361223,Baideswar,hsc,0.62,0.41
398936.0,,cuttack,6467813439,Kusunda,hsc,0.0,0.0
398878.0,,cuttack,1583588734,Puincha,hsc,1.27,1.38
398858.0,,cuttack,5477446172,Karadapali,hsc,1.76,1.17
398860.0,,cuttack,6187854184,Kendupali,hsc,1.84,1.23
398954.0,,cuttack,6563872685,Botalama,hsc,0.0,0.0
398832.0,,cuttack,7672434813,Kantaki,hsc,0.44,0.18
398955.0,,cuttack,7672434813,Kantaki,hsc,0.0,0.0
398962.0,,cuttack,4315321614,Brahmapura,hsc,0.0,0.0
398856.0,,cuttack,8442681428,Kalapathar,hsc,0.14,0.1
398966.0,,cuttack,4585334289,Naraganga,hsc,0.0,0.0
398947.0,,cuttack,4315321614,Brahmapura,hsc,0.12,0.05
398854.0,,cuttack,1583588734,Puincha,hsc,0.61,0.66
398828.0,,cuttack,7672434813,Kantaki,hsc,0.0,0.0
398820.0,,cuttack,5451361223,Baideswar,hsc,2.48,1.38
398871.0,,cuttack,8442681428,Kalapathar,hsc,1.34,1.11
398861.0,,cuttack,5477446172,Karadapali,hsc,0.39,0.26
398859.0,,cuttack,5477446172,Karadapali,hsc,1.54,1.03
398844.0,,cuttack,5551637217,Kalipoi,hsc,0.0,0.0
398836.0,,cuttack,5551637217,Kalipoi,hsc,0.0,0.0
398837.0,,cuttack,2448618633,Baraput,hsc,0.0,0.0
398848.0,,cuttack,2448618633,Baraput,hsc,0.17,0.07
398845.0,,cuttack,2448618633,Baraput,hsc,0.17,0.07
398839.0,,cuttack,2448618633,Baraput,hsc,0.89,0.37
398833.0,,cuttack,7672434813,Kantaki,hsc,1.18,0.49
