lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
383442.0,,deogarh,8646182645,Tarang,hsc,2.68,3.8
383440.0,,deogarh,8646182645,Tarang,hsc,6.81,4.77
383444.0,,deogarh,8646182645,Tarang,hsc,16.82,18.38
383443.0,,deogarh,8646182645,Tarang,hsc,3.3,4.68
383446.0,,deogarh,8646182645,Tarang,hsc,0.0,0.0
383441.0,,deogarh,8646182645,Tarang,hsc,2.48,3.52
383277.0,,deogarh,4135211334,Dudhianali,hsc,8.87,5.19
383256.0,,deogarh,4135211334,Dudhianali,hsc,2.92,1.94
383276.0,,deogarh,4135211334,Dudhianali,hsc,2.98,1.98
383257.0,,deogarh,4135211334,Dudhianali,hsc,2.92,1.94
383258.0,,deogarh,4135211334,Dudhianali,hsc,2.94,1.96
382689.0,,deogarh,4135211334,Dudhianali,hsc,1.38,0.92
382691.0,,deogarh,3886514375,Tileibani,hsc,4.03,5.63
382690.0,,deogarh,4135211334,Dudhianali,hsc,1.92,1.28
382687.0,,deogarh,3886514375,Tileibani,hsc,5.46,7.63
382688.0,,deogarh,3886514375,Tileibani,hsc,3.98,5.55
382684.0,,deogarh,3886514375,Tileibani,hsc,4.11,5.74
382693.0,,deogarh,3886514375,Tileibani,hsc,2.37,3.26
382694.0,,deogarh,3886514375,Tileibani,hsc,2.71,3.74
382685.0,,deogarh,4826423347,Kendeijuri,hsc,4.16,3.63
383278.0,,deogarh,4135211334,Dudhianali,hsc,2.98,1.98
383308.0,,deogarh,4135211334,Dudhianali,hsc,5.0,3.33
383306.0,,deogarh,4135211334,Dudhianali,hsc,5.19,3.46
383305.0,,deogarh,4135211334,Dudhianali,hsc,2.18,1.32
383348.0,,deogarh,4135211334,Dudhianali,hsc,7.46,4.97
383254.0,,deogarh,4135211334,Dudhianali,hsc,1.38,0.92
383304.0,,deogarh,4135211334,Dudhianali,hsc,0.28,0.19
383295.0,,deogarh,2752746848,Kansar,hsc,0.0,0.0
383288.0,,deogarh,2752746848,Kansar,hsc,2.01,1.34
383284.0,,deogarh,4135211334,Dudhianali,hsc,2.72,1.81
383246.0,,deogarh,4826423347,Kendeijuri,hsc,0.0,0.0
383287.0,,deogarh,1133272136,Sodo,hsc,5.17,3.45
383245.0,,deogarh,1133272136,Sodo,hsc,7.36,4.91
383286.0,,deogarh,2752746848,Kansar,hsc,7.54,4.68
383285.0,,deogarh,4135211334,Dudhianali,hsc,3.07,2.04
383247.0,,deogarh,4135211334,Dudhianali,hsc,2.66,1.77
383296.0,,deogarh,2752746848,Kansar,hsc,3.1,1.99
383297.0,,deogarh,2752746848,Kansar,hsc,4.1,2.66
383298.0,,deogarh,2752746848,Kansar,hsc,5.52,3.6
383299.0,,deogarh,2752746848,Kansar,hsc,5.55,3.62
383301.0,,deogarh,4135211334,Dudhianali,hsc,5.06,3.37
383300.0,,deogarh,4135211334,Dudhianali,hsc,5.72,3.71
383303.0,,deogarh,4135211334,Dudhianali,hsc,0.66,0.44
383279.0,,deogarh,4135211334,Dudhianali,hsc,2.03,1.36
383281.0,,deogarh,4135211334,Dudhianali,hsc,0.47,0.31
383280.0,,deogarh,4135211334,Dudhianali,hsc,1.31,0.87
383302.0,,deogarh,4135211334,Dudhianali,hsc,3.63,2.41
383282.0,,deogarh,4135211334,Dudhianali,hsc,0.0,0.0
383283.0,,deogarh,4135211334,Dudhianali,hsc,1.5,1.0
383255.0,,deogarh,4135211334,Dudhianali,hsc,1.3,0.86
383248.0,,deogarh,4826423347,Kendeijuri,hsc,1.99,1.33
383250.0,,deogarh,4826423347,Kendeijuri,hsc,4.13,3.58
382686.0,,deogarh,4826423347,Kendeijuri,hsc,4.26,3.77
383252.0,,deogarh,4135211334,Dudhianali,hsc,1.61,1.07
383253.0,,deogarh,4135211334,Dudhianali,hsc,1.23,0.82
383235.0,,deogarh,4826423347,Kendeijuri,hsc,6.64,4.43
383224.0,,deogarh,4826423347,Kendeijuri,hsc,11.06,13.34
383225.0,,deogarh,4826423347,Kendeijuri,hsc,11.11,13.41
383234.0,,deogarh,4826423347,Kendeijuri,hsc,6.57,4.38
383244.0,,deogarh,1133272136,Sodo,hsc,10.27,6.85
383228.0,,deogarh,4826423347,Kendeijuri,hsc,10.37,12.35
383232.0,,deogarh,4826423347,Kendeijuri,hsc,10.82,13.0
383226.0,,deogarh,4826423347,Kendeijuri,hsc,5.21,3.47
383227.0,,deogarh,4826423347,Kendeijuri,hsc,5.21,3.47
383233.0,,deogarh,4826423347,Kendeijuri,hsc,4.86,3.24
383237.0,,deogarh,4826423347,Kendeijuri,hsc,6.64,4.43
383239.0,,deogarh,4826423347,Kendeijuri,hsc,14.28,17.84
383238.0,,deogarh,4826423347,Kendeijuri,hsc,6.64,4.43
383240.0,,deogarh,1133272136,Sodo,hsc,0.0,0.0
383241.0,,deogarh,1133272136,Sodo,hsc,0.0,0.0
383242.0,,deogarh,1133272136,Sodo,hsc,10.19,6.8
383236.0,,deogarh,4826423347,Kendeijuri,hsc,6.64,4.43
383243.0,,deogarh,1133272136,Sodo,hsc,10.19,6.8
383292.0,,deogarh,1133272136,Sodo,hsc,0.0,0.0
383291.0,,deogarh,1133272136,Sodo,hsc,0.0,0.0
383290.0,,deogarh,1133272136,Sodo,hsc,0.0,0.0
383293.0,,deogarh,1133272136,Sodo,hsc,0.0,0.0
383342.0,,deogarh,2752746848,Kansar,hsc,3.48,2.25
383343.0,,deogarh,2752746848,Kansar,hsc,3.48,2.25
383344.0,,deogarh,2752746848,Kansar,hsc,3.06,1.96
383289.0,,deogarh,1133272136,Sodo,hsc,0.0,0.0
383349.0,,deogarh,4135211334,Dudhianali,hsc,7.46,4.97
383347.0,,deogarh,2752746848,Kansar,hsc,3.62,2.33
383346.0,,deogarh,2752746848,Kansar,hsc,3.48,2.25
383345.0,,deogarh,2752746848,Kansar,hsc,3.0,1.92
383259.0,,deogarh,3886514375,Tileibani,hsc,2.76,3.81
382692.0,,deogarh,3886514375,Tileibani,hsc,2.71,3.74
383249.0,,deogarh,4826423347,Kendeijuri,hsc,2.02,1.34
383251.0,,deogarh,4135211334,Dudhianali,hsc,2.59,1.73
383294.0,,deogarh,2752746848,Kansar,hsc,0.62,0.41
383416.0,,deogarh,8646182645,Tarang,hsc,9.2,6.36
383436.0,,deogarh,8646182645,Tarang,hsc,9.2,6.36
383434.0,,deogarh,8646182645,Tarang,hsc,9.12,6.31
383433.0,,deogarh,8646182645,Tarang,hsc,8.44,5.85
383437.0,,deogarh,8646182645,Tarang,hsc,9.2,6.36
383439.0,,deogarh,8646182645,Tarang,hsc,7.69,5.36
383438.0,,deogarh,8646182645,Tarang,hsc,8.71,6.03
383432.0,,deogarh,8646182645,Tarang,hsc,7.22,4.99
383419.0,,deogarh,8646182645,Tarang,hsc,9.7,6.63
383411.0,,deogarh,1844145787,Adas,hsc,2.92,1.95
383412.0,,deogarh,1844145787,Adas,hsc,2.92,1.95
383420.0,,deogarh,8646182645,Tarang,hsc,9.72,6.65
383431.0,,deogarh,8646182645,Tarang,hsc,6.21,4.31
383428.0,,deogarh,8646182645,Tarang,hsc,7.03,4.86
383427.0,,deogarh,8646182645,Tarang,hsc,2.17,1.34
383430.0,,deogarh,8646182645,Tarang,hsc,9.34,6.39
383429.0,,deogarh,8646182645,Tarang,hsc,9.15,6.27
383421.0,,deogarh,1221335662,Maleipada,hsc,7.86,5.21
383409.0,,deogarh,1221335662,Maleipada,hsc,1.96,1.31
383353.0,,deogarh,1844145787,Adas,hsc,2.48,1.66
383356.0,,deogarh,1844145787,Adas,hsc,0.0,0.0
383341.0,,deogarh,1844145787,Adas,hsc,5.65,3.73
383340.0,,deogarh,1844145787,Adas,hsc,3.61,2.36
383358.0,,deogarh,1844145787,Adas,hsc,2.12,1.37
383417.0,,deogarh,8646182645,Tarang,hsc,9.16,6.33
383414.0,,deogarh,1844145787,Adas,hsc,2.92,1.95
383350.0,,deogarh,1844145787,Adas,hsc,2.92,1.95
383352.0,,deogarh,1844145787,Adas,hsc,2.92,1.95
383351.0,,deogarh,1844145787,Adas,hsc,2.92,1.95
383307.0,,deogarh,4135211334,Dudhianali,hsc,7.33,4.89
383311.0,,deogarh,4135211334,Dudhianali,hsc,10.17,5.68
383309.0,,deogarh,4135211334,Dudhianali,hsc,9.74,5.5
383310.0,,deogarh,4135211334,Dudhianali,hsc,10.4,5.77
383312.0,,deogarh,1844145787,Adas,hsc,5.12,3.15
383415.0,,deogarh,8646182645,Tarang,hsc,9.2,6.36
383435.0,,deogarh,8646182645,Tarang,hsc,9.16,6.33
383413.0,,deogarh,1844145787,Adas,hsc,2.92,1.95
383354.0,,deogarh,1844145787,Adas,hsc,2.87,1.91
383355.0,,deogarh,1844145787,Adas,hsc,0.79,0.53
383418.0,,deogarh,1221335662,Maleipada,hsc,6.19,4.1
382628.0,,deogarh,5116534255,Dimirikuda,hsc,22.24,12.3
382604.0,,deogarh,5116534255,Dimirikuda,hsc,8.61,6.63
382605.0,,deogarh,5116534255,Dimirikuda,hsc,7.93,7.28
382606.0,,deogarh,8554585441,Laimura,hsc,8.69,7.56
382597.0,,deogarh,5116534255,Dimirikuda,hsc,3.09,2.83
382616.0,,deogarh,3886514375,Tileibani,hsc,34.11,15.89
382603.0,,deogarh,5116534255,Dimirikuda,hsc,5.05,4.63
382599.0,,deogarh,5116534255,Dimirikuda,hsc,1.62,1.49
382618.0,,deogarh,5116534255,Dimirikuda,hsc,16.42,9.89
382622.0,,deogarh,5116534255,Dimirikuda,hsc,0.61,0.56
382621.0,,deogarh,5116534255,Dimirikuda,hsc,1.68,1.54
382623.0,,deogarh,5116534255,Dimirikuda,hsc,1.58,1.45
382617.0,,deogarh,8554585441,Laimura,hsc,8.45,7.34
382602.0,,deogarh,5116534255,Dimirikuda,hsc,3.3,3.03
382601.0,,deogarh,5116534255,Dimirikuda,hsc,0.0,0.0
382598.0,,deogarh,5116534255,Dimirikuda,hsc,0.78,0.71
382624.0,,deogarh,5116534255,Dimirikuda,hsc,4.19,3.84
382620.0,,deogarh,5116534255,Dimirikuda,hsc,12.71,8.35
382619.0,,deogarh,5116534255,Dimirikuda,hsc,15.5,9.51
382627.0,,deogarh,5116534255,Dimirikuda,hsc,22.84,12.55
382600.0,,deogarh,5116534255,Dimirikuda,hsc,3.62,3.31
382676.0,,deogarh,3886514375,Tileibani,hsc,3.86,3.29
382677.0,,deogarh,3886514375,Tileibani,hsc,3.97,3.33
382626.0,,deogarh,4826423347,Kendeijuri,hsc,13.87,17.32
382625.0,,deogarh,4826423347,Kendeijuri,hsc,14.59,18.35
382683.0,,deogarh,3886514375,Tileibani,hsc,5.71,7.99
382682.0,,deogarh,3886514375,Tileibani,hsc,3.89,5.43
382681.0,,deogarh,4826423347,Kendeijuri,hsc,14.96,18.87
382680.0,,deogarh,3886514375,Tileibani,hsc,1.45,1.97
382678.0,,deogarh,3886514375,Tileibani,hsc,0.0,0.0
382679.0,,deogarh,3886514375,Tileibani,hsc,4.4,6.15
383229.0,,deogarh,4826423347,Kendeijuri,hsc,10.88,13.07
383230.0,,deogarh,4826423347,Kendeijuri,hsc,6.02,6.32
383231.0,,deogarh,4826423347,Kendeijuri,hsc,5.71,5.88
383174.0,,deogarh,5882184459,Kundheigola,hsc,3.03,4.3
383200.0,,deogarh,3583267681,Chadeimora,hsc,5.3,3.42
383201.0,,deogarh,8524246389,Budhapal,hsc,2.15,3.05
383169.0,,deogarh,5882184459,Kundheigola,hsc,2.18,3.09
383197.0,,deogarh,5882184459,Kundheigola,hsc,3.02,2.3
383198.0,,deogarh,5882184459,Kundheigola,hsc,1.63,2.3
383196.0,,deogarh,3583267681,Chadeimora,hsc,5.7,3.72
383171.0,,deogarh,5882184459,Kundheigola,hsc,0.0,0.0
383172.0,,deogarh,5882184459,Kundheigola,hsc,1.97,2.79
383173.0,,deogarh,5882184459,Kundheigola,hsc,18.73,14.19
383193.0,,deogarh,3583267681,Chadeimora,hsc,5.1,3.39
383195.0,,deogarh,3583267681,Chadeimora,hsc,8.47,5.65
383191.0,,deogarh,3583267681,Chadeimora,hsc,2.53,1.68
383189.0,,deogarh,3583267681,Chadeimora,hsc,0.0,0.0
383187.0,,deogarh,3583267681,Chadeimora,hsc,17.03,11.36
383188.0,,deogarh,3583267681,Chadeimora,hsc,5.98,3.99
383186.0,,deogarh,3583267681,Chadeimora,hsc,13.08,8.72
383183.0,,deogarh,3583267681,Chadeimora,hsc,6.76,4.51
383182.0,,deogarh,3583267681,Chadeimora,hsc,4.3,2.87
383181.0,,deogarh,3583267681,Chadeimora,hsc,2.87,1.91
383180.0,,deogarh,5882184459,Kundheigola,hsc,0.71,1.02
383179.0,,deogarh,3583267681,Chadeimora,hsc,3.48,2.32
383178.0,,deogarh,3583267681,Chadeimora,hsc,8.7,5.8
383176.0,,deogarh,3583267681,Chadeimora,hsc,9.1,6.07
383199.0,,deogarh,5882184459,Kundheigola,hsc,1.84,2.61
383170.0,,deogarh,5882184459,Kundheigola,hsc,1.35,1.91
383192.0,,deogarh,3583267681,Chadeimora,hsc,2.75,1.83
383190.0,,deogarh,3583267681,Chadeimora,hsc,1.89,1.26
383185.0,,deogarh,3583267681,Chadeimora,hsc,10.17,6.78
383184.0,,deogarh,3583267681,Chadeimora,hsc,5.98,3.99
383177.0,,deogarh,3583267681,Chadeimora,hsc,10.55,7.04
383175.0,,deogarh,5882184459,Kundheigola,hsc,4.55,6.46
383131.0,,deogarh,1814424873,Baghahar,hsc,21.1,13.64
383129.0,,deogarh,3134111669,Kantabahal,hsc,23.67,13.07
383474.0,,deogarh,5882184459,Kundheigola,hsc,5.86,8.32
383144.0,,deogarh,5882184459,Kundheigola,hsc,10.35,10.7
383145.0,,deogarh,5882184459,Kundheigola,hsc,14.59,12.47
383146.0,,deogarh,5882184459,Kundheigola,hsc,18.47,14.08
383148.0,,deogarh,5882184459,Kundheigola,hsc,23.18,19.5
383471.0,,deogarh,3134111669,Kantabahal,hsc,32.54,28.04
383470.0,,deogarh,3134111669,Kantabahal,hsc,30.92,25.75
383472.0,,deogarh,3134111669,Kantabahal,hsc,35.01,28.49
383473.0,,deogarh,3134111669,Kantabahal,hsc,34.16,17.44
383448.0,,deogarh,8646182645,Tarang,hsc,1.93,2.73
383130.0,,deogarh,1814424873,Baghahar,hsc,17.19,11.39
383147.0,,deogarh,5882184459,Kundheigola,hsc,22.19,15.63
383143.0,,deogarh,1814424873,Baghahar,hsc,21.29,13.73
383194.0,,deogarh,3583267681,Chadeimora,hsc,5.61,3.73
383445.0,,deogarh,8646182645,Tarang,hsc,1.32,1.04
383223.0,,deogarh,1811227618,Para,hsc,6.39,4.26
383222.0,,deogarh,1811227618,Para,hsc,5.58,3.72
383221.0,,deogarh,1811227618,Para,hsc,2.97,1.98
383220.0,,deogarh,1811227618,Para,hsc,1.63,1.09
383215.0,,deogarh,1811227618,Para,hsc,0.49,0.32
383216.0,,deogarh,1811227618,Para,hsc,0.7,0.47
383207.0,,deogarh,8524246389,Budhapal,hsc,3.14,3.67
383213.0,,deogarh,1811227618,Para,hsc,9.87,7.44
383217.0,,deogarh,1811227618,Para,hsc,1.35,0.9
383218.0,,deogarh,1811227618,Para,hsc,2.5,1.67
383206.0,,deogarh,8524246389,Budhapal,hsc,1.56,1.96
383205.0,,deogarh,8524246389,Budhapal,hsc,0.82,1.16
383204.0,,deogarh,8524246389,Budhapal,hsc,0.5,0.71
383208.0,,deogarh,8524246389,Budhapal,hsc,1.69,2.1
383211.0,,deogarh,1811227618,Para,hsc,4.46,2.98
383209.0,,deogarh,8524246389,Budhapal,hsc,2.34,2.27
383202.0,,deogarh,8524246389,Budhapal,hsc,1.42,2.02
383203.0,,deogarh,8524246389,Budhapal,hsc,0.43,0.62
383214.0,,deogarh,1811227618,Para,hsc,0.0,0.0
383212.0,,deogarh,8524246389,Budhapal,hsc,2.61,3.09
383210.0,,deogarh,8524246389,Budhapal,hsc,3.27,2.89
383163.0,,deogarh,8524246389,Budhapal,hsc,2.67,3.67
383164.0,,deogarh,8524246389,Budhapal,hsc,3.06,4.21
383165.0,,deogarh,8524246389,Budhapal,hsc,0.0,0.0
383166.0,,deogarh,8524246389,Budhapal,hsc,0.76,1.09
383168.0,,deogarh,8524246389,Budhapal,hsc,2.31,2.29
383167.0,,deogarh,8524246389,Budhapal,hsc,6.07,3.86
383219.0,,deogarh,1811227618,Para,hsc,2.08,1.39
383115.0,,deogarh,3877513832,Palasama,hsc,3.49,4.94
383112.0,,deogarh,3877513832,Palasama,hsc,5.44,7.72
383105.0,,deogarh,3877513832,Palasama,hsc,8.6,12.2
383135.0,,deogarh,3877513832,Palasama,hsc,2.03,2.88
383136.0,,deogarh,3877513832,Palasama,hsc,1.23,1.74
383134.0,,deogarh,3877513832,Palasama,hsc,1.73,2.46
383137.0,,deogarh,3877513832,Palasama,hsc,0.0,0.0
383159.0,,deogarh,8524246389,Budhapal,hsc,4.37,6.07
383158.0,,deogarh,8524246389,Budhapal,hsc,4.44,6.17
383157.0,,deogarh,8524246389,Budhapal,hsc,4.59,6.38
383156.0,,deogarh,3877513832,Palasama,hsc,1.89,2.67
383154.0,,deogarh,3877513832,Palasama,hsc,1.75,2.48
383150.0,,deogarh,3877513832,Palasama,hsc,4.27,5.14
383151.0,,deogarh,8524246389,Budhapal,hsc,4.82,6.71
383152.0,,deogarh,8524246389,Budhapal,hsc,5.15,7.17
383155.0,,deogarh,3877513832,Palasama,hsc,2.23,3.15
383153.0,,deogarh,3877513832,Palasama,hsc,1.92,2.72
383138.0,,deogarh,3877513832,Palasama,hsc,1.25,1.77
383139.0,,deogarh,3877513832,Palasama,hsc,2.39,3.38
383142.0,,deogarh,1814424873,Baghahar,hsc,20.08,13.32
383141.0,,deogarh,1814424873,Baghahar,hsc,20.08,13.32
383140.0,,deogarh,1814424873,Baghahar,hsc,20.08,13.32
383132.0,,deogarh,1814424873,Baghahar,hsc,18.73,12.42
383133.0,,deogarh,1814424873,Baghahar,hsc,16.88,11.19
383149.0,,deogarh,8524246389,Budhapal,hsc,12.45,10.61
383114.0,,deogarh,3877513832,Palasama,hsc,4.54,6.43
383113.0,,deogarh,3877513832,Palasama,hsc,4.84,6.86
383162.0,,deogarh,8524246389,Budhapal,hsc,7.85,8.69
383161.0,,deogarh,8524246389,Budhapal,hsc,3.49,4.82
383160.0,,deogarh,8524246389,Budhapal,hsc,4.14,5.74
382797.0,,deogarh,2687877155,Suguda,hsc,1.56,1.04
382781.0,,deogarh,2687877155,Suguda,hsc,4.46,2.42
382780.0,,deogarh,4221341128,Chhepilipali,hsc,9.48,3.9
382799.0,,deogarh,4221341128,Chhepilipali,hsc,12.02,5.36
382807.0,,deogarh,4221341128,Chhepilipali,hsc,9.55,5.06
382804.0,,deogarh,4221341128,Chhepilipali,hsc,0.0,0.0
382806.0,,deogarh,4221341128,Chhepilipali,hsc,10.44,5.64
382805.0,,deogarh,4221341128,Chhepilipali,hsc,8.89,4.61
382796.0,,deogarh,2687877155,Suguda,hsc,7.89,4.25
382801.0,,deogarh,4221341128,Chhepilipali,hsc,12.02,5.36
382802.0,,deogarh,4221341128,Chhepilipali,hsc,6.45,2.98
382778.0,,deogarh,4221341128,Chhepilipali,hsc,3.77,1.57
382798.0,,deogarh,2687877155,Suguda,hsc,5.67,3.32
250457.0,,deogarh,4713858811,Phulpatharkhol,hsc,8.34,8.91
382789.0,,deogarh,8161331213,Nuadihi,hsc,9.95,6.58
382788.0,,deogarh,2471872743,Gundiapalli,hsc,8.25,5.5
