lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
403066.0,,dhenkanal,3867417424,Khajurikata,hsc,6.2,3.1
403067.0,,dhenkanal,3867417424,Khajurikata,hsc,5.97,2.58
403092.0,,dhenkanal,3867417424,Khajurikata,hsc,4.17,2.01
403093.0,,dhenkanal,3868443213,Madhapur,hsc,20.32,13.31
403090.0,,dhenkanal,3867417424,Khajurikata,hsc,3.7,1.77
403091.0,,dhenkanal,3867417424,Khajurikata,hsc,4.28,2.52
403086.0,,dhenkanal,2637387362,Rajmohanpur,hsc,0.24,0.26
403085.0,,dhenkanal,3868443213,Madhapur,hsc,0.0,0.0
403084.0,,dhenkanal,3868443213,Madhapur,hsc,0.36,0.24
403150.0,,dhenkanal,3868443213,Madhapur,hsc,19.63,13.09
403151.0,,dhenkanal,8642876315,Khaliborei,hsc,14.29,9.52
403149.0,,dhenkanal,3868443213,Madhapur,hsc,15.13,10.1
403334.0,,dhenkanal,3464633589,Ghatipiri,hsc,0.0,0.0
403328.0,,dhenkanal,4218827584,Bhaliabol kateni,hsc,7.43,4.46
403335.0,,dhenkanal,6868234532,Kottam,hsc,3.83,1.98
403336.0,,dhenkanal,6868234532,Kottam,hsc,0.0,0.0
403337.0,,dhenkanal,6868234532,Kottam,hsc,0.84,1.18
403341.0,,dhenkanal,3464633589,Ghatipiri,hsc,1.7,2.4
403342.0,,dhenkanal,3464633589,Ghatipiri,hsc,2.42,1.92
403339.0,,dhenkanal,3336675842,Kalanga,hsc,4.75,1.98
403338.0,,dhenkanal,3336675842,Kalanga,hsc,0.0,0.0
403388.0,,dhenkanal,3543646479,Manapur,hsc,5.07,2.11
403386.0,,dhenkanal,3336675842,Kalanga,hsc,17.67,7.36
403387.0,,dhenkanal,3543646479,Manapur,hsc,7.68,3.2
403385.0,,dhenkanal,3543646479,Manapur,hsc,9.8,4.08
403384.0,,dhenkanal,3464633589,Ghatipiri,hsc,7.17,4.27
403383.0,,dhenkanal,3464633589,Ghatipiri,hsc,6.71,4.08
403340.0,,dhenkanal,3464633589,Ghatipiri,hsc,5.06,3.02
403345.0,,dhenkanal,3254577780,Bhapur,hsc,3.18,1.91
403344.0,,dhenkanal,3464633589,Ghatipiri,hsc,0.34,0.49
403343.0,,dhenkanal,3464633589,Ghatipiri,hsc,0.35,0.49
403346.0,,dhenkanal,3254577780,Bhapur,hsc,0.0,0.0
403157.0,,dhenkanal,3543646479,Manapur,hsc,21.36,8.83
403156.0,,dhenkanal,3543646479,Manapur,hsc,0.0,0.0
403155.0,,dhenkanal,3543646479,Manapur,hsc,21.36,8.83
403153.0,,dhenkanal,8642876315,Khaliborei,hsc,0.0,0.0
403152.0,,dhenkanal,8642876315,Khaliborei,hsc,4.97,3.31
403147.0,,dhenkanal,8363732283,Rasol,hsc,7.57,5.05
403146.0,,dhenkanal,8363732283,Rasol,hsc,4.39,2.93
403145.0,,dhenkanal,3828357420,Gandanali,hsc,8.32,4.29
403144.0,,dhenkanal,3828357420,Gandanali,hsc,6.0,3.37
403154.0,,dhenkanal,3543646479,Manapur,hsc,21.36,8.83
403143.0,,dhenkanal,8642876315,Khaliborei,hsc,3.8,2.33
403142.0,,dhenkanal,3828357420,Gandanali,hsc,5.09,3.89
403141.0,,dhenkanal,3828357420,Gandanali,hsc,3.07,2.54
