lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
414540.0,,gajapati,3781176783,Haripur,hsc,0.0,0.0
414530.0,,gajapati,6437771345,Kashinagar,hsc,0.9,0.38
414551.0,,gajapati,1316631173,Kidigam,hsc,10.78,4.47
414554.0,,gajapati,1316631173,Kidigam,hsc,10.78,4.47
414553.0,,gajapati,1316631173,Kidigam,hsc,10.78,4.47
414555.0,,gajapati,1316631173,Kidigam,hsc,10.78,4.47
414575.0,,gajapati,6647428355,Hadhubhangi,hsc,0.36,0.39
414537.0,,gajapati,1316631173,Kidigam,hsc,0.0,0.0
414546.0,,gajapati,1316631173,Kidigam,hsc,0.0,0.0
414535.0,,gajapati,1316631173,Kidigam,hsc,0.0,0.0
414536.0,,gajapati,1316631173,Kidigam,hsc,0.0,0.0
414445.0,,gajapati,1316631173,Kidigam,hsc,10.78,4.47
414556.0,,gajapati,6647428355,Hadhubhangi,hsc,0.0,0.0
414574.0,,gajapati,6647428355,Hadhubhangi,hsc,0.0,0.0
414545.0,,gajapati,3781176783,Haripur,hsc,14.03,6.33
414446.0,,gajapati,6647428355,Hadhubhangi,hsc,0.0,0.0
414541.0,,gajapati,3781176783,Haripur,hsc,0.0,0.0
414552.0,,gajapati,1316631173,Kidigam,hsc,0.0,0.0
414548.0,,gajapati,1316631173,Kidigam,hsc,0.0,0.0
414549.0,,gajapati,1316631173,Kidigam,hsc,0.0,0.0
414542.0,,gajapati,3781176783,Haripur,hsc,0.0,0.0
414557.0,,gajapati,6647428355,Hadhubhangi,hsc,0.0,0.0
250545.0,,gajapati,6437771345,Kashinagar,hsc,0.0,0.0
414444.0,,gajapati,1316631173,Kidigam,hsc,10.78,4.47
414544.0,,gajapati,3781176783,Haripur,hsc,14.05,6.34
414547.0,,gajapati,1316631173,Kidigam,hsc,0.0,0.0
414550.0,,gajapati,1316631173,Kidigam,hsc,0.0,0.0
414543.0,,gajapati,3781176783,Haripur,hsc,14.05,6.34
414531.0,,gajapati,8548376139,Kitingi,hsc,0.0,0.0
414506.0,,gajapati,7121531540,Khandava,hsc,6.67,3.65
414526.0,,gajapati,8548376139,Kitingi,hsc,0.0,0.0
414534.0,,gajapati,8548376139,Kitingi,hsc,0.0,0.0
414514.0,,gajapati,8548376139,Kitingi,hsc,0.0,0.0
414523.0,,gajapati,8548376139,Kitingi,hsc,0.0,0.0
414426.0,,gajapati,8548376139,Kitingi,hsc,0.0,0.0
414442.0,,gajapati,1316631173,Kidigam,hsc,10.78,4.47
414516.0,,gajapati,8548376139,Kitingi,hsc,0.0,0.0
414499.0,,gajapati,7121531540,Khandava,hsc,0.0,0.0
414508.0,,gajapati,6233121539,Gouri,hsc,0.2,0.08
414538.0,,gajapati,1316631173,Kidigam,hsc,0.0,0.0
414441.0,,gajapati,1316631173,Kidigam,hsc,10.78,4.47
414428.0,,gajapati,8548376139,Kitingi,hsc,0.0,0.0
414507.0,,gajapati,6233121539,Gouri,hsc,1.83,1.14
414425.0,,gajapati,8548376139,Kitingi,hsc,0.0,0.0
414539.0,,gajapati,3781176783,Haripur,hsc,0.0,0.0
414443.0,,gajapati,1316631173,Kidigam,hsc,10.78,4.47
414529.0,,gajapati,8548376139,Kitingi,hsc,11.32,6.29
414505.0,,gajapati,7121531540,Khandava,hsc,0.0,0.0
414528.0,,gajapati,8548376139,Kitingi,hsc,0.0,0.0
414527.0,,gajapati,8548376139,Kitingi,hsc,0.0,0.0
414520.0,,gajapati,8548376139,Kitingi,hsc,0.0,0.0
414438.0,,gajapati,6775262881,Gaiba,hsc,0.01,0.01
414525.0,,gajapati,8548376139,Kitingi,hsc,0.0,0.0
414518.0,,gajapati,8548376139,Kitingi,hsc,0.0,0.0
414427.0,,gajapati,8548376139,Kitingi,hsc,0.0,0.0
414502.0,,gajapati,7121531540,Khandava,hsc,0.0,0.0
414524.0,,gajapati,8548376139,Kitingi,hsc,0.0,0.0
414532.0,,gajapati,8548376139,Kitingi,hsc,0.0,0.0
414439.0,,gajapati,6775262881,Gaiba,hsc,0.01,0.01
414429.0,,gajapati,6775262881,Gaiba,hsc,0.0,0.0
414519.0,,gajapati,8548376139,Kitingi,hsc,0.0,0.0
414504.0,,gajapati,7121531540,Khandava,hsc,0.0,0.0
414422.0,,gajapati,7428183276,Gumma,hsc,4.39,1.83
414511.0,,gajapati,8548376139,Kitingi,hsc,0.0,0.0
414517.0,,gajapati,8548376139,Kitingi,hsc,0.0,0.0
414509.0,,gajapati,6233121539,Gouri,hsc,0.0,0.0
414384.0,,gajapati,7428183276,Gumma,hsc,4.33,1.8
414383.0,,gajapati,7121531540,Khandava,hsc,0.0,0.0
414386.0,,gajapati,7428183276,Gumma,hsc,4.33,1.8
414512.0,,gajapati,8548376139,Kitingi,hsc,0.0,0.0
414522.0,,gajapati,8548376139,Kitingi,hsc,0.0,0.0
414440.0,,gajapati,6775262881,Gaiba,hsc,0.01,0.01
414513.0,,gajapati,8548376139,Kitingi,hsc,0.0,0.0
414385.0,,gajapati,8548376139,Kitingi,hsc,0.0,0.0
414424.0,,gajapati,7428183276,Gumma,hsc,4.39,1.83
414430.0,,gajapati,6775262881,Gaiba,hsc,0.0,0.0
414521.0,,gajapati,8548376139,Kitingi,hsc,0.0,0.0
414423.0,,gajapati,6775262881,Gaiba,hsc,0.74,0.31
414533.0,,gajapati,8548376139,Kitingi,hsc,0.0,0.0
414510.0,,gajapati,6233121539,Gouri,hsc,0.0,0.0
414515.0,,gajapati,8548376139,Kitingi,hsc,0.0,0.0
414503.0,,gajapati,7121531540,Khandava,hsc,0.0,0.0
414566.0,,gajapati,8587821722,K Sitapur,hsc,2.6,2.82
414606.0,,gajapati,4674722378,Jeeba,hsc,12.36,7.07
414576.0,,gajapati,6647428355,Hadhubhangi,hsc,0.22,0.24
414602.0,,gajapati,7344245589,Namanguda,hsc,0.34,0.14
414568.0,,gajapati,8587821722,K Sitapur,hsc,0.94,1.02
