lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
413452.0,,ganjam,4376337244,Burtal,hsc,10.74,7.15
413451.0,,ganjam,4376337244,Burtal,hsc,18.46,12.3
413450.0,,ganjam,4376337244,Burtal,hsc,13.38,8.91
413447.0,,ganjam,6566386865,Tumba,hsc,2.59,1.73
413453.0,,ganjam,6566386865,Tumba,hsc,2.59,1.73
413443.0,,ganjam,6566386865,Tumba,hsc,2.04,1.36
413454.0,,ganjam,6566386865,Tumba,hsc,2.04,1.36
413455.0,,ganjam,6566386865,Tumba,hsc,2.04,1.36
413458.0,,ganjam,6566386865,Tumba,hsc,77.3,42.29
413456.0,,ganjam,4376337244,Burtal,hsc,45.62,25.55
413457.0,,ganjam,6566386865,Tumba,hsc,77.3,42.29
413444.0,,ganjam,6566386865,Tumba,hsc,2.04,1.36
413446.0,,ganjam,6566386865,Tumba,hsc,2.07,1.38
413459.0,,ganjam,6566386865,Tumba,hsc,1.63,1.08
413445.0,,ganjam,6566386865,Tumba,hsc,2.04,1.36
413387.0,,ganjam,3217621311,Ankuli,hsc,0.0,0.0
413429.0,,ganjam,4376337244,Burtal,hsc,0.0,0.0
413449.0,,ganjam,4376337244,Burtal,hsc,6.98,4.65
413383.0,,ganjam,4376337244,Burtal,hsc,0.0,0.0
413381.0,,ganjam,4376337244,Burtal,hsc,0.01,0.01
413380.0,,ganjam,4376337244,Burtal,hsc,0.01,0.01
413382.0,,ganjam,4376337244,Burtal,hsc,0.01,0.01
413377.0,,ganjam,3217621311,Ankuli,hsc,1.13,0.75
413431.0,,ganjam,4376337244,Burtal,hsc,6.49,4.32
413432.0,,ganjam,3217621311,Ankuli,hsc,0.33,0.22
413384.0,,ganjam,4376337244,Burtal,hsc,0.01,0.01
413385.0,,ganjam,3217621311,Ankuli,hsc,0.0,0.0
413434.0,,ganjam,4376337244,Burtal,hsc,3.29,2.19
413433.0,,ganjam,4376337244,Burtal,hsc,1.22,0.81
413430.0,,ganjam,4376337244,Burtal,hsc,2.15,1.43
413435.0,,ganjam,4376337244,Burtal,hsc,0.77,0.51
413448.0,,ganjam,4376337244,Burtal,hsc,6.86,4.56
413173.0,,ganjam,3217621311,Ankuli,hsc,0.0,0.0
