lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
401749.0,,jajapur,6656282883,Chhatia,hsc,0.0,0.0
401760.0,,jajapur,6656282883,Chhatia,hsc,0.0,0.0
401751.0,,jajapur,6656282883,Chhatia,hsc,0.0,0.0
401762.0,,jajapur,6656282883,Chhatia,hsc,0.0,0.0
401754.0,,jajapur,6656282883,Chhatia,hsc,0.0,0.0
401765.0,,jajapur,6656282883,Chhatia,hsc,0.0,0.0
401746.0,,jajapur,6656282883,Chhatia,hsc,0.0,0.0
401766.0,,jajapur,6656282883,Chhatia,hsc,0.0,0.0
401748.0,,jajapur,6656282883,Chhatia,hsc,0.0,0.0
401764.0,,jajapur,6656282883,Chhatia,hsc,0.0,0.0
401750.0,,jajapur,6656282883,Chhatia,hsc,0.0,0.0
401752.0,,jajapur,6656282883,Chhatia,hsc,0.0,0.0
401763.0,,jajapur,6656282883,Chhatia,hsc,0.0,0.0
401755.0,,jajapur,6656282883,Chhatia,hsc,0.0,0.0
401761.0,,jajapur,6656282883,Chhatia,hsc,0.0,0.0
401756.0,,jajapur,6656282883,Chhatia,hsc,0.0,0.0
401747.0,,jajapur,6656282883,Chhatia,hsc,0.0,0.0
401753.0,,jajapur,6656282883,Chhatia,hsc,0.0,0.0
401858.0,,jajapur,7457373186,Charinangal,hsc,0.0,0.0
401850.0,,jajapur,7457373186,Charinangal,hsc,0.0,0.0
401860.0,,jajapur,7457373186,Charinangal,hsc,0.0,0.0
401851.0,,jajapur,7457373186,Charinangal,hsc,0.0,0.0
401861.0,,jajapur,7457373186,Charinangal,hsc,0.0,0.0
401849.0,,jajapur,7457373186,Charinangal,hsc,0.0,0.0
401859.0,,jajapur,7457373186,Charinangal,hsc,0.0,0.0
402081.0,,jajapur,8675184363,Chandia,hsc,0.0,0.0
401862.0,,jajapur,7457373186,Charinangal,hsc,0.0,0.0
402085.0,,jajapur,8675184363,Chandia,hsc,0.0,0.0
402083.0,,jajapur,8675184363,Chandia,hsc,0.0,0.0
402082.0,,jajapur,8675184363,Chandia,hsc,0.0,0.0
402084.0,,jajapur,5874852725,Angalo,hsc,0.0,0.0
401637.0,,jajapur,7464674527,Samia,hsc,1.62,1.08
401636.0,,jajapur,7464674527,Samia,hsc,10.83,7.21
401635.0,,jajapur,7464674527,Samia,hsc,5.69,3.79
401634.0,,jajapur,7464674527,Samia,hsc,4.25,2.81
400521.0,,jajapur,6673244825,Kaliapani,hsc,7.72,5.86
400524.0,,jajapur,6333111539,Chingudipal,hsc,17.04,12.92
400426.0,,jajapur,3216447841,Damoderpur,hsc,8.77,6.93
400455.0,,jajapur,4673718666,Bartanda,hsc,3.36,1.32
400448.0,,jajapur,4673718666,Bartanda,hsc,0.0,0.0
400447.0,,jajapur,2141411575,Haripur,hsc,6.55,3.87
400446.0,,jajapur,2141411575,Haripur,hsc,6.75,4.05
400452.0,,jajapur,8382624636,Bichhakandi,hsc,6.31,2.61
400434.0,,jajapur,5817378754,Kharadi,hsc,0.0,0.0
400433.0,,jajapur,1248871830,Sansilo,hsc,8.82,4.71
