lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
381000.0,,jharsuguda,1111456644,Kiritmal,hsc,1.78,1.19
380999.0,,jharsuguda,1111461685,Muralipali,hsc,6.98,3.2
380997.0,,jharsuguda,1111462378,Sukhasoda,hsc,0.0,0.0
381002.0,,jharsuguda,1111456644,Kiritmal,hsc,0.0,0.0
380995.0,,jharsuguda,1111461685,Muralipali,hsc,6.46,3.87
380998.0,,jharsuguda,1111462378,Sukhasoda,hsc,10.48,4.09
380996.0,,jharsuguda,1111461685,Muralipali,hsc,0.0,0.0
380994.0,,jharsuguda,1111461685,Muralipali,hsc,8.24,5.15
380993.0,,jharsuguda,1111461776,Pithinda,hsc,4.5,2.71
380988.0,,jharsuguda,1111461776,Pithinda,hsc,3.47,2.32
381003.0,,jharsuguda,1111456644,Kiritmal,hsc,0.01,0.0
381004.0,,jharsuguda,1111456644,Kiritmal,hsc,60.19,38.08
380970.0,,jharsuguda,1111455745,Bhanarkhol,hsc,0.87,1.24
381001.0,,jharsuguda,1111456644,Kiritmal,hsc,0.24,0.16
380991.0,,jharsuguda,1111461776,Pithinda,hsc,0.0,0.0
380992.0,,jharsuguda,1111461776,Pithinda,hsc,1.84,1.14
380974.0,,jharsuguda,1111456438,Gumadera,hsc,0.41,0.59
380971.0,,jharsuguda,1111456438,Gumadera,hsc,0.43,0.61
380972.0,,jharsuguda,1111456438,Gumadera,hsc,0.41,0.59
380976.0,,jharsuguda,1111462287,Samarbaga,hsc,0.5,0.7
380975.0,,jharsuguda,1111456438,Gumadera,hsc,0.74,1.05
380989.0,,jharsuguda,1111461776,Pithinda,hsc,3.49,2.33
380990.0,,jharsuguda,1111461776,Pithinda,hsc,2.1,1.4
380977.0,,jharsuguda,1111454722,Palsada,hsc,2.72,3.86
380952.0,,jharsuguda,1111456461,Kanaktora,hsc,5.31,2.98
380953.0,,jharsuguda,1111456461,Kanaktora,hsc,0.0,0.0
380987.0,,jharsuguda,1111456461,Kanaktora,hsc,5.55,4.03
380933.0,,jharsuguda,1111461479,Machida,hsc,0.0,0.0
380936.0,,jharsuguda,1111461479,Machida,hsc,5.15,3.39
380930.0,,jharsuguda,1111454664,Katapali,hsc,5.11,2.13
380966.0,,jharsuguda,1111462287,Samarbaga,hsc,0.0,0.0
380944.0,,jharsuguda,1111461479,Machida,hsc,2.34,1.52
380951.0,,jharsuguda,1111456461,Kanaktora,hsc,5.75,3.26
380929.0,,jharsuguda,1111454664,Katapali,hsc,5.82,2.35
380934.0,,jharsuguda,1111461479,Machida,hsc,3.21,1.56
380931.0,,jharsuguda,1111461479,Machida,hsc,7.21,3.89
380965.0,,jharsuguda,1111462287,Samarbaga,hsc,0.4,0.56
380967.0,,jharsuguda,1111456438,Gumadera,hsc,0.6,0.85
380938.0,,jharsuguda,1111461479,Machida,hsc,7.4,4.3
380942.0,,jharsuguda,1111454722,Palsada,hsc,3.02,4.29
380941.0,,jharsuguda,1111462287,Samarbaga,hsc,1.4,1.98
380973.0,,jharsuguda,1111456438,Gumadera,hsc,0.91,1.29
380949.0,,jharsuguda,1111455836,Bhikampali,hsc,4.88,3.27
380960.0,,jharsuguda,1111454722,Palsada,hsc,0.94,1.33
380961.0,,jharsuguda,1111454722,Palsada,hsc,1.7,2.41
380948.0,,jharsuguda,1111454722,Palsada,hsc,3.31,2.24
380957.0,,jharsuguda,1111455836,Bhikampali,hsc,0.0,0.0
380945.0,,jharsuguda,1111454722,Palsada,hsc,4.65,3.35
380937.0,,jharsuguda,1111461479,Machida,hsc,3.34,2.18
380928.0,,jharsuguda,1111454664,Katapali,hsc,0.0,0.0
380935.0,,jharsuguda,1111461479,Machida,hsc,9.22,6.1
