lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
424203.0,,kalahandi,7525622150,Mangalpur,hsc,3.77,2.51
424219.0,,kalahandi,7185386856,Sastuguda,hsc,3.34,2.24
424515.0,,kalahandi,6873558271,Balisara,hsc,16.82,11.1
424220.0,,kalahandi,7185386856,Sastuguda,hsc,0.0,0.0
424215.0,,kalahandi,7714273682,Karanjiguda,hsc,3.37,2.19
424182.0,,kalahandi,3281482749,Sargiguda,hsc,7.71,3.2
424218.0,,kalahandi,4575878220,Dhansuli,hsc,0.0,0.0
424472.0,,kalahandi,7243628281,Gopinathpur,hsc,14.46,9.64
424201.0,,kalahandi,4575878220,Dhansuli,hsc,2.32,1.54
424200.0,,kalahandi,3281482749,Sargiguda,hsc,6.5,2.7
424516.0,,kalahandi,6873558271,Balisara,hsc,16.82,11.1
424223.0,,kalahandi,7185386856,Sastuguda,hsc,4.48,2.97
424474.0,,kalahandi,7243628281,Gopinathpur,hsc,14.46,9.64
424224.0,,kalahandi,7185386856,Sastuguda,hsc,0.28,0.19
424471.0,,kalahandi,7243628281,Gopinathpur,hsc,14.46,9.64
424226.0,,kalahandi,7185386856,Sastuguda,hsc,2.96,1.98
424225.0,,kalahandi,7185386856,Sastuguda,hsc,2.96,1.98
424202.0,,kalahandi,7525622150,Mangalpur,hsc,0.0,0.0
424222.0,,kalahandi,7185386856,Sastuguda,hsc,7.06,4.68
424217.0,,kalahandi,4575878220,Dhansuli,hsc,1.1,0.73
424221.0,,kalahandi,7185386856,Sastuguda,hsc,3.76,2.5
424475.0,,kalahandi,7243628281,Gopinathpur,hsc,16.13,10.75
424476.0,,kalahandi,7243628281,Gopinathpur,hsc,16.14,10.75
424077.0,,kalahandi,4173387335,Ampani,hsc,5.21,7.24
424008.0,,kalahandi,3276456849,Ghantiguda,hsc,5.63,3.74
424076.0,,kalahandi,4173387335,Ampani,hsc,31.31,28.97
424075.0,,kalahandi,4173387335,Ampani,hsc,31.92,29.37
424154.0,,kalahandi,4658627767,Baner,hsc,4.62,3.07
424179.0,,kalahandi,8581686816,Anlabhata,hsc,5.31,3.53
424199.0,,kalahandi,5211381321,Badkarlakot,hsc,0.0,0.0
424183.0,,kalahandi,3281482749,Sargiguda,hsc,6.48,2.69
424175.0,,kalahandi,3874336237,Chachiguda,hsc,0.0,0.0
424187.0,,kalahandi,5211381321,Badkarlakot,hsc,5.34,3.54
424147.0,,kalahandi,3141111389,Badpujhariguda,hsc,5.54,3.55
424144.0,,kalahandi,1521132835,Uchhula,hsc,4.43,2.86
424174.0,,kalahandi,3874336237,Chachiguda,hsc,1.95,1.3
424180.0,,kalahandi,8581686816,Anlabhata,hsc,3.5,2.33
424173.0,,kalahandi,3281482749,Sargiguda,hsc,0.0,0.0
424152.0,,kalahandi,2757864752,Bhainripali,hsc,0.0,0.0
424186.0,,kalahandi,5211381321,Badkarlakot,hsc,5.34,3.54
424197.0,,kalahandi,8867355813,Jaipatna,hsc,0.0,0.0
424181.0,,kalahandi,8581686816,Anlabhata,hsc,3.38,2.25
424185.0,,kalahandi,5211381321,Badkarlakot,hsc,0.0,0.0
424146.0,,kalahandi,3141111389,Badpujhariguda,hsc,11.9,7.8
424188.0,,kalahandi,8867355813,Jaipatna,hsc,4.08,2.72
424150.0,,kalahandi,3281482749,Sargiguda,hsc,7.73,4.01
424156.0,,kalahandi,4387266812,Bijmara,hsc,0.0,0.0
424155.0,,kalahandi,4387266812,Bijmara,hsc,2.31,1.54
424151.0,,kalahandi,3856882323,Chancharamal,hsc,3.66,2.4
424198.0,,kalahandi,7525622150,Mangalpur,hsc,2.24,1.49
424184.0,,kalahandi,5211381321,Badkarlakot,hsc,0.0,0.0
424071.0,,kalahandi,4173387335,Ampani,hsc,1.31,1.72
424139.0,,kalahandi,2757864752,Bhainripali,hsc,4.13,2.68
424138.0,,kalahandi,2757864752,Bhainripali,hsc,5.71,3.68
424176.0,,kalahandi,8581686816,Anlabhata,hsc,0.0,0.0
424189.0,,kalahandi,4658627767,Baner,hsc,3.1,2.07
424172.0,,kalahandi,5211381321,Badkarlakot,hsc,5.15,3.41
424145.0,,kalahandi,3141111389,Badpujhariguda,hsc,4.0,2.6
424177.0,,kalahandi,3141111389,Badpujhariguda,hsc,5.11,3.39
424149.0,,kalahandi,3874336237,Chachiguda,hsc,4.12,2.75
424148.0,,kalahandi,3141111389,Badpujhariguda,hsc,0.0,0.0
424171.0,,kalahandi,4658627767,Baner,hsc,0.0,0.0
424153.0,,kalahandi,4658627767,Baner,hsc,3.17,2.1
424142.0,,kalahandi,3856882323,Chancharamal,hsc,0.0,0.0
424078.0,,kalahandi,8581686816,Anlabhata,hsc,114.58,96.63
424205.0,,kalahandi,7714273682,Karanjiguda,hsc,1.58,1.05
424178.0,,kalahandi,8581686816,Anlabhata,hsc,114.61,96.65
424119.0,,kalahandi,6586835586,Rengalpali,hsc,0.0,0.0
424140.0,,kalahandi,2757864752,Bhainripali,hsc,9.25,6.04
424058.0,,kalahandi,2757864752,Bhainripali,hsc,8.38,5.46
424048.0,,kalahandi,4288214820,Dudkathenga,hsc,3.28,3.54
424068.0,,kalahandi,1746682473,Kashibahal,hsc,0.0,0.0
424098.0,,kalahandi,6586835586,Rengalpali,hsc,1.93,1.28
424084.0,,kalahandi,3646364855,Ranmal,hsc,3.71,2.48
424049.0,,kalahandi,4288214820,Dudkathenga,hsc,18.7,15.42
424046.0,,kalahandi,4288214820,Dudkathenga,hsc,0.0,0.0
424043.0,,kalahandi,7674665828,Temera,hsc,0.0,0.0
424120.0,,kalahandi,5771278776,Bandigaon,hsc,0.0,0.0
424030.0,,kalahandi,3645444575,Phupgaon,hsc,0.14,0.1
424047.0,,kalahandi,7411887339,Badpodaguda,hsc,0.84,1.08
424041.0,,kalahandi,1132316637,Koksara,hsc,2.93,1.54
424053.0,,kalahandi,1132316637,Koksara,hsc,0.8,1.13
424118.0,,kalahandi,5771278776,Bandigaon,hsc,1.36,0.91
424045.0,,kalahandi,7674665828,Temera,hsc,10.82,7.12
424055.0,,kalahandi,4717343281,Gotomunda,hsc,1.22,0.59
424050.0,,kalahandi,1746682473,Kashibahal,hsc,7.67,7.83
424062.0,,kalahandi,1264376888,Chikili,hsc,0.0,0.0
424032.0,,kalahandi,5133626217,Rengalpali,hsc,0.96,1.36
424067.0,,kalahandi,1746682473,Kashibahal,hsc,71.52,57.31
424136.0,,kalahandi,4888686880,Sundrijore,hsc,2.9,1.93
424066.0,,kalahandi,1521132835,Uchhula,hsc,6.78,4.53
424063.0,,kalahandi,1883761445,Gambhariguda,hsc,0.0,0.0
424072.0,,kalahandi,4181111578,Kendudongri,hsc,1.46,2.07
424121.0,,kalahandi,5771278776,Bandigaon,hsc,0.1,0.07
424054.0,,kalahandi,1883761445,Gambhariguda,hsc,0.65,0.43
424052.0,,kalahandi,1883761445,Gambhariguda,hsc,1.59,1.05
424096.0,,kalahandi,3646364855,Ranmal,hsc,0.0,0.0
424070.0,,kalahandi,4181111578,Kendudongri,hsc,79.09,63.28
424073.0,,kalahandi,4173387335,Ampani,hsc,0.0,0.0
424069.0,,kalahandi,4181111578,Kendudongri,hsc,0.0,0.0
424141.0,,kalahandi,3856882323,Chancharamal,hsc,10.04,6.69
424059.0,,kalahandi,1264376888,Chikili,hsc,0.54,0.36
424064.0,,kalahandi,2284178437,Ladugaon,hsc,0.0,0.0
424061.0,,kalahandi,2467587750,Mirjapur,hsc,2.48,1.65
424009.0,,kalahandi,3276456849,Ghantiguda,hsc,0.0,0.0
424074.0,,kalahandi,7411887339,Badpodaguda,hsc,0.0,0.0
424143.0,,kalahandi,1521132835,Uchhula,hsc,0.0,0.0
424056.0,,kalahandi,4717343281,Gotomunda,hsc,0.02,0.01
424065.0,,kalahandi,2284178437,Ladugaon,hsc,1.99,1.27
424044.0,,kalahandi,7674665828,Temera,hsc,3.83,2.47
424057.0,,kalahandi,4717343281,Gotomunda,hsc,0.0,0.0
424033.0,,kalahandi,5133626217,Rengalpali,hsc,1.29,1.83
424031.0,,kalahandi,3645444575,Phupgaon,hsc,0.0,0.0
424085.0,,kalahandi,5764865589,Badtemri,hsc,12.86,8.41
424029.0,,kalahandi,3646364855,Ranmal,hsc,4.83,3.23
424036.0,,kalahandi,1132316637,Koksara,hsc,0.88,1.24
424037.0,,kalahandi,1132316637,Koksara,hsc,0.0,0.0
424097.0,,kalahandi,3646364855,Ranmal,hsc,0.76,0.5
424137.0,,kalahandi,2757864752,Bhainripali,hsc,6.46,4.19
424051.0,,kalahandi,1883761445,Gambhariguda,hsc,8.3,6.29
424060.0,,kalahandi,2467587750,Mirjapur,hsc,0.0,0.0
423983.0,,kalahandi,8832558756,Boden,hsc,3.04,1.99
423997.0,,kalahandi,4881463535,Nandagaon,hsc,0.81,0.54
423989.0,,kalahandi,2438475663,Chhanchanbahili,hsc,2.82,2.58
424083.0,,kalahandi,5764865589,Badtemri,hsc,10.79,7.13
424017.0,,kalahandi,2644317873,Mushapali,hsc,0.0,0.0
423994.0,,kalahandi,6487263631,Dahagaon,hsc,5.62,3.74
423981.0,,kalahandi,8212252160,Ainlajore,hsc,0.0,0.0
424082.0,,kalahandi,5764865589,Badtemri,hsc,0.0,0.0
424015.0,,kalahandi,4631854777,Moter,hsc,5.99,3.99
424010.0,,kalahandi,3276456849,Ghantiguda,hsc,5.31,5.07
423984.0,,kalahandi,4881463535,Nandagaon,hsc,0.0,0.0
423992.0,,kalahandi,2653477741,Jayantpur,hsc,0.0,0.0
424001.0,,kalahandi,2644317873,Mushapali,hsc,41.46,33.63
424027.0,,kalahandi,5133626217,Rengalpali,hsc,2.6,3.69
424024.0,,kalahandi,5764865589,Badtemri,hsc,3.83,2.56
424026.0,,kalahandi,5133626217,Rengalpali,hsc,1.57,2.22
424020.0,,kalahandi,6487263631,Dahagaon,hsc,21.34,14.02
424042.0,,kalahandi,7674665828,Temera,hsc,2.59,1.72
424035.0,,kalahandi,5133626217,Rengalpali,hsc,0.0,0.0
423986.0,,kalahandi,4881463535,Nandagaon,hsc,2.54,1.68
423987.0,,kalahandi,6628336866,Mahichala,hsc,38.87,38.12
424025.0,,kalahandi,5764865589,Badtemri,hsc,5.88,5.03
424034.0,,kalahandi,5133626217,Rengalpali,hsc,0.08,0.11
424028.0,,kalahandi,5764865589,Badtemri,hsc,8.93,5.95
424038.0,,kalahandi,4631854777,Moter,hsc,0.12,0.08
424011.0,,kalahandi,2438475663,Chhanchanbahili,hsc,8.27,8.82
424007.0,,kalahandi,3276456849,Ghantiguda,hsc,5.41,5.0
424039.0,,kalahandi,4631854777,Moter,hsc,5.99,3.99
424012.0,,kalahandi,2438475663,Chhanchanbahili,hsc,8.27,8.82
424019.0,,kalahandi,4631854777,Moter,hsc,4.04,2.69
424014.0,,kalahandi,2816447730,Behera,hsc,6.21,7.58
424016.0,,kalahandi,6487263631,Dahagaon,hsc,18.8,12.38
424018.0,,kalahandi,2644317873,Mushapali,hsc,5.86,3.85
424022.0,,kalahandi,8333363342,Charbahal,hsc,9.86,7.61
424006.0,,kalahandi,2438475663,Chhanchanbahili,hsc,9.93,11.32
424005.0,,kalahandi,2438475663,Chhanchanbahili,hsc,9.57,9.89
424013.0,,kalahandi,2438475663,Chhanchanbahili,hsc,7.46,7.81
