lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
417232.0,,kandhamal,8244624576,Durgapanga,hsc,0.85,0.92
417231.0,,kandhamal,8244624576,Durgapanga,hsc,0.0,0.0
417222.0,,kandhamal,7767534360,Radiguma,hsc,1.68,1.83
417193.0,,kandhamal,7767534360,Radiguma,hsc,2.59,2.8
417196.0,,kandhamal,7767534360,Radiguma,hsc,0.46,0.5
417195.0,,kandhamal,7767534360,Radiguma,hsc,0.0,0.0
417233.0,,kandhamal,8244624576,Durgapanga,hsc,8.53,7.41
417124.0,,kandhamal,7767534360,Radiguma,hsc,2.56,2.78
417228.0,,kandhamal,8244624576,Durgapanga,hsc,5.88,6.37
417227.0,,kandhamal,8244624576,Durgapanga,hsc,9.52,7.82
417192.0,,kandhamal,7767534360,Radiguma,hsc,2.54,2.75
417223.0,,kandhamal,7767534360,Radiguma,hsc,2.69,2.92
417194.0,,kandhamal,7767534360,Radiguma,hsc,2.56,2.77
417230.0,,kandhamal,8244624576,Durgapanga,hsc,2.1,2.28
417229.0,,kandhamal,8244624576,Durgapanga,hsc,4.13,4.48
417234.0,,kandhamal,3726612116,Dharakote,hsc,17.6,7.33
417235.0,,kandhamal,3726612116,Dharakote,hsc,13.73,5.72
417226.0,,kandhamal,7767534360,Radiguma,hsc,5.04,5.46
417225.0,,kandhamal,7767534360,Radiguma,hsc,4.17,4.52
417224.0,,kandhamal,7767534360,Radiguma,hsc,3.95,4.28
417107.0,,kandhamal,3464267370,Bilamala,hsc,8.03,3.34
416972.0,,kandhamal,3514171226,Guma,hsc,5.3,5.74
417118.0,,kandhamal,3464267370,Bilamala,hsc,8.04,3.34
417111.0,,kandhamal,3464267370,Bilamala,hsc,0.0,0.0
416978.0,,kandhamal,3514171226,Guma,hsc,3.31,3.58
417093.0,,kandhamal,3774866135,Tumudibandha,hsc,2.74,2.96
417092.0,,kandhamal,3774866135,Tumudibandha,hsc,2.69,2.9
417122.0,,kandhamal,7767534360,Radiguma,hsc,1.98,2.15
417100.0,,kandhamal,3514171226,Guma,hsc,0.0,0.0
417123.0,,kandhamal,7767534360,Radiguma,hsc,1.16,1.26
417091.0,,kandhamal,3774866135,Tumudibandha,hsc,0.0,0.0
417189.0,,kandhamal,2483373458,Kotagarh,hsc,3.54,3.21
417121.0,,kandhamal,7767534360,Radiguma,hsc,2.1,2.27
417115.0,,kandhamal,3464267370,Bilamala,hsc,8.04,3.34
417098.0,,kandhamal,3514171226,Guma,hsc,0.05,0.05
417101.0,,kandhamal,3514171226,Guma,hsc,0.0,0.0
417082.0,,kandhamal,8762583816,Belghar,hsc,0.05,0.05
416976.0,,kandhamal,3774866135,Tumudibandha,hsc,2.61,2.82
417079.0,,kandhamal,3774866135,Tumudibandha,hsc,2.69,2.9
416973.0,,kandhamal,3774866135,Tumudibandha,hsc,5.35,5.78
417084.0,,kandhamal,3464267370,Bilamala,hsc,0.0,0.0
417103.0,,kandhamal,3514171226,Guma,hsc,0.0,0.0
417086.0,,kandhamal,3464267370,Bilamala,hsc,0.0,0.0
416977.0,,kandhamal,3514171226,Guma,hsc,4.06,4.39
417097.0,,kandhamal,3514171226,Guma,hsc,0.0,0.0
417191.0,,kandhamal,7767534360,Radiguma,hsc,2.1,2.27
417096.0,,kandhamal,3514171226,Guma,hsc,1.96,2.12
417105.0,,kandhamal,3514171226,Guma,hsc,0.05,0.05
417087.0,,kandhamal,3464267370,Bilamala,hsc,0.0,0.0
417110.0,,kandhamal,3464267370,Bilamala,hsc,0.0,0.0
416983.0,,kandhamal,3514171226,Guma,hsc,1.11,1.2
417190.0,,kandhamal,2483373458,Kotagarh,hsc,2.6,2.19
417119.0,,kandhamal,7767534360,Radiguma,hsc,2.12,2.3
417114.0,,kandhamal,3464267370,Bilamala,hsc,0.0,0.0
417095.0,,kandhamal,3514171226,Guma,hsc,0.0,0.0
416982.0,,kandhamal,3514171226,Guma,hsc,1.96,2.12
416975.0,,kandhamal,3774866135,Tumudibandha,hsc,2.69,2.9
417102.0,,kandhamal,3514171226,Guma,hsc,0.0,0.0
417106.0,,kandhamal,3464267370,Bilamala,hsc,0.0,0.0
417104.0,,kandhamal,3514171226,Guma,hsc,3.31,3.58
417088.0,,kandhamal,3464267370,Bilamala,hsc,0.0,0.0
417094.0,,kandhamal,3514171226,Guma,hsc,3.31,3.58
416974.0,,kandhamal,3514171226,Guma,hsc,4.06,4.39
417080.0,,kandhamal,3774866135,Tumudibandha,hsc,0.0,0.0
417113.0,,kandhamal,3464267370,Bilamala,hsc,8.03,3.34
417112.0,,kandhamal,3464267370,Bilamala,hsc,0.0,0.0
417099.0,,kandhamal,3514171226,Guma,hsc,0.05,0.05
417116.0,,kandhamal,3464267370,Bilamala,hsc,8.03,3.34
417109.0,,kandhamal,3464267370,Bilamala,hsc,0.0,0.0
417085.0,,kandhamal,3464267370,Bilamala,hsc,0.0,0.0
417090.0,,kandhamal,3774866135,Tumudibandha,hsc,0.0,0.0
417089.0,,kandhamal,3464267370,Bilamala,hsc,0.0,0.0
417117.0,,kandhamal,3464267370,Bilamala,hsc,8.04,3.34
417083.0,,kandhamal,8762583816,Belghar,hsc,0.05,0.05
417120.0,,kandhamal,2483373458,Kotagarh,hsc,2.3,1.86
417108.0,,kandhamal,3464267370,Bilamala,hsc,0.0,0.0
417056.0,,kandhamal,8561764740,Jhiripani,hsc,0.1,0.04
417061.0,,kandhamal,3388337317,Mundigarh,hsc,1.24,1.75
417025.0,,kandhamal,3377631787,Bhandarangi,hsc,0.0,0.0
417067.0,,kandhamal,8762583816,Belghar,hsc,0.05,0.05
