lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
387280.0,,kendujhar,1348764455,Godabandhagoda,hsc,1.7,0.71
387315.0,,kendujhar,1348764455,Godabandhagoda,hsc,0.97,0.41
387281.0,,kendujhar,4613856873,Nandabar,hsc,44.76,32.28
387317.0,,kendujhar,4613856873,Nandabar,hsc,0.0,0.0
387319.0,,kendujhar,4613856873,Nandabar,hsc,5.91,2.97
387318.0,,kendujhar,4613856873,Nandabar,hsc,4.43,1.85
387316.0,,kendujhar,1348764455,Godabandhagoda,hsc,1.64,0.68
387314.0,,kendujhar,2514231147,Angurua,hsc,1.4,1.29
387324.0,,kendujhar,1348764455,Godabandhagoda,hsc,2.38,0.99
387337.0,,kendujhar,6322612521,Badapadana,hsc,14.55,17.96
387366.0,,kendujhar,7334817637,Taruan,hsc,6.8,2.79
387368.0,,kendujhar,7334817637,Taruan,hsc,6.81,2.79
387321.0,,kendujhar,2514231147,Angurua,hsc,8.41,4.61
387323.0,,kendujhar,2514231147,Angurua,hsc,3.88,2.72
387320.0,,kendujhar,4613856873,Nandabar,hsc,7.14,4.1
387336.0,,kendujhar,6322612521,Badapadana,hsc,9.71,11.72
387322.0,,kendujhar,2514231147,Angurua,hsc,7.86,4.38
387367.0,,kendujhar,7334817637,Taruan,hsc,6.82,2.8
387326.0,,kendujhar,6616674849,Alati,hsc,0.71,0.66
387325.0,,kendujhar,2514231147,Angurua,hsc,0.0,0.0
387335.0,,kendujhar,6322612521,Badapadana,hsc,9.15,11.29
387252.0,,kendujhar,2516712656,Jambhara,hsc,0.0,0.0
387250.0,,kendujhar,2516712656,Jambhara,hsc,2.56,1.06
387278.0,,kendujhar,4626745865,Gedama,hsc,0.0,0.0
387248.0,,kendujhar,2516712656,Jambhara,hsc,6.28,2.57
387233.0,,kendujhar,2516712656,Jambhara,hsc,2.56,1.06
387374.0,,kendujhar,8528677142,Samana,hsc,93.6,61.7
387267.0,,kendujhar,7255112422,Danar,hsc,4.28,1.75
387273.0,,kendujhar,4626745865,Gedama,hsc,0.61,0.25
387251.0,,kendujhar,2516712656,Jambhara,hsc,1.08,0.44
387254.0,,kendujhar,2516712656,Jambhara,hsc,3.86,1.56
387274.0,,kendujhar,4626745865,Gedama,hsc,1.84,0.77
387268.0,,kendujhar,4626745865,Gedama,hsc,3.9,1.63
387279.0,,kendujhar,4626745865,Gedama,hsc,1.79,0.75
387272.0,,kendujhar,4626745865,Gedama,hsc,1.6,0.66
387269.0,,kendujhar,4626745865,Gedama,hsc,5.35,2.23
387270.0,,kendujhar,4626745865,Gedama,hsc,4.17,1.74
387271.0,,kendujhar,4626745865,Gedama,hsc,3.12,1.3
387275.0,,kendujhar,4626745865,Gedama,hsc,2.81,1.17
387232.0,,kendujhar,2516712656,Jambhara,hsc,35.34,14.67
387255.0,,kendujhar,2516712656,Jambhara,hsc,6.28,2.57
387253.0,,kendujhar,2516712656,Jambhara,hsc,1.34,0.56
387257.0,,kendujhar,6854755839,Salania,hsc,0.0,0.0
387230.0,,kendujhar,8528677142,Samana,hsc,2.29,0.95
387249.0,,kendujhar,8645776140,Ambo,hsc,60.88,27.19
387256.0,,kendujhar,2516712656,Jambhara,hsc,6.28,2.57
387231.0,,kendujhar,8528677142,Samana,hsc,4.86,2.02
387276.0,,kendujhar,7255112422,Danar,hsc,5.32,2.19
387266.0,,kendujhar,6854755839,Salania,hsc,2.3,0.96
387277.0,,kendujhar,7255112422,Danar,hsc,0.0,0.0
387264.0,,kendujhar,7255112422,Danar,hsc,0.0,0.0
386355.0,,kendujhar,1817477852,Golabandha,hsc,34.57,42.76
386357.0,,kendujhar,1817477852,Golabandha,hsc,34.57,42.76
386384.0,,kendujhar,2374318778,Bhimkand,hsc,0.0,0.0
386425.0,,kendujhar,1784641746,Podanga,hsc,0.0,0.0
386410.0,,kendujhar,5368742580,Akul,hsc,0.06,0.04
386391.0,,kendujhar,5368742580,Akul,hsc,0.0,0.0
386420.0,,kendujhar,1784641746,Podanga,hsc,0.0,0.0
386358.0,,kendujhar,5171661654,Karadangi,hsc,0.0,0.0
386456.0,,kendujhar,7754871726,Raisuan,hsc,0.19,0.18
386429.0,,kendujhar,5478723546,Jharbeda,hsc,0.0,0.0
386452.0,,kendujhar,3811271125,Sinduria,hsc,0.0,0.0
386387.0,,kendujhar,2374318778,Bhimkand,hsc,0.04,0.03
386453.0,,kendujhar,3811271125,Sinduria,hsc,0.0,0.0
386412.0,,kendujhar,5368742580,Akul,hsc,0.0,0.0
386455.0,,kendujhar,5478723546,Jharbeda,hsc,0.0,0.0
386430.0,,kendujhar,5478723546,Jharbeda,hsc,0.0,0.0
386454.0,,kendujhar,3811271125,Sinduria,hsc,1.0,0.92
386408.0,,kendujhar,1784641746,Podanga,hsc,1.14,0.68
386421.0,,kendujhar,1784641746,Podanga,hsc,1.14,0.68
386393.0,,kendujhar,5368742580,Akul,hsc,0.06,0.04
386415.0,,kendujhar,5478723546,Jharbeda,hsc,98.09,94.24
386427.0,,kendujhar,5478723546,Jharbeda,hsc,0.0,0.0
386431.0,,kendujhar,5478723546,Jharbeda,hsc,0.0,0.0
386457.0,,kendujhar,7754871726,Raisuan,hsc,0.32,0.29
386385.0,,kendujhar,2374318778,Bhimkand,hsc,1.33,0.89
386359.0,,kendujhar,5171661654,Karadangi,hsc,0.0,0.0
386419.0,,kendujhar,1784641746,Podanga,hsc,0.0,0.0
386409.0,,kendujhar,1784641746,Podanga,hsc,0.0,0.0
386414.0,,kendujhar,2374318778,Bhimkand,hsc,0.06,0.04
386426.0,,kendujhar,5478723546,Jharbeda,hsc,0.0,0.0
386413.0,,kendujhar,5368742580,Akul,hsc,0.0,0.0
386433.0,,kendujhar,7754871726,Raisuan,hsc,0.0,0.0
386411.0,,kendujhar,5368742580,Akul,hsc,0.06,0.04
386389.0,,kendujhar,2374318778,Bhimkand,hsc,0.0,0.0
386386.0,,kendujhar,2374318778,Bhimkand,hsc,0.04,0.03
386392.0,,kendujhar,5368742580,Akul,hsc,0.0,0.0
386428.0,,kendujhar,5478723546,Jharbeda,hsc,98.09,94.24
386432.0,,kendujhar,3811271125,Sinduria,hsc,0.0,0.0
386422.0,,kendujhar,1784641746,Podanga,hsc,0.0,0.0
