lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
429725.0,,koraput,4486375233,Andarguda,hsc,21.86,15.29
429726.0,,koraput,4486375233,Andarguda,hsc,0.0,0.0
429397.0,,koraput,6481853437,Chipakura,hsc,4.49,2.4
429348.0,,koraput,2424688352,Tentuliguma,hsc,0.0,0.0
429411.0,,koraput,6481853437,Chipakura,hsc,35.15,14.64
429490.0,,koraput,6481853437,Chipakura,hsc,33.27,13.86
429491.0,,koraput,6481853437,Chipakura,hsc,32.32,13.46
429492.0,,koraput,6481853437,Chipakura,hsc,32.35,13.47
429493.0,,koraput,7138581843,Kathopoda,hsc,7.81,11.05
429494.0,,koraput,7138581843,Kathopoda,hsc,12.63,11.07
429495.0,,koraput,7138581843,Kathopoda,hsc,11.27,10.5
429496.0,,koraput,7138581843,Kathopoda,hsc,12.63,11.07
429418.0,,koraput,7138581843,Kathopoda,hsc,17.12,11.47
429417.0,,koraput,7138581843,Kathopoda,hsc,3.53,5.01
429416.0,,koraput,7138581843,Kathopoda,hsc,15.56,10.81
429415.0,,koraput,7138581843,Kathopoda,hsc,5.5,6.63
429414.0,,koraput,7138581843,Kathopoda,hsc,12.17,9.4
429413.0,,koraput,7138581843,Kathopoda,hsc,11.13,8.97
429412.0,,koraput,7138581843,Kathopoda,hsc,5.81,8.23
429410.0,,koraput,6481853437,Chipakura,hsc,7.05,3.04
429489.0,,koraput,6481853437,Chipakura,hsc,34.87,14.52
429487.0,,koraput,6481853437,Chipakura,hsc,35.15,14.64
429485.0,,koraput,6481853437,Chipakura,hsc,35.15,14.64
429484.0,,koraput,6481853437,Chipakura,hsc,34.87,14.52
429482.0,,koraput,7138581843,Kathopoda,hsc,12.63,11.07
429480.0,,koraput,7138581843,Kathopoda,hsc,12.63,11.07
429479.0,,koraput,7138581843,Kathopoda,hsc,8.75,12.4
429476.0,,koraput,7138581843,Kathopoda,hsc,8.75,12.4
429475.0,,koraput,7138581843,Kathopoda,hsc,8.2,11.61
429474.0,,koraput,7138581843,Kathopoda,hsc,7.63,10.8
429473.0,,koraput,7138581843,Kathopoda,hsc,6.83,9.66
429471.0,,koraput,7138581843,Kathopoda,hsc,7.39,10.47
429469.0,,koraput,7138581843,Kathopoda,hsc,8.83,9.48
429461.0,,koraput,7138581843,Kathopoda,hsc,10.96,10.37
429465.0,,koraput,7138581843,Kathopoda,hsc,5.31,7.52
429452.0,,koraput,7138581843,Kathopoda,hsc,4.26,6.04
429439.0,,koraput,7138581843,Kathopoda,hsc,6.47,6.35
429438.0,,koraput,7138581843,Kathopoda,hsc,6.47,6.35
429361.0,,koraput,7138581843,Kathopoda,hsc,0.0,0.0
429310.0,,koraput,5261662133,Doraguda A,hsc,6.17,4.74
429347.0,,koraput,7327771684,Dandabadi,hsc,0.0,0.0
429334.0,,koraput,5786855378,Kellar,hsc,7.49,3.33
429360.0,,koraput,7138581843,Kathopoda,hsc,0.03,0.04
429300.0,,koraput,7327771684,Dandabadi,hsc,0.95,0.63
429299.0,,koraput,7327771684,Dandabadi,hsc,0.07,0.05
429346.0,,koraput,2424688352,Tentuliguma,hsc,0.14,0.09
429398.0,,koraput,6481853437,Chipakura,hsc,0.13,0.09
429399.0,,koraput,6481853437,Chipakura,hsc,0.13,0.09
429400.0,,koraput,6481853437,Chipakura,hsc,0.0,0.0
429497.0,,koraput,7138581843,Kathopoda,hsc,13.75,11.53
429407.0,,koraput,7138581843,Kathopoda,hsc,13.92,11.6
429408.0,,koraput,7138581843,Kathopoda,hsc,13.92,11.6
429409.0,,koraput,6481853437,Chipakura,hsc,35.15,14.64
429401.0,,koraput,6481853437,Chipakura,hsc,35.15,14.64
429402.0,,koraput,6481853437,Chipakura,hsc,0.0,0.0
429404.0,,koraput,7138581843,Kathopoda,hsc,13.92,11.6
429405.0,,koraput,7138581843,Kathopoda,hsc,13.92,11.6
429406.0,,koraput,7138581843,Kathopoda,hsc,13.92,11.6
429390.0,,koraput,7138581843,Kathopoda,hsc,1.31,1.86
429391.0,,koraput,7138581843,Kathopoda,hsc,13.92,11.6
429392.0,,koraput,7138581843,Kathopoda,hsc,13.92,11.6
429393.0,,koraput,7138581843,Kathopoda,hsc,13.92,11.6
429394.0,,koraput,7138581843,Kathopoda,hsc,13.92,11.6
429403.0,,koraput,7138581843,Kathopoda,hsc,13.92,11.6
429396.0,,koraput,6481853437,Chipakura,hsc,0.0,0.0
429395.0,,koraput,6481853437,Chipakura,hsc,0.0,0.0
429353.0,,koraput,4578455679,Mathapada,hsc,8.45,4.32
429352.0,,koraput,6481853437,Chipakura,hsc,0.13,0.09
429354.0,,koraput,4578455679,Mathapada,hsc,8.45,4.32
429355.0,,koraput,4578455679,Mathapada,hsc,8.45,4.32
429349.0,,koraput,6481853437,Chipakura,hsc,0.13,0.09
429350.0,,koraput,6481853437,Chipakura,hsc,0.13,0.09
429344.0,,koraput,1838428413,Ramgiri,hsc,2.3,1.23
429301.0,,koraput,1838428413,Ramgiri,hsc,2.3,1.23
429302.0,,koraput,1838428413,Ramgiri,hsc,2.3,1.23
429345.0,,koraput,1838428413,Ramgiri,hsc,2.3,1.23
429304.0,,koraput,1838428413,Ramgiri,hsc,2.3,1.23
429303.0,,koraput,4578455679,Mathapada,hsc,8.45,4.32
429342.0,,koraput,4578455679,Mathapada,hsc,8.45,4.32
429343.0,,koraput,4578455679,Mathapada,hsc,8.45,4.32
429351.0,,koraput,4578455679,Mathapada,hsc,8.45,4.32
429356.0,,koraput,4578455679,Mathapada,hsc,8.45,4.32
429337.0,,koraput,4578455679,Mathapada,hsc,8.45,4.32
429338.0,,koraput,4578455679,Mathapada,hsc,8.45,4.32
429341.0,,koraput,4578455679,Mathapada,hsc,8.45,4.32
429340.0,,koraput,4578455679,Mathapada,hsc,8.45,4.32
429306.0,,koraput,4578455679,Mathapada,hsc,8.45,4.32
429307.0,,koraput,4578455679,Mathapada,hsc,8.45,4.32
429339.0,,koraput,4578455679,Mathapada,hsc,8.28,5.05
429305.0,,koraput,4578455679,Mathapada,hsc,8.45,4.32
429286.0,,koraput,4578455679,Mathapada,hsc,8.28,5.05
429283.0,,koraput,4578455679,Mathapada,hsc,8.25,5.03
429308.0,,koraput,4578455679,Mathapada,hsc,8.25,5.03
429432.0,,koraput,4578455679,Mathapada,hsc,8.28,5.05
429335.0,,koraput,4578455679,Mathapada,hsc,8.28,5.05
429336.0,,koraput,4578455679,Mathapada,hsc,8.28,5.05
429357.0,,koraput,4578455679,Mathapada,hsc,8.28,5.05
429358.0,,koraput,7138581843,Kathopoda,hsc,0.0,0.0
429429.0,,koraput,4578455679,Mathapada,hsc,8.25,5.03
429359.0,,koraput,8554353782,Kakalpada,hsc,8.17,5.96
429434.0,,koraput,5261662133,Doraguda A,hsc,10.29,7.4
429309.0,,koraput,5261662133,Doraguda A,hsc,7.24,4.82
429435.0,,koraput,5261662133,Doraguda A,hsc,7.24,4.82
429436.0,,koraput,5261662133,Doraguda A,hsc,10.24,7.37
429443.0,,koraput,5261662133,Doraguda A,hsc,10.3,7.41
429444.0,,koraput,8554353782,Kakalpada,hsc,9.73,6.99
429448.0,,koraput,8554353782,Kakalpada,hsc,8.31,6.05
429457.0,,koraput,8554353782,Kakalpada,hsc,5.74,4.33
429460.0,,koraput,8554353782,Kakalpada,hsc,1.79,2.54
429467.0,,koraput,7138581843,Kathopoda,hsc,1.74,2.46
429419.0,,koraput,7138581843,Kathopoda,hsc,6.47,6.35
429464.0,,koraput,7138581843,Kathopoda,hsc,0.03,0.04
429463.0,,koraput,7138581843,Kathopoda,hsc,0.5,0.71
429477.0,,koraput,7138581843,Kathopoda,hsc,0.43,0.6
429478.0,,koraput,7138581843,Kathopoda,hsc,1.23,1.74
429388.0,,koraput,7138581843,Kathopoda,hsc,1.32,1.87
429433.0,,koraput,4578455679,Mathapada,hsc,8.28,5.05
429458.0,,koraput,8554353782,Kakalpada,hsc,4.78,3.69
429486.0,,koraput,6481853437,Chipakura,hsc,35.15,14.64
429481.0,,koraput,7138581843,Kathopoda,hsc,13.84,11.57
429451.0,,koraput,7138581843,Kathopoda,hsc,3.23,4.58
429449.0,,koraput,7138581843,Kathopoda,hsc,2.89,4.09
429447.0,,koraput,7138581843,Kathopoda,hsc,2.64,3.74
429431.0,,koraput,7138581843,Kathopoda,hsc,2.62,3.72
429440.0,,koraput,7138581843,Kathopoda,hsc,6.42,6.32
429437.0,,koraput,7138581843,Kathopoda,hsc,2.62,3.72
429430.0,,koraput,7138581843,Kathopoda,hsc,1.64,2.32
429426.0,,koraput,7138581843,Kathopoda,hsc,1.95,2.77
429389.0,,koraput,7138581843,Kathopoda,hsc,1.95,2.77
429387.0,,koraput,7138581843,Kathopoda,hsc,1.94,2.75
429386.0,,koraput,7138581843,Kathopoda,hsc,1.93,2.73
429385.0,,koraput,7138581843,Kathopoda,hsc,1.05,1.49
429427.0,,koraput,7138581843,Kathopoda,hsc,2.41,3.41
429384.0,,koraput,7138581843,Kathopoda,hsc,1.0,1.42
429383.0,,koraput,7138581843,Kathopoda,hsc,0.98,1.38
429368.0,,koraput,6481853437,Chipakura,hsc,0.13,0.09
429365.0,,koraput,6481853437,Chipakura,hsc,0.13,0.09
429364.0,,koraput,4578455679,Mathapada,hsc,8.45,4.32
429363.0,,koraput,6481853437,Chipakura,hsc,0.13,0.09
429362.0,,koraput,6481853437,Chipakura,hsc,0.13,0.09
429724.0,,koraput,8536634580,Hataguda,hsc,18.15,11.28
429721.0,,koraput,8536634580,Hataguda,hsc,18.15,11.28
429720.0,,koraput,8536634580,Hataguda,hsc,0.0,0.0
429675.0,,koraput,3633727445,Jalaput,hsc,4.16,2.73
429678.0,,koraput,3633727445,Jalaput,hsc,5.92,3.94
429567.0,,koraput,3574122119,Badigada,hsc,8.63,3.62
429566.0,,koraput,6116615425,Onkadelli,hsc,4.96,4.05
429565.0,,koraput,6116615425,Onkadelli,hsc,3.7,2.33
429564.0,,koraput,6116615425,Onkadelli,hsc,0.0,0.0
429563.0,,koraput,6116615425,Onkadelli,hsc,4.16,3.73
429646.0,,koraput,5872738413,Darliput,hsc,8.55,3.79
429676.0,,koraput,3633727445,Jalaput,hsc,5.31,3.54
429648.0,,koraput,5872738413,Darliput,hsc,10.6,4.65
429647.0,,koraput,5872738413,Darliput,hsc,10.47,4.59
429644.0,,koraput,5872738413,Darliput,hsc,0.87,0.8
429606.0,,koraput,3774263820,Ballel,hsc,5.3,2.22
429605.0,,koraput,3774263820,Ballel,hsc,5.51,3.67
429601.0,,koraput,5872738413,Darliput,hsc,4.85,3.54
429642.0,,koraput,4485157863,Attanda,hsc,8.18,6.22
429603.0,,koraput,5872738413,Darliput,hsc,2.55,1.44
429604.0,,koraput,5872738413,Darliput,hsc,2.59,1.73
429621.0,,koraput,4485157863,Attanda,hsc,6.22,4.43
429643.0,,koraput,5872738413,Darliput,hsc,4.16,3.44
429645.0,,koraput,5872738413,Darliput,hsc,0.0,0.0
429641.0,,koraput,4485157863,Attanda,hsc,9.41,7.0
429602.0,,koraput,5872738413,Darliput,hsc,4.41,3.64
429677.0,,koraput,5872738413,Darliput,hsc,10.6,4.65
429599.0,,koraput,6728433365,Godihanjhar,hsc,4.69,3.13
429600.0,,koraput,5872738413,Darliput,hsc,6.8,4.84
429679.0,,koraput,5872738413,Darliput,hsc,10.6,4.65
429710.0,,koraput,3254826781,Chatwa,hsc,0.0,0.0
429712.0,,koraput,6177842587,Kularsingh,hsc,0.61,0.4
429716.0,,koraput,4684314752,Kanta,hsc,0.0,0.0
429715.0,,koraput,4684314752,Kanta,hsc,1.09,0.73
429714.0,,koraput,4684314752,Kanta,hsc,0.82,0.54
429718.0,,koraput,3633727445,Jalaput,hsc,9.03,5.92
429727.0,,koraput,8536634580,Hataguda,hsc,1.81,1.21
429728.0,,koraput,8536634580,Hataguda,hsc,0.0,0.0
429722.0,,koraput,8536634580,Hataguda,hsc,0.66,0.44
429730.0,,koraput,4684314752,Kanta,hsc,1.58,1.05
429729.0,,koraput,8536634580,Hataguda,hsc,2.56,1.71
429713.0,,koraput,4684314752,Kanta,hsc,42.65,29.83
429711.0,,koraput,6177842587,Kularsingh,hsc,0.0,0.0
429719.0,,koraput,8536634580,Hataguda,hsc,0.0,0.0
429723.0,,koraput,8536634580,Hataguda,hsc,1.14,0.76
429706.0,,koraput,3633727445,Jalaput,hsc,3.02,1.94
429717.0,,koraput,3633727445,Jalaput,hsc,9.03,5.92
429708.0,,koraput,6177842587,Kularsingh,hsc,0.0,0.0
429707.0,,koraput,3633727445,Jalaput,hsc,9.03,5.92
429705.0,,koraput,3633727445,Jalaput,hsc,3.02,1.94
429704.0,,koraput,3633727445,Jalaput,hsc,3.02,1.94
429680.0,,koraput,3633727445,Jalaput,hsc,0.0,0.0
429703.0,,koraput,7144586646,Padwa,hsc,1.41,0.94
429709.0,,koraput,7144586646,Padwa,hsc,2.64,1.76
429700.0,,koraput,7144586646,Padwa,hsc,0.0,0.0
429701.0,,koraput,7144586646,Padwa,hsc,0.0,0.0
429688.0,,koraput,7144586646,Padwa,hsc,0.0,0.0
429687.0,,koraput,7144586646,Padwa,hsc,1.18,0.79
429699.0,,koraput,7144586646,Padwa,hsc,0.0,0.0
429702.0,,koraput,7144586646,Padwa,hsc,0.0,0.0
429698.0,,koraput,3254826781,Chatwa,hsc,0.93,1.01
429696.0,,koraput,7663727282,Zera,hsc,2.85,1.9
429695.0,,koraput,7663727282,Zera,hsc,0.0,0.0
429697.0,,koraput,3254826781,Chatwa,hsc,0.0,0.0
429922.0,,koraput,6782676818,Thuba,hsc,4.61,2.99
429923.0,,koraput,6782676818,Thuba,hsc,7.94,5.5
429628.0,,koraput,6747826565,Bheja,hsc,5.47,4.55
429672.0,,koraput,4485157863,Attanda,hsc,4.66,3.03
429674.0,,koraput,3633727445,Jalaput,hsc,0.05,0.03
429689.0,,koraput,7177287575,Banamaliput,hsc,0.0,0.0
429691.0,,koraput,7144586646,Padwa,hsc,0.0,0.0
429686.0,,koraput,7144586646,Padwa,hsc,1.18,0.79
429690.0,,koraput,7177287575,Banamaliput,hsc,0.0,0.0
429684.0,,koraput,7144586646,Padwa,hsc,1.22,0.81
429685.0,,koraput,7177287575,Banamaliput,hsc,0.0,0.0
429649.0,,koraput,5872738413,Darliput,hsc,7.65,3.42
429673.0,,koraput,4485157863,Attanda,hsc,0.0,0.0
429671.0,,koraput,7177287575,Banamaliput,hsc,0.0,0.0
429653.0,,koraput,7177287575,Banamaliput,hsc,0.0,0.0
429916.0,,koraput,8317642380,Hikimput,hsc,4.98,4.69
429625.0,,koraput,5581131629,Khamara,hsc,8.92,7.2
