lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
431169.0,,malkangiri,4788713255,Gorakhpali,hsc,7.9,4.64
431168.0,,malkangiri,4788713255,Gorakhpali,hsc,3.02,2.01
431167.0,,malkangiri,4788713255,Gorakhpali,hsc,0.0,0.0
431171.0,,malkangiri,6321688472,Bapanpali,hsc,31.31,21.06
431170.0,,malkangiri,4788713255,Gorakhpali,hsc,8.57,7.07
431140.0,,malkangiri,6321688472,Bapanpali,hsc,9.03,4.4
431141.0,,malkangiri,6321688472,Bapanpali,hsc,4.83,2.01
431166.0,,malkangiri,4788713255,Gorakhpali,hsc,4.34,2.5
431165.0,,malkangiri,6321688472,Bapanpali,hsc,0.0,0.0
431136.0,,malkangiri,7418224866,MV 29,hsc,16.9,7.9
431135.0,,malkangiri,7418224866,MV 29,hsc,13.28,6.35
431175.0,,malkangiri,2521766515,Ginipali,hsc,16.55,8.66
431125.0,,malkangiri,7418224866,MV 29,hsc,24.04,18.83
431176.0,,malkangiri,4764356640,Nalagunthy,hsc,11.4,6.15
431188.0,,malkangiri,3258131212,Anantapally,hsc,9.4,3.88
431126.0,,malkangiri,7418224866,MV 29,hsc,0.0,0.0
431162.0,,malkangiri,2521766515,Ginipali,hsc,0.0,0.0
431177.0,,malkangiri,4764356640,Nalagunthy,hsc,0.0,0.0
431159.0,,malkangiri,3258131212,Anantapally,hsc,8.09,4.33
431146.0,,malkangiri,7418224866,MV 29,hsc,5.81,3.58
431147.0,,malkangiri,4764356640,Nalagunthy,hsc,8.24,4.65
431157.0,,malkangiri,8156683446,MV 82,hsc,5.86,5.0
431160.0,,malkangiri,2228438731,Gomphakonda,hsc,18.31,7.56
431164.0,,malkangiri,4764356640,Nalagunthy,hsc,6.86,3.12
431144.0,,malkangiri,2521766515,Ginipali,hsc,2.27,3.03
431161.0,,malkangiri,3258131212,Anantapally,hsc,0.0,0.0
431178.0,,malkangiri,3258131212,Anantapally,hsc,6.11,3.33
431155.0,,malkangiri,8364271778,MV 72,hsc,0.0,0.0
431189.0,,malkangiri,3258131212,Anantapally,hsc,8.72,3.59
431187.0,,malkangiri,3258131212,Anantapally,hsc,14.92,6.7
431186.0,,malkangiri,8364271778,MV 72,hsc,11.41,8.6
431184.0,,malkangiri,8364271778,MV 72,hsc,6.51,5.34
431183.0,,malkangiri,8364271778,MV 72,hsc,4.68,4.12
431185.0,,malkangiri,3258131212,Anantapally,hsc,10.84,5.26
431190.0,,malkangiri,3258131212,Anantapally,hsc,21.47,9.43
431180.0,,malkangiri,3258131212,Anantapally,hsc,11.41,5.18
431191.0,,malkangiri,3258131212,Anantapally,hsc,21.18,9.31
431119.0,,malkangiri,8234236837,Motu,hsc,3.88,2.58
431124.0,,malkangiri,6777817328,Kunanpali,hsc,0.0,0.0
431121.0,,malkangiri,5858327850,MV 95,hsc,0.0,0.0
431148.0,,malkangiri,8156683446,MV 82,hsc,0.0,0.0
431127.0,,malkangiri,7431828545,Pusuguda,hsc,0.0,0.0
431122.0,,malkangiri,5278836332,Metaguda,hsc,0.0,0.0
431118.0,,malkangiri,8234236837,Motu,hsc,0.0,0.0
431120.0,,malkangiri,5858327850,MV 95,hsc,4.55,3.75
431104.0,,malkangiri,4766758538,Materu,hsc,0.0,0.0
431123.0,,malkangiri,6777817328,Kunanpali,hsc,1.7,1.14
431154.0,,malkangiri,8364271778,MV 72,hsc,2.77,2.54
431149.0,,malkangiri,7257876248,MV 112,hsc,0.0,0.0
431129.0,,malkangiri,2377448135,Manyamkonda,hsc,6.29,3.29
431150.0,,malkangiri,2228438731,Gomphakonda,hsc,0.0,0.0
431151.0,,malkangiri,2377448135,Manyamkonda,hsc,6.46,4.52
431128.0,,malkangiri,7454766457,MV 66,hsc,0.0,0.0
431132.0,,malkangiri,2377448135,Manyamkonda,hsc,5.59,2.68
431131.0,,malkangiri,2377448135,Manyamkonda,hsc,6.67,3.65
431133.0,,malkangiri,2377448135,Manyamkonda,hsc,6.31,2.94
431130.0,,malkangiri,2377448135,Manyamkonda,hsc,7.78,4.66
431108.0,,malkangiri,8153448637,Marigetta,hsc,28.59,20.37
431114.0,,malkangiri,2377448135,Manyamkonda,hsc,0.0,0.0
431116.0,,malkangiri,8234236837,Motu,hsc,13.82,8.47
431105.0,,malkangiri,3438342549,Gumuka,hsc,0.0,0.0
431134.0,,malkangiri,7454766457,MV 66,hsc,8.02,6.0
431037.0,,malkangiri,5338751885,Tandabai,hsc,6.42,4.0
431040.0,,malkangiri,6284483259,Kalimela,hsc,10.65,4.86
431052.0,,malkangiri,1216554178,Alurkotta,hsc,13.6,5.67
431051.0,,malkangiri,2586134880,MV 70,hsc,112.7,25.86
431042.0,,malkangiri,4868253271,Padgampally,hsc,120.5,36.48
431029.0,,malkangiri,1216554178,Alurkotta,hsc,4.61,1.92
431153.0,,malkangiri,4868253271,Padgampally,hsc,0.0,0.0
431048.0,,malkangiri,1728878313,Kotmetta,hsc,53.06,19.77
431053.0,,malkangiri,1216554178,Alurkotta,hsc,8.87,3.7
431041.0,,malkangiri,4868253271,Padgampally,hsc,120.5,36.48
431049.0,,malkangiri,1216554178,Alurkotta,hsc,278.37,139.48
431046.0,,malkangiri,2586134880,MV 70,hsc,91.47,23.03
431054.0,,malkangiri,1216554178,Alurkotta,hsc,0.0,0.0
431044.0,,malkangiri,4868253271,Padgampally,hsc,128.59,37.56
431045.0,,malkangiri,4868253271,Padgampally,hsc,128.4,37.54
431112.0,,malkangiri,1728878313,Kotmetta,hsc,2.14,0.84
431030.0,,malkangiri,1216554178,Alurkotta,hsc,4.61,1.92
431034.0,,malkangiri,2586134880,MV 70,hsc,0.0,0.0
431038.0,,malkangiri,2586134880,MV 70,hsc,7.96,3.32
431111.0,,malkangiri,6284483259,Kalimela,hsc,0.0,0.0
431031.0,,malkangiri,2586134880,MV 70,hsc,112.7,25.86
431036.0,,malkangiri,2586134880,MV 70,hsc,2.11,0.88
431110.0,,malkangiri,5777752386,Jakalgunthy,hsc,0.0,0.0
431055.0,,malkangiri,2586134880,MV 70,hsc,68.88,20.02
431043.0,,malkangiri,4868253271,Padgampally,hsc,93.24,32.85
431113.0,,malkangiri,1728878313,Kotmetta,hsc,0.0,0.0
431027.0,,malkangiri,1216554178,Alurkotta,hsc,11.06,4.61
431152.0,,malkangiri,4868253271,Padgampally,hsc,1.9,0.79
431047.0,,malkangiri,2586134880,MV 70,hsc,68.88,20.02
431050.0,,malkangiri,2586134880,MV 70,hsc,102.77,24.54
431095.0,,malkangiri,8731283340,MV 64,hsc,3.94,3.6
431089.0,,malkangiri,6433815849,Podia,hsc,6.14,4.88
431092.0,,malkangiri,8423761470,Singhaniguda,hsc,0.0,0.0
431103.0,,malkangiri,5858327850,MV 95,hsc,4.69,4.22
431093.0,,malkangiri,8423761470,Singhaniguda,hsc,5.69,2.49
431097.0,,malkangiri,8716785277,Kunchanpali,hsc,14.79,8.06
431091.0,,malkangiri,1755352166,Kaldapali,hsc,0.0,0.0
431098.0,,malkangiri,8716785277,Kunchanpali,hsc,1.61,1.75
430958.0,,malkangiri,8423761470,Singhaniguda,hsc,6.99,3.03
430960.0,,malkangiri,8731283340,MV 64,hsc,3.16,2.88
430957.0,,malkangiri,8423761470,Singhaniguda,hsc,5.02,2.21
430984.0,,malkangiri,5151186268,Girkanpally,hsc,4.99,4.58
430982.0,,malkangiri,5311481518,MV 73,hsc,10.02,4.13
431106.0,,malkangiri,8731283340,MV 64,hsc,0.0,0.0
431100.0,,malkangiri,8716785277,Kunchanpali,hsc,1.81,1.96
430986.0,,malkangiri,5151186268,Girkanpally,hsc,4.21,2.9
430985.0,,malkangiri,5151186268,Girkanpally,hsc,0.0,0.0
431109.0,,malkangiri,1343155311,Pollur,hsc,9.75,4.5
431107.0,,malkangiri,8153448637,Marigetta,hsc,0.0,0.0
430983.0,,malkangiri,1673647473,Maharajpally,hsc,6.81,2.83
431099.0,,malkangiri,8716785277,Kunchanpali,hsc,0.0,0.0
430962.0,,malkangiri,8153448637,Marigetta,hsc,6.77,4.0
430965.0,,malkangiri,5311481518,MV 73,hsc,0.0,0.0
431069.0,,malkangiri,7831345447,Niliguda,hsc,8.14,4.77
431081.0,,malkangiri,1111458327,Matapaka,hsc,14.93,9.86
431085.0,,malkangiri,1282535150,Dharampali,hsc,0.0,0.0
431090.0,,malkangiri,6433815849,Podia,hsc,10.62,6.2
431068.0,,malkangiri,5168781481,Lachipeta,hsc,17.73,7.8
431087.0,,malkangiri,1282535150,Dharampali,hsc,1.68,0.7
431101.0,,malkangiri,1673647473,Maharajpally,hsc,0.0,0.0
431088.0,,malkangiri,6433815849,Podia,hsc,6.89,2.86
431067.0,,malkangiri,5168781481,Lachipeta,hsc,0.0,0.0
431084.0,,malkangiri,7831345447,Niliguda,hsc,9.09,5.0
431072.0,,malkangiri,7831345447,Niliguda,hsc,0.0,0.0
431074.0,,malkangiri,7831345447,Niliguda,hsc,9.84,5.51
431071.0,,malkangiri,5168781481,Lachipeta,hsc,9.41,4.33
431070.0,,malkangiri,5168781481,Lachipeta,hsc,7.82,3.27
431102.0,,malkangiri,6433815849,Podia,hsc,0.0,0.0
431096.0,,malkangiri,1673647473,Maharajpally,hsc,0.0,0.0
431075.0,,malkangiri,7831345447,Niliguda,hsc,9.09,5.0
431077.0,,malkangiri,7831345447,Niliguda,hsc,9.09,5.0
431086.0,,malkangiri,7831345447,Niliguda,hsc,9.09,5.0
430966.0,,malkangiri,1111445662,MV 109,hsc,22.76,9.4
431076.0,,malkangiri,7831345447,Niliguda,hsc,10.93,6.44
430996.0,,malkangiri,1111458533,Pulimetla,hsc,4.84,5.33
430979.0,,malkangiri,1875178442,MV 55,hsc,0.0,0.0
430978.0,,malkangiri,1875178442,MV 55,hsc,3.64,1.52
430990.0,,malkangiri,2638323788,Koimetla,hsc,0.0,0.0
430999.0,,malkangiri,4524778174,Kosalkonda,hsc,16.5,10.39
430991.0,,malkangiri,2638323788,Koimetla,hsc,8.71,4.33
430977.0,,malkangiri,1875178442,MV 55,hsc,9.54,3.9
430992.0,,malkangiri,5338751885,Tandabai,hsc,6.02,4.35
430998.0,,malkangiri,4524778174,Kosalkonda,hsc,5.2,3.47
430987.0,,malkangiri,1343155311,Pollur,hsc,0.0,0.0
430980.0,,malkangiri,5311481518,MV 73,hsc,1.71,0.71
430997.0,,malkangiri,4524778174,Kosalkonda,hsc,11.43,8.29
430981.0,,malkangiri,5311481518,MV 73,hsc,1.89,0.74
430988.0,,malkangiri,5777752386,Jakalgunthy,hsc,6.98,2.88
430989.0,,malkangiri,5338751885,Tandabai,hsc,0.0,0.0
430975.0,,malkangiri,1111458533,Pulimetla,hsc,5.59,4.51
430995.0,,malkangiri,2638323788,Koimetla,hsc,16.22,9.24
430993.0,,malkangiri,5338751885,Tandabai,hsc,6.68,5.42
430994.0,,malkangiri,2638323788,Koimetla,hsc,14.2,7.91
431002.0,,malkangiri,4524778174,Kosalkonda,hsc,24.72,13.81
431004.0,,malkangiri,8652667836,Bhejangiwada,hsc,1.54,1.03
431000.0,,malkangiri,4524778174,Kosalkonda,hsc,0.0,0.0
431035.0,,malkangiri,2586134880,MV 70,hsc,0.86,0.36
431032.0,,malkangiri,2586134880,MV 70,hsc,112.7,25.86
431014.0,,malkangiri,8652667836,Bhejangiwada,hsc,46.71,29.68
431016.0,,malkangiri,8652667836,Bhejangiwada,hsc,0.0,0.0
431005.0,,malkangiri,8652667836,Bhejangiwada,hsc,3.22,2.15
430974.0,,malkangiri,5568577380,Mudakhal,hsc,0.0,0.0
431006.0,,malkangiri,8652667836,Bhejangiwada,hsc,1.04,0.7
431028.0,,malkangiri,5672478368,Populur,hsc,21.62,8.96
431003.0,,malkangiri,4524778174,Kosalkonda,hsc,4.5,3.0
431001.0,,malkangiri,4524778174,Kosalkonda,hsc,23.01,13.1
431017.0,,malkangiri,1111461446,Kamawada,hsc,40.74,16.89
431015.0,,malkangiri,8652667836,Bhejangiwada,hsc,46.12,29.44
431009.0,,malkangiri,5672478368,Populur,hsc,21.62,8.96
431010.0,,malkangiri,5672478368,Populur,hsc,21.62,8.96
431033.0,,malkangiri,2586134880,MV 70,hsc,0.86,0.36
430971.0,,malkangiri,1111457816,Badili,hsc,0.0,0.0
430976.0,,malkangiri,1111445662,MV 109,hsc,9.76,4.07
430969.0,,malkangiri,1111445662,MV 109,hsc,0.0,0.0
430286.0,,malkangiri,1111444160,Orkel,hsc,8.54,3.62
430283.0,,malkangiri,1111458327,Matapaka,hsc,9.12,6.06
430972.0,,malkangiri,1111458533,Pulimetla,hsc,0.0,0.0
430967.0,,malkangiri,1111445662,MV 109,hsc,22.76,9.4
430287.0,,malkangiri,1111457758,Sikhapally,hsc,0.0,0.0
430970.0,,malkangiri,1111445662,MV 109,hsc,0.12,0.05
431083.0,,malkangiri,1111458327,Matapaka,hsc,11.48,7.55
430331.0,,malkangiri,1111444160,Orkel,hsc,11.65,5.7
430324.0,,malkangiri,1111458350,MV 21,hsc,62.55,34.29
430323.0,,malkangiri,5568577380,Mudakhal,hsc,9.59,3.97
430325.0,,malkangiri,1111458657,Mariwada,hsc,0.0,0.0
430322.0,,malkangiri,1111458350,MV 21,hsc,40.29,21.3
430973.0,,malkangiri,1111458350,MV 21,hsc,36.77,19.86
430327.0,,malkangiri,1111458624,Pitakonda,hsc,2.38,0.99
430321.0,,malkangiri,1111458350,MV 21,hsc,38.7,20.68
430326.0,,malkangiri,1111458624,Pitakonda,hsc,0.0,0.0
430320.0,,malkangiri,1111457758,Sikhapally,hsc,11.37,5.19
430316.0,,malkangiri,1111458350,MV 21,hsc,0.0,0.0
430297.0,,malkangiri,1111457428,MV 47,hsc,35.45,23.14
430288.0,,malkangiri,1111458418,MV 15,hsc,8.54,6.67
