lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
391331.0,,mayurbhanj,7337681584,DWARSUNI,hsc,13.86,11.42
391332.0,,mayurbhanj,7337681584,DWARSUNI,hsc,17.66,12.95
391333.0,,mayurbhanj,7646647359,NADA,hsc,0.94,0.39
391336.0,,mayurbhanj,7646647359,NADA,hsc,0.0,0.0
391334.0,,mayurbhanj,4211517232,SALCHUA,hsc,0.1,0.04
391335.0,,mayurbhanj,7646647359,NADA,hsc,15.89,6.62
391337.0,,mayurbhanj,4211517232,SALCHUA,hsc,9.02,3.76
391314.0,,mayurbhanj,7486441269,BHALIDAL,hsc,1.52,1.65
391322.0,,mayurbhanj,8586133830,SATKOSIA,hsc,0.55,0.6
391323.0,,mayurbhanj,8586133830,SATKOSIA,hsc,0.0,0.0
391330.0,,mayurbhanj,7337681584,DWARSUNI,hsc,19.74,13.86
391325.0,,mayurbhanj,7337681584,DWARSUNI,hsc,0.0,0.0
391321.0,,mayurbhanj,8586133830,SATKOSIA,hsc,1.9,2.06
391315.0,,mayurbhanj,8586133830,SATKOSIA,hsc,2.4,2.6
391313.0,,mayurbhanj,7486441269,BHALIDAL,hsc,0.06,0.06
391316.0,,mayurbhanj,7486441269,BHALIDAL,hsc,0.0,0.0
391311.0,,mayurbhanj,7486441269,BHALIDAL,hsc,1.15,1.24
391329.0,,mayurbhanj,4211517232,SALCHUA,hsc,0.0,0.0
391324.0,,mayurbhanj,7337681584,DWARSUNI,hsc,2.68,2.9
389052.0,,mayurbhanj,4162278784,BHARANDIA,hsc,0.38,0.41
389054.0,,mayurbhanj,4162278784,BHARANDIA,hsc,0.38,0.41
389055.0,,mayurbhanj,4162278784,BHARANDIA,hsc,0.38,0.41
389057.0,,mayurbhanj,4162278784,BHARANDIA,hsc,0.0,0.0
389058.0,,mayurbhanj,4251331551,Thakurmunda,hsc,2.29,2.22
389059.0,,mayurbhanj,3667717742,HANDIFUTA,hsc,1.79,1.39
389060.0,,mayurbhanj,4251331551,Thakurmunda,hsc,2.32,2.25
389061.0,,mayurbhanj,4251331551,Thakurmunda,hsc,2.29,2.22
389072.0,,mayurbhanj,3667717742,HANDIFUTA,hsc,1.38,0.87
389071.0,,mayurbhanj,3667717742,HANDIFUTA,hsc,1.4,0.96
389062.0,,mayurbhanj,4251331551,Thakurmunda,hsc,2.29,2.22
389064.0,,mayurbhanj,4251331551,Thakurmunda,hsc,1.44,1.3
389047.0,,mayurbhanj,4162278784,BHARANDIA,hsc,0.04,0.04
389048.0,,mayurbhanj,4162278784,BHARANDIA,hsc,0.38,0.41
389046.0,,mayurbhanj,4162278784,BHARANDIA,hsc,0.1,0.11
389045.0,,mayurbhanj,4251331551,Thakurmunda,hsc,1.13,0.96
389044.0,,mayurbhanj,4251331551,Thakurmunda,hsc,0.0,0.0
389043.0,,mayurbhanj,4251331551,Thakurmunda,hsc,0.92,0.61
389065.0,,mayurbhanj,4251331551,Thakurmunda,hsc,2.07,1.98
391312.0,,mayurbhanj,3327387571,MAHULDIHA,hsc,0.0,0.0
391302.0,,mayurbhanj,7464573364,TARAMARA,hsc,8.62,6.68
389068.0,,mayurbhanj,3817833423,DIGDHAR,hsc,2.17,1.45
389067.0,,mayurbhanj,3817833423,DIGDHAR,hsc,0.89,0.59
389066.0,,mayurbhanj,3817833423,DIGDHAR,hsc,1.42,0.94
389042.0,,mayurbhanj,3817833423,DIGDHAR,hsc,0.0,0.0
389069.0,,mayurbhanj,3817833423,DIGDHAR,hsc,1.51,1.01
389074.0,,mayurbhanj,3667717742,HANDIFUTA,hsc,0.19,0.13
389070.0,,mayurbhanj,3667717742,HANDIFUTA,hsc,0.0,0.0
389075.0,,mayurbhanj,3817833423,DIGDHAR,hsc,4.28,2.86
389073.0,,mayurbhanj,7464573364,TARAMARA,hsc,0.0,0.0
391303.0,,mayurbhanj,6263551225,JARAK,hsc,0.56,0.6
389063.0,,mayurbhanj,4251331551,Thakurmunda,hsc,2.29,2.22
391293.0,,mayurbhanj,3583244342,Sarat,hsc,3.4,2.26
391294.0,,mayurbhanj,8276822676,PATRAPADA,hsc,0.0,0.0
391295.0,,mayurbhanj,5826474669,Nutto,hsc,0.59,0.4
391292.0,,mayurbhanj,5826474669,Nutto,hsc,1.52,1.02
391291.0,,mayurbhanj,6731247844,KESHIDIHA,hsc,3.27,2.19
391296.0,,mayurbhanj,6731247844,KESHIDIHA,hsc,3.72,2.48
391285.0,,mayurbhanj,6731247844,KESHIDIHA,hsc,0.98,0.65
391284.0,,mayurbhanj,6731247844,KESHIDIHA,hsc,1.99,1.33
391297.0,,mayurbhanj,3283475287,CHAMPAJHAR,hsc,1.61,1.08
391298.0,,mayurbhanj,4876542665,NUAPADA,hsc,0.87,0.58
391290.0,,mayurbhanj,3283475287,CHAMPAJHAR,hsc,1.76,1.17
391286.0,,mayurbhanj,3283475287,CHAMPAJHAR,hsc,0.0,0.0
391283.0,,mayurbhanj,6731247844,KESHIDIHA,hsc,0.0,0.0
391282.0,,mayurbhanj,4876542665,NUAPADA,hsc,4.48,2.99
391299.0,,mayurbhanj,4876542665,NUAPADA,hsc,0.84,0.56
391306.0,,mayurbhanj,4876542665,NUAPADA,hsc,0.1,0.07
391307.0,,mayurbhanj,4876542665,NUAPADA,hsc,0.87,0.58
391308.0,,mayurbhanj,4876542665,NUAPADA,hsc,0.87,0.58
391309.0,,mayurbhanj,4876542665,NUAPADA,hsc,0.1,0.07
391310.0,,mayurbhanj,3327387571,MAHULDIHA,hsc,0.38,0.41
391305.0,,mayurbhanj,4876542665,NUAPADA,hsc,0.03,0.02
391300.0,,mayurbhanj,4876542665,NUAPADA,hsc,0.19,0.13
391289.0,,mayurbhanj,4876542665,NUAPADA,hsc,0.0,0.0
391287.0,,mayurbhanj,4876542665,NUAPADA,hsc,1.82,1.22
391288.0,,mayurbhanj,4876542665,NUAPADA,hsc,3.15,2.1
391301.0,,mayurbhanj,4876542665,NUAPADA,hsc,2.07,1.38
391304.0,,mayurbhanj,6263551225,JARAK,hsc,0.0,0.0
391317.0,,mayurbhanj,7486441269,BHALIDAL,hsc,0.0,0.0
