lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
427896.0,,nabarangpur,8865841533,Baragam,hsc,0.0,0.0
427909.0,,nabarangpur,3437372679,Binjili,hsc,0.0,0.0
427826.0,,nabarangpur,8667137858,Asanga,hsc,79.37,75.95
427911.0,,nabarangpur,3858154382,Kerala,hsc,3.94,1.57
427906.0,,nabarangpur,7448246160,Bada Amada,hsc,0.91,0.61
427910.0,,nabarangpur,6623237887,Neigaon,hsc,0.0,0.0
427827.0,,nabarangpur,8667137858,Asanga,hsc,79.37,75.95
427917.0,,nabarangpur,3858154382,Kerala,hsc,7.76,3.1
427894.0,,nabarangpur,8865841533,Baragam,hsc,1.2,0.8
427900.0,,nabarangpur,3437372679,Binjili,hsc,14.48,10.23
427893.0,,nabarangpur,5224112721,Aenli,hsc,6.48,4.28
427908.0,,nabarangpur,7448246160,Bada Amada,hsc,0.91,0.61
427914.0,,nabarangpur,4384645414,M Keragam,hsc,0.0,0.0
427823.0,,nabarangpur,3858154382,Kerala,hsc,1.6,0.64
427885.0,,nabarangpur,8461381777,Bamini,hsc,0.0,0.0
427901.0,,nabarangpur,3437372679,Binjili,hsc,14.35,10.05
427886.0,,nabarangpur,7448246160,Bada Amada,hsc,1.58,1.05
427898.0,,nabarangpur,8865841533,Baragam,hsc,45.77,30.42
427902.0,,nabarangpur,3437372679,Binjili,hsc,1.67,0.64
427904.0,,nabarangpur,3437372679,Binjili,hsc,1.67,0.64
427897.0,,nabarangpur,8865841533,Baragam,hsc,0.0,0.0
427895.0,,nabarangpur,8865841533,Baragam,hsc,0.03,0.02
427915.0,,nabarangpur,4384645414,M Keragam,hsc,1.75,0.7
427888.0,,nabarangpur,7448246160,Bada Amada,hsc,0.0,0.0
427916.0,,nabarangpur,3858154382,Kerala,hsc,0.0,0.0
427907.0,,nabarangpur,7448246160,Bada Amada,hsc,0.91,0.61
427825.0,,nabarangpur,8667137858,Asanga,hsc,79.37,75.95
427913.0,,nabarangpur,3858154382,Kerala,hsc,5.46,2.18
427912.0,,nabarangpur,3858154382,Kerala,hsc,6.06,2.42
427842.0,,nabarangpur,5414782861,Chirma,hsc,0.0,0.0
427828.0,,nabarangpur,8667137858,Asanga,hsc,1.83,1.22
427841.0,,nabarangpur,5414782861,Chirma,hsc,6.01,3.98
427829.0,,nabarangpur,8667137858,Asanga,hsc,0.0,0.0
427892.0,,nabarangpur,8865841533,Baragam,hsc,1.83,1.22
427824.0,,nabarangpur,4577462460,Badakuna,hsc,3.46,1.93
427918.0,,nabarangpur,7588431549,Churchunda,hsc,3.57,1.9
427905.0,,nabarangpur,8865841533,Baragam,hsc,0.0,0.0
427903.0,,nabarangpur,3437372679,Binjili,hsc,1.67,0.64
